full_name	Kingdom	Phylum	Class	Order	Family	Genus	Specie
k__Bacteria	k__Bacteria	no_classified	no_classified	no_classified	no_classified	no_classified	no_classified
k__Bacteria|p__Caldiserica	k__Bacteria	p__Caldiserica	no_classified	no_classified	no_classified	no_classified	no_classified
k__Bacteria|p__Caldiserica|c__Caldisericia	k__Bacteria	p__Caldiserica	c__Caldisericia	no_classified	no_classified	no_classified	no_classified
k__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales	k__Bacteria	p__Caldiserica	c__Caldisericia	o__Caldisericales	no_classified	no_classified	no_classified
k__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales|f__Caldisericaceae	k__Bacteria	p__Caldiserica	c__Caldisericia	o__Caldisericales	f__Caldisericaceae	no_classified	no_classified
k__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales|f__Caldisericaceae|g__Caldisericum	k__Bacteria	p__Caldiserica	c__Caldisericia	o__Caldisericales	f__Caldisericaceae	g__Caldisericum	no_classified
k__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales|f__Caldisericaceae|g__Caldisericum|s__Caldisericum_exile	k__Bacteria	p__Caldiserica	c__Caldisericia	o__Caldisericales	f__Caldisericaceae	g__Caldisericum	s__Caldisericum_exile
k__Bacteria|p__Coprothermobacterota	k__Bacteria	p__Coprothermobacterota	no_classified	no_classified	no_classified	no_classified	no_classified
k__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria	k__Bacteria	p__Coprothermobacterota	c__Coprothermobacteria	no_classified	no_classified	no_classified	no_classified
k__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria|o__Coprothermobacterales	k__Bacteria	p__Coprothermobacterota	c__Coprothermobacteria	o__Coprothermobacterales	no_classified	no_classified	no_classified
k__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria|o__Coprothermobacterales|f__Coprothermobacteraceae	k__Bacteria	p__Coprothermobacterota	c__Coprothermobacteria	o__Coprothermobacterales	f__Coprothermobacteraceae	no_classified	no_classified
k__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria|o__Coprothermobacterales|f__Coprothermobacteraceae|g__Coprothermobacter	k__Bacteria	p__Coprothermobacterota	c__Coprothermobacteria	o__Coprothermobacterales	f__Coprothermobacteraceae	g__Coprothermobacter	no_classified
k__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria|o__Coprothermobacterales|f__Coprothermobacteraceae|g__Coprothermobacter|s__Coprothermobacter_proteolyticus	k__Bacteria	p__Coprothermobacterota	c__Coprothermobacteria	o__Coprothermobacterales	f__Coprothermobacteraceae	g__Coprothermobacter	s__Coprothermobacter_proteolyticus
k__Bacteria|p__Calditrichaeota	k__Bacteria	p__Calditrichaeota	no_classified	no_classified	no_classified	no_classified	no_classified
k__Bacteria|p__Calditrichaeota|c__Calditrichae	k__Bacteria	p__Calditrichaeota	c__Calditrichae	no_classified	no_classified	no_classified	no_classified
k__Bacteria|p__Calditrichaeota|c__Calditrichae|o__Calditrichales	k__Bacteria	p__Calditrichaeota	c__Calditrichae	o__Calditrichales	no_classified	no_classified	no_classified
k__Bacteria|p__Calditrichaeota|c__Calditrichae|o__Calditrichales|f__Calditrichaceae	k__Bacteria	p__Calditrichaeota	c__Calditrichae	o__Calditrichales	f__Calditrichaceae	no_classified	no_classified
k__Bacteria|p__Calditrichaeota|c__Calditrichae|o__Calditrichales|f__Calditrichaceae|g__Caldithrix	k__Bacteria	p__Calditrichaeota	c__Calditrichae	o__Calditrichales	f__Calditrichaceae	g__Caldithrix	no_classified
k__Bacteria|p__Calditrichaeota|c__Calditrichae|o__Calditrichales|f__Calditrichaceae|g__Caldithrix|s__Caldithrix_abyssi	k__Bacteria	p__Calditrichaeota	c__Calditrichae	o__Calditrichales	f__Calditrichaceae	g__Caldithrix	s__Caldithrix_abyssi
k__Bacteria|p__Chrysiogenetes	k__Bacteria	p__Chrysiogenetes	no_classified	no_classified	no_classified	no_classified	no_classified
k__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes	k__Bacteria	p__Chrysiogenetes	c__Chrysiogenetes	no_classified	no_classified	no_classified	no_classified
k__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales	k__Bacteria	p__Chrysiogenetes	c__Chrysiogenetes	o__Chrysiogenales	no_classified	no_classified	no_classified
k__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales|f__Chrysiogenaceae	k__Bacteria	p__Chrysiogenetes	c__Chrysiogenetes	o__Chrysiogenales	f__Chrysiogenaceae	no_classified	no_classified
k__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales|f__Chrysiogenaceae|g__Desulfurispirillum	k__Bacteria	p__Chrysiogenetes	c__Chrysiogenetes	o__Chrysiogenales	f__Chrysiogenaceae	g__Desulfurispirillum	no_classified
k__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales|f__Chrysiogenaceae|g__Desulfurispirillum|s__Desulfurispirillum_indicum	k__Bacteria	p__Chrysiogenetes	c__Chrysiogenetes	o__Chrysiogenales	f__Chrysiogenaceae	g__Desulfurispirillum	s__Desulfurispirillum_indicum
k__Bacteria|p__Dictyoglomi	k__Bacteria	p__Dictyoglomi	no_classified	no_classified	no_classified	no_classified	no_classified
k__Bacteria|p__Dictyoglomi|c__Dictyoglomia	k__Bacteria	p__Dictyoglomi	c__Dictyoglomia	no_classified	no_classified	no_classified	no_classified
k__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales	k__Bacteria	p__Dictyoglomi	c__Dictyoglomia	o__Dictyoglomales	no_classified	no_classified	no_classified
k__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae	k__Bacteria	p__Dictyoglomi	c__Dictyoglomia	o__Dictyoglomales	f__Dictyoglomaceae	no_classified	no_classified
k__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae|g__Dictyoglomus	k__Bacteria	p__Dictyoglomi	c__Dictyoglomia	o__Dictyoglomales	f__Dictyoglomaceae	g__Dictyoglomus	no_classified
k__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae|g__Dictyoglomus|s__Dictyoglomus_turgidum	k__Bacteria	p__Dictyoglomi	c__Dictyoglomia	o__Dictyoglomales	f__Dictyoglomaceae	g__Dictyoglomus	s__Dictyoglomus_turgidum
k__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae|g__Dictyoglomus|s__Dictyoglomus_thermophilum	k__Bacteria	p__Dictyoglomi	c__Dictyoglomia	o__Dictyoglomales	f__Dictyoglomaceae	g__Dictyoglomus	s__Dictyoglomus_thermophilum
k__Bacteria|p__Elusimicrobia	k__Bacteria	p__Elusimicrobia	no_classified	no_classified	no_classified	no_classified	no_classified
k__Bacteria|p__Elusimicrobia|c__Elusimicrobia	k__Bacteria	p__Elusimicrobia	c__Elusimicrobia	no_classified	no_classified	no_classified	no_classified
k__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales	k__Bacteria	p__Elusimicrobia	c__Elusimicrobia	o__Elusimicrobiales	no_classified	no_classified	no_classified
k__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae	k__Bacteria	p__Elusimicrobia	c__Elusimicrobia	o__Elusimicrobiales	f__Elusimicrobiaceae	no_classified	no_classified
k__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae|g__Elusimicrobium	k__Bacteria	p__Elusimicrobia	c__Elusimicrobia	o__Elusimicrobiales	f__Elusimicrobiaceae	g__Elusimicrobium	no_classified
k__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae|g__Elusimicrobium|s__Elusimicrobium_minutum	k__Bacteria	p__Elusimicrobia	c__Elusimicrobia	o__Elusimicrobiales	f__Elusimicrobiaceae	g__Elusimicrobium	s__Elusimicrobium_minutum
k__Bacteria|p__Elusimicrobia|c__Endomicrobia	k__Bacteria	p__Elusimicrobia	c__Endomicrobia	no_classified	no_classified	no_classified	no_classified
k__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales	k__Bacteria	p__Elusimicrobia	c__Endomicrobia	o__Endomicrobiales	no_classified	no_classified	no_classified
k__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales|f__Endomicrobiaceae	k__Bacteria	p__Elusimicrobia	c__Endomicrobia	o__Endomicrobiales	f__Endomicrobiaceae	no_classified	no_classified
k__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales|f__Endomicrobiaceae|g__Endomicrobium	k__Bacteria	p__Elusimicrobia	c__Endomicrobia	o__Endomicrobiales	f__Endomicrobiaceae	g__Endomicrobium	no_classified
k__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales|f__Endomicrobiaceae|g__Endomicrobium|s__Candidatus_Endomicrobium_trichonymphae	k__Bacteria	p__Elusimicrobia	c__Endomicrobia	o__Endomicrobiales	f__Endomicrobiaceae	g__Endomicrobium	s__Candidatus_Endomicrobium_trichonymphae
k__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales|f__Endomicrobiaceae|g__Endomicrobium|s__Endomicrobium_proavitum	k__Bacteria	p__Elusimicrobia	c__Endomicrobia	o__Endomicrobiales	f__Endomicrobiaceae	g__Endomicrobium	s__Endomicrobium_proavitum
k__Bacteria|g__Vampirococcus	k__Bacteria	no_classified	no_classified	no_classified	no_classified	g__Vampirococcus	no_classified
k__Bacteria|g__Vampirococcus|s__Vampirococcus_sp._LiM	k__Bacteria	no_classified	no_classified	no_classified	no_classified	g__Vampirococcus	s__Vampirococcus_sp._LiM
k__Bacteria|c__Candidatus_Babeliae	k__Bacteria	no_classified	c__Candidatus_Babeliae	no_classified	no_classified	no_classified	no_classified
k__Bacteria|c__Candidatus_Babeliae|o__Candidatus_Babeliales	k__Bacteria	no_classified	c__Candidatus_Babeliae	o__Candidatus_Babeliales	no_classified	no_classified	no_classified
k__Bacteria|c__Candidatus_Babeliae|o__Candidatus_Babeliales|f__Candidatus_Babeliaceae	k__Bacteria	no_classified	c__Candidatus_Babeliae	o__Candidatus_Babeliales	f__Candidatus_Babeliaceae	no_classified	no_classified
k__Bacteria|c__Candidatus_Babeliae|o__Candidatus_Babeliales|f__Candidatus_Babeliaceae|g__Candidatus_Babela	k__Bacteria	no_classified	c__Candidatus_Babeliae	o__Candidatus_Babeliales	f__Candidatus_Babeliaceae	g__Candidatus_Babela	no_classified
k__Bacteria|c__Candidatus_Babeliae|o__Candidatus_Babeliales|f__Candidatus_Babeliaceae|g__Candidatus_Babela|s__Candidatus_Babela_massiliensis	k__Bacteria	no_classified	c__Candidatus_Babeliae	o__Candidatus_Babeliales	f__Candidatus_Babeliaceae	g__Candidatus_Babela	s__Candidatus_Babela_massiliensis
k__Bacteria|p__Candidatus_Bipolaricaulota	k__Bacteria	p__Candidatus_Bipolaricaulota	no_classified	no_classified	no_classified	no_classified	no_classified
k__Bacteria|p__Candidatus_Bipolaricaulota|g__Candidatus_Bipolaricaulis	k__Bacteria	p__Candidatus_Bipolaricaulota	no_classified	no_classified	no_classified	g__Candidatus_Bipolaricaulis	no_classified
k__Bacteria|p__Candidatus_Bipolaricaulota|g__Candidatus_Bipolaricaulis|s__Candidatus_Bipolaricaulis_anaerobius	k__Bacteria	p__Candidatus_Bipolaricaulota	no_classified	no_classified	no_classified	g__Candidatus_Bipolaricaulis	s__Candidatus_Bipolaricaulis_anaerobius
k__Bacteria|p__Candidatus_Saccharibacteria	k__Bacteria	p__Candidatus_Saccharibacteria	no_classified	no_classified	no_classified	no_classified	no_classified
k__Bacteria|p__Candidatus_Saccharibacteria|g__Candidatus_Saccharimonas	k__Bacteria	p__Candidatus_Saccharibacteria	no_classified	no_classified	no_classified	g__Candidatus_Saccharimonas	no_classified
k__Bacteria|p__Candidatus_Saccharibacteria|g__Candidatus_Saccharimonas|s__Candidatus_Saccharimonas_aalborgensis	k__Bacteria	p__Candidatus_Saccharibacteria	no_classified	no_classified	no_classified	g__Candidatus_Saccharimonas	s__Candidatus_Saccharimonas_aalborgensis
k__Bacteria|p__Thermodesulfobacteria	k__Bacteria	p__Thermodesulfobacteria	no_classified	no_classified	no_classified	no_classified	no_classified
k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria	k__Bacteria	p__Thermodesulfobacteria	c__Thermodesulfobacteria	no_classified	no_classified	no_classified	no_classified
k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales	k__Bacteria	p__Thermodesulfobacteria	c__Thermodesulfobacteria	o__Thermodesulfobacteriales	no_classified	no_classified	no_classified
k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae	k__Bacteria	p__Thermodesulfobacteria	c__Thermodesulfobacteria	o__Thermodesulfobacteriales	f__Thermodesulfobacteriaceae	no_classified	no_classified
k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermosulfuriphilus	k__Bacteria	p__Thermodesulfobacteria	c__Thermodesulfobacteria	o__Thermodesulfobacteriales	f__Thermodesulfobacteriaceae	g__Thermosulfuriphilus	no_classified
k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermosulfuriphilus|s__Thermosulfuriphilus_ammonigenes	k__Bacteria	p__Thermodesulfobacteria	c__Thermodesulfobacteria	o__Thermodesulfobacteriales	f__Thermodesulfobacteriaceae	g__Thermosulfuriphilus	s__Thermosulfuriphilus_ammonigenes
k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermosulfurimonas	k__Bacteria	p__Thermodesulfobacteria	c__Thermodesulfobacteria	o__Thermodesulfobacteriales	f__Thermodesulfobacteriaceae	g__Thermosulfurimonas	no_classified
k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermosulfurimonas|s__Thermosulfurimonas_marina	k__Bacteria	p__Thermodesulfobacteria	c__Thermodesulfobacteria	o__Thermodesulfobacteriales	f__Thermodesulfobacteriaceae	g__Thermosulfurimonas	s__Thermosulfurimonas_marina
k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Caldimicrobium	k__Bacteria	p__Thermodesulfobacteria	c__Thermodesulfobacteria	o__Thermodesulfobacteriales	f__Thermodesulfobacteriaceae	g__Caldimicrobium	no_classified
k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Caldimicrobium|s__Caldimicrobium_thiodismutans	k__Bacteria	p__Thermodesulfobacteria	c__Thermodesulfobacteria	o__Thermodesulfobacteriales	f__Thermodesulfobacteriaceae	g__Caldimicrobium	s__Caldimicrobium_thiodismutans
k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfatator	k__Bacteria	p__Thermodesulfobacteria	c__Thermodesulfobacteria	o__Thermodesulfobacteriales	f__Thermodesulfobacteriaceae	g__Thermodesulfatator	no_classified
k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfatator|s__Thermodesulfatator_indicus	k__Bacteria	p__Thermodesulfobacteria	c__Thermodesulfobacteria	o__Thermodesulfobacteriales	f__Thermodesulfobacteriaceae	g__Thermodesulfatator	s__Thermodesulfatator_indicus
k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfobacterium	k__Bacteria	p__Thermodesulfobacteria	c__Thermodesulfobacteria	o__Thermodesulfobacteriales	f__Thermodesulfobacteriaceae	g__Thermodesulfobacterium	no_classified
k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfobacterium|s__Thermodesulfobacterium_commune	k__Bacteria	p__Thermodesulfobacteria	c__Thermodesulfobacteria	o__Thermodesulfobacteriales	f__Thermodesulfobacteriaceae	g__Thermodesulfobacterium	s__Thermodesulfobacterium_commune
k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfobacterium|s__Thermodesulfobacterium_sp._TA1	k__Bacteria	p__Thermodesulfobacteria	c__Thermodesulfobacteria	o__Thermodesulfobacteriales	f__Thermodesulfobacteriaceae	g__Thermodesulfobacterium	s__Thermodesulfobacterium_sp._TA1
k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfobacterium|s__Thermodesulfobacterium_geofontis	k__Bacteria	p__Thermodesulfobacteria	c__Thermodesulfobacteria	o__Thermodesulfobacteriales	f__Thermodesulfobacteriaceae	g__Thermodesulfobacterium	s__Thermodesulfobacterium_geofontis
k__Bacteria|p__Nitrospirae	k__Bacteria	p__Nitrospirae	no_classified	no_classified	no_classified	no_classified	no_classified
k__Bacteria|p__Nitrospirae|c__Nitrospira	k__Bacteria	p__Nitrospirae	c__Nitrospira	no_classified	no_classified	no_classified	no_classified
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales	k__Bacteria	p__Nitrospirae	c__Nitrospira	o__Nitrospirales	no_classified	no_classified	no_classified
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae	k__Bacteria	p__Nitrospirae	c__Nitrospira	o__Nitrospirales	f__Nitrospiraceae	no_classified	no_classified
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Leptospirillum	k__Bacteria	p__Nitrospirae	c__Nitrospira	o__Nitrospirales	f__Nitrospiraceae	g__Leptospirillum	no_classified
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Leptospirillum|s__Leptospirillum_ferrooxidans	k__Bacteria	p__Nitrospirae	c__Nitrospira	o__Nitrospirales	f__Nitrospiraceae	g__Leptospirillum	s__Leptospirillum_ferrooxidans
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Leptospirillum|s__Leptospirillum_sp._Group_II_'CF-1'	k__Bacteria	p__Nitrospirae	c__Nitrospira	o__Nitrospirales	f__Nitrospiraceae	g__Leptospirillum	s__Leptospirillum_sp._Group_II_'CF-1'
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Leptospirillum|s__Leptospirillum_ferriphilum	k__Bacteria	p__Nitrospirae	c__Nitrospira	o__Nitrospirales	f__Nitrospiraceae	g__Leptospirillum	s__Leptospirillum_ferriphilum
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Thermodesulfovibrio	k__Bacteria	p__Nitrospirae	c__Nitrospira	o__Nitrospirales	f__Nitrospiraceae	g__Thermodesulfovibrio	no_classified
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Thermodesulfovibrio|s__Thermodesulfovibrio_yellowstonii	k__Bacteria	p__Nitrospirae	c__Nitrospira	o__Nitrospirales	f__Nitrospiraceae	g__Thermodesulfovibrio	s__Thermodesulfovibrio_yellowstonii
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira	k__Bacteria	p__Nitrospirae	c__Nitrospira	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira	no_classified
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Candidatus_Nitrospira_inopinata	k__Bacteria	p__Nitrospirae	c__Nitrospira	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira	s__Candidatus_Nitrospira_inopinata
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Nitrospira_moscoviensis	k__Bacteria	p__Nitrospirae	c__Nitrospira	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira	s__Nitrospira_moscoviensis
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Nitrospira_japonica	k__Bacteria	p__Nitrospirae	c__Nitrospira	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira	s__Nitrospira_japonica
k__Bacteria|p__Deferribacteres	k__Bacteria	p__Deferribacteres	no_classified	no_classified	no_classified	no_classified	no_classified
k__Bacteria|p__Deferribacteres|c__Deferribacteres	k__Bacteria	p__Deferribacteres	c__Deferribacteres	no_classified	no_classified	no_classified	no_classified
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales	k__Bacteria	p__Deferribacteres	c__Deferribacteres	o__Deferribacterales	no_classified	no_classified	no_classified
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae	k__Bacteria	p__Deferribacteres	c__Deferribacteres	o__Deferribacterales	f__Deferribacteraceae	no_classified	no_classified
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Calditerrivibrio	k__Bacteria	p__Deferribacteres	c__Deferribacteres	o__Deferribacterales	f__Deferribacteraceae	g__Calditerrivibrio	no_classified
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Calditerrivibrio|s__Calditerrivibrio_nitroreducens	k__Bacteria	p__Deferribacteres	c__Deferribacteres	o__Deferribacterales	f__Deferribacteraceae	g__Calditerrivibrio	s__Calditerrivibrio_nitroreducens
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Flexistipes	k__Bacteria	p__Deferribacteres	c__Deferribacteres	o__Deferribacterales	f__Deferribacteraceae	g__Flexistipes	no_classified
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Flexistipes|s__Flexistipes_sinusarabici	k__Bacteria	p__Deferribacteres	c__Deferribacteres	o__Deferribacterales	f__Deferribacteraceae	g__Flexistipes	s__Flexistipes_sinusarabici
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Deferribacter	k__Bacteria	p__Deferribacteres	c__Deferribacteres	o__Deferribacterales	f__Deferribacteraceae	g__Deferribacter	no_classified
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Deferribacter|s__Deferribacter_desulfuricans	k__Bacteria	p__Deferribacteres	c__Deferribacteres	o__Deferribacterales	f__Deferribacteraceae	g__Deferribacter	s__Deferribacter_desulfuricans
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Geovibrio	k__Bacteria	p__Deferribacteres	c__Deferribacteres	o__Deferribacterales	f__Deferribacteraceae	g__Geovibrio	no_classified
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Geovibrio|s__Geovibrio_thiophilus	k__Bacteria	p__Deferribacteres	c__Deferribacteres	o__Deferribacterales	f__Deferribacteraceae	g__Geovibrio	s__Geovibrio_thiophilus
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Denitrovibrio	k__Bacteria	p__Deferribacteres	c__Deferribacteres	o__Deferribacterales	f__Deferribacteraceae	g__Denitrovibrio	no_classified
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Denitrovibrio|s__Denitrovibrio_acetiphilus	k__Bacteria	p__Deferribacteres	c__Deferribacteres	o__Deferribacterales	f__Deferribacteraceae	g__Denitrovibrio	s__Denitrovibrio_acetiphilus
k__Bacteria|p__Aquificae	k__Bacteria	p__Aquificae	no_classified	no_classified	no_classified	no_classified	no_classified
k__Bacteria|p__Aquificae|c__Aquificae	k__Bacteria	p__Aquificae	c__Aquificae	no_classified	no_classified	no_classified	no_classified
