Sample	raw pair1	raw pair2	trimmed pair1	trimmed pair2	trimmed orphan1	trimmed orphan2	decontaminated Homo_sapiens pair1	decontaminated Homo_sapiens pair2	decontaminated Homo_sapiens orphan1	decontaminated Homo_sapiens orphan2	final pair1	final pair2	final orphan1	final orphan2
502A	34827852.0	34827852.0	34742606.0	34742606.0	64064.0	19636.0	34740938.0	34740938.0	64685.0	20074.0	34740938.0	34740938.0	64685.0	20074.0
506A	33394735.0	33394735.0	33164705.0	33164705.0	229365.0	NA	33158385.0	33158385.0	231840.0	2522.0	33158385.0	33158385.0	231840.0	2522.0
509A	31453981.0	31453981.0	31235954.0	31235954.0	217456.0	NA	31234319.0	31234319.0	218007.0	583.0	31234319.0	31234319.0	218007.0	583.0
512A	31102302.0	31102302.0	31049546.0	31049546.0	18460.0	27845.0	30867179.0	30867179.0	71316.0	83882.0	30867179.0	30867179.0	71316.0	83882.0
515A	37185197.0	37185197.0	37119115.0	37119115.0	64687.0	94.0	37112852.0	37112852.0	66233.0	1125.0	37112852.0	37112852.0	66233.0	1125.0
516A	35417077.0	35417077.0	35356802.0	35356802.0	21072.0	31673.0	35328519.0	35328519.0	33080.0	43788.0	35328519.0	35328519.0	33080.0	43788.0
517A	36051429.0	36051429.0	35991052.0	35991052.0	20994.0	31757.0	35985118.0	35985118.0	23294.0	33806.0	35985118.0	35985118.0	23294.0	33806.0
519A	35185853.0	35185853.0	35110451.0	35110451.0	74361.0	25.0	35096728.0	35096728.0	80218.0	5761.0	35096728.0	35096728.0	80218.0	5761.0
522A	31096324.0	31096324.0	31031643.0	31031643.0	45530.0	17199.0	30811237.0	30811237.0	83883.0	57848.0	30811237.0	30811237.0	83883.0	57848.0
530A	31870233.0	31870233.0	31817134.0	31817134.0	18129.0	28425.0	31814137.0	31814137.0	18864.0	28952.0	31814137.0	31814137.0	18864.0	28952.0
531A	31644520.0	31644520.0	31429619.0	31429619.0	214228.0	NA	31426943.0	31426943.0	214540.0	353.0	31426943.0	31426943.0	214540.0	353.0
534A	36238899.0	36238899.0	36161254.0	36161254.0	76655.0	19.0	36154596.0	36154596.0	78943.0	2156.0	36154596.0	36154596.0	78943.0	2156.0
536A	35474054.0	35474054.0	35398168.0	35398168.0	74903.0	21.0	35364072.0	35364072.0	87529.0	13008.0	35364072.0	35364072.0	87529.0	13008.0
A10A	36333073.0	36333073.0	36257888.0	36257888.0	72999.0	23.0	34381788.0	34381788.0	511099.0	460011.0	34381788.0	34381788.0	511099.0	460011.0
A21A	31566319.0	31566319.0	31352248.0	31352248.0	213406.0	NA	31351590.0	31351590.0	213485.0	75.0	31351590.0	31351590.0	213485.0	75.0
A51A	29907817.0	29907817.0	29703321.0	29703321.0	203951.0	NA	29589282.0	29589282.0	246009.0	43990.0	29589282.0	29589282.0	246009.0	43990.0
A60A	27922514.0	27922514.0	27730006.0	27730006.0	191992.0	NA	27718462.0	27718462.0	192496.0	793.0	27718462.0	27718462.0	192496.0	793.0
ANS1024	33327116.0	33327116.0	33131909.0	33131909.0	194871.0	164.0	33103498.0	33103498.0	196058.0	2803.0	33103498.0	33103498.0	196058.0	2803.0
ANS1037	33081416.0	33081416.0	32884302.0	32884302.0	196841.0	108.0	32737201.0	32737201.0	199444.0	12049.0	32737201.0	32737201.0	199444.0	12049.0
ANS1038	30193455.0	30193455.0	30012242.0	30012242.0	180947.0	123.0	29954497.0	29954497.0	183496.0	5760.0	29954497.0	29954497.0	183496.0	5760.0
ANS1101	35531105.0	35531105.0	35460378.0	35460378.0	70142.0	5.0	35450301.0	35450301.0	73935.0	899.0	35450301.0	35450301.0	73935.0	899.0
ANS1112	31425321.0	31425321.0	31362575.0	31362575.0	62277.0	8.0	31228062.0	31228062.0	69522.0	9999.0	31228062.0	31228062.0	69522.0	9999.0
