"","unclassified","Bacteria","Eukaryota","Ratio"
"502A",15208251,19198491,255081,1.32865129868801
"506A",5028563,27999239,110905,0.396100051147819
"509A",6112389,24532513,516836,2.10673892234359
"512A",13284008,17063244,426540,2.49975913138205
"515A",7717908,29244644,109274,0.373654745121876
"516A",2982143,32141524,163634,0.509104670954619
"517A",18376431,17073044,436578,2.55711869541249
"519A",11682196,23199631,150287,0.647799096459767
"522A",9356170,21360449,73433,0.343780226717144
"530A",258415,31488527,25478,0.0809120096344932
"531A",15216923,15622678,460652,2.94861098718158
"534A",8898590,27079112,143610,0.530334968148143
"536A",16035337,18045927,1095528,6.07077707894973
"A10A",3643791,30642730,76954,0.251132976728901
"A21A",5894749,25347364,19964,0.0787616416444724
"A51A",3279293,26187763,99787,0.381044383210586
"A60A",5140982,22531267,31539,0.139978812554128
"ANS1024",3928595,29032677,24524,0.0844703366485977
"ANS1037",11875006,20806367,36166,0.173821792146606
"ANS1038",9557048,20294224,74467,0.366936917617545
"ANS1101",9369234,26023250,25857,0.0993611482040099
"ANS1112",9702287,21459659,43800,0.204103895593122
"ANS1114",8795138,18771627,48931,0.260664672273746
"ANS1115",14145362,17372165,41773,0.240459378551839
"ANS1119",7544058,18591830,81169,0.436584241572777
"ANS1133",9598390,25923414,73774,0.284584430121742
"ANS1135",14777059,13105862,75327,0.574758073906165
"ANS1170",11029848,19363832,76400,0.394550004358641
"ANS1178",7927547,19430567,20408,0.105030388459585
"ANS1186",13809085,20662516,69053,0.334194538554743
"ANS1189",14072231,15667503,92721,0.591804577921574
"ANS1190",13196634,16543049,175888,1.06321392144822
"ANS1205",14656460,19060705,347262,1.8218738498917
"ANS1217",13241261,17280245,52446,0.30350264131093
"ANS1218",18053629,16066219,155071,0.965199092580526
"ANS1222",16433358,19315934,556212,2.87955011649967
"ANS1454",13065997,13882363,103864,0.748172339248008
"ANS1456",9215783,21207661,59283,0.279535777189196
"ANS1475",4322149,23553174,131416,0.557954524515464
"ANS16",3384271,28399398,72028,0.253625094447425
"ANS19",14118996,11422761,69454,0.608031630881536
