"","2014_ZellerG-Median","2014_ZellerG-low-CI","2014_ZellerG-high-CI","2014_ZellerG-p-value","2015_FengQ-Median","2015_FengQ-low-CI","2015_FengQ-high-CI","2015_FengQ-p-value","2016_VogtmannE-Median","2016_VogtmannE-low-CI","2016_VogtmannE-high-CI","2016_VogtmannE-p-value","2019_Thom-Median","2019_Thom-low-CI","2019_Thom-high-CI","2019_Thom-p-value","2019_WirbelJ-Median","2019_WirbelJ-low-CI","2019_WirbelJ-high-CI","2019_WirbelJ-p-value","2019_Yachida-Median","2019_Yachida-low-CI","2019_Yachida-high-CI","2019_Yachida-p-value","2021_JunY_1-Median","2021_JunY_1-low-CI","2021_JunY_1-high-CI","2021_JunY_1-p-value","2021_JunY_2-Median","2021_JunY_2-low-CI","2021_JunY_2-high-CI","2021_JunY_2-p-value"
"Catenaria anguillulae",0.608840906500287,0.56339218115652,0.654313601883819,1.10566169094628e-138,-0.143046952683843,-0.235153672332007,-0.0501574562304101,0.00242962131573844,-0.0830528814934403,-0.153446355609165,-0.0129944294511106,0.0201670024745428,0.470561557410398,0.400930072154348,0.540671655143054,7.89447570415754e-39,-0.591991445093591,-0.726705135548102,-0.460852313833264,8.03923796339994e-19,0.311475450086771,0.290866322395341,0.332090115415926,3.91628822364715e-189,-0.0820124149389926,-0.142872777580666,-0.0211284546795896,0.00827073980961649,0.0984731015224797,0.0608679298483449,0.136303222288001,3.12948545078333e-07
"Allomyces macrogynus",0.411510688367057,0.363357753445294,0.459548513016778,3.07173246424752e-59,-0.361428865661463,-0.421022208450973,-0.301770353737463,1.84742351682578e-31,-0.0773632478265264,-0.130501696268033,-0.0240808380023183,0.00457437553289343,-0.0317506498283934,-0.0908227118084695,0.0272142250601868,0.28771196394463,-0.508789986072741,-0.605446916797708,-0.413263150521687,1.47146677872237e-24,0.30477382532944,0.28905734036783,0.320473375608043,1.04308071409051e-303,-0.148305549916439,-0.202510598580436,-0.0943274980951853,6.84494059392784e-08,-0.149091796811431,-0.178478673672094,-0.119750982176686,2.08074292853444e-23
"Paramicrosporidium saccamoebae",-0.243469802654265,-0.323403805032246,-0.163528068002255,2.55048805152569e-09,0.107326821984502,-0.0153814488284433,0.238233155874443,0.0872047230833276,0.113490018516456,0.00825174966844472,0.218683231899015,0.0345897843740168,0.198729732267219,0.0447159481289112,0.35216577025124,0.011630463839817,-0.207478436980426,-0.3876332000813,-0.0333611933747505,0.020063338322382,0.150012608497585,0.114193229822401,0.186008214106086,4.00023473112822e-16,-0.551299209600492,-0.650808964460647,-0.452349594342666,1.0767239331355e-27,-0.427077835307732,-0.487868651835185,-0.366064706198396,7.76751308124532e-43
"Rozella allomycis",-0.611435978992097,-0.664117457320037,-0.559182794203263,1.66390328932826e-112,-0.0961161777729689,-0.174619670634791,-0.0180870576805422,0.0158825892249649,0.0265362164819772,-0.0364004756351239,0.0893362209525544,0.405140223798406,0.538044063780158,0.408998363197864,0.671241795181885,1.41679074250924e-16,-1.48888738803936,-1.63663139176837,-1.34538312261662,4.39286877351669e-88,0.014628834139853,-0.00579935557017364,0.0350348577128339,0.160233044426272,-0.848021033633792,-0.912810138806257,-0.783225685648276,4.90107430013204e-134,-0.510577429607952,-0.547224326063374,-0.473857391691582,1.60702651644692e-157
"Basidiobolus meristosporus",-0.157789148440079,-0.193947924874919,-0.121657198499891,1.5521540152474e-17,-0.226247769951639,-0.271304860817801,-0.181279952377734,4.53487700670184e-22,-0.28251630315942,-0.340728299110165,-0.224943433613841,1.42017170378841e-21,-0.276921945688283,-0.334468211557266,-0.21932109268747,1.45093016369138e-20,-0.828510308123275,-0.91762596058085,-0.739012313127435,1.75743988805124e-67,-0.0455825311651611,-0.0612166928401517,-0.0299414532702152,1.10238449221409e-08,-0.268182284063964,-0.313730941677725,-0.222449425902429,3.61806160690821e-30,-0.387126596284496,-0.420190957209753,-0.354001721321449,9.36772355387143e-113
"Conidiobolus coronatus",-0.52095727245764,-0.573378873767035,-0.469099604469649,3.57133010092691e-86,-0.0518981482733129,-0.107608260835836,0.00280609519399953,0.0633938409113426,-0.057979698235765,-0.119561774317732,0.00390753861748305,0.0660467180649496,0.660189896538135,0.587286386443592,0.733221900880963,1.28894211287435e-63,-1.45542143955186,-1.56312416232158,-1.34699125358159,4.44129877935442e-108,0.273268943546575,0.258207589557104,0.288336970269066,4.30054883876495e-273,-0.444165933222017,-0.50231899690104,-0.385757112760906,2.82915433591234e-49,-0.301779586280212,-0.332685501578587,-0.270807591611159,9.71685013455081e-79
"Gonapodya prolifera",-0.0703332469695317,-0.114549804003947,-0.0262874087600393,0.00174740488201313,0.0682966379706139,0.00206513887820823,0.134389198938075,0.043089807148025,-0.177735532769326,-0.22970864864035,-0.126002194040264,2.37900017926688e-11,0.22700435924531,0.173925047294345,0.280340449642767,3.95334745164468e-17,-0.987829683679648,-1.09945578813671,-0.878234132854112,8.95271486590778e-64,0.348057783982591,0.331096817368867,0.365055802240253,0,-0.591994364455847,-0.648244638145832,-0.535679286374773,9.51950779676516e-90,-0.308864146492263,-0.342466617261286,-0.275376457072962,9.30785137671334e-73
"Spizellomyces punctatus",-0.0705320124037788,-0.120182350523595,-0.0209141508213422,0.00519700961532552,0.0698883262839877,0.00219577670980888,0.13881073488443,0.0430186107379878,-0.607322751200754,-0.700124496755143,-0.514960154908764,5.16018338655818e-36,0.412986311553234,0.323595167541796,0.50190627118436,1.2645285213683e-18,-1.76471084258978,-1.94689633588439,-1.59072536488666,2.33949730752314e-87,-0.0848054280900531,-0.109379954881603,-0.060240237433985,1.30793932877821e-11,-0.765028593919915,-0.828698472755721,-0.701132323539086,5.63721956185175e-116,-0.471318763536919,-0.519852631010764,-0.422789553493341,7.38737057389919e-78
"Batrachochytrium salamandrivorans",-0.419863840450005,-0.461845134340544,-0.378240342742461,1.40743219459776e-85,-0.558827199046397,-0.627851293034983,-0.4901579611523,1.14013741578362e-54,-0.0634552725815554,-0.118359587415536,-0.00818206038743897,0.0246693915596686,-0.0192439123373569,-0.0935123698619978,0.0550739977413397,0.606321873502528,-0.628440542577807,-0.738012855108087,-0.522297164787279,1.97830816295272e-32,-0.0318698559482522,-0.0464263032028245,-0.0173205447286813,1.75353777535942e-05,-0.548681945136051,-0.599624762758497,-0.497679251363371,7.49970709419698e-94,-0.556221639340006,-0.588078752690703,-0.524399517141395,2.80665208726076e-244
"Batrachochytrium dendrobatidis",-0.931998821506139,-1.06408354478988,-0.80340013471566,1.83350079185842e-51,0.395876226642538,0.193671586899843,0.615141576421634,8.4657476927947e-05,0.175824740158227,0.0342878559859714,0.314908213123801,0.0172360044308301,1.43844153388474,1.09660089546615,1.91636653238969,4.13106280158336e-27,-2.30961236939669,-2.64013352574577,-1.87747761562184,7.06353825936775e-23,0.450658566852335,0.409781573703603,0.490793962559282,4.03676735391374e-113,-0.558813282881725,-0.689779010084065,-0.433911363942666,1.21190081582577e-17,-0.17769042232359,-0.252505747588258,-0.104183840753023,1.64294455969936e-06
