"","N.count","P.count","Missing","pvalue","2014_ZellerG-Median","2014_ZellerG-p-value","2015_FengQ-Median","2015_FengQ-p-value","2016_VogtmannE-Median","2016_VogtmannE-p-value","2019_Thom-Median","2019_Thom-p-value","2019_WirbelJ-Median","2019_WirbelJ-p-value","2019_Yachida-Median","2019_Yachida-p-value","2021_JunY_1-Median","2021_JunY_1-p-value","2021_JunY_2-Median","2021_JunY_2-p-value"
"Catenaria anguillulae",4,4,0,8,0.608840906500287,1.10566169094628e-138,-0.143046952683843,0.00242962131573844,-0.0830528814934403,0.0201670024745428,0.470561557410398,7.89447570415754e-39,-0.591991445093591,8.03923796339994e-19,0.311475450086771,3.91628822364715e-189,-0.0820124149389926,0.00827073980961649,0.0984731015224797,3.12948545078333e-07
"Allomyces macrogynus",6,2,0,7,0.411510688367057,3.07173246424752e-59,-0.361428865661463,1.84742351682578e-31,-0.0773632478265264,0.00457437553289343,-0.0317506498283934,0.28771196394463,-0.508789986072741,1.47146677872237e-24,0.30477382532944,1.04308071409051e-303,-0.148305549916439,6.84494059392784e-08,-0.149091796811431,2.08074292853444e-23
"Paramicrosporidium saccamoebae",4,4,0,7,-0.243469802654265,2.55048805152569e-09,0.107326821984502,0.0872047230833276,0.113490018516456,0.0345897843740168,0.198729732267219,0.011630463839817,-0.207478436980426,0.020063338322382,0.150012608497585,4.00023473112822e-16,-0.551299209600492,1.0767239331355e-27,-0.427077835307732,7.76751308124532e-43
"Rozella allomycis",5,3,0,6,-0.611435978992097,1.66390328932826e-112,-0.0961161777729689,0.0158825892249649,0.0265362164819772,0.405140223798406,0.538044063780158,1.41679074250924e-16,-1.48888738803936,4.39286877351669e-88,0.014628834139853,0.160233044426272,-0.848021033633792,4.90107430013204e-134,-0.510577429607952,1.60702651644692e-157
"Basidiobolus meristosporus",8,0,0,8,-0.157789148440079,1.5521540152474e-17,-0.226247769951639,4.53487700670184e-22,-0.28251630315942,1.42017170378841e-21,-0.276921945688283,1.45093016369138e-20,-0.828510308123275,1.75743988805124e-67,-0.0455825311651611,1.10238449221409e-08,-0.268182284063964,3.61806160690821e-30,-0.387126596284496,9.36772355387143e-113
"Conidiobolus coronatus",6,2,0,6,-0.52095727245764,3.57133010092691e-86,-0.0518981482733129,0.0633938409113426,-0.057979698235765,0.0660467180649496,0.660189896538135,1.28894211287435e-63,-1.45542143955186,4.44129877935442e-108,0.273268943546575,4.30054883876495e-273,-0.444165933222017,2.82915433591234e-49,-0.301779586280212,9.71685013455081e-79
"Gonapodya prolifera",5,3,0,8,-0.0703332469695317,0.00174740488201313,0.0682966379706139,0.043089807148025,-0.177735532769326,2.37900017926688e-11,0.22700435924531,3.95334745164468e-17,-0.987829683679648,8.95271486590778e-64,0.348057783982591,0,-0.591994364455847,9.51950779676516e-90,-0.308864146492263,9.30785137671334e-73
"Spizellomyces punctatus",6,2,0,8,-0.0705320124037788,0.00519700961532552,0.0698883262839877,0.0430186107379878,-0.607322751200754,5.16018338655818e-36,0.412986311553234,1.2645285213683e-18,-1.76471084258978,2.33949730752314e-87,-0.0848054280900531,1.30793932877821e-11,-0.765028593919915,5.63721956185175e-116,-0.471318763536919,7.38737057389919e-78
"Batrachochytrium salamandrivorans",8,0,0,7,-0.419863840450005,1.40743219459776e-85,-0.558827199046397,1.14013741578362e-54,-0.0634552725815554,0.0246693915596686,-0.0192439123373569,0.606321873502528,-0.628440542577807,1.97830816295272e-32,-0.0318698559482522,1.75353777535942e-05,-0.548681945136051,7.49970709419698e-94,-0.556221639340006,2.80665208726076e-244
"Batrachochytrium dendrobatidis",4,4,0,8,-0.931998821506139,1.83350079185842e-51,0.395876226642538,8.4657476927947e-05,0.175824740158227,0.0172360044308301,1.43844153388474,4.13106280158336e-27,-2.30961236939669,7.06353825936775e-23,0.450658566852335,4.03676735391374e-113,-0.558813282881725,1.21190081582577e-17,-0.17769042232359,1.64294455969936e-06
