"","Median","low-CI","high-CI","p-value"
"Catenaria anguillulae",0.608840906500287,0.56339218115652,0.654313601883819,1.10566169094628e-138
"Allomyces macrogynus",0.411510688367057,0.363357753445294,0.459548513016778,3.07173246424752e-59
"Paramicrosporidium saccamoebae",-0.243469802654265,-0.323403805032246,-0.163528068002255,2.55048805152569e-09
"Rozella allomycis",-0.611435978992097,-0.664117457320037,-0.559182794203263,1.66390328932826e-112
"Basidiobolus meristosporus",-0.157789148440079,-0.193947924874919,-0.121657198499891,1.5521540152474e-17
"Conidiobolus coronatus",-0.52095727245764,-0.573378873767035,-0.469099604469649,3.57133010092691e-86
"Gonapodya prolifera",-0.0703332469695317,-0.114549804003947,-0.0262874087600393,0.00174740488201313
"Spizellomyces punctatus",-0.0705320124037788,-0.120182350523595,-0.0209141508213422,0.00519700961532552
"Batrachochytrium salamandrivorans",-0.419863840450005,-0.461845134340544,-0.378240342742461,1.40743219459776e-85
"Batrachochytrium dendrobatidis",-0.931998821506139,-1.06408354478988,-0.80340013471566,1.83350079185842e-51
"Rhizoclosmatium globosum",-0.442785380178863,-0.480966953949856,-0.404694877409738,1.42539045135226e-110
"Anaeromyces robustus",-0.810557841941171,-0.855334606822025,-0.766678204068202,4.93140573517036e-283
"Piromyces sp. E2",-0.823236441194805,-0.873766492727613,-0.773097604993717,3.70920275640957e-231
"Piromyces finnis",-0.685268336073153,-0.728893010018062,-0.6415034791502,1.87160117599702e-195
"Neocallimastix californiae",-0.807092419035372,-0.850869604857902,-0.763367814421656,1.21867922781326e-265
"Mortierella elongata",-0.248339587682709,-0.286785026824582,-0.209772154816226,2.02038452548241e-35
"Mortierella verticillata",0.0763009056157462,0.0365368338034754,0.115852004222971,0.000170324508133757
"Rhizophagus irregularis",-0.96803560134773,-1.01638527849799,-0.920634395220575,0
"Rhizophagus clarus",-0.857401520680136,-0.900217934343006,-0.815274607792398,0
"Bifiguratus adelaidae",-0.157503585758961,-0.219267145206237,-0.0960449465321284,5.9894670923568e-07
"Syncephalastrum racemosum",-0.291216926462359,-0.332307196360776,-0.250123895363828,1.21002454915531e-42
"Lichtheimia corymbifera",-0.27795184219429,-0.321361803707332,-0.234813864759842,8.86038366923625e-36
"Lichtheimia ramosa",-0.531613240302191,-0.578247014620101,-0.485219534087479,1.31842320870822e-107
"Phycomyces blakesleeanus",-0.334039441543949,-0.368847565495938,-0.299293807528834,3.21096585108863e-76
"Hesseltinella vesiculosa",0.25778719274884,0.204839009515944,0.310416737721915,8.11801405409771e-21
"Absidia glauca",-0.322511159799934,-0.360174488989376,-0.284677983688882,7.13745706572125e-61
"Absidia repens",-0.397258213855941,-0.436627988203096,-0.358042338820604,1.48504589764994e-85
"Choanephora cucurbitarum",-0.694543287274184,-0.737851059758322,-0.651134159216803,2.46723383501441e-197
"Mucor ambiguus",-0.355847225971352,-0.405618741814427,-0.305850815577278,9.3759762217434e-43
"Mucor circinelloides",-0.359408737979342,-0.392612900560067,-0.326561535462132,6.53579860535497e-103
"Rhizopus microsporus",-1.06898529549739,-1.30942609948001,-0.89827451383802,6.65860688618571e-46
"Rhizopus delemar",-0.663419475149029,-0.7068097969798,-0.620186882436856,7.57586160661771e-186
"Trachipleistophora hominis",-0.469364966282873,-0.546313497551288,-0.394518597100819,2.1798904414921e-37
"Vavraia culicis",-0.887123564924403,-1.00198108123753,-0.778388104625502,5.35077607758494e-73
"Anncaliia algerae",-0.834072681232917,-0.88817763981046,-0.780230326996899,1.69753629665366e-208
"Amphiamblys sp. WSBS2006",0.287389621545911,0.181467821033014,0.394413418758467,1.3038783740571e-07
"Ordospora colligata",-0.330712812348624,-0.471843019358004,-0.197596484517095,1.30193441480076e-06
"Pseudoloma neurophilia",-0.63419527143805,-0.699960766844303,-0.568738273033202,8.55892151259841e-79
"Nematocida parisii",1.34856926405411,0.885046396010656,1.69590716197674,3.51476590313834e-21
"Nematocida displodere",-0.308375447130196,-0.45986377153523,-0.175491148389699,1.26078018351335e-06
"Nematocida sp. 1",-0.414811421235095,-0.553741209537193,-0.281829428989016,2.15083506878205e-10
"Nematocida sp. ERTm5",-1.92261282477399,-2.10057009808609,-1.75420718542511,4.8551994731208e-178
"Edhazardia aedis",-0.994293022264333,-1.04146932088477,-0.94723846605206,0
"Spraguea lophii",-0.966874199731421,-1.04330587863513,-0.891161546821895,1.58069063054898e-130
"Encephalitozoon intestinalis",0.0193893693036795,-0.12357847844194,0.169216178912042,0.81681467807492
"Encephalitozoon cuniculi",-1.60319944853419,-2.20970820998739,-1.02619322874053,3.87462495149442e-47
"Encephalitozoon hellem",-1.90695558435887,-2.23040855196562,-1.57816497692079,3.7943090951197e-81
"Encephalitozoon romaleae",-0.950513246526713,-1.106342426818,-0.801434040601208,2.42416294818661e-37
"Vittaforma corneae",-0.957468418294053,-1.11307561734194,-0.794911547308674,3.46443526434259e-35
"Nosema apis",-1.36659774884129,-1.43933482858031,-1.29458752589788,9.52799190052545e-276
"Nosema ceranae",-1.11213852632294,-1.19245343159055,-1.03279631965874,1.91368104686999e-156
"Nosema bombycis",-1.05434350952631,-1.11924468551197,-0.989618361660994,1.20736123877687e-205
"Enterospora canceri",-1.08352749928262,-1.21331521667746,-0.955942326944921,3.39869972352084e-71
"Hepatospora eriocheir",-0.762998160488351,-0.833938871958595,-0.692192937454236,9.81169460949577e-100
"Enterocytozoon hepatopenaei",-1.58140289420528,-1.72648020544569,-1.44203463487837,7.00646544933734e-142
"Enterocytozoon bieneusi",-0.584647667789853,-0.634457829920196,-0.535691038873632,1.34460016287171e-118
"Wallemia mellicola",-0.0892845960467936,-0.152548458400045,-0.0261187894821468,0.00550258757273921
"Wallemia ichthyophaga",-0.669907679481531,-0.728276637183334,-0.611848714008541,9.50509882207868e-108
"Mixia osmundae",0.434771880739573,0.366053023849897,0.503998154757964,1.59026645931017e-35
"Microbotryum intermedium",0.654314984206561,0.591117703398697,0.718363820977468,8.98746675466425e-92
"Leucosporidium creatinivorum",0.0780666235713574,0.018805644943894,0.137282355443408,0.00986621967231578
"Rhodotorula taiwanensis",0.725166980215012,0.663068432805275,0.786991423277192,1.45608732505084e-103
"Rhodotorula graminis",0.679983550461673,0.622817841870901,0.737976602012941,2.63949618521668e-116
"Rhodotorula toruloides",0.612485833479699,0.555855247962458,0.669302770705685,1.18192961925394e-92
"Rhodotorula sp. JG-1b",0.536046840030308,0.474963761411404,0.597727087063681,5.51094870600822e-65
"Puccinia coronata",-0.303741512031104,-0.333522910085649,-0.27411505060903,1.92979619049587e-87
"Puccinia striiformis",0.0375115896417214,-0.00332340975294581,0.0781428153987872,0.0721843823056929
"Puccinia graminis",-0.364542779276965,-0.405883454500665,-0.323202814716251,1.24577886051897e-67
"Puccinia sorghi",-0.429012462295979,-0.476745127350824,-0.381603776004635,3.37226374939766e-70
"Malassezia globosa",-0.379211963737023,-0.437086899187103,-0.320468929968522,1.51814144227693e-34
"Malassezia restricta",-0.318409403887884,-0.420156771767122,-0.216128307379012,1.22401915271476e-09
"Malassezia sympodialis",0.211473133289443,0.127199233216818,0.295817390119273,9.6076670872681e-07
"Malassezia vespertilionis",0.0524217610384821,-0.00437304787218509,0.108835737986551,0.0707910038587589
"Tilletiaria anomala",0.11883261000051,0.0709393922006362,0.167010755160877,1.12720070879367e-06
"Ceraceosorus bombacis",0.181879543238048,0.128108642146878,0.236057586167485,5.29925246240458e-11
"Tilletia controversa",0.882637598140227,0.733221023451872,1.03657199383617,8.97615071130204e-32
"Tilletia walkeri",-0.416818707306516,-0.524687331254015,-0.308130141789001,4.80322140084855e-14
"Tilletia indica",-0.256658308625452,-0.335813481033817,-0.176785302035683,2.25463972413321e-10
"Tilletia caries",0.18049224884953,0.0526416648582556,0.32078857795151,0.00415353560106122
"Violaceomyces palustris",0.0205518887501423,-0.0400364052607854,0.0811169800029646,0.504835664132402
"Testicularia cyperi",0.675559000833267,0.613465996024478,0.738195644353561,3.66536571471506e-95
"Pseudozyma hubeiensis",0.453091466185049,0.388260353721286,0.518025256294926,5.07633013271177e-42
"Kalmanozyma brasiliensis",0.312136971012419,0.249553433320891,0.375199951409126,6.69580842247054e-23
"Moesziomyces aphidis",0.381608666221481,0.25985269601924,0.499657472825066,6.90609661488593e-10
"Moesziomyces antarcticus",0.901680265287596,0.797966640327178,1.007014293861,1.09843007037993e-62
"Ustilago hordei",0.0112625332170205,-0.0642756814569076,0.0864165059127779,0.76812904158161
"Ustilago bromivora",0.601543467472577,0.491492958667623,0.711356503473412,2.77507898634857e-28
"Ustilago maydis",0.510062787525948,0.456768583883184,0.563598421221862,1.78300272307639e-72
"Anthracocystis flocculosa",0.65670483222328,0.596678531439437,0.717173071756111,8.46481021604588e-98
"Sporisorium graminicola",0.000330187434690433,-0.0594522394983412,0.0607218650779236,0.990744730496241
"Sporisorium reilianum",0.711776537874779,0.656680591875221,0.766847342572331,2.6001939686014e-121
"Dacryopinax primogenitus",0.29624517429989,0.239266720648165,0.353129027889882,3.58631579803001e-24
"Calocera viscosa",0.697167622145386,0.641378233495216,0.752821139387491,3.22712576761012e-124
"Calocera cornea",0.119854250267675,0.0750125952301995,0.164396369504717,1.68131974032881e-07
"Xanthophyllomyces dendrorhous",-0.032987387745669,-0.0846305253251657,0.0191739776661884,0.214199176130629
"Trichosporon asahii",0.708788395327856,0.644194822386954,0.773230438924082,1.44754016732184e-89
"Naematelia encephala",0.202890847700933,0.12096413149915,0.28542070435552,1.22266088124838e-06
