"","Median","low-CI","high-CI","p-value"
"Catenaria anguillulae",-0.591991445093591,-0.726705135548102,-0.460852313833264,8.03923796339994e-19
"Allomyces macrogynus",-0.508789986072741,-0.605446916797708,-0.413263150521687,1.47146677872237e-24
"Paramicrosporidium saccamoebae",-0.207478436980426,-0.3876332000813,-0.0333611933747505,0.020063338322382
"Rozella allomycis",-1.48888738803936,-1.63663139176837,-1.34538312261662,4.39286877351669e-88
"Basidiobolus meristosporus",-0.828510308123275,-0.91762596058085,-0.739012313127435,1.75743988805124e-67
"Conidiobolus coronatus",-1.45542143955186,-1.56312416232158,-1.34699125358159,4.44129877935442e-108
"Gonapodya prolifera",-0.987829683679648,-1.09945578813671,-0.878234132854112,8.95271486590778e-64
"Spizellomyces punctatus",-1.76471084258978,-1.94689633588439,-1.59072536488666,2.33949730752314e-87
"Batrachochytrium salamandrivorans",-0.628440542577807,-0.738012855108087,-0.522297164787279,1.97830816295272e-32
"Batrachochytrium dendrobatidis",-2.30961236939669,-2.64013352574577,-1.87747761562184,7.06353825936775e-23
"Rhizoclosmatium globosum",-0.721539606466107,-0.809772226805135,-0.632629186747635,3.08780457665246e-47
"Anaeromyces robustus",-0.540418463193403,-0.641807936071481,-0.440193340300244,2.80031673744804e-25
"Piromyces sp. E2",-1.05318529534797,-1.15331934030726,-0.955433653095524,8.79423736593559e-86
"Piromyces finnis",-0.236512390946032,-0.350622202563888,-0.123794988421101,3.70570628629015e-05
"Neocallimastix californiae",-0.575111225062133,-0.681864386749106,-0.469318056175646,6.99293005366891e-26
"Mortierella elongata",-0.947299106753714,-1.0457543243247,-0.848157405954704,1.00457343324143e-62
"Mortierella verticillata",-0.0624192789662008,-0.147037929881083,0.0238386726593475,0.152635482510975
"Rhizophagus irregularis",-1.49761846652367,-1.67667178238926,-1.33402806501482,1.76136873956334e-79
"Rhizophagus clarus",-0.996127944837437,-1.08789789729329,-0.906357717887602,4.70886109889062e-92
"Bifiguratus adelaidae",-0.973619813079366,-1.14727202536141,-0.805298710749282,4.10653521465157e-31
"Syncephalastrum racemosum",-0.806343024937115,-0.90860892096357,-0.701859602138356,2.71456204629031e-47
"Lichtheimia corymbifera",-0.349249313146133,-0.461656039383971,-0.236974146422386,1.56297088518876e-09
"Lichtheimia ramosa",-1.25925230426028,-1.4034561459337,-1.12118671198687,6.35853303338924e-76
"Phycomyces blakesleeanus",-0.644976299884712,-0.749432185208224,-0.541334583030235,2.19570530201073e-32
"Hesseltinella vesiculosa",-0.596359712953265,-0.714049404300926,-0.478703776063456,1.40166784065047e-21
"Absidia glauca",-0.599185759560172,-0.730482011549841,-0.474109902457028,3.71055390929327e-23
"Absidia repens",-0.767035562185223,-0.879603566741106,-0.657032479101163,1.30541498929816e-44
"Choanephora cucurbitarum",-1.14272432492257,-1.25298547315256,-1.03500931629285,1.51792895527945e-88
"Mucor ambiguus",-0.772745295746533,-0.892844681241902,-0.65489537910585,6.14202372224788e-38
"Mucor circinelloides",-0.985886027145236,-1.0745420876538,-0.898063707556511,1.97373858045662e-93
"Rhizopus microsporus",-0.533144549756502,-0.903878227352071,-0.226055213367463,0.000970863319907118
"Rhizopus delemar",-0.836002622798561,-0.938605263368141,-0.735528883000323,3.228346412974e-57
"Trachipleistophora hominis",-0.330864792261061,-0.581560149753026,-0.0939284304015635,0.00594424273037432
"Vavraia culicis",-3.7719645259081,-4.02959693666952,-3.50439806571947,1.39630626562809e-80
"Anncaliia algerae",-0.663649377084451,-0.765057164897687,-0.559831542675418,5.59168052472759e-34
"Amphiamblys sp. WSBS2006",-2.52449175602729,-2.83087387413776,-2.20157470975721,3.39401223771678e-58
"Ordospora colligata",-1.25521797988321,-1.63255763764289,-0.94500164635934,6.46600363662219e-20
"Pseudoloma neurophilia",-1.28858565932716,-1.42333715856396,-1.15986306655017,3.04010129849649e-86
"Nematocida parisii",-5.19279123574311,-5.58624390632698,-4.95630378068612,1.49621988861146e-23
"Nematocida displodere",-1.18457232222831,-1.71401564043455,-0.731048604827914,5.76105692826273e-12
"Nematocida sp. 1",-1.5962457117424,-2.00329307504159,-1.21934247296075,3.07941367817937e-21
"Nematocida sp. ERTm5",-1.6669615635755,-2.10549369418943,-1.25766158815889,1.87698684179727e-19
"Edhazardia aedis",-1.18469584555717,-1.29598929074654,-1.0754881182712,2.13836831461086e-93
"Spraguea lophii",0.060315466753968,-0.150929287410821,0.268943847144335,0.577236836349642
"Encephalitozoon intestinalis",-4.38091557214926,-5.68181461985681,-3.17885327404354,2.75840488970233e-13
"Encephalitozoon cuniculi",-5.22406644002104,-5.37856925055162,-5.08905859397901,1.57537668062242e-41
"Encephalitozoon hellem",-5.77710028325289,-5.99907684746135,-5.51152581022867,6.8595538207836e-83
"Encephalitozoon romaleae",-2.81390905457139,-3.2681852139079,-2.32783041696889,5.6281236199566e-18
"Vittaforma corneae",-0.350352495787527,-0.841349301694553,0.0109370618460842,0.0596794653190431
"Nosema apis",-3.45825147114209,-3.75556935246219,-3.12410066904243,2.42256492476715e-117
"Nosema ceranae",-2.16216653797991,-2.40332449157053,-1.93052303034068,2.66080455301949e-76
"Nosema bombycis",-1.24652510440678,-1.46330669308909,-1.04022664594023,2.72223145348814e-37
"Enterospora canceri",-2.57102005774017,-2.97356822692096,-2.15960061117215,2.75584592605764e-52
"Hepatospora eriocheir",-1.25548813204223,-1.42028813482124,-1.0919865803065,1.95327980451294e-45
"Enterocytozoon hepatopenaei",-3.16231110660543,-3.42961904406309,-2.86562380644429,3.73772611120717e-80
"Enterocytozoon bieneusi",-0.783109600120441,-0.931933062717857,-0.637308160582566,5.63671820530473e-27
"Wallemia mellicola",-1.4325874139376,-1.62046622533253,-1.24884079158823,1.75611786386699e-51
"Wallemia ichthyophaga",-0.831606726773797,-0.988019116064788,-0.676282789179416,9.62776397338845e-24
"Mixia osmundae",-0.527957339126199,-0.759338329848109,-0.320282284034182,4.13390507243699e-08
"Microbotryum intermedium",-0.576075927214349,-0.695003470106302,-0.455461521992282,4.58439109986251e-21
"Leucosporidium creatinivorum",-0.742790644409008,-0.865031361362722,-0.621994284167265,1.04453704096278e-31
"Rhodotorula taiwanensis",-0.608016298698328,-0.781098859967565,-0.442154350120799,3.48184393214762e-13
"Rhodotorula graminis",-0.534996085273238,-0.645151646422934,-0.424382294614993,3.01998734266167e-21
"Rhodotorula toruloides",-1.48044976761824,-1.60775892698314,-1.35406179508202,8.60316906621119e-89
"Rhodotorula sp. JG-1b",-0.909975825044175,-1.04992640029442,-0.769288474162115,9.90801156175409e-34
