"","Median","low-CI","high-CI","p-value"
"Catenaria anguillulae",0.311475450086771,0.290866322395341,0.332090115415926,3.91628822364715e-189
"Allomyces macrogynus",0.30477382532944,0.28905734036783,0.320473375608043,1.04308071409051e-303
"Paramicrosporidium saccamoebae",0.150012608497585,0.114193229822401,0.186008214106086,4.00023473112822e-16
"Rozella allomycis",0.014628834139853,-0.00579935557017364,0.0350348577128339,0.160233044426272
"Basidiobolus meristosporus",-0.0455825311651611,-0.0612166928401517,-0.0299414532702152,1.10238449221409e-08
"Conidiobolus coronatus",0.273268943546575,0.258207589557104,0.288336970269066,4.30054883876495e-273
"Gonapodya prolifera",0.348057783982591,0.331096817368867,0.365055802240253,0
"Spizellomyces punctatus",-0.0848054280900531,-0.109379954881603,-0.060240237433985,1.30793932877821e-11
"Batrachochytrium salamandrivorans",-0.0318698559482522,-0.0464263032028245,-0.0173205447286813,1.75353777535942e-05
"Batrachochytrium dendrobatidis",0.450658566852335,0.409781573703603,0.490793962559282,4.03676735391374e-113
"Rhizoclosmatium globosum",0.10269857738712,0.0892493083354144,0.116160168356831,2.34459093099795e-50
"Anaeromyces robustus",0.124367724159498,0.11252732487107,0.136182020215676,1.22168559258125e-93
"Piromyces sp. E2",-0.152691609629063,-0.165200338705341,-0.140173606813683,4.17043706445791e-125
"Piromyces finnis",0.157797855928969,0.145676563402416,0.169921941409417,7.39295012736031e-143
"Neocallimastix californiae",0.0228268986078084,0.0124465360483689,0.0332195801346217,1.68342344103927e-05
"Mortierella elongata",0.220897632450276,0.206376383934087,0.235409216088262,3.29362590189219e-193
"Mortierella verticillata",0.0540465372056986,0.0388594691173864,0.0692353191819978,3.02703419513682e-12
"Rhizophagus irregularis",-0.308047103944388,-0.318288947804383,-0.297787309799156,0
"Rhizophagus clarus",0.0784997847156878,0.0692931993733319,0.0876925620158178,1.41764495512537e-62
"Bifiguratus adelaidae",0.236043831844392,0.211051405785844,0.261034653258393,9.57651866577639e-77
"Syncephalastrum racemosum",0.166960564891505,0.145297887705616,0.188624908069116,4.18242484480701e-51
"Lichtheimia corymbifera",0.424193555954326,0.4037423943023,0.444678023223573,0
"Lichtheimia ramosa",-0.0228798394705927,-0.0356681636170957,-0.0101013972449755,0.000447406578676418
"Phycomyces blakesleeanus",0.0293611603257978,0.0161245941788349,0.0426325720625866,1.39545796108323e-05
"Hesseltinella vesiculosa",0.150080056978231,0.129609621806691,0.170602083636323,1.07882523628814e-46
"Absidia glauca",0.0041612684610092,-0.0112350938362509,0.0195439447237967,0.596807407480934
"Absidia repens",0.160578116154671,0.147725027492348,0.173420976654458,8.19705376653438e-131
"Choanephora cucurbitarum",0.156742015073022,0.143894057906703,0.169608945088207,7.21973248253861e-126
"Mucor ambiguus",0.141133629461318,0.126110619742742,0.156184726431098,1.79149602280241e-75
"Mucor circinelloides",0.117976775223861,0.105879330284021,0.130115170652537,6.44537981674876e-81
"Rhizopus microsporus",0.0552597809350907,0.0224331684887401,0.0972582007487383,0.000542025829068959
