"","Cohort","Fungi","observed value","low CI","high CI"
"Aspergillus rambellii","2014_ZellerG","Aspergillus rambellii",1.17294570466523,1.0855392032942,1.26021942224191
"Tilletia controversa","2014_ZellerG","Tilletia controversa",0.55259471721111,0.417101285475278,0.689674703900417
"Thielaviopsis punctulata","2014_ZellerG","Thielaviopsis punctulata",0.350400168800446,0.310860743864432,0.389713474796287
"Aspergillus kawachii","2014_ZellerG","Aspergillus kawachii",-1.30489416729027,-1.52962512787711,-1.087884867926
"Coccidioides immitis","2014_ZellerG","Coccidioides immitis",-1.02926842194896,-1.15993900702283,-0.910899040862466
"Encephalitozoon hellem","2014_ZellerG","Encephalitozoon hellem",-1.02063872263281,-1.1996825520277,-0.842393260411702
"Edhazardia aedis","2014_ZellerG","Edhazardia aedis",-0.994293022264333,-1.04146932088477,-0.94723846605206
"Rhizophagus irregularis","2014_ZellerG","Rhizophagus irregularis",-0.968071124529922,-1.0163864828442,-0.920613862156863
"Debaryomyces hansenii","2014_ZellerG","Debaryomyces hansenii",-0.891692121609705,-0.957566815603557,-0.826024785092775
"Hyphopichia burtonii","2014_ZellerG","Hyphopichia burtonii",-0.88688446783073,-0.945857809140358,-0.828488064719708
"Torulaspora delbrueckii","2014_ZellerG","Torulaspora delbrueckii",-0.848213523437671,-0.91145925560009,-0.785265433957247
"Piromyces sp. E2","2014_ZellerG","Piromyces sp. E2",-0.823236441194805,-0.873766492727613,-0.773097604993717
"Komagataella pastoris","2014_ZellerG","Komagataella pastoris",-0.674411057189238,-0.742409262712423,-0.607342450847554
"Hanseniaspora opuntiae","2014_ZellerG","Hanseniaspora opuntiae",-0.666445746310332,-0.74857226205643,-0.584905281799572
"Eremothecium sinecaudum","2014_ZellerG","Eremothecium sinecaudum",-0.650038160751616,-0.721106365699059,-0.579129668977323
"Kwoniella pini","2014_ZellerG","Kwoniella pini",-0.609535204081564,-0.661865829983236,-0.557542638568228
"Leucoagaricus sp. SymC.cos","2014_ZellerG","Leucoagaricus sp. SymC.cos",-0.58352130305466,-0.624429862154656,-0.543063720749793
"Brettanomyces bruxellensis","2014_ZellerG","Brettanomyces bruxellensis",-0.545960453816184,-0.607253381405906,-0.48565466963523
"Trichoderma atroviride","2014_ZellerG","Trichoderma atroviride",-0.450759276768001,-0.496423155582744,-0.405328708943905
"Rutstroemia sp. NJR-2017a WRK4","2014_ZellerG","Rutstroemia sp. NJR-2017a WRK4",-0.434913660584028,-0.483894702495019,-0.385879310716745
"Batrachochytrium salamandrivorans","2014_ZellerG","Batrachochytrium salamandrivorans",-0.419863840450005,-0.461845134340544,-0.378240342742461
"Torulaspora globosa","2014_ZellerG","Torulaspora globosa",-0.418275492766201,-0.489121154448564,-0.34786180267651
"Emmonsia sp. CAC-2015a","2014_ZellerG","Emmonsia sp. CAC-2015a",-0.389183437804294,-0.431280202729327,-0.347309064424051
"Pseudocercospora fijiensis","2014_ZellerG","Pseudocercospora fijiensis",-0.364238618579593,-0.402972118263726,-0.325483339200136
"Mucor circinelloides","2014_ZellerG","Mucor circinelloides",-0.359408737979342,-0.392612900560067,-0.326561535462132
"Tuber magnatum","2014_ZellerG","Tuber magnatum",-0.347983188699189,-0.385127379321655,-0.311070821149176
"Rutstroemia sp. NJR-2017a BVV2","2014_ZellerG","Rutstroemia sp. NJR-2017a BVV2",-0.140662834528798,-0.182064908877584,-0.0994229199283319
"Colletotrichum fioriniae","2014_ZellerG","Colletotrichum fioriniae",-0.00325524598052202,-0.0497927976506289,0.0430639599835312
"Tilletia controversa1","2015_FengQ","Tilletia controversa",4.17561231559976,3.55937186098701,4.54504678148545
"Aspergillus rambellii1","2015_FengQ","Aspergillus rambellii",0.66659275060521,0.565044782024205,0.767658388545516
"Aspergillus kawachii1","2015_FengQ","Aspergillus kawachii",0.288129521401247,0.149719089173761,0.563099078255197
"Hyphopichia burtonii1","2015_FengQ","Hyphopichia burtonii",0.221655570933327,0.143453999421236,0.301019217673541
"Thielaviopsis punctulata1","2015_FengQ","Thielaviopsis punctulata",0.212112954122105,0.140643889087719,0.283264492428008
"Encephalitozoon hellem1","2015_FengQ","Encephalitozoon hellem",-2.78161614228258,-3.17815159238452,-1.69013788211985
"Rutstroemia sp. NJR-2017a WRK41","2015_FengQ","Rutstroemia sp. NJR-2017a WRK4",-0.920529916969554,-1.01812729736576,-0.824363139568669
"Torulaspora delbrueckii1","2015_FengQ","Torulaspora delbrueckii",-0.878452089456436,-0.971202040171003,-0.786141901412265
"Komagataella pastoris1","2015_FengQ","Komagataella pastoris",-0.672206846539751,-0.766544176770355,-0.578730375137469
"Brettanomyces bruxellensis1","2015_FengQ","Brettanomyces bruxellensis",-0.637271716991128,-0.725609713799434,-0.549570200291625
