"","2014_ZellerG-Median","2014_ZellerG-low-CI","2014_ZellerG-high-CI","2014_ZellerG-p-value","2015_FengQ-Median","2015_FengQ-low-CI","2015_FengQ-high-CI","2015_FengQ-p-value","2016_VogtmannE-Median","2016_VogtmannE-low-CI","2016_VogtmannE-high-CI","2016_VogtmannE-p-value","2019_Thom-Median","2019_Thom-low-CI","2019_Thom-high-CI","2019_Thom-p-value","2019_WirbelJ-Median","2019_WirbelJ-low-CI","2019_WirbelJ-high-CI","2019_WirbelJ-p-value","2019_Yachida-Median","2019_Yachida-low-CI","2019_Yachida-high-CI","2019_Yachida-p-value","2021_JunY_1-Median","2021_JunY_1-low-CI","2021_JunY_1-high-CI","2021_JunY_1-p-value","2021_JunY_2-Median","2021_JunY_2-low-CI","2021_JunY_2-high-CI","2021_JunY_2-p-value"
"Albugo candida",-0.570355879338811,-0.626419910133701,-0.515066450004805,3.93909283170651e-88,-0.275749473012911,-0.352415974674118,-0.199920807577939,2.24817796934948e-12,0.0338553207414606,-0.0500723962140626,0.117176028809104,0.438762607934298,0.805740685389339,0.611944217277855,0.998631111084342,9.83550609509995e-16,-1.19945637420463,-1.49413064843201,-0.928627413301105,3.3474530420324e-20,-0.0516546080865831,-0.0698428656926785,-0.0335182339167842,2.44358696482423e-08,-0.837355681258278,-0.914785086971346,-0.760102196639103,3.72499821926069e-87,-0.547318167860817,-0.581531670519775,-0.513230480025316,1.27928153241577e-202
"Albugo laibachii",-0.0974592719431068,-0.146613465055862,-0.0483379411094193,0.000101054906787081,-0.245261074908065,-0.311495806603633,-0.179768699490844,1.40879896684178e-12,0.0480321503379659,-0.0405665083542171,0.135877757083657,0.285924396652023,0.272529018572491,0.151400692832531,0.399975744040228,1.31914900751381e-05,-0.531078104960112,-0.708011844300821,-0.355455981528887,2.80972104085658e-09,0.117183247800948,0.0949124333944456,0.139420975340219,1.10272858503155e-24,-0.0230203893472971,-0.0497706689555887,0.00334224808589891,0.0870487313756405,-0.427826901604996,-0.450976900394336,-0.404617644900552,8.86310798181055e-258
"Aphanomyces invadans",0.205828335109842,0.154742659732313,0.256707292890333,1.77839218798863e-15,0.236689211786796,0.160547539155786,0.313408029389358,6.8514921519479e-10,-0.24664507483642,-0.325905192531015,-0.165629385838948,4.44970117169335e-09,0.277191006559651,0.164138555669988,0.387297705006558,1.94976351258859e-06,-0.441195661208828,-0.569754632241677,-0.315715660376794,1.97947027238088e-11,0.154175390061699,0.133543862378935,0.174771884292261,3.76929857278799e-48,-0.559331420271759,-0.636159932748311,-0.483226679463177,5.5757175881882e-46,-0.0571693058877577,-0.0887490420314799,-0.0255752709295366,0.000395845392246377
"Aphanomyces astaci",0.210713612988722,0.170272670698879,0.250766998332783,1.48288732777208e-23,-0.349352586802515,-0.414703129731884,-0.282475393456162,3.70037883722373e-22,0.0425678076673365,-0.0237891132482455,0.109423820260644,0.209641876121072,-0.0821458512451239,-0.178464177062272,0.018865753559165,0.115686648622746,-0.500274872597522,-0.603318638578931,-0.394567714823171,9.85752661747809e-19,0.0433595327640593,0.0270998264136435,0.0597141362877397,1.79386219365433e-07,-0.335159169542924,-0.402096768431242,-0.26797937771828,5.17838124405765e-23,-0.113981585714526,-0.140211337483248,-0.0877400181729154,2.19537733715201e-17
"Saprolegnia diclina",0.245177024110079,0.192331812584255,0.297068614940328,3.8525339759782e-19,0.0465396406680261,-0.033022580530581,0.126325590953639,0.2535505663894,-0.194686882996776,-0.273212946275836,-0.117084427792389,9.85107316683072e-07,0.513721491817253,0.365983252447141,0.661655188084983,6.10774838329344e-11,-0.266664820920242,-0.392024513714785,-0.138320488564221,4.70916637077842e-05,0.184907901117105,0.163564217357077,0.206213882855766,4.51727405730248e-64,-0.4591455036945,-0.536259607298277,-0.382545571837678,2.8037794703582e-31,0.197569081343911,0.166905471195203,0.228164127489773,2.31104885732959e-36
"Saprolegnia parasitica",0.182834638926046,0.122527223236493,0.243397870845548,2.39589833331257e-09,-0.534969593423879,-0.620750557364002,-0.449958514900668,1.47044575171378e-34,-0.438043142526126,-0.514760974631402,-0.360895973373153,1.0190864348014e-26,-0.0742272807506646,-0.184278405888371,0.0356562824765795,0.18977406810799,-0.447482583144652,-0.593718117379641,-0.299626915118115,5.39331304000606e-09,0.309796909959888,0.29096705703868,0.328633538441123,3.48092918897291e-222,-0.330376154741466,-0.405066295253448,-0.255442801286748,1.09446154330389e-17,-0.252701746902822,-0.283375476236321,-0.222039450012008,9.51580025291614e-58
"Phytopythium vexans",0.448769611724022,0.402928104714426,0.494582835433155,2.20141823232348e-76,-0.0912684622434951,-0.166703730476094,-0.0177008268949934,0.0142518505376297,0.0994098840542895,0.01973747342381,0.178778732330931,0.0143455377959213,0.316215049096502,0.214366244775653,0.419803947164271,1.27731993160809e-09,-0.264675575070255,-0.412353537627632,-0.116772278160592,0.00046397661785756,0.340774416972429,0.319281802123771,0.362250509894743,1.20264030092877e-207,0.00652820755888451,-0.0754654714017739,0.0872744985566449,0.876675287692192,0.251911691166005,0.218969225254412,0.284781700422302,1.44631491588171e-49
"Globisporangium ultimum",0.159151496565555,0.122979714636447,0.19508283384773,2.81404519530172e-17,-0.156511246632654,-0.203382346224429,-0.109228101766014,1.95989114173919e-10,-0.314788880816245,-0.378300351347273,-0.25147309042889,4.19030287587535e-21,0.472034340755187,0.368022653249926,0.574192224517942,8.23839040684275e-19,-0.647152914090097,-0.780217201794632,-0.51612700435722,1.44081674311645e-20,0.248722632371094,0.23490191970094,0.262600812153253,2.47411038615372e-267,-0.340752731548241,-0.402551861714311,-0.279252295722834,9.90372801113488e-27,-0.0258152973902072,-0.0528214964877198,0.00113967548118179,0.0605641680385393
"Pythium irregulare",0.309067988658494,0.263150623595737,0.355416489020198,3.3073267237574e-38,0.0748057184583128,0.00757974186913475,0.141444430792346,0.028990183063648,0.0594056222372021,0.00197075475774981,0.116951759499703,0.0426819717663518,0.41818477432398,0.274635631169158,0.565848130878515,8.25720151228043e-09,-0.446578500903213,-0.539962435208187,-0.35118813168162,9.04649740241138e-18,0.113653688138182,0.0937009710265465,0.133650049131605,9.74852539741738e-29,-0.392247709561657,-0.469629165650674,-0.316126962841001,4.44147232213453e-23,-0.124061460173086,-0.15640751013045,-0.0917576281089536,5.21129101967817e-14
"Pythium arrhenomanes",0.379858349928478,0.331581507176763,0.42848096963187,1.08396138021768e-50,-0.297434832427568,-0.363623195353849,-0.232097803877507,5.18609029484177e-18,-0.382350584624738,-0.455963984521184,-0.309003960562779,2.59746714630989e-23,0.372361410525921,0.223827340775343,0.526299934722342,5.51423727683335e-07,-0.0811796515413759,-0.200351710962737,0.0364838283074938,0.171831089110101,0.2507915279326,0.231610725248395,0.270016553785843,2.3018074031087e-141,-0.379370618642051,-0.453751830460964,-0.305376853535005,6.3967947878439e-24,0.146388197495751,0.11636506573669,0.176564630235003,1.98232281047248e-21
