"","all-Median","all-low-CI","all-high-CI","all-p-value"
"Albugo candida",-0.288008711579103,-0.294811229834597,-0.2812218931177,0
"Aphanomyces astaci",-0.046619448445381,-0.0519298607049566,-0.0413070992756592,2.98351450496846e-66
"Saprolegnia diclina",0.131246370846101,0.124696163566641,0.137796649929682,0
"Saprolegnia parasitica",-0.0393705781229781,-0.0457864882967412,-0.0329565299203612,2.56522978284498e-33
"Phytopythium vexans",0.250026490075255,0.243513356854253,0.256548995993412,0
"Globisporangium ultimum",0.0665273422791028,0.061630572908628,0.0714254401246421,1.56130342730592e-155
"Pythium irregulare",0.0351896844572821,0.0290244370459093,0.0413551878640821,4.94597854762251e-29
"Pythium arrhenomanes",0.0984929240959333,0.0923736679711428,0.104615839035055,2.31272638825798e-217
"Pythium iwayamai",0.0883573837806035,0.0821589997448236,0.0945541581266896,1.02950006636457e-171
"Pythium aphanidermatum",-0.206652295093901,-0.213397871821368,-0.199907117512035,0
"Hyaloperonospora arabidopsidis",-0.103921585932119,-0.109509783217456,-0.0983363681531601,2.00727888618395e-289
"Phytophthora parasitica",0.0719711661709763,0.0667475376475575,0.0771933536705107,6.87586282329034e-160
"Phytophthora palmivora",-0.00456190934295427,-0.00937492327551731,0.000238704960535359,0.0619250911362771
"Phytophthora capsici",0.308711802381827,0.302604786107005,0.314820489774038,0
"Phytophthora ramorum",-0.157711089813459,-0.16488288382628,-0.150538004113704,0
"Phytophthora cinnamomi",0.0454058278946121,0.0394533323078739,0.051401785145069,4.20295640918312e-50
"Phytophthora infestans",-0.14085594043575,-0.146510517107933,-0.135202550886655,0
"Phytophthora sojae",0.119732055221765,0.113782764850222,0.125688227516227,0
"Allomyces macrogynus",0.105038757620323,0.0988142027462989,0.111258695468068,5.54765288638862e-239
"Rozella allomycis",-0.227324689641534,-0.235336213597832,-0.219315255774271,0
"Basidiobolus meristosporus",-0.113787990212548,-0.11988152858056,-0.107695362112751,4.71017038996873e-293
"Conidiobolus coronatus",0.0704081629332153,0.0636585506647905,0.0771578906174719,1.12267383849108e-92
"Gonapodya prolifera",-0.0394580615867363,-0.0456111319906198,-0.0333097138271317,2.63581153205517e-36
"Spizellomyces punctatus",-0.27851317803592,-0.287276055193534,-0.269726818448049,0
"Batrachochytrium salamandrivorans",-0.19942007418271,-0.205574332725561,-0.193262425792629,0
"Batrachochytrium dendrobatidis",0.0285736123058498,0.013081319964101,0.0440531644867888,0.000297003467476758
"Rhizoclosmatium globosum",-0.167482678691684,-0.172964386286643,-0.162001082133272,0
"Anaeromyces robustus",-0.114359450488398,-0.11974043063761,-0.108982723271968,0
"Piromyces sp. E2",-0.207813435112582,-0.213792215987466,-0.20184265468174,0
"Piromyces finnis",0.00545781230252609,2.03850020590534e-06,0.0109015704490596,0.0494420930834886
"Neocallimastix californiae",-0.125198330101652,-0.130328899814963,-0.120071991362992,0
"Mortierella elongata",-0.0671611018830408,-0.0727292369218075,-0.0615994849870245,1.3938934411086e-123
"Mortierella verticillata",0.0787194094791708,0.073746241586305,0.0836948114410441,4.09145067086186e-211
"Rhizophagus irregularis",-0.344798552059498,-0.349779645838137,-0.339798886819077,0
"Rhizophagus clarus",-0.215906638803567,-0.220559717393592,-0.211270167108093,0
"Syncephalastrum racemosum",-0.192368977392928,-0.199717371291071,-0.185021764311176,0
"Lichtheimia corymbifera",0.0528492526421008,0.0463163161408959,0.0594056095092152,2.08566176472655e-56
"Lichtheimia ramosa",-0.140839055193971,-0.146547448108381,-0.135129282418458,0
"Phycomyces blakesleeanus",-0.135937957363428,-0.141450550273895,-0.130447778929731,0
"Hesseltinella vesiculosa",0.0191725284734833,0.0119855355500094,0.0263779478060601,1.85778037346817e-07
"Absidia glauca",-0.131369925697505,-0.13755666079831,-0.125182111072417,0
"Absidia repens",-0.0289782009558683,-0.0342725474672918,-0.0236911844510431,5.79414656034639e-27
"Choanephora cucurbitarum",-0.223185138031948,-0.22894510895898,-0.217426962637414,0
"Mucor ambiguus",-0.112273115428795,-0.118487998544131,-0.106061029067809,3.01047354880663e-273
"Mucor circinelloides",-0.175223094614147,-0.180239848033547,-0.170207112910336,0
"Rhizopus delemar",-0.181527487095972,-0.187587211852056,-0.175467154995601,0
"Anncaliia algerae",-0.00247923553020985,-0.00834728535095074,0.00336762992283792,0.405755525097035
"Edhazardia aedis",-0.214736362738397,-0.219963932505954,-0.209519806601858,0
"Spraguea lophii",-0.131148620579969,-0.140133140651087,-0.122212146167955,8.2006250792199e-181
"Encephalitozoon cuniculi",-0.0246692482091962,-0.0265096769875456,-0.0228350148219325,2.78423428977417e-156
"Encephalitozoon romaleae",-0.298248848214125,-0.319308944195591,-0.277265993368903,5.91021805913617e-182
"Enterocytozoon bieneusi",-0.1250800236549,-0.131681186042376,-0.118482627112225,1.92399651267305e-301
"Leucosporidium creatinivorum",0.0107966965586661,0.00277719379199406,0.0188182326296868,0.00832326382398994
"Rhodotorula graminis",0.179159481373995,0.171921716356644,0.186380258532945,0
"Rhodotorula toruloides",0.152754471115142,0.14576650238028,0.159740897973045,0
"Puccinia coronata",-0.0610847596931642,-0.0656758982953807,-0.0564876870190027,2.07807006771942e-149
"Puccinia striiformis",0.060911666588921,0.055832427884408,0.0660100684961649,1.33875117663484e-121
"Puccinia graminis",-0.0714552819716093,-0.0765974734614794,-0.066345288392713,1.48905614630797e-164
"Puccinia sorghi",-0.111469394183223,-0.11731089888525,-0.105620338319105,6.9146354527097e-305
"Malassezia restricta",-0.341182509695824,-0.355149007315229,-0.32727598711165,0
"Tilletia walkeri",-0.160894870048107,-0.17569847954437,-0.14612647970939,1.7544175508807e-100
"Moesziomyces antarcticus",0.264372697833571,0.252573620040204,0.276200907773257,0
"Ustilago maydis",0.182492022213183,0.174287288502928,0.19070144265779,0
"Anthracocystis flocculosa",0.157142070715384,0.149232971868371,0.165054370177759,0
"Sporisorium graminicola",0.0779995020057149,0.069273421665392,0.0867007751171617,7.3236970008025e-69
"Sporisorium reilianum",0.262645257177906,0.25502036636552,0.27025590259412,0
"Calocera cornea",0.186566225221077,0.179674283047956,0.193451097511186,0
"Trichosporon asahii",0.0886569391545785,0.0803339252179495,0.0969836873843483,2.68117653671393e-96
"Kwoniella heveanensis",-0.0601044157714192,-0.072654039024283,-0.0475606685611009,5.6352704579411e-21
"Kwoniella bestiolae",-0.0824747730752145,-0.0907154197759855,-0.0742449484521644,1.23443243430774e-85
"Cryptococcus neoformans",0.106285687364537,0.096788813284254,0.115787932030701,1.01410466348667e-106
"Sphaerobolus stellatus",-0.0384127404758422,-0.0424311755894839,-0.0343926383206417,1.81134504699473e-78
"Punctularia strigosozonata",-0.127153863076921,-0.134488285959531,-0.119816533098104,6.88839115848755e-252
"Exidia glandulosa",0.0315280668252578,0.0256175016744033,0.0374407407367167,1.56223923508114e-25
"Schizopora paradoxa",-0.0701292486644471,-0.0767130301189161,-0.0635476836728731,1.09572636846481e-96
"Pyrrhoderma noxium",-0.159394315143401,-0.166421562593822,-0.152372181461407,0
"Botryobasidium botryosum",-0.0570380434250092,-0.0634539894631458,-0.0506225312956095,5.59212412231364e-68
"Rhizoctonia solani",-0.130729702273728,-0.134819886893177,-0.126585820047996,0
"Peniophora sp. CONT",0.122342215568018,0.116107084558838,0.128560350125866,0
"Phlebia centrifuga",-0.107674085557327,-0.115205749567182,-0.100143234647744,3.31134445345317e-172
"Gelatoporia subvermispora",-0.00448258455319407,-0.0120194107021164,0.00305474425910693,0.243701741879634
"Postia placenta",-0.0830948091943481,-0.0924495152248525,-0.0737628618992495,2.35896575518228e-68
"Laetiporus sulphureus",-0.0299766063468358,-0.0354687588274313,-0.0244646694398018,1.70070165984428e-26
"Ganoderma sinense",-0.059433565780168,-0.0655472160536009,-0.0533202796329572,6.99221729581016e-81
"Dichomitus squalens",0.142593836117499,0.135998806093571,0.149185265943689,0
"Trametes versicolor",-0.00722746129853866,-0.0146395698500426,0.000174618633143369,0.0560164706776084
"Piloderma croceum",-0.0150487690173122,-0.0212623764571507,-0.00882953268661305,2.0771554464808e-06
"Fibularhizoctonia sp. CBS 109695",0.00177743057483657,-0.00383527446775462,0.00740567098101436,0.534217091626849
"Paxillus rubicundulus",0.0938012521580597,0.0877274842690852,0.0998769335143007,1.28201262735492e-199
"Pisolithus microcarpus",-0.00206708746877387,-0.00879292600179669,0.00463581690296936,0.545153015113885
"Coprinopsis cinerea",-0.00265693124646679,-0.00957064403428029,0.00423518894728444,0.44760747052347
"Moniliophthora perniciosa",0.577441197687066,0.56835404556082,0.586544221647907,0
"Moniliophthora roreri",-0.163595785280665,-0.169342678308387,-0.157845863935736,0
"Hypsizygus marmoreus",-0.0817391868708572,-0.0879885331611083,-0.0754879538199801,2.85553415599551e-144
"Termitomyces sp. J132",-0.0684155795451265,-0.0743384292766501,-0.0624933440754932,1.85851030669183e-113
"Gymnopus luxurians",-0.119074212637293,-0.124828799705998,-0.113351142883903,0
"Lentinula edodes",-0.00548852959742397,-0.0111603817313535,0.000188594351169386,0.0582589305641504
"Armillaria gallica",0.00533750711910602,-0.000408482635762127,0.0110811355452508,0.0688945985199303
"Hypholoma sublateritium",0.0520324377597527,0.0460821335419645,0.0580076802782996,1.70345545053664e-65
