"","p_values","adj_pvalue"
"Albugo candida",0.000224568431352748,0.00391013268708314
"Aphanomyces astaci",0.413482732617116,0.588417734878203
"Saprolegnia diclina",0.0352448024054165,0.127225140390284
"Saprolegnia parasitica",0.578914624521587,0.716982129114601
"Phytopythium vexans",0.000365456637288814,0.00529079723088959
"Globisporangium ultimum",0.181538666800233,0.368050995704583
"Pythium irregulare",0.521457291276743,0.671092861817026
"Pythium arrhenomanes",0.123554461243869,0.283504810296009
"Pythium iwayamai",0.265707784651962,0.462644142688122
"Pythium aphanidermatum",0.00756155217584667,0.0430426816163579
"Hyaloperonospora arabidopsidis",0.0899355362921561,0.229272865979587
"Phytophthora parasitica",0.160782973770305,0.335153241098664
"Phytophthora palmivora",0.866530953139115,0.927281923915268
"Phytophthora capsici",1.58455651373289e-06,7.81714546774895e-05
"Phytophthora ramorum",0.0765626749806588,0.213797658436557
"Phytophthora cinnamomi",0.347069591643594,0.53506562045054
"Phytophthora infestans",0.0367495792756568,0.127545068043955
"Phytophthora sojae",0.0790835011940381,0.215390174431236
"Allomyces macrogynus",0.0793159763952862,0.215390174431236
"Rozella allomycis",0.00870450188563942,0.0448385027960725
"Basidiobolus meristosporus",0.141595966187909,0.308179455820743
"Conidiobolus coronatus",0.285976335707708,0.480960200962964
"Gonapodya prolifera",0.606181025574051,0.735847434203878
"Spizellomyces punctatus",0.0035862264945195,0.0235894009417283
"Batrachochytrium salamandrivorans",0.00843606937394232,0.0448385027960725
"Batrachochytrium dendrobatidis",1,1
"Rhizoclosmatium globosum",0.00843606937394232,0.0448385027960725
"Anaeromyces robustus",0.0295195111289102,0.110604750558955
"Piromyces sp. E2",0.0018404454509862,0.0148143256811602
"Piromyces finnis",0.910039475653459,0.948491847864169
"Neocallimastix californiae",0.0268060765098794,0.103046735674341
"Mortierella elongata",0.251568971660232,0.448580816936317
"Mortierella verticillata",0.222041680748093,0.418626353512329
"Rhizophagus irregularis",7.24408529782186e-10,1.07212462407764e-07
"Rhizophagus clarus",8.76637033122081e-05,0.00185346115574383
"Syncephalastrum racemosum",0.0152650832659181,0.0695148407186425
"Lichtheimia corymbifera",0.815846397196133,0.901028257435871
"Lichtheimia ramosa",0.025779579068857,0.101743405391756
"Phycomyces blakesleeanus",0.0165803920259267,0.0729807212849119
"Hesseltinella vesiculosa",0.676227613959069,0.790073868646051
"Absidia glauca",0.049755454938656,0.158361447976797
"Absidia repens",0.775280192027339,0.86271780766952
"Choanephora cucurbitarum",0.00100170830690139,0.00898501996493364
"Mucor ambiguus",0.0850230135953419,0.226728036254245
"Mucor circinelloides",0.00185179071014503,0.0148143256811602
"Rhizopus delemar",0.00720672527752367,0.0418272682773923
"Anncaliia algerae",0.831546899078297,0.911621785656207
"Edhazardia aedis",0.000904681950983801,0.00836830804660016
"Spraguea lophii",0.183211168873848,0.368140804072479
"Encephalitozoon cuniculi",0.294452419367969,0.487606567671636
"Encephalitozoon romaleae",0.273276245007771,0.467759743318257
"Enterocytozoon bieneusi",0.0969293454448023,0.235172838128373
"Leucosporidium creatinivorum",0.973149365438398,0.979769429148864
"Rhodotorula graminis",0.0217969952284017,0.0896098692723183
"Rhodotorula toruloides",0.0831520238711826,0.223754536962455
"Puccinia coronata",0.201486413562738,0.38477405428755
"Puccinia striiformis",0.308716595679612,0.50208852923717
"Puccinia graminis",0.29487018788251,0.487606567671636
"Puccinia sorghi",0.134050338329251,0.298458715760075
"Malassezia restricta",0.0370570130127706,0.127545068043955
"Tilletia walkeri",0.23082954822454,0.42176263132385
"Moesziomyces antarcticus",0.0276429031884584,0.104901273638252
"Ustilago maydis",0.0424890927493313,0.139741905042245
"Anthracocystis flocculosa",0.0576772504784679,0.176004805583778
"Sporisorium graminicola",0.410834130546587,0.588417734878203
"Sporisorium reilianum",0.00234240233937344,0.0177782331398599
"Calocera cornea",0.00664541236624328,0.0398825213768934
"Trichosporon asahii",0.18407040203624,0.368140804072479
"Kwoniella heveanensis",0.871526272144507,0.927281923915268
"Kwoniella bestiolae",0.365622599042639,0.554996355469852
"Cryptococcus neoformans",0.470841385169944,0.63638835621143
"Sphaerobolus stellatus",0.594514724157306,0.729096000607968
"Punctularia strigosozonata",0.113040036972768,0.265554372570948
"Exidia glandulosa",0.500332940034685,0.658215778890075
"Schizopora paradoxa",0.353852616333263,0.54269624059402
"Pyrrhoderma noxium",0.0442039501975243,0.143784277565573
"Botryobasidium botryosum",0.443682897103931,0.612882228898074
"Rhizoctonia solani",0.00313771976347238,0.0215991872090191
"Peniophora sp. CONT",0.0415508697136335,0.139741905042245
"Phlebia centrifuga",0.169688850817594,0.347839556640463
"Gelatoporia subvermispora",0.871883279249519,0.927281923915268
"Postia placenta",0.551632368201171,0.691877885540452
"Laetiporus sulphureus",0.81883986908868,0.901028257435871
"Ganoderma sinense",0.40864538770608,0.588417734878203
"Dichomitus squalens",0.0557639659051991,0.173748777978305
"Trametes versicolor",0.894245098494234,0.93864024522799
"Piloderma croceum",0.846782374953118,0.921498466860746
"Fibularhizoctonia sp. CBS 109695",0.95743086597958,0.970546357294369
"Paxillus rubicundulus",0.092982255485965,0.233243623930895
"Pisolithus microcarpus",0.942991522706734,0.969657260200558
"Coprinopsis cinerea",0.724414060981994,0.815310121865666
"Moniliophthora perniciosa",7.38095959469447e-08,7.28254680009854e-06
"Moniliophthora roreri",0.013451505332471,0.0632007234668478
"Hypsizygus marmoreus",0.170394377408335,0.347839556640463
"Termitomyces sp. J132",0.375554281170519,0.564284605210526
"Gymnopus luxurians",0.0613528326519962,0.181604384649909
"Lentinula edodes",0.987702925161343,0.991051070670364
"Armillaria gallica",0.960862441627499,0.970700623623684
"Hypholoma sublateritium",0.655470675639984,0.775496810432618
"Galerina marginata",0.527512543611373,0.671462586003682
"Leucoagaricus sp. SymC.cos",0.000550647105516496,0.00651966172931531
"Protomyces lactucaedebilis",0.274966876139786,0.467759743318257
"Saitoella complicata",0.0167658413762635,0.0729807212849119
"Schizosaccharomyces pombe",0.000750292120752353,0.00755659342519381
"Pneumocystis murina",2.43542647934307e-05,0.00072088623788555
"Pneumocystis carinii",0.0123429363775472,0.060891819462566
"Yarrowia lipolytica",0.699078781679677,0.79990639933378
"Sugiyamaella lignohabitans",0.699918099417058,0.79990639933378
"Lipomyces starkeyi",0.000297125659953678,0.00462890501822573
"[Candida] intermedia",0.262315738766723,0.459440583875444
"Ascoidea rubescens",0.0454119198536242,0.146107916050791
"Cyberlindnera jadinii",0.445167835179345,0.612882228898074
"Cyberlindnera fabianii",0.00289764682779915,0.0204215109768702
"Hanseniaspora uvarum",0.188487507294867,0.371948681061872
"Hanseniaspora guilliermondii",0.386023385665379,0.573707362349313
"Hanseniaspora valbyensis",0.0133664702834771,0.0632007234668478
"[Candida] arabinofermentans",0.00058248752571527,0.00659433331853845
"Pichia kudriavzevii",0.000118280072058735,0.0023340600886257
"Scheffersomyces stipitis",0.325322020171884,0.514948224443196
"Debaryomyces hansenii",2.41105385342301e-05,0.00072088623788555
"Candida dubliniensis",0.874025867474189,0.927281923915268
"Candida maltosa",0.0189867265582921,0.0791559304402035
"Candida tropicalis",0.0885697726697265,0.229272865979587
"Candida albicans",0.315060965523204,0.505146368507284
"[Candida] glabrata",0.105224917746798,0.251182061718164
"Pachysolen tannophilus",0.194614889762158,0.378986890589466
"Naumovozyma castellii",0.134935495089961,0.298458715760075
"Naumovozyma dairenensis",0.000288909765098864,0.00462890501822573
"Zygosaccharomyces rouxii",0.771116434876505,0.861322508390361
"Vanderwaltozyma polyspora",0.468613233917793,0.636282189172784
"Lachancea thermotolerans",0.214456925633562,0.406918269150861
"Lachancea fermentati",0.187840894621575,0.371948681061872
"Kluyveromyces marxianus",0.8983693877455,0.939637239479392
"Kluyveromyces dobzhanskii",0.149367786583308,0.322721641085104
"Tetrapisispora phaffii",0.670684022740351,0.787787582266444
"Tetrapisispora blattae",0.515438005620653,0.667757466491273
"Saccharomyces eubayanus",0.0762240588233776,0.213797658436557
"Saccharomyces cerevisiae",0.017397222130132,0.0746315616017258
"Arthrobotrys oligospora",0.0574239898449394,0.176004805583778
"Dactylellina haptotyla",0.596085243740299,0.729096000607968
"Tuber borchii",0.0157581773356403,0.0706730377477201
"Tuber magnatum",0.000765870955256129,0.00755659342519381
"Coniosporium apollinis",0.321767069669794,0.512059422700317
"Diplodia seriata",0.355738440511156,0.542776177274754
"Macrophomina phaseolina",0.230036583018738,0.42176263132385
"Neofusicoccum parvum",0.584352762186345,0.720701740029826
"Cenococcum geophilum",0.13101653512656,0.296037361812686
"Clohesyomyces aquaticus",0.191205818945632,0.374814055681504
"Corynespora cassiicola",0.259145028096192,0.456588859026624
"Periconia macrospinosa",0.00281724695506269,0.0203391487487452
"Epicoccum nigrum",0.24113318539635,0.435215993154388
"Ascochyta rabiei",0.85459985274737,0.923217359172342
"Exserohilum turcicum",0.387640109695482,0.573707362349313
"Stemphylium lycopersici",0.0593690879165655,0.177507575992963
"Elsinoe australis",0.00166868692955046,0.014527392092557
"Aureobasidium namibiae",0.00537813237973658,0.0331651496750422
"Aureobasidium subglaciale",0.232509960453426,0.422226676651619
"Rachicladosporium antarcticum",0.434699593376841,0.608428941495593
"Hortaea werneckii",0.254675164166058,0.451400290976965
"Baudoinia panamericana",0.000612447988923827,0.00659433331853845
"Sphaerulina musiva",3.09843519745673e-07,1.83427363689438e-05
"Cercospora beticola",0.568878783047865,0.707513108328437
"Cercospora zeina",0.00827415755523367,0.0448385027960725
"Cercospora berteroae",0.781711955477113,0.866616999330433
"Zymoseptoria tritici",0.20124655655979,0.38477405428755
"Pseudocercospora eumusae",0.0035810248445769,0.0235894009417283
"Pseudocercospora musae",5.34900954260008e-05,0.00131942235384135
"Pseudocercospora fijiensis",0.00413062107055804,0.0260141241890464
"Phaeomoniella chlamydospora",0.402757819433244,0.586244515242359
"Endocarpon pusillum",0.274767608560003,0.467759743318257
"Phialophora americana",0.677968792689517,0.790073868646051
"Capronia epimyces",0.606576939005899,0.735847434203878
"Exophiala aquamarina",0.400213946264266,0.586244515242359
"Trichophyton mentagrophytes",1.5444981945255e-05,0.000571464331974433
"Paracoccidioides brasiliensis",0.000210589087686491,0.00389589812220008
"Paracoccidioides lutzii",0.158763382075336,0.335153241098664
"Emergomyces pasteurianus",0.297069798683209,0.488514780056833
"Polytolypa hystricis",0.0067369123947455,0.0398825213768934
"Histoplasma capsulatum",0.0151321228977946,0.0695148407186425
"Emmonsia crescens",0.141013604909052,0.308179455820743
"Blastomyces gilchristii",0.00275317214954665,0.0203391487487452
"Blastomyces dermatitidis",0.0424429135803042,0.139741905042245
"Elaphomyces granulatus",0.115220421959821,0.268545235433913
"Talaromyces islandicus",0.0342711004426951,0.12523760161775
"Talaromyces rugulosus",0.412060275033385,0.588417734878203
"Penicilliopsis zonata",0.651873017088557,0.774917321518927
"Penicillium roqueforti",0.0963833447118758,0.235172838128373
"Penicillium nalgiovense",0.135113067269764,0.298458715760075
"Penicillium brasilianum",0.516609661576018,0.667757466491273
"Penicillium camemberti",0.477420268485644,0.636560357980859
"Penicillium decumbens",0.274568439610681,0.467759743318257
"Penicillium oxalicum",0.696227856610125,0.79990639933378
"Penicillium subrubescens",0.227931485470827,0.42176263132385
"Aspergillus ochraceoroseus",0.000393234929322875,0.00529079723088959
"Aspergillus kawachii",1.45651439113153e-05,0.000571464331974433
"Aspergillus oryzae",0.635138114201271,0.758068071788613
"Aspergillus udagawae",0.0177097949538653,0.0748871329477731
"Aspergillus ustus",0.883141990395813,0.930284801271034
"Aspergillus calidoustus",0.0859711946952811,0.227209585980386
"Aspergillus rambellii",1.73246446896421e-20,5.12809482813407e-18
"Aspergillus ellipticus",0.525588710974885,0.671462586003682
"Aspergillus saccharolyticus",0.45838432543824,0.625261568339719
"Aspergillus nomius",0.230565010938369,0.42176263132385
"Aspergillus wentii",0.0786972743324806,0.215390174431236
"Aspergillus fumigatus",0.200607956282858,0.38477405428755
"Aspergillus ruber",0.610145359709928,0.737155210098526
"Aspergillus sydowii",0.090624747701391,0.229272865979587
"Aspergillus nidulans",0.026511455071201,0.103046735674341
"Aspergillus heteromorphus",0.877777611293746,0.927936331939103
"Aspergillus steynii",0.00856078285730288,0.0448385027960725
"Aspergillus taichungensis",0.0370261708077435,0.127545068043955
"Blumeria graminis",0.00372929810276364,0.0239972225743052
"Erysiphe necator",0.566421230583862,0.707429047480266
"Erysiphe pulchra",1.41821470132949e-07,1.04947887898382e-05
"Amorphotheca resinae",0.00176552016279292,0.0148143256811602
"Pseudogymnoascus sp. WSF 3629",0.430711510072174,0.608428941495593
"Pseudogymnoascus sp. VKM F-3808",0.448417514297866,0.614498075148927
"Rutstroemia sp. NJR-2017a BBW",0.433900276381849,0.608428941495593
"Rutstroemia sp. NJR-2017a WRK4",0.0235900201901424,0.0956526846066048
"Pezoloma ericae",0.00878592284517637,0.0448385027960725
"Diplocarpon rosae",0.62708040961853,0.751480976708846
"Marssonina brunnea",0.766267047509641,0.859147901753234
"Hyaloscypha variabilis",0.000623788286888772,0.00659433331853845
"Hyaloscypha bicolor",0.480657958884537,0.638003389371403
"Phialocephala subalpina",0.0127844139907996,0.0620358449389619
"Cadophora sp. DSE1049",0.08759849380733,0.229272865979587
"Rhynchosporium secalis",0.865461213805685,0.927281923915268
"Botrytis cinerea",0.0583069323049716,0.176110734308894
"Sclerotinia sclerotiorum",0.0508202950233265,0.160029865179837
"Sclerotinia borealis",0.312339287457517,0.505146368507284
"Microdochium bolleyi",0.47461461183509,0.636560357980859
"Pestalotiopsis fici",0.0307077797923331,0.113618785231633
"Eutypa lata",0.711031108871681,0.809481570100067
"Pseudomassariella vexata",0.15943443476817,0.335153241098664
"Rosellinia necatrix",0.0893786640701252,0.229272865979587
"Hypoxylon sp. CO27-5",0.0740710596285021,0.212864404369288
"Phaeoacremonium minimum",0.305656565550062,0.499858250844301
"Coniochaeta ligniaria",0.000441439284560318,0.00568113166216757
"Pyricularia grisea",0.0953887366383237,0.235172838128373
"Pyricularia oryzae",0.337393666236589,0.525623816873844
"Pyricularia pennisetigena",0.442200792237988,0.612882228898074
"Coniella lustricola",0.112782647618337,0.265554372570948
"Valsa mali",0.375432168255768,0.564284605210526
"Diaporthe ampelina",0.837917186787092,0.915215820254536
"Diaporthe helianthi",0.85193315922905,0.923217359172342
"Grosmannia clavigera",0.279627667036567,0.472970225387564
"Ophiostoma piceae",0.657600335873605,0.775496810432618
"Sporothrix brasiliensis",0.947502029474463,0.969657260200558
"Sporothrix insectorum",0.328117033466182,0.516609797372286
"Podospora anserina",0.340599531156828,0.527840111112152
