"","2014_ZellerG_p_values","2014_ZellerG_adj_pvalue","2015_FengQ_p_values","2015_FengQ_adj_pvalue","2016_VogtmannE_p_values","2016_VogtmannE_adj_pvalue","2019_Thom_p_values","2019_Thom_adj_pvalue","2019_WirbelJ_p_values","2019_WirbelJ_adj_pvalue","2019_Yachida_p_values","2019_Yachida_adj_pvalue","2021_JunY_1_p_values","2021_JunY_1_adj_pvalue","2021_JunY_2_p_values","2021_JunY_2_adj_pvalue","2014_ZellerG_p_values","2014_ZellerG_adj_pvalue","2015_FengQ_p_values","2015_FengQ_adj_pvalue","2016_VogtmannE_p_values","2016_VogtmannE_adj_pvalue","2019_Thom_p_values","2019_Thom_adj_pvalue","2019_WirbelJ_p_values","2019_WirbelJ_adj_pvalue","2019_Yachida_p_values","2019_Yachida_adj_pvalue","2021_JunY_1_p_values","2021_JunY_1_adj_pvalue","2021_JunY_2_p_values","2021_JunY_2_adj_pvalue"
"Aspergillus rambellii",0.000257692069555519,0.00254237107194406,0.0177206799167725,0.131133031384116,0.000200432044976974,0.0148319713282961,0.338321227681869,0.641942842268162,0.0183454680317423,0.131118379248989,4.40626364423932e-07,3.26063509673709e-05,0.00128329382402921,0.00791364524818011,0.000118004124134894,0.00135419403375455,0.000257692069555519,0.00254237107194406,0.0177206799167725,0.131133031384116,0.000200432044976974,0.0148319713282961,0.338321227681869,0.641942842268162,0.0183454680317423,0.131118379248989,4.40626364423932e-07,3.26063509673709e-05,0.00128329382402921,0.00791364524818011,0.000118004124134894,0.00135419403375455
"Rhizophagus irregularis",3.06913470432661e-05,0.000757053227067232,0.84689727820664,0.978389267164008,0.151011011539428,0.532389328139854,0.113771024455441,0.436748977733233,0.0972428123242804,0.311468728339689,0.000147528312684625,0.00363903171288741,0.0582911723619604,0.102703494161549,3.39881014317728e-05,0.000628779876487797,3.06913470432661e-05,0.000757053227067232,0.84689727820664,0.978389267164008,0.151011011539428,0.532389328139854,0.113771024455441,0.436748977733233,0.0972428123242804,0.311468728339689,0.000147528312684625,0.00363903171288741,0.0582911723619604,0.102703494161549,3.39881014317728e-05,0.000628779876487797
"Moniliophthora perniciosa",2.71792794864977e-05,0.000757053227067232,0.485143412968089,0.773625483220344,0.0168896058511168,0.15622885412283,0.471029354776068,0.757742875074544,0.00796872751083405,0.115609768588757,2.55952162498715e-05,0.000947023001245246,0.134746093137498,0.195513939062252,0.958816522904452,0.958816522904452,2.71792794864977e-05,0.000757053227067232,0.485143412968089,0.773625483220344,0.0168896058511168,0.15622885412283,0.471029354776068,0.757742875074544,0.00796872751083405,0.115609768588757,2.55952162498715e-05,0.000947023001245246,0.134746093137498,0.195513939062252,0.958816522904452,0.958816522904452
"Erysiphe pulchra",0.574973361427571,0.590944843689448,0.00161258956297434,0.0397772092200336,0.00277992073686187,0.0685713781759262,0.118771313207891,0.436748977733233,0.825002114617576,0.884784876546386,0.0043085979268779,0.0531393744314941,0.0364000695166254,0.0690667985700071,0.0657531291907485,0.0884678465475525,0.574973361427571,0.590944843689448,0.00161258956297434,0.0397772092200336,0.00277992073686187,0.0685713781759262,0.118771313207891,0.436748977733233,0.825002114617576,0.884784876546386,0.0043085979268779,0.0531393744314941,0.0364000695166254,0.0690667985700071,0.0657531291907485,0.0884678465475525
"Sphaerulina musiva",0.000377907676383992,0.00270579809596405,0.870223701525586,0.978389267164008,0.016321612128537,0.15622885412283,0.539729319838096,0.849786588681257,0.366584107780059,0.531906352465184,0.0861133631371179,0.289654039643033,0.0612898470447533,0.10547555072818,0.00923179539205583,0.0213485268441291,0.000377907676383992,0.00270579809596405,0.870223701525586,0.978389267164008,0.016321612128537,0.15622885412283,0.539729319838096,0.849786588681257,0.366584107780059,0.531906352465184,0.0861133631371179,0.289654039643033,0.0612898470447533,0.10547555072818,0.00923179539205583,0.0213485268441291
"Phytophthora capsici",0.00168539849668275,0.00656418361865914,0.980251430890629,0.99604989894875,0.140591156948539,0.532389328139854,0.108938015739744,0.436748977733233,0.839377602398778,0.887342036821566,0.00213261229765725,0.0394533275066592,0.202445887167837,0.257202962035168,0.042712935601094,0.063215144689619,0.00168539849668275,0.00656418361865914,0.980251430890629,0.99604989894875,0.140591156948539,0.532389328139854,0.108938015739744,0.436748977733233,0.839377602398778,0.887342036821566,0.00213261229765725,0.0394533275066592,0.202445887167837,0.257202962035168,0.042712935601094,0.063215144689619
"Trichophyton mentagrophytes",0.0230048890738106,0.0411222185019512,0.86243462901841,0.978389267164008,0.331078188653015,0.765618311260098,0.25863631974661,0.579972353371187,0.101016884866926,0.311468728339689,0.0861133631371179,0.289654039643033,0.205067226487499,0.257202962035168,0.0806544667110564,0.101159839603698,0.0230048890738106,0.0411222185019512,0.86243462901841,0.978389267164008,0.331078188653015,0.765618311260098,0.25863631974661,0.579972353371187,0.101016884866926,0.311468728339689,0.0861133631371179,0.289654039643033,0.205067226487499,0.257202962035168,0.0806544667110564,0.101159839603698
"Aspergillus kawachii",0.0161307939799422,0.0351081986622272,0.265315230734618,0.644682044281244,0.0123503303993365,0.15622885412283,0.165192157819796,0.529852486767016,0.0507969306445654,0.234935804231115,0.178056944498315,0.487756077589759,0.020296073387288,0.0469346697081034,0.00601560058742541,0.0149528387910634,0.0161307939799422,0.0351081986622272,0.265315230734618,0.644682044281244,0.0123503303993365,0.15622885412283,0.165192157819796,0.529852486767016,0.0507969306445654,0.234935804231115,0.178056944498315,0.487756077589759,0.020296073387288,0.0469346697081034,0.00601560058742541,0.0149528387910634
"Pneumocystis murina",0.000274850926696656,0.00254237107194406,0.695717200973219,0.88763918744859,0.158277908365903,0.532389328139854,0.25863631974661,0.579972353371187,0.216992695905994,0.411729730693425,0.924175574385983,0.936835513761134,0.00145832521581548,0.00796197340324058,0.00163290586039759,0.00805566891129478,0.000274850926696656,0.00254237107194406,0.695717200973219,0.88763918744859,0.158277908365903,0.532389328139854,0.25863631974661,0.579972353371187,0.216992695905994,0.411729730693425,0.924175574385983,0.936835513761134,0.00145832521581548,0.00796197340324058,0.00163290586039759,0.00805566891129478
"Debaryomyces hansenii",0.0052276380207898,0.014878662059171,0.793021476177013,0.978059820618316,0.016321612128537,0.15622885412283,0.0997600692133802,0.436748977733233,1,1,0.665499895314521,0.855882485767955,0.00041692250137295,0.00440746644308547,0.00027407849696825,0.00202818087756505,0.0052276380207898,0.014878662059171,0.793021476177013,0.978059820618316,0.016321612128537,0.15622885412283,0.0997600692133802,0.436748977733233,1,1,0.665499895314521,0.855882485767955,0.00041692250137295,0.00440746644308547,0.00027407849696825,0.00202818087756505
