"","Median","low-CI","high-CI","p-value"
"Albugo candida",0.0338553207414606,-0.0500723962140626,0.117176028809104,0.438762607934298
"Albugo laibachii",0.0480321503379659,-0.0405665083542171,0.135877757083657,0.285924396652023
"Aphanomyces invadans",-0.24664507483642,-0.325905192531015,-0.165629385838948,4.44970117169335e-09
"Aphanomyces astaci",0.0425678076673365,-0.0237891132482455,0.109423820260644,0.209641876121072
"Saprolegnia diclina",-0.194686882996776,-0.273212946275836,-0.117084427792389,9.85107316683072e-07
"Saprolegnia parasitica",-0.438043142526126,-0.514760974631402,-0.360895973373153,1.0190864348014e-26
"Phytopythium vexans",0.0994098840542895,0.01973747342381,0.178778732330931,0.0143455377959213
"Globisporangium ultimum",-0.314788880816245,-0.378300351347273,-0.25147309042889,4.19030287587535e-21
"Pythium irregulare",0.0594056222372021,0.00197075475774981,0.116951759499703,0.0426819717663518
"Pythium arrhenomanes",-0.382350584624738,-0.455963984521184,-0.309003960562779,2.59746714630989e-23
"Pythium iwayamai",-0.0301317721171017,-0.11061474580056,0.0505836775813991,0.462985400210581
"Pythium aphanidermatum",-0.0955636357383861,-0.165704841834398,-0.0241403950539301,0.00920255008443031
"Hyaloperonospora arabidopsidis",0.0251472342794978,-0.0438719435717138,0.0941529835560679,0.481086301022893
"Phytophthora parasitica",0.166138948950303,0.107938170678906,0.225053912323453,2.28119685304068e-08
"Phytophthora palmivora",0.0696010735661784,0.00822072624674429,0.131530744408807,0.0263961146587838
"Phytophthora capsici",-0.225211997153637,-0.286152747100709,-0.163480500231269,3.54823708374194e-12
"Phytophthora ramorum",-0.00587439504282646,-0.0820784800823429,0.0703034273576912,0.881598322482113
"Phytophthora cinnamomi",-0.120325382598521,-0.183337862689764,-0.0571044395486336,0.000237210726431898
"Phytophthora infestans",-0.274384293997181,-0.352179479348135,-0.195564529406586,1.4053886333056e-11
"Phytophthora sojae",-0.239220770088779,-0.294151830566549,-0.18367483813151,1.51108322485761e-16
"Catenaria anguillulae",-0.110825335184251,-0.199199853580209,-0.0242882241628026,0.0116690665349662
"Allomyces macrogynus",-0.331430898317216,-0.404626540437234,-0.258327049899118,6.63012328586805e-18
"Paramicrosporidium saccamoebae",0.253624028072515,0.143203193791863,0.365052522020161,9.9784463889971e-06
"Rozella allomycis",0.166860586841479,0.078359548960791,0.256260347810369,0.000196773152721047
"Basidiobolus meristosporus",-0.0680823135355614,-0.143528038251556,0.00792024373022319,0.0801474393692805
"Conidiobolus coronatus",0.115907580986643,0.0240140527797517,0.20653997582766,0.0131826275658361
"Gonapodya prolifera",-0.109892555729197,-0.174622560549697,-0.0428049348379243,0.00119027971671132
"Spizellomyces punctatus",-0.350471614526302,-0.480902689866619,-0.218888951546999,2.2172635549288e-07
"Batrachochytrium salamandrivorans",0.077388912223905,0.00517297577852978,0.149160004908496,0.0356527336174298
"Batrachochytrium dendrobatidis",-0.42665168410981,-0.684977624609478,-0.213764423117797,2.83591860609418e-05
"Rhizoclosmatium globosum",-0.186450325149145,-0.25925267759834,-0.114279737932619,5.44806627362562e-07
"Anaeromyces robustus",-0.072598172104821,-0.15354547718453,0.0107443417946399,0.0873949439425841
"Piromyces sp. E2",-0.363161417433176,-0.443424563740439,-0.282169326509888,8.65982387602577e-17
"Piromyces finnis",0.146348980585768,0.0769622209040486,0.216249979415296,2.42247043366099e-05
