"","Median","low-CI","high-CI","p-value"
"Albugo candida",-1.19945637420463,-1.49413064843201,-0.928627413301105,3.3474530420324e-20
"Albugo laibachii",-0.531078104960112,-0.708011844300821,-0.355455981528887,2.80972104085658e-09
"Aphanomyces invadans",-0.441195661208828,-0.569754632241677,-0.315715660376794,1.97947027238088e-11
"Aphanomyces astaci",-0.500274872597522,-0.603318638578931,-0.394567714823171,9.85752661747809e-19
"Saprolegnia diclina",-0.266664820920242,-0.392024513714785,-0.138320488564221,4.70916637077842e-05
"Saprolegnia parasitica",-0.447482583144652,-0.593718117379641,-0.299626915118115,5.39331304000606e-09
"Phytopythium vexans",-0.264675575070255,-0.412353537627632,-0.116772278160592,0.00046397661785756
"Globisporangium ultimum",-0.647152914090097,-0.780217201794632,-0.51612700435722,1.44081674311645e-20
"Pythium irregulare",-0.446578500903213,-0.539962435208187,-0.35118813168162,9.04649740241138e-18
"Pythium arrhenomanes",-0.0811796515413759,-0.200351710962737,0.0364838283074938,0.171831089110101
"Pythium iwayamai",-0.47288997375056,-0.589814792140759,-0.35385160189515,1.42943268560186e-13
"Pythium aphanidermatum",-0.347155603913137,-0.474246955944507,-0.216639832243443,3.77336591641454e-07
"Hyaloperonospora arabidopsidis",-1.19798954432282,-1.35117454726879,-1.05783204613967,1.64858096681241e-43
"Phytophthora parasitica",-0.721335738741092,-0.832193611835144,-0.613906735021322,5.76076768598041e-33
"Phytophthora palmivora",-0.392250818469948,-0.491724819970787,-0.292571003355105,1.7179426985613e-13
"Phytophthora capsici",-0.155050718843215,-0.282055432036002,-0.0316079651812248,0.0138095900327574
"Phytophthora ramorum",-0.557498288854276,-0.682602789352444,-0.4291098195081,1.15114421366305e-15
"Phytophthora cinnamomi",-0.419282839770348,-0.534385423615257,-0.306430909849288,9.93620686648117e-13
"Phytophthora infestans",-0.0899832975801257,-0.225261583055192,0.0434063258931474,0.187182774965595
"Phytophthora sojae",-0.167976128801761,-0.247498397205983,-0.0881036195942523,3.82112970421847e-05
"Catenaria anguillulae",0.25287614595929,0.119639350397546,0.388714165894736,0.000180805497018889
"Allomyces macrogynus",-0.296713286033696,-0.404838430220847,-0.183628501649941,2.71808865356732e-07
"Paramicrosporidium saccamoebae",-0.168903715393837,-0.424529813234495,0.0637977119312297,0.150450672525395
"Rozella allomycis",-0.675751325096381,-0.824334175374685,-0.529201434040008,1.1088857772262e-17
"Basidiobolus meristosporus",-0.269668516781739,-0.386953868095461,-0.152703637812032,8.47363980209834e-06
"Conidiobolus coronatus",-0.985706116977158,-1.12629629664844,-0.843480239325469,1.89887160931157e-32
"Gonapodya prolifera",-0.49139967153351,-0.606370019984032,-0.376589462809853,8.05864899224238e-15
"Spizellomyces punctatus",-0.382640436331012,-0.520056837199763,-0.246159680320708,4.1553112694356e-08
"Batrachochytrium salamandrivorans",-0.372121379061871,-0.474172240546343,-0.27422183212565,3.78970646750284e-13
"Batrachochytrium dendrobatidis",-0.0579514384297432,-0.340623380815348,0.121992213815934,0.543407097429308
"Rhizoclosmatium globosum",-0.231301165916261,-0.365069924225056,-0.0984825156323525,0.000797576273981971
"Anaeromyces robustus",0.137950073008618,0.0209008203531293,0.256713827740573,0.0213024377017676
"Piromyces sp. E2",-0.442913836053981,-0.547580382322811,-0.333709255197307,1.90260520217484e-14
"Piromyces finnis",-0.104804442543415,-0.272119033259625,0.0584077499582559,0.198207556597565
"Neocallimastix californiae",0.111953311579882,-0.0229746297363289,0.246023592264165,0.10242530285879
"Mortierella elongata",-0.735562926756935,-0.862542464951473,-0.60897110109313,2.52332522988018e-25
"Mortierella verticillata",0.19286800606018,0.0928882835745253,0.295802695917748,0.000184783012412889
"Rhizophagus irregularis",-0.771354358954156,-0.953042934803164,-0.5983110407933,2.57693122484512e-18
"Rhizophagus clarus",-0.699915654765864,-0.80503885916644,-0.598451716411075,5.01852085329076e-34
"Bifiguratus adelaidae",-0.625145590554807,-0.815340802963261,-0.440011942492342,3.23028697326146e-11
"Syncephalastrum racemosum",-0.373933347505749,-0.480169327943196,-0.268519250234947,1.10878102777347e-11
"Lichtheimia corymbifera",-0.228257633621765,-0.357962933940345,-0.0931891209900717,0.000717523477894614
"Lichtheimia ramosa",-0.731031357696481,-0.872211712668858,-0.589328890929469,4.90008656010303e-22
"Phycomyces blakesleeanus",-0.519637609068888,-0.640887393152434,-0.398880643692353,1.27758420458961e-16
"Hesseltinella vesiculosa",-0.0330379625872587,-0.187894465668362,0.114026661487364,0.67813744383733
"Absidia glauca",-0.0907393695472555,-0.20220814976581,0.0203711458464722,0.113371420619605
"Absidia repens",-0.0958391702391391,-0.217014104324852,0.0241150970879143,0.120792378571167
"Choanephora cucurbitarum",-0.707119701793122,-0.818135231313537,-0.594810224553389,3.27173830456299e-29
"Mucor ambiguus",0.0537899429422426,-0.0494800213989807,0.159389827679801,0.307941584884402
"Mucor circinelloides",-0.725803036995831,-0.810713572449784,-0.634957397629611,1.35958961988394e-44
"Rhizopus microsporus",0.0627391188958379,0.00276167643870606,0.128374752750314,0.0405135543211569
"Rhizopus delemar",-0.685272701083701,-0.814325406824007,-0.559104924963139,2.06547766620211e-24
"Trachipleistophora hominis",-0.778509337429366,-1.22385832106783,-0.348194486609497,0.000198234349123579
"Vavraia culicis",-1.82912390224661,-2.1213962252231,-1.39278480693939,2.32802838308209e-22
"Anncaliia algerae",-0.251640256023376,-0.374745426742168,-0.124505487587512,0.00011122049773775
"Amphiamblys sp. WSBS2006",-1.91990156135583,-2.24836147848051,-1.60619170764892,7.30089223277877e-35
"Ordospora colligata",-2.34139854944402,-2.61492723123428,-2.01051313668071,1.84542171199933e-30
"Pseudoloma neurophilia",-0.869747285227741,-1.02706517067052,-0.719742692759586,1.13303955366594e-28
"Nematocida parisii",-0.0119725179553075,-0.0312298737704376,0.00740012629140819,0.228534498864757
"Nematocida displodere",0.0257112314961613,-0.146685663752949,0.198666519359114,0.752936774926812
"Nematocida sp. 1",-1.12801052514777,-1.50748328040949,-0.773641947814365,1.54996458643726e-12
"Nematocida sp. ERTm5",-0.350064199156219,-0.714964639800123,-0.0363013046452698,0.0253563611846065
"Edhazardia aedis",-0.589331015528092,-0.708231926591883,-0.469103621824453,8.47207357694625e-20
"Spraguea lophii",0.805476567145012,0.550095744841719,1.06731966208018,1.12384253420946e-09
"Encephalitozoon intestinalis",-0.124129414160823,-1.47245846314584,-0.0458317446209731,0.000736805201536061
"Encephalitozoon cuniculi",-0.0740756014482919,-0.108380484568382,-0.0451228019980722,6.93928719516559e-08
"Encephalitozoon hellem",-2.86450982627285,-3.07224607772516,-2.55095099102516,1.40087008198443e-38
"Encephalitozoon romaleae",0.0858652743374467,-0.0996140648521892,0.268177247168894,0.308559662933382
"Vittaforma corneae",0.230892810527618,0.0378907172634499,0.499975907708977,0.0193203821309832
"Nosema apis",-3.10805809013005,-3.35675088847352,-2.81463920257827,1.7981798604046e-54
"Nosema ceranae",-1.5398695621484,-1.82062877183692,-1.27209091916624,4.30796498706459e-26
"Nosema bombycis",-1.19175646648678,-1.39743316358785,-1.00178852120985,2.18006381912581e-35
"Enterospora canceri",-0.88174358410929,-1.19198588715899,-0.585722952022252,6.68211632483779e-11
"Hepatospora eriocheir",-0.746055383310984,-0.953083126247486,-0.53913680158267,5.6911400344472e-12
"Enterocytozoon hepatopenaei",-1.07126794058945,-1.40425602338068,-0.80476937328418,1.20548928165192e-17
"Enterocytozoon bieneusi",-0.123053276756174,-0.268530410372387,0.0249887277286239,0.10220653409452
"Wallemia mellicola",-1.27713213770763,-1.54523698302054,-1.0292588578206,7.08798603986784e-23
"Wallemia ichthyophaga",0.0345204014362626,-0.195062685056142,0.273168532605383,0.758280351984487
"Mixia osmundae",-0.478159772284505,-1.02169829567803,-0.148258619217969,0.00231587577831384
"Microbotryum intermedium",-0.00480651270657074,-0.147475941845995,0.141349493817235,0.939814518416823
"Leucosporidium creatinivorum",-0.706252918547209,-0.843494485269315,-0.570373194607927,1.86429412187023e-21
"Rhodotorula taiwanensis",-0.0964786237750311,-0.292406725945599,0.0936798237869164,0.327611937858123
"Rhodotorula graminis",-0.362905775592901,-0.476470378001135,-0.246559025683459,5.71380744947616e-09
"Rhodotorula toruloides",-1.28775783980735,-1.4121981849418,-1.16728071561612,4.8232984373149e-55
"Rhodotorula sp. JG-1b",-0.594575072028802,-0.759672801622951,-0.429894696956679,5.18371150228809e-12
"Puccinia coronata",-0.910674231911906,-1.0223619510143,-0.805709174936021,8.85341163751495e-63
"Puccinia striiformis",-0.186645575889228,-0.326003300364122,-0.0426386646543302,0.0113766288122798
"Puccinia graminis",-0.42214578882194,-0.530509294063647,-0.314251906382342,3.71026664094654e-13
"Puccinia sorghi",-0.0736823215815089,-0.187923090393965,0.0408143211359112,0.206221341209052
"Malassezia globosa",0.244732794353136,0.10010570382686,0.39161202766356,0.0008257931928685
"Malassezia restricta",-1.86259844802257,-2.37604809735801,-1.17982769161837,8.7023222474578e-13
"Malassezia sympodialis",0.477234180330743,0.297166305477169,0.666359707060499,1.67126272318728e-07
"Malassezia vespertilionis",-0.295633276896786,-0.464247971987928,-0.136661307762703,0.000224012861701791
"Tilletiaria anomala",0.0226277543710057,-0.110020995745048,0.152444518992193,0.727573461191283
"Ceraceosorus bombacis",-0.412530331894416,-0.573857445023266,-0.2477526307539,7.82356123954397e-07
"Tilletia controversa",2.60784102710114,2.16944922944466,2.87795169325919,4.9077842446696e-34
"Tilletia walkeri",-0.734094948314264,-0.964460318121107,-0.508614446877683,5.21746568649189e-11
