"","Median","low-CI","high-CI","p-value"
"Albugo candida",-0.547318167860817,-0.581531670519775,-0.513230480025316,1.27928153241577e-202
"Albugo laibachii",-0.427826901604996,-0.450976900394336,-0.404617644900552,8.86310798181055e-258
"Aphanomyces invadans",-0.0571693058877577,-0.0887490420314799,-0.0255752709295366,0.000395845392246377
"Aphanomyces astaci",-0.113981585714526,-0.140211337483248,-0.0877400181729154,2.19537733715201e-17
"Saprolegnia diclina",0.197569081343911,0.166905471195203,0.228164127489773,2.31104885732959e-36
"Saprolegnia parasitica",-0.252701746902822,-0.283375476236321,-0.222039450012008,9.51580025291614e-58
"Phytopythium vexans",0.251911691166005,0.218969225254412,0.284781700422302,1.44631491588171e-49
"Globisporangium ultimum",-0.0258152973902072,-0.0528214964877198,0.00113967548118179,0.0605641680385393
"Pythium irregulare",-0.124061460173086,-0.15640751013045,-0.0917576281089536,5.21129101967817e-14
"Pythium arrhenomanes",0.146388197495751,0.11636506573669,0.176564630235003,1.98232281047248e-21
"Pythium iwayamai",0.266556847270114,0.236142816050359,0.297006265461895,8.25294554466302e-65
"Pythium aphanidermatum",-0.467743814192238,-0.502311205685475,-0.433139792778812,7.52063452793143e-146
"Hyaloperonospora arabidopsidis",-0.2722692763862,-0.300132706124827,-0.244410043754778,8.32104484387683e-80
"Phytophthora parasitica",-0.111909305747875,-0.13963923268446,-0.0841603032550681,2.80061169490364e-15
"Phytophthora palmivora",-0.227038278883801,-0.252922862850048,-0.201063836920282,1.59643297558969e-63
"Phytophthora capsici",0.341190304483858,0.305109533554482,0.377373087898785,4.83251230457276e-74
"Phytophthora ramorum",-0.237780234771503,-0.275382678315749,-0.200199645140764,8.3726664289253e-35
"Phytophthora cinnamomi",-0.0664328106126565,-0.0997560881910473,-0.0328723682276367,0.000100095009350918
"Phytophthora infestans",-0.226887543724396,-0.257529618510479,-0.196252816994738,3.91114423403041e-47
"Phytophthora sojae",0.159696247055357,0.127209444736805,0.192089035695892,6.54073194316444e-22
"Catenaria anguillulae",0.223514284959446,0.184724977680134,0.262422839885184,1.71306251085268e-29
"Allomyces macrogynus",-0.000557801879416335,-0.0314779368032272,0.0303103558124803,0.972528311649396
"Paramicrosporidium saccamoebae",-0.408875240071401,-0.472273941604199,-0.345907419031019,8.96267916529343e-37
"Rozella allomycis",-0.477839109227629,-0.517325672865582,-0.438256381485873,6.18291211459848e-119
