"","p_values","adj_pvalue"
"Aspergillus rambellii",0.000257692069555519,0.00254237107194406
"Rhizophagus irregularis",3.06913470432661e-05,0.000757053227067232
"Moniliophthora perniciosa",2.71792794864977e-05,0.000757053227067232
"Erysiphe pulchra",0.574973361427571,0.590944843689448
"Sphaerulina musiva",0.000377907676383992,0.00270579809596405
"Phytophthora capsici",0.00168539849668275,0.00656418361865914
"Trichophyton mentagrophytes",0.0230048890738106,0.0411222185019512
"Aspergillus kawachii",0.0161307939799422,0.0351081986622272
"Pneumocystis murina",0.000274850926696656,0.00254237107194406
"Debaryomyces hansenii",0.0052276380207898,0.014878662059171
"Trichoderma atroviride",0.0106155575827669,0.0253403632620887
"Pseudocercospora musae",0.0156493688609995,0.0350925241125442
"Cordyceps sp. RAO-2017",9.49698144015951e-05,0.00157224989476783
"Rhizophagus clarus",0.000127479721197391,0.00157224989476783
"Pichia kudriavzevii",0.00178328879566606,0.00659816854396444
"Paracoccidioides brasiliensis",0.0284890701214887,0.0448708549438932
"Albugo candida",0.0168773390459556,0.0356835168400205
"Lipomyces starkeyi",0.00505182416223978,0.014878662059171
"Naumovozyma dairenensis",0.0220255426205873,0.0407472538480864
"Phytopythium vexans",0.00847716555448177,0.0216313879666087
"Aspergillus ochraceoroseus",0.00425037685250107,0.0142967221402309
"Colletotrichum fioriniae",0.54521984500748,0.568257303247233
"Coniochaeta ligniaria",0.00949278964090438,0.0234155477808975
"Leucoagaricus sp. SymC.cos",0.00463543933645809,0.0147941844264299
"Colletotrichum salicis",0.467545370487887,0.50879937376623
"[Candida] arabinofermentans",0.000729450162334446,0.00317525364780877
"Baudoinia panamericana",1.50137150363914e-05,0.000757053227067232
"Hyaloscypha variabilis",0.00060807912885295,0.00287014240583077
"Schizosaccharomyces pombe",0.000475342908750442,0.00270579809596405
"Tuber magnatum",0.11473575729913,0.139187640002223
"Thielaviopsis punctulata",0.137983460575463,0.164689936815876
"Edhazardia aedis",0.000127479721197391,0.00157224989476783
"Choanephora cucurbitarum",0.000456043855142441,0.00270579809596405
"Elsinoe australis",0.277667237437674,0.321052743287311
"Piromyces sp. E2",0.00619239552923261,0.0169717507097486
"Mucor circinelloides",0.0273099506021802,0.0448708549438932
"Amorphotheca resinae",0.0261731818740184,0.0440185331517582
"Colletotrichum tofieldiae",0.0233396375281345,0.0411222185019512
"Sporisorium reilianum",0.000325988212310076,0.0026803475234384
"Periconia macrospinosa",0.0336542152806398,0.049808238615347
"Blastomyces gilchristii",0.0181890853821263,0.0373886755077042
"Cyberlindnera fabianii",0.00056041385218766,0.00287014240583077
"Rhizoctonia solani",0.30807006639754,0.350725921744891
"Spizellomyces punctatus",0.454112262579659,0.501556827326788
"Pseudocercospora eumusae",0.0803738631303315,0.100807896129568
"Blumeria graminis",0.905451330906291,0.905451330906291
"Pseudocercospora fijiensis",0.0213929757406934,0.0407472538480864
"Aureobasidium namibiae",0.0207762881967918,0.0407472538480864
"Calocera cornea",0.399511333898684,0.447936950128828
"Polytolypa hystricis",0.000620571330990437,0.00287014240583077
"Rhizopus delemar",0.00129064432960306,0.00530598224392367
"Pythium aphanidermatum",0.0607121982106221,0.0816855030470188
"Rozella allomycis",0.00389455208945743,0.0137236597438024
"Batrachochytrium salamandrivorans",0.0292992904115512,0.0448708549438932
"Rhizoclosmatium globosum",0.0247212635294508,0.0425435697948689
"Cercospora zeina",0.491574444130134,0.523349657715035
"Aspergillus steynii",0.738201902911771,0.748314257746179
"Pezoloma ericae",0.000465600099000582,0.00270579809596405
"Cordyceps fumosorosea",0.0132209339613707,0.0305734097856697
"Pneumocystis carinii",0.0297117823277131,0.0448708549438932
"Phialocephala subalpina",0.0501767704471099,0.0709673440967951
"Moniliophthora roreri",0.0355451901087685,0.0515753738833112
"Hanseniaspora valbyensis",0.0607121982106221,0.0816855030470188
"Syncephalastrum racemosum",0.0914590644277937,0.112799512794279
"Histoplasma capsulatum",0.0638125246862282,0.084323693335373
"Tuber borchii",0.00651158332262082,0.0172091844954979
"Phycomyces blakesleeanus",0.0297117823277131,0.0448708549438932
"Saitoella complicata",0.0508279626639208,0.0709673440967951
"Saccharomyces cerevisiae",0.495060487027736,0.523349657715035
"Aspergillus udagawae",0.077547868629474,0.0989403841134668
"Candida maltosa",0.0220255426205873,0.0407472538480864
"Rhodotorula graminis",0.00479811386803131,0.0147941844264299
"Rutstroemia sp. NJR-2017a WRK4",0.0704058035849549,0.0914040257067836
"Tolypocladium paradoxum",0.256251491159288,0.300993815012497
