"","p_values","adj_pvalue"
"Aspergillus rambellii",0.0177206799167725,0.131133031384116
"Rhizophagus irregularis",0.84689727820664,0.978389267164008
"Moniliophthora perniciosa",0.485143412968089,0.773625483220344
"Erysiphe pulchra",0.00161258956297434,0.0397772092200336
"Sphaerulina musiva",0.870223701525586,0.978389267164008
"Phytophthora capsici",0.980251430890629,0.99604989894875
"Trichophyton mentagrophytes",0.86243462901841,0.978389267164008
"Aspergillus kawachii",0.265315230734618,0.644682044281244
"Pneumocystis murina",0.695717200973219,0.88763918744859
"Debaryomyces hansenii",0.793021476177013,0.978059820618316
"Trichoderma atroviride",0.00882033949155287,0.120523559377526
"Pseudocercospora musae",0.0134955210037947,0.120523559377526
"Cordyceps sp. RAO-2017",0.793021476177013,0.978059820618316
"Rhizophagus clarus",0.0692292502719013,0.341530968008046
"Pichia kudriavzevii",0.29620526358868,0.644682044281244
"Paracoccidioides brasiliensis",0.291650796505456,0.644682044281244
"Albugo candida",0.29620526358868,0.644682044281244
"Lipomyces starkeyi",0.925058304211549,0.988769141006624
"Naumovozyma dairenensis",0.012415035262786,0.120523559377526
"Phytopythium vexans",0.54914670205658,0.84660116567056
"Aspergillus ochraceoroseus",0.00656867700785603,0.120523559377526
"Colletotrichum fioriniae",0.0146582707351045,0.120523559377526
"Coniochaeta ligniaria",0.878025384096537,0.978389267164008
"Leucoagaricus sp. SymC.cos",0.217675137682499,0.627533692863064
"Colletotrichum salicis",0.214002304947349,0.627533692863064
"[Candida] arabinofermentans",0.610103316737602,0.878120743670314
"Baudoinia panamericana",0.00135943873886529,0.0397772092200336
"Hyaloscypha variabilis",0.228964996044631,0.627533692863064
"Schizosaccharomyces pombe",0.228964996044631,0.627533692863064
"Tuber magnatum",0.000893923104317563,0.0397772092200336
"Thielaviopsis punctulata",0.12124213908215,0.448595914603957
"Edhazardia aedis",0.99604989894875,0.99604989894875
"Choanephora cucurbitarum",0.589451939795972,0.872388870898039
"Elsinoe australis",0.0320593832625863,0.197699530119282
"Piromyces sp. E2",0.988150084098405,0.99604989894875
"Mucor circinelloides",0.58264048829872,0.872388870898039
"Amorphotheca resinae",0.0858137646174818,0.373542269511391
"Colletotrichum tofieldiae",0.695717200973219,0.88763918744859
"Sporisorium reilianum",0.431183938700339,0.754753922184679
"Periconia macrospinosa",0.44877260238008,0.754753922184679
"Blastomyces gilchristii",0.688412941920024,0.88763918744859
"Cyberlindnera fabianii",0.155356962252514,0.518632212577301
"Rhizoctonia solani",0.44877260238008,0.754753922184679
"Spizellomyces punctatus",0.354556189216579,0.722690683089037
"Pseudocercospora eumusae",0.948683905560409,0.988769141006624
"Blumeria graminis",0.240665565351327,0.636044708428507
"Pseudocercospora fijiensis",0.265315230734618,0.644682044281244
"Aureobasidium namibiae",0.0101865124686303,0.120523559377526
"Calocera cornea",0.491356725829138,0.773625483220344
"Polytolypa hystricis",0.681137627334111,0.88763918744859
"Rhizopus delemar",0.112018224233119,0.436281504907936
"Pythium aphanidermatum",0.408365623781235,0.747222650726155
"Rozella allomycis",0.823704246093023,0.978389267164008
"Batrachochytrium salamandrivorans",0.161196498503756,0.518632212577301
"Rhizoclosmatium globosum",0.0840227490416632,0.373542269511391
"Cercospora zeina",0.380877522168547,0.722690683089037
"Aspergillus steynii",0.0566457919531306,0.299413471752262
"Pezoloma ericae",0.287143635634268,0.644682044281244
"Cordyceps fumosorosea",0.370208154664598,0.722690683089037
"Pneumocystis carinii",0.460721133825854,0.75763030895807
"Phialocephala subalpina",0.414001738915843,0.747222650726155
"Moniliophthora roreri",0.617057819876437,0.878120743670314
"Hanseniaspora valbyensis",0.101276966002242,0.41636086023144
"Syncephalastrum racemosum",0.0268990411851691,0.180957186154774
"Histoplasma capsulatum",0.885838931080926,0.978389267164008
"Tuber borchii",0.666676206170465,0.88763918744859
"Phycomyces blakesleeanus",0.144161598735512,0.507998014591804
"Saitoella complicata",0.917196733512159,0.988769141006624
"Saccharomyces cerevisiae",0.86243462901841,0.978389267164008
"Aspergillus udagawae",0.94080265650735,0.988769141006624
"Candida maltosa",0.344357285659325,0.722690683089037
"Rhodotorula graminis",0.375519434140503,0.722690683089037
"Rutstroemia sp. NJR-2017a WRK4",0.0353729057184272,0.201353463320278
"Tolypocladium paradoxum",0.688412941920024,0.88763918744859
