"","p_values","adj_pvalue"
"Aspergillus rambellii",0.000200432044976974,0.0148319713282961
"Rhizophagus irregularis",0.151011011539428,0.532389328139854
"Moniliophthora perniciosa",0.0168896058511168,0.15622885412283
"Erysiphe pulchra",0.00277992073686187,0.0685713781759262
"Sphaerulina musiva",0.016321612128537,0.15622885412283
"Phytophthora capsici",0.140591156948539,0.532389328139854
"Trichophyton mentagrophytes",0.331078188653015,0.765618311260098
"Aspergillus kawachii",0.0123503303993365,0.15622885412283
"Pneumocystis murina",0.158277908365903,0.532389328139854
"Debaryomyces hansenii",0.016321612128537,0.15622885412283
"Trichoderma atroviride",0.585380108383851,0.791459633005141
"Pseudocercospora musae",0.107060640822879,0.495155463805816
"Cordyceps sp. RAO-2017",0.518361763171294,0.791459633005141
"Rhizophagus clarus",0.151011011539428,0.532389328139854
"Pichia kudriavzevii",0.758645588999321,0.905480219128222
"Paracoccidioides brasiliensis",0.518361763171294,0.791459633005141
"Albugo candida",0.806801968885333,0.918513010730995
"Lipomyces starkeyi",0.295011147742393,0.742052622770104
"Naumovozyma dairenensis",0.826282914179704,0.923414459804759
"Phytopythium vexans",0.486405262362873,0.791459633005141
"Aspergillus ochraceoroseus",0.0454652493548748,0.274600905206317
"Colletotrichum fioriniae",0.0940809492667691,0.464132683049394
"Coniochaeta ligniaria",0.620333225868894,0.791459633005141
"Leucoagaricus sp. SymC.cos",0.665253043674057,0.8317475266932
"Colletotrichum salicis",0.0277371660449485,0.228061143036243
"[Candida] arabinofermentans",0.212085535669783,0.627773185582559
"Baudoinia panamericana",0.130733212649686,0.532389328139854
"Hyaloscypha variabilis",0.611509901425663,0.791459633005141
"Schizosaccharomyces pombe",0.19000735832754,0.611328022445129
"Tuber magnatum",0.478585864115778,0.791459633005141
"Thielaviopsis punctulata",0.559781109162302,0.791459633005141
"Edhazardia aedis",0.855702273047305,0.92827702232171
"Choanephora cucurbitarum",0.331078188653015,0.765618311260098
"Elsinoe australis",0.45554509378933,0.791459633005141
"Piromyces sp. E2",0.0625508190692884,0.330625757937667
"Mucor circinelloides",0.758645588999321,0.905480219128222
"Amorphotheca resinae",0.0482406995632719,0.274600905206317
"Colletotrichum tofieldiae",0.278003419108694,0.742052622770104
"Sporisorium reilianum",0.602742601560768,0.791459633005141
"Periconia macrospinosa",0.54302227246062,0.791459633005141
"Blastomyces gilchristii",0.559781109162302,0.791459633005141
"Cyberlindnera fabianii",0.383418612175678,0.791459633005141
"Rhizoctonia solani",0.154612029940181,0.532389328139854
"Spizellomyces punctatus",0.363224325413959,0.791459633005141
"Pseudocercospora eumusae",0.865555601894567,0.92827702232171
"Blumeria graminis",0.000550077070907799,0.0203528516235886
"Pseudocercospora fijiensis",0.905163191796698,0.940525646487742
"Aureobasidium namibiae",0.602742601560768,0.791459633005141
"Calocera cornea",0.369880552203508,0.791459633005141
"Polytolypa hystricis",0.0367876518096702,0.272228623391559
"Rhizopus delemar",0.602742601560768,0.791459633005141
"Pythium aphanidermatum",0.551370390457286,0.791459633005141
"Rozella allomycis",0.806801968885333,0.918513010730995
"Batrachochytrium salamandrivorans",0.787440147821852,0.918513010730995
"Rhizoclosmatium globosum",0.440538054265031,0.791459633005141
"Cercospora zeina",0.905163191796698,0.940525646487742
"Aspergillus steynii",0.594032340599042,0.791459633005141
"Pezoloma ericae",0.945008164152669,0.957953481469829
"Cordyceps fumosorosea",0.836064443336741,0.923414459804759
"Pneumocystis carinii",0.674389886508,0.8317475266932
"Phialocephala subalpina",0.00468332526031256,0.0866415173157823
"Moniliophthora roreri",0.518361763171294,0.791459633005141
"Hanseniaspora valbyensis",0.283596895464719,0.742052622770104
"Syncephalastrum racemosum",0.551370390457286,0.791459633005141
"Histoplasma capsulatum",0.448005874627179,0.791459633005141
"Tuber borchii",0.203041573469969,0.626044851532406
"Phycomyces blakesleeanus",0.568253565351089,0.791459633005141
"Saitoella complicata",0.300832144366258,0.742052622770104
"Saccharomyces cerevisiae",0.915106034420506,0.940525646487742
"Aspergillus udagawae",0.278003419108694,0.742052622770104
"Candida maltosa",0.0454652493548748,0.274600905206317
"Rhodotorula graminis",1,1
"Rutstroemia sp. NJR-2017a WRK4",0.470835643765212,0.791459633005141
"Tolypocladium paradoxum",0.551370390457286,0.791459633005141
