"","p_values","adj_pvalue"
"Aspergillus rambellii",0.338321227681869,0.641942842268162
"Rhizophagus irregularis",0.113771024455441,0.436748977733233
"Moniliophthora perniciosa",0.471029354776068,0.757742875074544
"Erysiphe pulchra",0.118771313207891,0.436748977733233
"Sphaerulina musiva",0.539729319838096,0.849786588681257
"Phytophthora capsici",0.108938015739744,0.436748977733233
"Trichophyton mentagrophytes",0.25863631974661,0.579972353371187
"Aspergillus kawachii",0.165192157819796,0.529852486767016
"Pneumocystis murina",0.25863631974661,0.579972353371187
"Debaryomyces hansenii",0.0997600692133802,0.436748977733233
"Trichoderma atroviride",0.957101333231028,0.983687481376334
"Pseudocercospora musae",0.338321227681869,0.641942842268162
"Cordyceps sp. RAO-2017",0.888772397991741,0.983687481376334
"Rhizophagus clarus",0.0832585685778382,0.436748977733233
"Pichia kudriavzevii",0.00839440545880342,0.310593001975727
"Paracoccidioides brasiliensis",0.957101333231028,0.983687481376334
"Albugo candida",0.200462091618741,0.573281770111097
"Lipomyces starkeyi",0.991416294424989,0.991416294424989
"Naumovozyma dairenensis",0.0723937523909925,0.436748977733233
"Phytopythium vexans",0.306763260080283,0.613526520160566
"Aspergillus ochraceoroseus",0.224104391912923,0.573281770111097
"Colletotrichum fioriniae",0.419740502595415,0.70592720891047
"Coniochaeta ligniaria",0.267817090011703,0.582896019437236
"Leucoagaricus sp. SymC.cos",0.838035105409027,0.983687481376334
"Colletotrichum salicis",0.349288131868402,0.646183043956544
"[Candida] arabinofermentans",0.0758785099729612,0.436748977733233
"Baudoinia panamericana",0.674797272891167,0.942169777244271
"Hyaloscypha variabilis",0.306763260080283,0.613526520160566
"Schizosaccharomyces pombe",0.0627182445559865,0.436748977733233
"Tuber magnatum",0.0723937523909925,0.436748977733233
"Thielaviopsis punctulata",0.232411528423418,0.573281770111097
"Edhazardia aedis",0.407450741034354,0.701194298524237
"Choanephora cucurbitarum",0.957101333231028,0.983687481376334
"Elsinoe australis",0.628298637175921,0.915958566751493
"Piromyces sp. E2",0.00435893613207771,0.310593001975727
"Mucor circinelloides",0.787962636692995,0.971820585254694
"Amorphotheca resinae",0.118771313207891,0.436748977733233
"Colletotrichum tofieldiae",0.444963560757516,0.731717855467915
"Sporisorium reilianum",0.249675994823043,0.579972353371187
"Periconia macrospinosa",0.306763260080283,0.613526520160566
"Blastomyces gilchristii",0.690588448766363,0.94636194830946
"Cyberlindnera fabianii",0.165192157819796,0.529852486767016
"Rhizoctonia solani",0.821260508875383,0.980214155754489
"Spizellomyces punctatus",0.939969648914147,0.983687481376334
"Pseudocercospora eumusae",0.0245454717186731,0.436748977733233
"Blumeria graminis",0.224104391912923,0.573281770111097
"Pseudocercospora fijiensis",0.0690411309305555,0.436748977733233
"Aureobasidium namibiae",0.643646560419968,0.915958566751493
"Calocera cornea",0.0627182445559865,0.436748977733233
"Polytolypa hystricis",0.771453829217232,0.96758615867924
"Rhizopus delemar",0.027422613353423,0.436748977733233
"Pythium aphanidermatum",0.104268852928324,0.436748977733233
"Rozella allomycis",0.0832585685778382,0.436748977733233
"Batrachochytrium salamandrivorans",0.888772397991741,0.983687481376334
"Rhizoclosmatium globosum",0.771453829217232,0.96758615867924
"Cercospora zeina",0.643646560419968,0.915958566751493
"Aspergillus steynii",0.771453829217232,0.96758615867924
"Pezoloma ericae",0.407450741034354,0.701194298524237
"Cordyceps fumosorosea",0.0832585685778382,0.436748977733233
"Pneumocystis carinii",0.123942277464837,0.436748977733233
"Phialocephala subalpina",0.991416294424989,0.991416294424989
"Moniliophthora roreri",0.706515448722185,0.950584421917122
"Hanseniaspora valbyensis",0.804567254514218,0.976032407115608
"Syncephalastrum racemosum",0.407450741034354,0.701194298524237
"Histoplasma capsulatum",0.224104391912923,0.573281770111097
"Tuber borchii",0.171844049762276,0.529852486767016
"Phycomyces blakesleeanus",0.232411528423418,0.573281770111097
"Saitoella complicata",0.0420205817904089,0.436748977733233
"Saccharomyces cerevisiae",0.568549370296026,0.876513612539706
"Aspergillus udagawae",0.628298637175921,0.915958566751493
"Candida maltosa",0.922865700723369,0.983687481376334
"Rhodotorula graminis",0.922865700723369,0.983687481376334
"Rutstroemia sp. NJR-2017a WRK4",0.939969648914147,0.983687481376334
"Tolypocladium paradoxum",0.755047876065397,0.96758615867924
