"","p_values","adj_pvalue"
"Aspergillus rambellii",0.0183454680317423,0.131118379248989
"Rhizophagus irregularis",0.0972428123242804,0.311468728339689
"Moniliophthora perniciosa",0.00796872751083405,0.115609768588757
"Erysiphe pulchra",0.825002114617576,0.884784876546386
"Sphaerulina musiva",0.366584107780059,0.531906352465184
"Phytophthora capsici",0.839377602398778,0.887342036821566
"Trichophyton mentagrophytes",0.101016884866926,0.311468728339689
"Aspergillus kawachii",0.0507969306445654,0.234935804231115
"Pneumocystis murina",0.216992695905994,0.411729730693425
"Debaryomyces hansenii",1,1
"Trichoderma atroviride",0.0832601543862255,0.280056882935486
"Pseudocercospora musae",0.0142577818226293,0.131118379248989
"Cordyceps sp. RAO-2017",0.337977384591261,0.510414825709251
"Rhizophagus clarus",0.017454231543324,0.131118379248989
"Pichia kudriavzevii",0.140452878989596,0.359606197674231
"Paracoccidioides brasiliensis",0.0150042703853497,0.131118379248989
"Albugo candida",0.140452878989596,0.359606197674231
"Lipomyces starkeyi",0.0340880748648701,0.180179824285742
"Naumovozyma dairenensis",0.461089922522438,0.588287142528628
"Phytopythium vexans",0.417504281373441,0.572135496696938
"Aspergillus ochraceoroseus",0.155949269950841,0.36063268676132
"Colletotrichum fioriniae",0.0800317907269999,0.280056882935486
"Coniochaeta ligniaria",0.135559477908929,0.359606197674231
"Leucoagaricus sp. SymC.cos",0.0800317907269999,0.280056882935486
"Colletotrichum salicis",0.190781865545098,0.411729730693425
"[Candida] arabinofermentans",0.449961233956395,0.584160198469706
"Baudoinia panamericana",0.911966855519658,0.950500666316263
"Hyaloscypha variabilis",0.293579751839507,0.462231949704756
"Schizosaccharomyces pombe",0.145481014245131,0.359606197674231
"Tuber magnatum",0.00236307320464512,0.115609768588757
"Thielaviopsis punctulata",0.941244855709856,0.96739054614624
"Edhazardia aedis",0.0769058946458494,0.280056882935486
"Choanephora cucurbitarum",0.0283265756641954,0.161243584550035
"Elsinoe australis",0.276968909796369,0.445558680976768
"Piromyces sp. E2",0.172709663226209,0.387288335719377
"Mucor circinelloides",0.00713996576999511,0.115609768588757
"Amorphotheca resinae",0.386469512284249,0.539598941679894
"Colletotrichum tofieldiae",0.530990102193178,0.65488779270492
"Sporisorium reilianum",0.605898182927672,0.711689929153139
"Periconia macrospinosa",0.605898182927672,0.711689929153139
"Blastomyces gilchristii",0.754092509667112,0.820630084049504
"Cyberlindnera fabianii",0.0088826138533951,0.115609768588757
"Rhizoctonia solani",0.631878401917537,0.730609402217152
"Spizellomyces punctatus",0.386469512284249,0.539598941679894
"Pseudocercospora eumusae",0.712480568554464,0.798841849591368
"Blumeria graminis",0.0445933382642037,0.219993802103405
"Pseudocercospora fijiensis",0.0212624398782144,0.131118379248989
"Aureobasidium namibiae",0.197105064782781,0.411729730693425
"Calocera cornea",0.58040722174005,0.704100564078094
"Polytolypa hystricis",0.0553220053390377,0.240813435005223
"Rhizopus delemar",0.0800317907269999,0.280056882935486
"Pythium aphanidermatum",0.24569925081842,0.422831268850305
"Rozella allomycis",0.150645839566232,0.359606197674231
"Batrachochytrium salamandrivorans",0.238284582551534,0.422831268850305
"Rhizoclosmatium globosum",0.438986387114715,0.584160198469706
"Cercospora zeina",0.238284582551534,0.422831268850305
"Aspergillus steynii",0.472370778586417,0.592465044328726
"Pezoloma ericae",0.26890835657469,0.442204853033935
"Cordyceps fumosorosea",0.754092509667112,0.820630084049504
"Pneumocystis carinii",0.366584107780059,0.531906352465184
"Phialocephala subalpina",0.00937376502071005,0.115609768588757
"Moniliophthora roreri",0.0212624398782144,0.131118379248989
"Hanseniaspora valbyensis",0.310846069170373,0.479221023304324
"Syncephalastrum racemosum",0.261010345355272,0.43897194446114
"Histoplasma capsulatum",0.140452878989596,0.359606197674231
"Tuber borchii",0.970602480996136,0.983898405393343
"Phycomyces blakesleeanus",0.24569925081842,0.422831268850305
"Saitoella complicata",0.712480568554464,0.798841849591368
"Saccharomyces cerevisiae",0.449961233956395,0.584160198469706
"Aspergillus udagawae",0.20358034380381,0.411729730693425
"Candida maltosa",0.00428904847177355,0.115609768588757
"Rhodotorula graminis",0.216992695905994,0.411729730693425
"Rutstroemia sp. NJR-2017a WRK4",0.150645839566232,0.359606197674231
"Tolypocladium paradoxum",0.216992695905994,0.411729730693425
