"","p_values","adj_pvalue"
"Aspergillus rambellii",4.40626364423932e-07,3.26063509673709e-05
"Rhizophagus irregularis",0.000147528312684625,0.00363903171288741
"Moniliophthora perniciosa",2.55952162498715e-05,0.000947023001245246
"Erysiphe pulchra",0.0043085979268779,0.0531393744314941
"Sphaerulina musiva",0.0861133631371179,0.289654039643033
"Phytophthora capsici",0.00213261229765725,0.0394533275066592
"Trichophyton mentagrophytes",0.0861133631371179,0.289654039643033
"Aspergillus kawachii",0.178056944498315,0.487756077589759
"Pneumocystis murina",0.924175574385983,0.936835513761134
"Debaryomyces hansenii",0.665499895314521,0.855882485767955
"Trichoderma atroviride",0.735529683812723,0.855882485767955
"Pseudocercospora musae",0.311493547360057,0.651358473022571
"Cordyceps sp. RAO-2017",0.0193702950656522,0.124718860443211
"Rhizophagus clarus",0.183734455626732,0.487756077589759
"Pichia kudriavzevii",0.621804658788552,0.855882485767955
"Paracoccidioides brasiliensis",0.674565003389415,0.855882485767955
"Albugo candida",0.787658534942977,0.875771763043674
"Lipomyces starkeyi",0.879848872669736,0.917025585599443
"Naumovozyma dairenensis",0.717787454545207,0.855882485767955
"Phytopythium vexans",0.0202246800718721,0.124718860443211
"Aspergillus ochraceoroseus",0.349810184150131,0.663742400695119
"Colletotrichum fioriniae",0.792928488161165,0.875771763043674
"Coniochaeta ligniaria",0.0165389188410433,0.124718860443211
"Leucoagaricus sp. SymC.cos",0.0501280389930179,0.206081938082407
"Colletotrichum salicis",0.237980515867837,0.568082521749029
"[Candida] arabinofermentans",0.64394417748781,0.855882485767955
"Baudoinia panamericana",0.163681984731203,0.484498674804361
"Hyaloscypha variabilis",0.125796116602555,0.387871359524545
"Schizosaccharomyces pombe",0.37806873380847,0.69942715754567
"Tuber magnatum",0.491844959215856,0.774394191105815
"Thielaviopsis punctulata",0.120058000307506,0.386273566206758
"Edhazardia aedis",0.0491165403083277,0.206081938082407
"Choanephora cucurbitarum",0.235024834628842,0.568082521749029
"Elsinoe australis",0.822318484676261,0.894875998030048
"Piromyces sp. E2",0.513249682413089,0.786047451441449
"Mucor circinelloides",0.477845852118456,0.771193373561208
"Amorphotheca resinae",0.0578723389278361,0.214127654032994
"Colletotrichum tofieldiae",0.0340599285270352,0.180031050785758
"Sporisorium reilianum",0.0412526343088999,0.190793433678662
"Periconia macrospinosa",0.424810060952281,0.74606549466865
"Blastomyces gilchristii",0.597409314359523,0.855882485767955
"Cyberlindnera fabianii",0.279910780659099,0.627678720265858
"Rhizoctonia solani",0.635936142600468,0.855882485767955
"Spizellomyces punctatus",0.349810137900565,0.663742400695119
"Pseudocercospora eumusae",0.433524544199351,0.74606549466865
"Blumeria graminis",0.0297909514526403,0.169579262115029
"Pseudocercospora fijiensis",0.918248656343349,0.936835513761134
"Aureobasidium namibiae",0.695592982068465,0.855882485767955
"Calocera cornea",0.0389589567951341,0.190793433678662
"Polytolypa hystricis",0.0072705167364943,0.0768597483572254
"Rhizopus delemar",0.64216099558251,0.855882485767955
"Pythium aphanidermatum",0.55579977839384,0.822583672022883
"Rozella allomycis",0.669120167099125,0.855882485767955
"Batrachochytrium salamandrivorans",0.299747264562366,0.651358473022571
"Rhizoclosmatium globosum",0.996525681453813,0.996525681453813
"Cercospora zeina",0.00273127472471639,0.0404228659258026
"Aspergillus steynii",0.72897605938785,0.855882485767955
"Pezoloma ericae",0.231609503186054,0.568082521749029
"Cordyceps fumosorosea",0.840270295098058,0.901159446916758
"Pneumocystis carinii",0.704810328731708,0.855882485767955
"Phialocephala subalpina",0.479390475456967,0.771193373561208
"Moniliophthora roreri",0.0549770089683046,0.214120982297607
"Hanseniaspora valbyensis",0.424810060952281,0.74606549466865
"Syncephalastrum racemosum",0.316877094983953,0.651358473022571
"Histoplasma capsulatum",0.278253014108617,0.627678720265858
"Tuber borchii",0.520490880008527,0.786047451441449
"Phycomyces blakesleeanus",0.740222690393907,0.855882485767955
"Saitoella complicata",0.0152385470582637,0.124718860443211
"Saccharomyces cerevisiae",0.865149632274057,0.914586754118289
"Aspergillus udagawae",0.332149709750663,0.663742400695119
"Candida maltosa",0.769529271934202,0.875771763043674
"Rhodotorula graminis",0.0187974309406489,0.124718860443211
"Rutstroemia sp. NJR-2017a WRK4",0.479390475456967,0.771193373561208
"Tolypocladium paradoxum",0.184556353682611,0.487756077589759
