"","Median","low-CI","high-CI","p-value"
"Albugo candida",-0.235355383462982,-0.304635967007753,-0.165501289144492,3.56459276119859e-11
"Albugo laibachii",0.136899592795786,0.0762706455059102,0.197570146626838,1.12118687869015e-05
"Aphanomyces invadans",0.175409788454553,0.114452936618707,0.235658493859696,1.76348964910683e-08
"Aphanomyces astaci",0.276514676622012,0.226047128098825,0.328162984919239,4.88088215903677e-25
"Saprolegnia diclina",0.472093828072204,0.400741273462441,0.543786850732031,1.93243938328881e-34
"Saprolegnia parasitica",0.109813641451921,0.0469320979351882,0.173127201331339,0.000653933689567024
"Phytopythium vexans",0.467908138178738,0.402162303508322,0.533468946454025,3.66605595437816e-40
"Globisporangium ultimum",0.15054579590603,0.108776941590657,0.192831272791326,4.09874300854528e-12
"Pythium irregulare",0.238285310604575,0.175955674908632,0.299104165218479,1.44254442307907e-13
"Pythium arrhenomanes",0.264762991406047,0.200288234942904,0.328424343115725,2.77416561938005e-15
"Pythium iwayamai",-0.114888510014753,-0.179360439912689,-0.050972610824845,0.000419582680055481
"Pythium aphanidermatum",-0.280792303223649,-0.350009750254507,-0.210883987640848,7.52498912509319e-15
"Hyaloperonospora arabidopsidis",0.0158617940969659,-0.0475464311234406,0.0783978469119447,0.626911952690668
"Phytophthora parasitica",0.162936094771746,0.108697108153312,0.216129362392252,4.69693212873583e-09
"Phytophthora palmivora",-0.13307412631352,-0.177270022263193,-0.0888313323173339,4.68178199160723e-09
"Phytophthora capsici",0.430721363112861,0.380914695261671,0.480474189014139,6.41319246366797e-58
"Phytophthora ramorum",-0.233921869297275,-0.301023619669914,-0.167584706482624,4.61924647150853e-12
"Phytophthora cinnamomi",0.257235835604062,0.203381634910374,0.311358386347246,1.32424330918343e-20
"Phytophthora infestans",0.109475211378288,0.0537508472951685,0.164894183889454,0.000125158742377835
"Phytophthora sojae",0.300131962909944,0.237802802895915,0.362181205687306,1.55318740248208e-20
"Catenaria anguillulae",0.251325661270842,0.194406268839743,0.308157200325122,2.7867678681487e-17
"Allomyces macrogynus",0.565632936615284,0.501824898948466,0.629225494791031,9.8548997678721e-62
"Paramicrosporidium saccamoebae",0.223382391741337,0.120235908005751,0.326949800630133,2.96281982836757e-05
"Rozella allomycis",-0.207606206079002,-0.276973775808712,-0.138775467724647,4.34522773323692e-09
"Basidiobolus meristosporus",-0.115299851617765,-0.167080883913188,-0.0635906000403654,1.31561846625873e-05
"Conidiobolus coronatus",0.305130404366313,0.216280362410366,0.392877190634287,2.034423843421e-11
"Gonapodya prolifera",-0.0546366202841904,-0.110092389357141,0.000446638687317728,0.0517781778618625
"Spizellomyces punctatus",-0.45565341991907,-0.529466939411434,-0.382459245492569,2.35608809012568e-34
"Batrachochytrium salamandrivorans",-0.095769840255125,-0.153126707317078,-0.0387923760279425,0.000971164414945556
"Batrachochytrium dendrobatidis",0.137398378744043,-0.000646824428551726,0.276848025849117,0.0509865969707424
"Rhizoclosmatium globosum",-0.0322423263868005,-0.0863382704181182,0.0210916283765562,0.234328862819605
"Anaeromyces robustus",-0.217606983604127,-0.291282570873732,-0.144632319685237,6.30966693705306e-09
"Piromyces sp. E2",-0.155243579090641,-0.232837322692023,-0.0785297680728113,6.70762164066475e-05
"Piromyces finnis",-0.0296859780889612,-0.108802299561675,0.0488860396442179,0.459320111909641
"Neocallimastix californiae",-0.227142056263445,-0.298789634449526,-0.155514627068873,5.52778222086603e-10
"Mortierella elongata",-0.285238777210156,-0.326367825645876,-0.244298032217983,3.38350222720816e-40
"Mortierella verticillata",0.11116258951602,0.0571341390905146,0.165272044382231,5.53444228759027e-05
"Rhizophagus irregularis",-0.109382111284707,-0.187706126816281,-0.0286227124503706,0.00830501600303112
"Rhizophagus clarus",-0.166145520417301,-0.239508733073951,-0.0927098600507646,1.18486666370857e-05
"Bifiguratus adelaidae",-0.378926862610282,-0.458621651103033,-0.300076051768057,1.12948678905489e-20
"Syncephalastrum racemosum",-0.560760825873114,-0.62103565311871,-0.500853301032935,3.7497404452421e-67
"Lichtheimia corymbifera",0.0488803000020091,-0.0156042974782897,0.114716493910958,0.137554244417766
"Lichtheimia ramosa",-0.0611133922601751,-0.123003674379536,0.000318958466817525,0.0512720990862807
