"","Median","low-CI","high-CI","p-value"
"Albugo candida",-0.269414008565929,-0.355473406426369,-0.183320727121022,1.20198301459205e-09
"Albugo laibachii",-0.195833484465803,-0.27253713706485,-0.119530827442807,5.73145008655606e-07
"Aphanomyces invadans",0.00994256758631801,-0.0810710555250667,0.101535959623394,0.836133563606752
"Aphanomyces astaci",-0.115957356385718,-0.188488738452425,-0.0439072083099412,0.00171876371721021
"Saprolegnia diclina",-0.0909353895790725,-0.185059867853292,0.00463253303707976,0.0619141299303277
"Saprolegnia parasitica",-0.196124022357231,-0.30709642495794,-0.0845325758459505,0.000520021218207716
"Phytopythium vexans",-0.21139534323714,-0.304962389183259,-0.117720708221429,1.10397142457065e-05
"Globisporangium ultimum",0.0299816515650594,-0.0263072573736262,0.0855321229211831,0.295481138779527
"Pythium irregulare",0.101134194541791,0.0101098755313714,0.191618042955339,0.0289396849704118
"Pythium arrhenomanes",-0.246622395168458,-0.331277605598906,-0.161969325599326,1.33018634408948e-08
"Pythium iwayamai",-0.0310037212529492,-0.105163147915201,0.040135448544094,0.393819432840742
"Pythium aphanidermatum",-0.0399149240699583,-0.135305700994509,0.056587027409471,0.418622995366857
"Hyaloperonospora arabidopsidis",-0.520703925899199,-0.581898275484479,-0.460148529004772,1.75829243093125e-56
"Phytophthora parasitica",-0.0929296300536159,-0.159373193518544,-0.0271164429299555,0.00615839567224785
"Phytophthora palmivora",-0.175893923759741,-0.232719468294201,-0.118668817508009,2.14375193517644e-09
"Phytophthora capsici",0.182523049039506,0.0914189214875747,0.274536470589751,8.3644925358752e-05
"Phytophthora ramorum",-0.474235241179371,-0.564458472403244,-0.382250362479706,5.27648324369779e-22
"Phytophthora cinnamomi",-0.363251741292093,-0.434220861302817,-0.292567830802475,1.25857556285806e-22
"Phytophthora infestans",-0.158628136282721,-0.222185108950372,-0.0930887067047524,2.01554477808008e-06
"Phytophthora sojae",-0.105510240329832,-0.185906645746245,-0.0265598590189852,0.00899778679034395
"Catenaria anguillulae",-0.458272269610637,-0.554615953520972,-0.35922928509544,1.71113678530147e-18
"Allomyces macrogynus",-0.379440499015793,-0.458116083231978,-0.301238000935317,2.49582520637815e-20
"Paramicrosporidium saccamoebae",-0.242243108875799,-0.370115580547801,-0.114744159814213,0.000215267498824451
"Rozella allomycis",-0.0523321601836452,-0.1559932212321,0.0520632512674491,0.323249107502101
"Basidiobolus meristosporus",-0.27215772248269,-0.333694026490033,-0.209821909122982,1.71524966324332e-16
"Conidiobolus coronatus",0.376501206486574,0.310180246855372,0.441897166058573,1.30857434102251e-25
"Gonapodya prolifera",-0.0188887239887344,-0.0955824269291385,0.0564210602381493,0.615435684785767
"Spizellomyces punctatus",-0.412356964428597,-0.502713961577227,-0.31687925702066,2.41735951269351e-16
"Batrachochytrium salamandrivorans",-0.378412742711379,-0.463149206565818,-0.294761515268684,6.09693511875287e-18
"Batrachochytrium dendrobatidis",-0.142588497821169,-0.363172588960947,0.0366635664872036,0.12703314496337
"Rhizoclosmatium globosum",-0.507610130821822,-0.573050990408632,-0.442328947715432,3.26969395730574e-48
"Anaeromyces robustus",-0.0398378603344423,-0.0955210443473845,0.0164915075753406,0.16764212107954
"Piromyces sp. E2",0.0345718332929084,-0.0312353788061757,0.101292781943461,0.295369196074439
"Piromyces finnis",0.107120059624822,0.0387431058312049,0.176782059399704,0.0023571466227029
"Neocallimastix californiae",-0.00164959008642393,-0.0737192038057789,0.0706942723962805,0.964437344486633
"Mortierella elongata",-0.251724733304471,-0.310979311497748,-0.191057561813464,1.47590309819753e-15
"Mortierella verticillata",0.0387567236060345,-0.0433561436579744,0.121470580803924,0.354384439540645
"Rhizophagus irregularis",0.140429598094716,0.0816421874076792,0.200076794322355,3.08568952382124e-06
"Rhizophagus clarus",-0.10208483362644,-0.152803365962728,-0.0512148040082568,0.00010032250299695
"Bifiguratus adelaidae",-0.334757083916369,-0.451968476450147,-0.218076504394715,2.71301956443145e-08
"Syncephalastrum racemosum",0.408453294902614,0.326979670414749,0.488509556738879,7.92225958436574e-22
"Lichtheimia corymbifera",-0.15077680383262,-0.22390860347299,-0.0759229361395022,6.72835778817962e-05
"Lichtheimia ramosa",0.416142048695229,0.332078448897162,0.501020539788211,3.07639841334687e-21
"Phycomyces blakesleeanus",-0.205522422704446,-0.266265465326713,-0.145154231202294,3.37791551518506e-11
"Hesseltinella vesiculosa",-0.00285674025896873,-0.0927676633806188,0.0878256586991997,0.955224890980298
"Absidia glauca",0.182294212829504,0.112923860874185,0.25333178066941,2.16171896317609e-07
"Absidia repens",0.232527152059353,0.169128817860698,0.298169321782937,5.71144957304482e-13
"Choanephora cucurbitarum",0.389597978274886,0.317688733335252,0.459423238572242,5.8066772120303e-25
"Mucor ambiguus",0.0494693758103648,-0.0392284384110925,0.137212790748987,0.281744360498968
"Mucor circinelloides",-0.014910847614254,-0.072082573847115,0.0420994349302634,0.602983089159265
"Rhizopus microsporus",0.0564495003348529,0.00717473162200649,0.109122757222041,0.0248603098464737
"Rhizopus delemar",0.339856717953339,0.267634443600935,0.413348154841539,3.22552642875333e-19
"Trachipleistophora hominis",0.0603208081646551,-0.0665353986772318,0.186675869531861,0.353544880886317
"Vavraia culicis",0.660489316063915,0.506913076248019,0.816417269244991,1.00395772318444e-14
"Anncaliia algerae",0.15974059215755,0.0801359437516477,0.239597635794949,9.4190226813391e-05
"Amphiamblys sp. WSBS2006",-0.0492963419136316,-0.242089090839861,0.14274577030951,0.612879375114943
"Ordospora colligata",0.319735625405569,0.163631653757431,0.49844995106265,5.14027151417025e-05
"Pseudoloma neurophilia",-0.328927123032384,-0.457957894831,-0.201551043719284,6.92300086694625e-07
"Nematocida parisii",-0.0277668583574659,-0.0420027827091304,-0.013689922340638,0.000122140955209189
"Nematocida displodere",-0.487488507045689,-0.789262126777018,-0.281641143728655,6.81003644430798e-08
"Nematocida sp. 1",-0.0575216743002546,-0.215454893347745,0.0899649350030826,0.447168571585183
"Nematocida sp. ERTm5",0.0898998113909011,-0.119482407078845,0.288090380489532,0.390911128237922
"Edhazardia aedis",0.0908499171295419,0.0277625432971291,0.153917166093946,0.00471610499156083
"Spraguea lophii",-0.0604066976333075,-0.177518601662769,0.0574666855045812,0.32400210408848
"Encephalitozoon intestinalis",-0.212496506703162,-0.474079062192267,-0.130648517745,1.07457398614595e-10
"Encephalitozoon cuniculi",-0.0729325218914533,-0.0998812925035429,-0.0473457132792439,2.42378560075541e-08
"Encephalitozoon hellem",-0.148038853590119,-0.240646809839777,-0.0869550909322068,7.88075634931829e-08
"Encephalitozoon romaleae",0.449435540134508,0.25564133158932,0.655204205768732,3.44392867737595e-06
"Vittaforma corneae",0.121833269818545,-0.0675393644139619,0.336417423585219,0.220209191798408
"Nosema apis",-0.356977184797434,-0.442094562688504,-0.27094503639618,3.34922862846917e-16
"Nosema ceranae",-0.190290110746526,-0.318727475893092,-0.0589755410529479,0.00492984435923869
"Nosema bombycis",0.104121062114178,0.00368968214773051,0.204521716081988,0.0426393487732229
"Enterospora canceri",-0.409088688795755,-0.686322737968196,-0.189360557296524,4.69125712784976e-05
"Hepatospora eriocheir",0.0974696583496589,-0.0252511511073279,0.216408064444959,0.11634757552069
"Enterocytozoon hepatopenaei",0.081444051555784,-0.0997231394529272,0.274336560362353,0.37888314400728
"Enterocytozoon bieneusi",-0.440897905577019,-0.514649278897194,-0.366184104333448,5.07670250985141e-29
"Wallemia mellicola",0.0707929759107169,-0.0938702754329838,0.231266105758991,0.396380541762531
"Wallemia ichthyophaga",-0.402561096132995,-0.518139691017952,-0.290211135771592,1.17043648763619e-11
"Mixia osmundae",-0.696501383661149,-0.852451020343945,-0.537183657510416,8.06847331848581e-17
"Microbotryum intermedium",-0.674513393217783,-0.814445130026026,-0.536365753524703,6.32563036817852e-21
"Leucosporidium creatinivorum",-0.120888307468107,-0.21562206156007,-0.0268565963621033,0.012202571782917
"Rhodotorula taiwanensis",-0.0830037746274765,-0.211425344563121,0.049031627733896,0.207724902140987
"Rhodotorula graminis",-0.575175865809278,-0.66262116497242,-0.486557733119216,9.75039435034561e-32
"Rhodotorula toruloides",0.124743396004537,0.00878272920719917,0.242648921075965,0.035270345767589
"Rhodotorula sp. JG-1b",-0.267023553778568,-0.375617927580159,-0.160441452463979,9.48324135551131e-07
"Puccinia coronata",-0.123587935816587,-0.174901020449029,-0.0704887438959595,8.73101108802089e-06
"Puccinia striiformis",0.0777228432372615,-0.0171524909367116,0.170888860693555,0.10689021484417
"Puccinia graminis",-0.210617553630404,-0.289413444755404,-0.131028760947072,3.04707147935027e-07
"Puccinia sorghi",-0.307955605608175,-0.367469918352829,-0.248827333835327,8.04708859011356e-24
"Malassezia globosa",0.764281434171591,0.658284727703629,0.871416920514547,1.37676599745614e-43
"Malassezia restricta",-1.34148854362923,-1.65943635581383,-0.999657536512629,7.24425707247976e-22
"Malassezia sympodialis",0.0398582350374126,-0.0827525547979555,0.164133907261395,0.536616356930421
