"Gene1","Gene2","CRC_cor","CRC_pVal","CTRL_cor","CTRL_pVal","zScoreDiff","pValDiff","empPVals","pValDiff_adj","Classes"
"Erysiphe pulchra","Thielaviopsis punctulata",0.86241292019093,0,0.232552278399842,7.0532955032121e-08,-16.578401658941,9.98493011652809e-62,0.000396825396825397,0.143002574590732,"+/+"
"Aspergillus rambellii","Sphaerulina musiva",0.749985883596759,0,0.0664092241876781,0.128592041635478,-14.0992016432345,3.84090271146883e-45,0.00064484126984127,0.143002574590732,"+/0"
"Erysiphe pulchra","Sphaerulina musiva",0.810739282851481,0,0.237915177545282,3.43364545685176e-08,-13.79127298939,2.87639002879876e-43,0.00064484126984127,0.143002574590732,"+/+"
"Aspergillus rambellii","Erysiphe pulchra",0.648528639317,0,0.0497374936298957,0.255280465005157,-11.2458245512176,2.42817013872107e-29,0.00104166666666667,0.205337030181564,"+/0"
"Rhizophagus clarus","Naumovozyma dairenensis",0.205117650232341,1.05599897701758e-05,0.649974940983999,0,8.82252115178977,1.11911049481251e-18,0.00277777777777778,0.426469216530941,"+/+"
"Sphaerulina musiva","Thielaviopsis punctulata",0.585766307473996,0,0.123552588075853,0.00458160052060896,-8.50867229026119,1.75936322420402e-17,0.00307539682539683,0.426469216530941,"+/+"
"Aspergillus rambellii","Thielaviopsis punctulata",0.451689545262095,0,0.015658149202754,0.720388174277819,-7.32886682734357,2.32106884902114e-13,0.00431547619047619,0.446238122480542,"+/0"
"Baudoinia panamericana","Choanephora cucurbitarum",0.37040513705267,4.44089209850063e-16,-0.0234702172879107,0.591569962825169,-6.41432732535122,1.41446008402741e-10,0.0066468253968254,0.446238122480542,"+/0"
"Moniliophthora perniciosa","Erysiphe pulchra",0.37937388961588,0,0.0365836795443796,0.402862735912548,-5.64219713604955,1.67893702801948e-08,0.00912698412698413,0.446238122480542,"+/0"
"Erysiphe pulchra","Edhazardia aedis",-0.119796770937059,0.0106275633383008,0.225617429198794,1.74402318364741e-07,5.44330866265531,5.22999064480921e-08,0.00972222222222222,0.446238122480542,"-/+"
"Moniliophthora perniciosa","Thielaviopsis punctulata",0.274363915736108,2.7767885768526e-09,-0.0630130240162277,0.149358392184032,-5.3613608246271,8.25973464046296e-08,0.0100198412698413,0.446238122480542,"+/0"
"Moniliophthora perniciosa","Sphaerulina musiva",0.34529187148385,3.68594044175552e-14,0.030287120174886,0.488642305441512,-5.12987991645782,2.89927069319576e-07,0.0113095238095238,0.446238122480542,"+/0"
"Erysiphe pulchra","Albugo candida",-0.0657378245498002,0.16200936016445,0.256253262883025,2.56502774576006e-09,5.10086972521587,3.38096227234808e-07,0.0114583333333333,0.446238122480542,"0/+"
"Aspergillus rambellii","Moniliophthora perniciosa",0.338429999656465,1.25455201782643e-13,0.584756509303461,0,4.9362233669603,7.96498799088451e-07,0.0119047619047619,0.446238122480542,"+/+"
"Trichoderma atroviride","Phytopythium vexans",0.364955393103486,8.88178419700125e-16,0.0708945943753787,0.104681472924457,-4.84655029699279,1.25626749580178e-06,0.0125496031746032,0.446238122480542,"+/0"
"Albugo candida","Naumovozyma dairenensis",0.321904922667221,2.0961010704923e-12,0.0281893145656766,0.519259761661409,-4.75317183123011,2.00250018621669e-06,0.0130952380952381,0.446238122480542,"+/0"
"Sphaerulina musiva","Leucoagaricus sp. SymC.cos",-0.106097220073252,0.0237719539044328,0.192400609915612,9.01729638380644e-06,4.6871084952712,2.77092089103595e-06,0.0132936507936508,0.446238122480542,"-/+"
"Phytopythium vexans","Thielaviopsis punctulata",-0.10699260515046,0.0226086184441781,0.189570108106419,1.22574652867691e-05,4.65550110004737,3.23193681074905e-06,0.0132936507936508,0.446238122480542,"-/+"
"Erysiphe pulchra","Rhizophagus clarus",-0.115383917156171,0.0138952315452796,0.177039744371747,4.52130409933638e-05,4.58597340070733,4.51876133399242e-06,0.0135912698412698,0.446238122480542,"-/+"
"Pichia kudriavzevii","Choanephora cucurbitarum",0.0496116109164144,0.291505943392436,0.323607424127343,2.88657986402541e-14,4.44899411052,8.62733815806304e-06,0.0143353174603175,0.446238122480542,"0/+"
"Erysiphe pulchra","Aspergillus ochraceoroseus",0.253443622618045,4.37640768069514e-08,-0.0260282684872603,0.551802124328369,-4.435067082929,9.20436227097065e-06,0.014484126984127,0.446238122480542,"+/0"
"Erysiphe pulchra","Tuber magnatum",-0.0502842952178696,0.285004738083084,0.225022352798381,1.88238846288158e-07,4.34396644545877,1.3993289821293e-05,0.0155753968253968,0.446238122480542,"0/+"
"Erysiphe pulchra","Pneumocystis murina",-0.0577974163988909,0.219020008327825,0.215280543383332,6.37676488501882e-07,4.30192232094863,1.69322676362315e-05,0.0157738095238095,0.446238122480542,"0/+"
"Erysiphe pulchra","Baudoinia panamericana",-0.0693810429621785,0.139937260256787,0.175272551920508,5.39723029948647e-05,3.83574221847085,0.000125185659669653,0.020734126984127,0.446238122480542,"0/+"
