"type","Classes","value","percentage"
"Bacteria","+/+",21,44.6808510638298
"Eukaryota","+/+",13,16.6666666666667
"Intersect","+/+",10,14.9253731343284
"Bacteria","+/0",17,36.1702127659575
"Eukaryota","+/0",21,26.9230769230769
"Intersect","+/0",38,56.7164179104478
"Bacteria","0/+",9,19.1489361702128
"Eukaryota","0/+",24,30.7692307692308
"Intersect","0/+",15,22.3880597014925
"Bacteria","0/0",0,0
"Eukaryota","0/0",1,1.28205128205128
"Intersect","0/0",1,1.49253731343284
"Bacteria","0/-",0,0
"Eukaryota","0/-",1,1.28205128205128
"Intersect","0/-",2,2.98507462686567
"Bacteria","-/+",0,0
"Eukaryota","-/+",6,7.69230769230769
"Intersect","-/+",0,0
"Bacteria","-/0",0,0
"Eukaryota","-/0",12,15.3846153846154
"Intersect","-/0",1,1.49253731343284
