Gene1,Gene2,CRC_cor,CRC_pVal,CTRL_cor,CTRL_pVal,zScoreDiff,pValDiff,empPVals,pValDiff_adj,Classes,color,width
Parvimonas micra,Porphyromonas asaccharolytica,0.162354157,0.000514952,0.973737876,0,31.04717814,1.25E-211,4.96E-05,0.088001584,+/+,pos,1
Gemella morbillorum,Porphyromonas asaccharolytica,0.158214782,0.000716556,0.822670617,0,15.63997264,3.89E-55,0.000396825,0.143002575,+/+,pos,1
Fusobacterium periodonticum,Prevotella intermedia,0.723985113,0,-0.004639781,0.915536397,-14.31998193,1.64E-46,0.000545635,0.143002575,+/0,pos,3
Parvimonas micra,Gemella morbillorum,0.409160544,0,0.857128137,0,13.18769936,1.03E-39,0.000644841,0.143002575,+/+,pos,2
Streptococcus anginosus,Streptococcus equinus,0.377541295,0,0.755179106,0,9.14177594,6.14E-20,0.00203373,0.360806496,+/+,pos,2
Fusobacterium nucleatum,Fusobacterium periodonticum,0.239842302,2.32E-07,0.613809083,0,7.317078428,2.53E-13,0.004315476,0.446238122,+/+,pos,1
Clostridium beijerinckii,Adlercreutzia equolifaciens,0.451677731,0,0.089073167,0.041338912,-6.183011118,6.29E-10,0.007242063,0.446238122,+/+,pos,2
Fusobacterium nucleatum,Parvimonas micra,0.60618327,0,0.297670265,3.34E-12,-6.15824172,7.36E-10,0.007440476,0.446238122,+/+,pos,3
Streptococcus anginosus,Streptococcus milleri,0.881167907,0,0.768292255,0,-5.674767363,1.39E-08,0.008928571,0.446238122,+/+,pos,3
Gemella morbillorum,Dialister pneumosintes,0.542406908,0,0.264319024,7.67E-10,-5.239096457,1.61E-07,0.010515873,0.446238122,+/+,pos,3
Gemella morbillorum,Fusobacterium periodonticum,0.316928209,4.74E-12,0.025751811,0.55603615,-4.70490651,2.54E-06,0.013244048,0.446238122,+/0,pos,2
Romboutsia ilealis,Adlercreutzia equolifaciens,0.284721891,6.48E-10,0.010981026,0.801802689,-4.383860974,1.17E-05,0.015128968,0.446238122,+/0,pos,1
Gemella morbillorum,Streptococcus anginosus,0.285632413,5.69E-10,0.021722899,0.619466657,-4.232142835,2.31E-05,0.016666667,0.446238122,+/0,pos,1
Gemella morbillorum,Lactococcus garvieae,0.265515434,9.18E-09,0.003358786,0.938801566,-4.179197563,2.93E-05,0.016964286,0.446238122,+/0,pos,1
Anaerostipes hadrus,Pseudobutyrivibrio xylanivorans,0.490823984,0,0.265172155,6.73E-10,-4.129539012,3.63E-05,0.017261905,0.446238122,+/+,pos,2
Gemella morbillorum,Prevotella intermedia,0.303713475,3.84E-11,0.052485523,0.229923651,-4.060941072,4.89E-05,0.018105159,0.446238122,+/0,pos,2
[Eubacterium] eligens,Streptococcus salivarius,0.281383757,1.04E-09,0.031157895,0.476224314,-4.013414969,5.98E-05,0.018650794,0.446238122,+/0,pos,1
Fusobacterium nucleatum,Prevotella intermedia,0.272143725,3.76E-09,0.032337131,0.459685962,-3.839401721,0.000123334,0.020684524,0.446238122,+/0,pos,1
Romboutsia ilealis,[Eubacterium] eligens,0.305812669,2.77E-11,0.070205545,0.108107044,-3.820255517,0.000133313,0.020833333,0.446238122,+/0,pos,2
Streptococcus salivarius,Streptococcus milleri,0.682964404,0,0.530745607,0,-3.787094472,0.000152419,0.021081349,0.446238122,+/+,pos,3
Pseudobutyrivibrio xylanivorans,Streptococcus thermophilus,0.283275315,7.97E-10,0.050145145,0.2514012,-3.749543881,0.000177156,0.021478175,0.446238122,+/0,pos,1
