Gene1,Gene2,CRC_cor,CRC_pVal,CTRL_cor,CTRL_pVal,zScoreDiff,pValDiff,empPVals,pValDiff_adj,Classes,color,width
Parvimonas micra,Porphyromonas asaccharolytica,0.162354157,0.000514952,0.973737876,0,31.04717814,1.25E-211,4.96E-05,0.088001584,+/+,pos,3
Gemella morbillorum,Porphyromonas asaccharolytica,0.158214782,0.000716556,0.822670617,0,15.63997264,3.89E-55,0.000396825,0.143002575,+/+,pos,3
Parvimonas micra,Gemella morbillorum,0.409160544,0,0.857128137,0,13.18769936,1.03E-39,0.000644841,0.143002575,+/+,pos,3
Streptococcus anginosus,Streptococcus equinus,0.377541295,0,0.755179106,0,9.14177594,6.14E-20,0.00203373,0.360806496,+/+,pos,3
Fusobacterium nucleatum,Fusobacterium periodonticum,0.239842302,2.32E-07,0.613809083,0,7.317078428,2.53E-13,0.004315476,0.446238122,+/+,pos,3
Clostridium beijerinckii,Adlercreutzia equolifaciens,0.451677731,0,0.089073167,0.041338912,-6.183011118,6.29E-10,0.007242063,0.446238122,+/+,pos,1
Fusobacterium nucleatum,Parvimonas micra,0.60618327,0,0.297670265,3.34E-12,-6.15824172,7.36E-10,0.007440476,0.446238122,+/+,pos,1
Streptococcus anginosus,Streptococcus milleri,0.881167907,0,0.768292255,0,-5.674767363,1.39E-08,0.008928571,0.446238122,+/+,pos,3
Brachyspira pilosicoli,[Eubacterium] eligens,-0.020627214,0.661136401,0.313971818,1.79E-13,5.375393356,7.64E-08,0.009970238,0.446238122,0/+,pos,2
Gemella morbillorum,Dialister pneumosintes,0.542406908,0,0.264319024,7.67E-10,-5.239096457,1.61E-07,0.010515873,0.446238122,+/+,pos,1
Butyrivibrio proteoclasticus,Prevotella intermedia,0.001959549,0.966787608,0.269784878,3.31E-10,4.272498167,1.93E-05,0.016121032,0.446238122,0/+,pos,1
Anaerostipes hadrus,Pseudobutyrivibrio xylanivorans,0.490823984,0,0.265172155,6.73E-10,-4.129539012,3.63E-05,0.017261905,0.446238122,+/+,pos,1
Clostridium beijerinckii,Fusobacterium periodonticum,-0.021773772,0.643568212,0.223599528,2.26E-07,3.87657706,0.000105936,0.020039683,0.446238122,0/+,pos,1
Streptococcus salivarius,Streptococcus milleri,0.682964404,0,0.530745607,0,-3.787094472,0.000152419,0.021081349,0.446238122,+/+,pos,3
Butyrivibrio proteoclasticus,Clostridium beijerinckii,0.598981169,0,0.429073453,0,-3.621121646,0.000293329,0.023363095,0.446238122,+/+,pos,2
Dialister pneumosintes,Prevotella intermedia,0.338466773,1.25E-13,0.125797842,0.003889379,-3.513728207,0.000441865,0.024950397,0.446238122,+/+,pos,1
Pseudobutyrivibrio xylanivorans,Clostridium beijerinckii,0.57081622,0,0.401078569,0,-3.481171856,0.000499225,0.025396825,0.446238122,+/+,pos,2
Anaerostipes hadrus,Romboutsia ilealis,0.33589381,1.95E-13,0.137069662,0.001643663,-3.290156081,0.001001318,0.028224206,0.446238122,+/+,pos,1
[Eubacterium] eligens,Clostridium beijerinckii,0.369581573,4.44E-16,0.179038768,3.69E-05,-3.219069231,0.001286074,0.028769841,0.446238122,+/+,pos,1
Fusobacterium periodonticum,Streptococcus salivarius,-0.018452778,0.694963712,0.184634682,2.07E-05,3.192356198,0.001411172,0.029365079,0.446238122,0/+,pos,1
Anaerostipes hadrus,Clostridium beijerinckii,0.380102099,0,0.192824094,8.61E-06,-3.187358544,0.001435787,0.029365079,0.446238122,+/+,pos,1
Pseudobutyrivibrio xylanivorans,Prevotella intermedia,-0.035728162,0.447605171,0.163957341,0.000161073,3.12955239,0.001750729,0.030803571,0.446238122,0/+,pos,1
Streptococcus thermophilus,Escherichia coli,0.018795866,0.68958382,0.212650541,8.78E-07,3.066612089,0.002164996,0.032291667,0.446238122,0/+,pos,1
Romboutsia ilealis,Clostridium beijerinckii,0.557451084,0,0.408080719,0,-3.045977184,0.002319254,0.032787698,0.446238122,+/+,pos,2
Anaerostipes hadrus,Butyrivibrio proteoclasticus,0.424989,0,0.259170167,1.67E-09,-2.932820902,0.003358976,0.035763889,0.446238122,+/+,pos,1
