Species,EnrichDeplete,Counts,labels_1,labels_2,show_name,Kingdom,ED-Label
Parvimonas micra,Enriched,11,rank1,Potential Pathogens,Parvimonas micra,Bacteria,Enriched-Bacteria
Bifidobacterium angulatum,Depleted,1,rank3,none,,Bacteria,Depleted-Bacteria
Erysiphe pulchra,Enriched,21,rank1,Eukaryota,Erysiphe pulchra,Eukaryota,Enriched-Eukaryota
Gemella morbillorum,Enriched,9,rank2,Potential Pathogens,Gemella morbillorum,Bacteria,Enriched-Bacteria
Fusobacterium periodonticum,Enriched,10,rank1,Potential Pathogens,Fusobacterium periodonticum,Bacteria,Enriched-Bacteria
Aspergillus rambellii,Enriched,11,rank1,Eukaryota,Aspergillus rambellii,Eukaryota,Enriched-Eukaryota
Streptococcus anginosus,Enriched,4,rank3,Potential Pathogens,Streptococcus anginosus,Bacteria,Enriched-Bacteria
Rhizophagus clarus,Depleted,8,rank2,Eukaryota,,Eukaryota,Depleted-Eukaryota
Sphaerulina musiva,Enriched,14,rank1,Eukaryota,Sphaerulina musiva,Eukaryota,Enriched-Eukaryota
Streptococcus thermophilus,Depleted,5,rank2,Potential Probiotic,Streptococcus thermophilus,Bacteria,Depleted-Bacteria
Fusobacterium nucleatum,Enriched,13,rank1,Potential Pathogens,Fusobacterium nucleatum,Bacteria,Enriched-Bacteria
Dialister pneumosintes,Enriched,7,rank2,Potential Pathogens,Dialister pneumosintes,Bacteria,Enriched-Bacteria
Brachyspira pilosicoli,Depleted,4,rank3,none,,Bacteria,Depleted-Bacteria
Baudoinia panamericana,Depleted,8,rank2,Eukaryota,,Eukaryota,Depleted-Eukaryota
Romboutsia ilealis,Depleted,11,rank1,none,Romboutsia ilealis,Bacteria,Depleted-Bacteria
Clostridium beijerinckii,Depleted,13,rank1,none,Clostridium beijerinckii,Bacteria,Depleted-Bacteria
Bifidobacterium pseudocatenulatum,Depleted,1,rank3,none,,Bacteria,Depleted-Bacteria
Moniliophthora perniciosa,Enriched,6,rank2,Eukaryota,,Eukaryota,Enriched-Eukaryota
Roseburia intestinalis,Depleted,1,rank3,Potential Probiotic,Roseburia intestinalis,Bacteria,Depleted-Bacteria
Streptococcus salivarius,Depleted,9,rank2,Potential Pathogens,Streptococcus salivarius,Bacteria,Depleted-Bacteria
Trichoderma atroviride,Depleted,2,rank3,Eukaryota,,Eukaryota,Depleted-Eukaryota
Albugo candida,Depleted,11,rank1,Eukaryota,Albugo candida,Eukaryota,Depleted-Eukaryota
Phytopythium vexans,Enriched,5,rank2,Eukaryota,,Eukaryota,Enriched-Eukaryota
Pichia kudriavzevii,Depleted,15,rank1,Eukaryota,Pichia kudriavzevii,Eukaryota,Depleted-Eukaryota
Butyrivibrio proteoclasticus,Depleted,8,rank2,none,,Bacteria,Depleted-Bacteria
Anaerostipes hadrus,Depleted,6,rank2,Potential Pathogens,Anaerostipes hadrus,Bacteria,Depleted-Bacteria
[Eubacterium] eligens,Depleted,9,rank2,Potential Probiotic,[Eubacterium] eligens,Bacteria,Depleted-Bacteria
Adlercreutzia equolifaciens,Depleted,4,rank3,none,,Bacteria,Depleted-Bacteria
Pseudobutyrivibrio xylanivorans,Depleted,8,rank2,none,,Bacteria,Depleted-Bacteria
Rhizophagus irregularis,Depleted,7,rank2,Eukaryota,,Eukaryota,Depleted-Eukaryota
Schizosaccharomyces pombe,Depleted,7,rank2,Eukaryota,,Eukaryota,Depleted-Eukaryota
Leucoagaricus sp. SymC.cos,Depleted,4,rank3,Eukaryota,,Eukaryota,Depleted-Eukaryota
[Candida] arabinofermentans,Depleted,6,rank2,Eukaryota,,Eukaryota,Depleted-Eukaryota
Streptococcus milleri,Enriched,5,rank2,none,,Bacteria,Enriched-Bacteria
Cordyceps sp. RAO-2017,Enriched,2,rank3,Eukaryota,,Eukaryota,Enriched-Eukaryota
Hyaloscypha variabilis,Depleted,3,rank3,Eukaryota,,Eukaryota,Depleted-Eukaryota
Paracoccidioides brasiliensis,Depleted,3,rank3,Eukaryota,,Eukaryota,Depleted-Eukaryota
Naumovozyma dairenensis,Depleted,8,rank2,Eukaryota,,Eukaryota,Depleted-Eukaryota
Thielaviopsis punctulata,Enriched,22,rank1,Eukaryota,Thielaviopsis punctulata,Eukaryota,Enriched-Eukaryota
Aspergillus ochraceoroseus,Enriched,7,rank2,Eukaryota,,Eukaryota,Enriched-Eukaryota
Pseudocercospora musae,Depleted,5,rank2,Eukaryota,,Eukaryota,Depleted-Eukaryota
Phytophthora capsici,Enriched,4,rank3,Eukaryota,,Eukaryota,Enriched-Eukaryota
Aspergillus kawachii,Depleted,1,rank3,Eukaryota,,Eukaryota,Depleted-Eukaryota
Streptococcus equinus,Depleted,6,rank2,none,,Bacteria,Depleted-Bacteria
Colletotrichum fioriniae,Depleted,3,rank3,Eukaryota,,Eukaryota,Depleted-Eukaryota
Lactobacillus ruminis,Depleted,3,rank3,Potential Probiotic,Lactobacillus ruminis,Bacteria,Depleted-Bacteria
Coniochaeta ligniaria,Enriched,3,rank3,Eukaryota,,Eukaryota,Enriched-Eukaryota
Prevotella intermedia,Enriched,7,rank2,Potential Pathogens,Prevotella intermedia,Bacteria,Enriched-Bacteria
Colletotrichum salicis,Depleted,2,rank3,Eukaryota,,Eukaryota,Depleted-Eukaryota
Edhazardia aedis,Depleted,14,rank1,Eukaryota,Edhazardia aedis,Eukaryota,Depleted-Eukaryota
Pneumocystis murina,Depleted,3,rank3,Eukaryota,,Eukaryota,Depleted-Eukaryota
Porphyromonas asaccharolytica,Enriched,2,rank3,Potential Pathogens,Porphyromonas asaccharolytica,Bacteria,Enriched-Bacteria
Trichophyton mentagrophytes,Depleted,1,rank3,Eukaryota,,Eukaryota,Depleted-Eukaryota
Choanephora cucurbitarum,Depleted,8,rank2,Eukaryota,,Eukaryota,Depleted-Eukaryota
Debaryomyces hansenii,Depleted,1,rank3,Eukaryota,,Eukaryota,Depleted-Eukaryota
Tuber magnatum,Depleted,5,rank2,Eukaryota,,Eukaryota,Depleted-Eukaryota
Lactococcus garvieae,Depleted,2,rank3,none,,Bacteria,Depleted-Bacteria
Escherichia coli,Enriched,1,rank3,none,,Bacteria,Enriched-Bacteria
Lipomyces starkeyi,Depleted,3,rank3,Eukaryota,,Eukaryota,Depleted-Eukaryota
Bifidobacterium adolescentis,Depleted,1,rank3,none,,Bacteria,Depleted-Bacteria
