Species,EnrichDeplete,Counts,labels_1,labels_2,show_name,Kingdom,ED-Label
Parvimonas micra,Enriched,11,rank1,Potential Pathogens,Parvimonas micra,Bacteria,Bac_En
Bifidobacterium angulatum,Depleted,1,rank3,none,,Bacteria,Bac_De
Erysiphe pulchra,Enriched,21,rank1,Eukaryota,Erysiphe pulchra,Eukaryota,Euk_En
Gemella morbillorum,Enriched,9,rank2,Potential Pathogens,Gemella morbillorum,Bacteria,Bac_En
Fusobacterium periodonticum,Enriched,10,rank1,Potential Pathogens,Fusobacterium periodonticum,Bacteria,Bac_En
Aspergillus rambellii,Enriched,11,rank1,Eukaryota,Aspergillus rambellii,Eukaryota,Euk_En
Streptococcus anginosus,Enriched,4,rank3,Potential Pathogens,Streptococcus anginosus,Bacteria,Bac_En
Rhizophagus clarus,Depleted,8,rank2,Eukaryota,,Eukaryota,Euk_De
Sphaerulina musiva,Enriched,14,rank1,Eukaryota,Sphaerulina musiva,Eukaryota,Euk_En
Streptococcus thermophilus,Depleted,5,rank2,Potential Probiotic,Streptococcus thermophilus,Bacteria,Bac_De
Fusobacterium nucleatum,Enriched,13,rank1,Potential Pathogens,Fusobacterium nucleatum,Bacteria,Bac_En
Dialister pneumosintes,Enriched,7,rank2,Potential Pathogens,Dialister pneumosintes,Bacteria,Bac_En
Brachyspira pilosicoli,Depleted,4,rank3,none,,Bacteria,Bac_De
Baudoinia panamericana,Depleted,8,rank2,Eukaryota,,Eukaryota,Euk_De
Romboutsia ilealis,Depleted,11,rank1,none,Romboutsia ilealis,Bacteria,Bac_De
Clostridium beijerinckii,Depleted,13,rank1,none,Clostridium beijerinckii,Bacteria,Bac_De
Bifidobacterium pseudocatenulatum,Depleted,1,rank3,none,,Bacteria,Bac_De
Moniliophthora perniciosa,Enriched,6,rank2,Eukaryota,,Eukaryota,Euk_En
Roseburia intestinalis,Depleted,1,rank3,Potential Probiotic,Roseburia intestinalis,Bacteria,Bac_De
Streptococcus salivarius,Depleted,9,rank2,Potential Probiotic,Streptococcus salivarius,Bacteria,Bac_De
Trichoderma atroviride,Depleted,2,rank3,Eukaryota,,Eukaryota,Euk_De
Albugo candida,Depleted,11,rank1,Eukaryota,Albugo candida,Eukaryota,Euk_De
Phytopythium vexans,Enriched,5,rank2,Eukaryota,,Eukaryota,Euk_En
Pichia kudriavzevii,Depleted,15,rank1,Eukaryota,Pichia kudriavzevii,Eukaryota,Euk_De
Butyrivibrio proteoclasticus,Depleted,8,rank2,none,,Bacteria,Bac_De
Anaerostipes hadrus,Depleted,6,rank2,Potential Probiotic,Anaerostipes hadrus,Bacteria,Bac_De
[Eubacterium] eligens,Depleted,9,rank2,Potential Probiotic,[Eubacterium] eligens,Bacteria,Bac_De
Adlercreutzia equolifaciens,Depleted,4,rank3,none,,Bacteria,Bac_De
Pseudobutyrivibrio xylanivorans,Depleted,8,rank2,none,,Bacteria,Bac_De
Rhizophagus irregularis,Depleted,7,rank2,Eukaryota,,Eukaryota,Euk_De
Schizosaccharomyces pombe,Depleted,7,rank2,Eukaryota,,Eukaryota,Euk_De
Leucoagaricus sp. SymC.cos,Depleted,4,rank3,Eukaryota,,Eukaryota,Euk_De
[Candida] arabinofermentans,Depleted,6,rank2,Eukaryota,,Eukaryota,Euk_De
