Gene1,Gene2,CRC_cor,CRC_pVal,CTRL_cor,CTRL_pVal,zScoreDiff,pValDiff,empPVals,pValDiff_adj,Classes,type,abs_zScoreDiff,PostNeg,zScore_rank
Parvimonas micra,Porphyromonas asaccharolytica,0.162354157,0.000514952,0.973737876,0,31.04717814,1.25E-211,4.96E-05,0.088001584,+/+,Bacteria,31.04717814,1,rank1
Bifidobacterium angulatum,Trichophyton mentagrophytes,0.007710516,0.869857401,0.872338119,0,20.76684891,8.63E-96,0.000347222,0.143002575,0/+,Intersect,20.76684891,1,rank1
Erysiphe pulchra,Thielaviopsis punctulata,0.86241292,0,0.232552278,7.05E-08,-16.57840166,9.98E-62,0.000396825,0.143002575,+/+,Eukaryota,16.57840166,-1,rank1
Gemella morbillorum,Porphyromonas asaccharolytica,0.158214782,0.000716556,0.822670617,0,15.63997264,3.89E-55,0.000396825,0.143002575,+/+,Bacteria,15.63997264,1,rank1
Fusobacterium periodonticum,Prevotella intermedia,0.723985113,0,-0.004639781,0.915536397,-14.31998193,1.64E-46,0.000545635,0.143002575,+/0,Bacteria,14.31998193,-1,rank1
Aspergillus rambellii,Sphaerulina musiva,0.749985884,0,0.066409224,0.128592042,-14.09920164,3.84E-45,0.000644841,0.143002575,+/0,Eukaryota,14.09920164,-1,rank1
Erysiphe pulchra,Sphaerulina musiva,0.810739283,0,0.237915178,3.43E-08,-13.79127299,2.88E-43,0.000644841,0.143002575,+/+,Eukaryota,13.79127299,-1,rank1
Parvimonas micra,Gemella morbillorum,0.409160544,0,0.857128137,0,13.18769936,1.03E-39,0.000644841,0.143002575,+/+,Bacteria,13.18769936,1,rank1
Aspergillus rambellii,Erysiphe pulchra,0.648528639,0,0.049737494,0.255280465,-11.24582455,2.43E-29,0.001041667,0.20533703,+/0,Eukaryota,11.24582455,-1,rank1
Streptococcus anginosus,Streptococcus equinus,0.377541295,0,0.755179106,0,9.14177594,6.14E-20,0.00203373,0.360806496,+/+,Bacteria,9.14177594,1,rank2
Rhizophagus clarus,Naumovozyma dairenensis,0.20511765,1.06E-05,0.649974941,0,8.822521152,1.12E-18,0.002777778,0.426469217,+/+,Eukaryota,8.822521152,1,rank2
Sphaerulina musiva,Thielaviopsis punctulata,0.585766307,0,0.123552588,0.004581601,-8.50867229,1.76E-17,0.003075397,0.426469217,+/+,Eukaryota,8.50867229,-1,rank2
Streptococcus thermophilus,Pichia kudriavzevii,0.524526581,0,0.042184428,0.334698972,-8.405159956,4.27E-17,0.003125,0.426469217,+/0,Intersect,8.405159956,-1,rank2
Aspergillus rambellii,Thielaviopsis punctulata,0.451689545,0,0.015658149,0.720388174,-7.328866827,2.32E-13,0.004315476,0.446238122,+/0,Eukaryota,7.328866827,-1,rank2
Fusobacterium nucleatum,Fusobacterium periodonticum,0.239842302,2.32E-07,0.613809083,0,7.317078428,2.53E-13,0.004315476,0.446238122,+/+,Bacteria,7.317078428,1,rank2
Dialister pneumosintes,Aspergillus rambellii,0.036720058,0.435090312,0.444565989,0,6.862362961,6.77E-12,0.005406746,0.446238122,0/+,Intersect,6.862362961,1,rank2
Brachyspira pilosicoli,Schizosaccharomyces pombe,0.380141622,0,-0.037203317,0.394937258,-6.804421909,1.01E-11,0.005505952,0.446238122,+/0,Intersect,6.804421909,-1,rank2
Baudoinia panamericana,Choanephora cucurbitarum,0.370405137,4.44E-16,-0.023470217,0.591569963,-6.414327325,1.41E-10,0.006646825,0.446238122,+/0,Eukaryota,6.414327325,-1,rank2
Romboutsia ilealis,Albugo candida,0.394486344,0,0.007320256,0.86710993,-6.374112548,1.84E-10,0.006746032,0.446238122,+/0,Intersect,6.374112548,-1,rank2
Clostridium beijerinckii,Adlercreutzia equolifaciens,0.451677731,0,0.089073167,0.041338912,-6.183011118,6.29E-10,0.007242063,0.446238122,+/+,Bacteria,6.183011118,-1,rank2
Fusobacterium nucleatum,Parvimonas micra,0.60618327,0,0.297670265,3.34E-12,-6.15824172,7.36E-10,0.007440476,0.446238122,+/+,Bacteria,6.15824172,-1,rank2
Fusobacterium nucleatum,Aspergillus rambellii,0.39329118,0,0.033449001,0.444390572,-5.945485882,2.76E-09,0.008134921,0.446238122,+/0,Intersect,5.945485882,-1,rank2
Dialister pneumosintes,Moniliophthora perniciosa,-0.037696238,0.42297264,0.327603456,1.33E-14,5.877500072,4.17E-09,0.00828373,0.446238122,0/+,Intersect,5.877500072,1,rank2
Bifidobacterium pseudocatenulatum,Debaryomyces hansenii,0.338042626,1.34E-13,-0.024570795,0.574299626,-5.855744815,4.75E-09,0.008482143,0.446238122,+/0,Intersect,5.855744815,-1,rank2
Streptococcus anginosus,Streptococcus milleri,0.881167907,0,0.768292255,0,-5.674767363,1.39E-08,0.008928571,0.446238122,+/+,Bacteria,5.674767363,-1,rank2
Moniliophthora perniciosa,Erysiphe pulchra,0.37937389,0,0.03658368,0.402862736,-5.642197136,1.68E-08,0.009126984,0.446238122,+/0,Eukaryota,5.642197136,-1,rank2
Erysiphe pulchra,Edhazardia aedis,-0.119796771,0.010627563,0.225617429,1.74E-07,5.443308663,5.23E-08,0.009722222,0.446238122,-/+,Eukaryota,5.443308663,1,rank2
Brachyspira pilosicoli,[Eubacterium] eligens,-0.020627214,0.661136401,0.313971818,1.79E-13,5.375393356,7.64E-08,0.009970238,0.446238122,0/+,Bacteria,5.375393356,1,rank2
Moniliophthora perniciosa,Thielaviopsis punctulata,0.274363916,2.78E-09,-0.063013024,0.149358392,-5.361360825,8.26E-08,0.010019841,0.446238122,+/0,Eukaryota,5.361360825,-1,rank2
Gemella morbillorum,Dialister pneumosintes,0.542406908,0,0.264319024,7.67E-10,-5.239096457,1.61E-07,0.010515873,0.446238122,+/+,Bacteria,5.239096457,-1,rank2
Roseburia intestinalis,Pseudocercospora musae,0.386701716,0,0.076221189,0.081015685,-5.157173565,2.51E-07,0.011061508,0.446238122,+/0,Intersect,5.157173565,-1,rank2
Moniliophthora perniciosa,Sphaerulina musiva,0.345291871,3.69E-14,0.03028712,0.488642305,-5.129879916,2.90E-07,0.011309524,0.446238122,+/0,Eukaryota,5.129879916,-1,rank2
