"Gene1","Gene2","adenoma_cor","adenoma_pVal","CTRL_cor","CTRL_pVal","zScoreDiff","pValDiff","empPVals","pValDiff_adj","Classes","type","abs_zScoreDiff"
"Parvimonas micra","Porphyromonas asaccharolytica",0.010104785826215,0.85058522344769,0.973737876080064,0,31.0357714171179,1.77523637109325e-211,4.96031746031746e-05,0.0851995773673737,"0/+","Bacteria",31.0357714171179
"Bifidobacterium angulatum","Trichophyton mentagrophytes",-0.00807823926619228,0.880297701751068,0.872338118520702,0,19.5029190603882,1.03691957351336e-84,0.000793650793650794,0.624796900694074,"0/+","Intersect",19.5029190603882
"Gemella morbillorum","Porphyromonas asaccharolytica",-0.0148407316097355,0.782036057683891,0.822670617264515,0,17.0342467369756,4.57595675569216e-65,0.00109126984126984,0.624796900694074,"0/+","Bacteria",17.0342467369756
"Romboutsia ilealis","Moniliophthora perniciosa",0.731011153974709,0,0.0573278170082893,0.189691210327675,-12.6111704621459,1.83251081351235e-36,0.00183531746031746,0.733536468243164,"+/0","Intersect",12.6111704621459
"Streptococcus salivarius","Streptococcus equinus",0.92651176441557,0,0.698809954376533,0,-11.0908327540721,1.3898781561448e-28,0.00287698412698413,0.733536468243164,"+/+","Bacteria",11.0908327540721
"Streptococcus anginosus","Streptococcus equinus",0.335748033578815,1.14166454068254e-10,0.755179105735312,0,9.17653665381471,4.45179065248852e-20,0.00421626984126984,0.733536468243164,"+/+","Bacteria",9.17653665381471
"Porphyromonas asaccharolytica","Prevotella intermedia",0.5637919215316,0,0.125405992035731,0.00400290762501232,-7.39637223828962,1.39955331637876e-13,0.0066468253968254,0.733536468243164,"+/+","Bacteria",7.39637223828962
"Parvimonas micra","Romboutsia ilealis",0.47672721995692,0,0.0137989818550043,0.752430795591847,-7.29004640671957,3.0984827831546e-13,0.00679563492063492,0.733536468243164,"+/0","Bacteria",7.29004640671957
"Hyaloscypha variabilis","Choanephora cucurbitarum",0.512613967110128,0,0.0683083878862373,0.117996746887023,-7.18773713580122,6.5873928327052e-13,0.00699404761904762,0.733536468243164,"+/0","Eukaryota",7.18773713580122
"Dialister pneumosintes","Aspergillus rambellii",-0.0144911611562641,0.787045502742589,0.444565988765941,0,7.10898487771294,1.1689955355755e-12,0.00709325396825397,0.733536468243164,"0/+","Intersect",7.10898487771294
"Bifidobacterium bifidum","Bifidobacterium adolescentis",0.481790328485814,0,0.0360990383780108,0.409127274719708,-7.06277194293573,1.63213474918657e-12,0.00729166666666667,0.733536468243164,"+/0","Bacteria",7.06277194293573
"Parvimonas micra","Gemella morbillorum",0.66270996057151,0,0.857128136630568,0,6.99910735528261,2.57598426246821e-12,0.00739087301587302,0.733536468243164,"+/+","Bacteria",6.99910735528261
"Rhizophagus clarus","Naumovozyma dairenensis",0.3094711786659,3.32299388006163e-09,0.649974940983999,0,6.57329060378025,4.92152692178177e-11,0.00818452380952381,0.733536468243164,"+/+","Eukaryota",6.57329060378025
"Streptococcus anginosus","Streptococcus milleri",0.896788554026443,0,0.768292255411942,0,-6.34413511857308,2.23678450712647e-10,0.00853174603174603,0.733536468243164,"+/+","Bacteria",6.34413511857308
"Pichia kudriavzevii","Aspergillus ochraceoroseus",0.43645187538294,0,0.0641626313559012,0.142060907852853,-5.82678241412277,5.65062066581355e-09,0.00942460317460317,0.733536468243164,"+/0","Eukaryota",5.82678241412277
"Fusobacterium nucleatum","Fusobacterium periodonticum",0.799298887426295,0,0.613809082712715,0,-5.51015508111135,3.58517688243972e-08,0.0104662698412698,0.733536468243164,"+/+","Bacteria",5.51015508111135
"Streptococcus anginosus","Streptococcus salivarius",0.234853598185463,8.98553923489587e-06,0.546640016187194,0,5.40330564547328,6.54238381051441e-08,0.0106646825396825,0.733536468243164,"+/+","Bacteria",5.40330564547328
"Romboutsia ilealis","Clostridium beijerinckii",0.0606102835086399,0.25809794504483,0.40808071874961,0,5.37970124253145,7.46095505661156e-08,0.0107142857142857,0.733536468243164,"0/+","Bacteria",5.37970124253145
"Dialister pneumosintes","Moniliophthora perniciosa",-0.0224005718441457,0.676217974581452,0.327603456213591,1.33226762955019e-14,5.23422824054319,1.65675629134181e-07,0.0113095238095238,0.733536468243164,"0/+","Intersect",5.23422824054319
"Parvimonas micra","Moniliophthora perniciosa",0.33188332400319,1.91322069298394e-10,0.0184967913603878,0.672411476962571,-4.71301919613708,2.44073194277225e-06,0.0129960317460317,0.733536468243164,"+/0","Intersect",4.71301919613708
"Fusobacterium periodonticum","Trichoderma atroviride",0.275723478628532,1.59005307365234e-07,-0.0406586080256566,0.352490335509106,-4.67381374577989,2.95657479343112e-06,0.0132936507936508,0.733536468243164,"+/0","Intersect",4.67381374577989
"Streptococcus milleri","Colletotrichum fioriniae",0.302509645144561,7.69272956446798e-09,-0.00657429055577998,0.88054489951361,-4.60343642616546,4.15576093706265e-06,0.0138888888888889,0.733536468243164,"+/0","Intersect",4.60343642616546
"Prevotella intermedia","Thielaviopsis punctulata",0.214056222944279,5.40951578904547e-05,-0.0964996443587466,0.0270374653888004,-4.53652251039609,5.71893878412477e-06,0.0144345238095238,0.733536468243164,"+/-","Intersect",4.53652251039609
"Brachyspira pilosicoli","[Eubacterium] eligens",0.011023230395706,0.837185976608736,0.313971817878867,1.78523862359725e-13,4.53222683566271,5.83651256366801e-06,0.0144345238095238,0.733536468243164,"0/+","Bacteria",4.53222683566271
"Albugo candida","Naumovozyma dairenensis",0.321549214143133,7.34714067363029e-10,0.0281893145656766,0.519259761661409,-4.40597703010945,1.05308123018825e-05,0.0154761904761905,0.733536468243164,"+/0","Eukaryota",4.40597703010945
"Bifidobacterium pseudocatenulatum","Schizosaccharomyces pombe",0.303989064717948,6.44773634483897e-09,0.00915106113720009,0.834306356553554,-4.39991972908285,1.0829092832725e-05,0.0155257936507937,0.733536468243164,"+/0","Intersect",4.39991972908285
"Streptococcus anginosus","Colletotrichum fioriniae",0.267557779193622,3.76315514305503e-07,-0.0237320407318643,0.587439898258421,-4.30189317751941,1.69344953776609e-05,0.0161210317460317,0.733536468243164,"+/0","Intersect",4.30189317751941
"Romboutsia ilealis","Aspergillus rambellii",0.28025902747215,9.73330731568467e-08,-0.00961647803978833,0.826010503164507,-4.2962915043501,1.7367916540465e-05,0.0161706349206349,0.733536468243164,"+/0","Intersect",4.2962915043501
"Naumovozyma dairenensis","Hyaloscypha variabilis",0.48698303569227,0,0.235437578799822,4.79873500935923e-08,-4.21803288230309,2.46442886551431e-05,0.0166170634920635,0.733536468243164,"+/+","Eukaryota",4.21803288230309
"Naumovozyma dairenensis","Edhazardia aedis",0.295556925155402,1.7405885621713e-08,0.0164592995805616,0.706726210612336,-4.16062996804649,3.17370944224562e-05,0.0171626984126984,0.733536468243164,"+/0","Eukaryota",4.16062996804649
"Streptococcus salivarius","Streptococcus milleri",0.30113889325365,9.05188812794222e-09,0.530745606644701,0,4.04841591933905,5.1565452034904e-05,0.0179563492063492,0.733536468243164,"+/+","Bacteria",4.04841591933905
"Moniliophthora perniciosa","Pneumocystis murina",0.24798086160117,2.64972922914275e-06,-0.0246019337527354,0.573814478357391,-4.01168901154027,6.02858820986682e-05,0.0183531746031746,0.733536468243164,"+/0","Eukaryota",4.01168901154027
"Fusobacterium nucleatum","Trichoderma atroviride",0.253016762877236,1.62822720284339e-06,-0.0138877677979521,0.750890356466841,-3.93451854234003,8.33636332413797e-05,0.0191468253968254,0.733536468243164,"+/0","Intersect",3.93451854234003
"Gemella morbillorum","Romboutsia ilealis",0.375488412730466,3.66817687336152e-13,0.121693137650279,0.00523707836643617,-3.93417091652849,8.34843632140899e-05,0.0191468253968254,0.733536468243164,"+/+","Bacteria",3.93417091652849
"Colletotrichum fioriniae","Hyaloscypha variabilis",-0.00773490228810268,0.885349436645074,0.258525340798998,1.83315163049258e-09,3.9307732356333,8.46731053013187e-05,0.0191468253968254,0.733536468243164,"0/+","Eukaryota",3.9307732356333
"Pseudobutyrivibrio xylanivorans","Romboutsia ilealis",0.0168699545583747,0.75314032504457,0.280466078006808,6.04032379669661e-11,3.9171122050246,8.96160435348262e-05,0.0191468253968254,0.733536468243164,"0/+","Bacteria",3.9171122050246
"[Candida] arabinofermentans","Hyaloscypha variabilis",0.437445132626525,0,0.196597669483229,5.67243650850813e-06,-3.89631788934286,9.76661821108354e-05,0.0192956349206349,0.733536468243164,"+/+","Eukaryota",3.89631788934286
"Adlercreutzia equolifaciens","Thielaviopsis punctulata",-0.0331686786734533,0.536259285317198,0.229691137848372,1.02828171977265e-07,3.85543420486102,0.000115524399219821,0.0195436507936508,0.733536468243164,"0/+","Intersect",3.85543420486102
"Naumovozyma dairenensis","[Candida] arabinofermentans",0.397315432040149,1.11022302462516e-14,0.154505682033339,0.000380734910959912,-3.82164780505963,0.000132562922947489,0.0200396825396825,0.733536468243164,"+/+","Eukaryota",3.82164780505963
"Parvimonas micra","Dialister pneumosintes",0.054667225449404,0.307807049756748,0.308561466218896,4.81836792687318e-13,3.81484637113009,0.000136267681721762,0.0200396825396825,0.733536468243164,"0/+","Bacteria",3.81484637113009
"Pichia kudriavzevii","Naumovozyma dairenensis",0.263186812344445,5.89928145888763e-07,0.00894232237477973,0.838033074111591,-3.7622049047988,0.000168421972182509,0.0206845238095238,0.733536468243164,"+/0","Eukaryota",3.7622049047988
"Romboutsia ilealis","Fusobacterium periodonticum",0.354117963455789,8.87800943871753e-12,0.109661057291049,0.0119286481388863,-3.75431847940561,0.000173813751482331,0.0208333333333333,0.733536468243164,"+/+","Bacteria",3.75431847940561
"Naumovozyma dairenensis","Choanephora cucurbitarum",0.28512333792245,5.69342561984598e-08,0.0361142378190582,0.408929930919222,-3.71215412856001,0.000205502777250846,0.0213293650793651,0.733536468243164,"+/0","Eukaryota",3.71215412856001
"Butyrivibrio proteoclasticus","Romboutsia ilealis",0.0108830258107154,0.839228492633251,0.261111083885728,1.24580723515066e-09,3.70200369199237,0.000213903504849818,0.0215277777777778,0.733536468243164,"0/+","Bacteria",3.70200369199237
"Streptococcus thermophilus","Escherichia coli",-0.0341172914660596,0.524660411972299,0.212650541005405,8.78035710361047e-07,3.61046124463455,0.000305652972084436,0.0225694444444444,0.733536468243164,"0/+","Bacteria",3.61046124463455
"Fusobacterium periodonticum","Streptococcus milleri",0.280135110883526,9.86586230489195e-08,0.0384837973154844,0.378859950465741,-3.59962653928084,0.000318674530349388,0.0226686507936508,0.733536468243164,"+/0","Bacteria",3.59962653928084
"Fusobacterium nucleatum","Porphyromonas asaccharolytica",0.0321540233871079,0.548806295201725,0.274099934124705,1.67853730914658e-10,3.5967459452372,0.000322222915021316,0.0226686507936508,0.733536468243164,"0/+","Bacteria",3.5967459452372
"Gemella morbillorum","Moniliophthora perniciosa",0.289003346619154,3.68472279355103e-08,0.0486197641356859,0.266129060728993,-3.59232752575696,0.000327737566745586,0.0227678571428571,0.733536468243164,"+/0","Intersect",3.59232752575696
"Romboutsia ilealis","Pichia kudriavzevii",-0.0153982739470675,0.774064991014613,0.225451957032054,1.78148161555924e-07,3.53417118015505,0.000409056059972706,0.0236111111111111,0.733536468243164,"0/+","Intersect",3.53417118015505
"Lactobacillus ruminis","Pichia kudriavzevii",0.226658228351445,1.86003136790625e-05,-0.0121986430217443,0.780359803024024,-3.50632121512986,0.000454346551681165,0.0240079365079365,0.733536468243164,"+/0","Intersect",3.50632121512986
"Fusobacterium periodonticum","Aspergillus rambellii",0.268485061105699,3.41729814667957e-07,0.0341952811674563,0.434288950749712,-3.47973792081869,0.000501904499098469,0.0243551587301587,0.733536468243164,"+/0","Intersect",3.47973792081869
"Porphyromonas asaccharolytica","Edhazardia aedis",-0.104615166123716,0.0505195891336503,0.132545250832047,0.00234083304617938,3.44086095450633,0.000579866434678649,0.0247519841269841,0.733536468243164,"0/+","Intersect",3.44086095450633
"Gemella morbillorum","Fusobacterium periodonticum",0.257841446537857,1.01125788320999e-06,0.0257518106221812,0.556036150090397,-3.43664763146417,0.000588961282202834,0.0248015873015873,0.733536468243164,"+/0","Bacteria",3.43664763146417
