"Gene1","Gene2","adenoma_cor","adenoma_pVal","CTRL_cor","CTRL_pVal","zScoreDiff","pValDiff","empPVals","pValDiff_adj","Classes"
"Parvimonas micra","Porphyromonas asaccharolytica",0.010104785826215,0.85058522344769,0.973737876080064,0,31.0357714171179,1.77523637109325e-211,4.96031746031746e-05,0.0851995773673737,"0/+"
"Gemella morbillorum","Porphyromonas asaccharolytica",-0.0148407316097355,0.782036057683891,0.822670617264515,0,17.0342467369756,4.57595675569216e-65,0.00109126984126984,0.624796900694074,"0/+"
"Streptococcus salivarius","Streptococcus equinus",0.92651176441557,0,0.698809954376533,0,-11.0908327540721,1.3898781561448e-28,0.00287698412698413,0.733536468243164,"+/+"
"Streptococcus anginosus","Streptococcus equinus",0.335748033578815,1.14166454068254e-10,0.755179105735312,0,9.17653665381471,4.45179065248852e-20,0.00421626984126984,0.733536468243164,"+/+"
"Porphyromonas asaccharolytica","Prevotella intermedia",0.5637919215316,0,0.125405992035731,0.00400290762501232,-7.39637223828962,1.39955331637876e-13,0.0066468253968254,0.733536468243164,"+/+"
"Parvimonas micra","Romboutsia ilealis",0.47672721995692,0,0.0137989818550043,0.752430795591847,-7.29004640671957,3.0984827831546e-13,0.00679563492063492,0.733536468243164,"+/0"
"Bifidobacterium bifidum","Bifidobacterium adolescentis",0.481790328485814,0,0.0360990383780108,0.409127274719708,-7.06277194293573,1.63213474918657e-12,0.00729166666666667,0.733536468243164,"+/0"
"Parvimonas micra","Gemella morbillorum",0.66270996057151,0,0.857128136630568,0,6.99910735528261,2.57598426246821e-12,0.00739087301587302,0.733536468243164,"+/+"
"Streptococcus anginosus","Streptococcus milleri",0.896788554026443,0,0.768292255411942,0,-6.34413511857308,2.23678450712647e-10,0.00853174603174603,0.733536468243164,"+/+"
"Fusobacterium nucleatum","Fusobacterium periodonticum",0.799298887426295,0,0.613809082712715,0,-5.51015508111135,3.58517688243972e-08,0.0104662698412698,0.733536468243164,"+/+"
"Streptococcus anginosus","Streptococcus salivarius",0.234853598185463,8.98553923489587e-06,0.546640016187194,0,5.40330564547328,6.54238381051441e-08,0.0106646825396825,0.733536468243164,"+/+"
"Romboutsia ilealis","Clostridium beijerinckii",0.0606102835086399,0.25809794504483,0.40808071874961,0,5.37970124253145,7.46095505661156e-08,0.0107142857142857,0.733536468243164,"0/+"
"Brachyspira pilosicoli","[Eubacterium] eligens",0.011023230395706,0.837185976608736,0.313971817878867,1.78523862359725e-13,4.53222683566271,5.83651256366801e-06,0.0144345238095238,0.733536468243164,"0/+"
"Streptococcus salivarius","Streptococcus milleri",0.30113889325365,9.05188812794222e-09,0.530745606644701,0,4.04841591933905,5.1565452034904e-05,0.0179563492063492,0.733536468243164,"+/+"
"Gemella morbillorum","Romboutsia ilealis",0.375488412730466,3.66817687336152e-13,0.121693137650279,0.00523707836643617,-3.93417091652849,8.34843632140899e-05,0.0191468253968254,0.733536468243164,"+/+"
"Pseudobutyrivibrio xylanivorans","Romboutsia ilealis",0.0168699545583747,0.75314032504457,0.280466078006808,6.04032379669661e-11,3.9171122050246,8.96160435348262e-05,0.0191468253968254,0.733536468243164,"0/+"
"Parvimonas micra","Dialister pneumosintes",0.054667225449404,0.307807049756748,0.308561466218896,4.81836792687318e-13,3.81484637113009,0.000136267681721762,0.0200396825396825,0.733536468243164,"0/+"
"Romboutsia ilealis","Fusobacterium periodonticum",0.354117963455789,8.87800943871753e-12,0.109661057291049,0.0119286481388863,-3.75431847940561,0.000173813751482331,0.0208333333333333,0.733536468243164,"+/+"
"Butyrivibrio proteoclasticus","Romboutsia ilealis",0.0108830258107154,0.839228492633251,0.261111083885728,1.24580723515066e-09,3.70200369199237,0.000213903504849818,0.0215277777777778,0.733536468243164,"0/+"
"Streptococcus thermophilus","Escherichia coli",-0.0341172914660596,0.524660411972299,0.212650541005405,8.78035710361047e-07,3.61046124463455,0.000305652972084436,0.0225694444444444,0.733536468243164,"0/+"
"Fusobacterium periodonticum","Streptococcus milleri",0.280135110883526,9.86586230489195e-08,0.0384837973154844,0.378859950465741,-3.59962653928084,0.000318674530349388,0.0226686507936508,0.733536468243164,"+/0"
"Fusobacterium nucleatum","Porphyromonas asaccharolytica",0.0321540233871079,0.548806295201725,0.274099934124705,1.67853730914658e-10,3.5967459452372,0.000322222915021316,0.0226686507936508,0.733536468243164,"0/+"
