"Gene1","Gene2","adenoma_cor","adenoma_pVal","CTRL_cor","CTRL_pVal","zScoreDiff","pValDiff","empPVals","pValDiff_adj","Classes"
"Bifidobacterium angulatum","Trichophyton mentagrophytes",-0.00807823926619228,0.880297701751068,0.872338118520702,0,19.5029190603882,1.03691957351336e-84,0.000793650793650794,0.624796900694074,"0/+"
"Romboutsia ilealis","Moniliophthora perniciosa",0.731011153974709,0,0.0573278170082893,0.189691210327675,-12.6111704621459,1.83251081351235e-36,0.00183531746031746,0.733536468243164,"+/0"
"Dialister pneumosintes","Aspergillus rambellii",-0.0144911611562641,0.787045502742589,0.444565988765941,0,7.10898487771294,1.1689955355755e-12,0.00709325396825397,0.733536468243164,"0/+"
"Dialister pneumosintes","Moniliophthora perniciosa",-0.0224005718441457,0.676217974581452,0.327603456213591,1.33226762955019e-14,5.23422824054319,1.65675629134181e-07,0.0113095238095238,0.733536468243164,"0/+"
"Parvimonas micra","Moniliophthora perniciosa",0.33188332400319,1.91322069298394e-10,0.0184967913603878,0.672411476962571,-4.71301919613708,2.44073194277225e-06,0.0129960317460317,0.733536468243164,"+/0"
"Fusobacterium periodonticum","Trichoderma atroviride",0.275723478628532,1.59005307365234e-07,-0.0406586080256566,0.352490335509106,-4.67381374577989,2.95657479343112e-06,0.0132936507936508,0.733536468243164,"+/0"
"Streptococcus milleri","Colletotrichum fioriniae",0.302509645144561,7.69272956446798e-09,-0.00657429055577998,0.88054489951361,-4.60343642616546,4.15576093706265e-06,0.0138888888888889,0.733536468243164,"+/0"
"Prevotella intermedia","Thielaviopsis punctulata",0.214056222944279,5.40951578904547e-05,-0.0964996443587466,0.0270374653888004,-4.53652251039609,5.71893878412477e-06,0.0144345238095238,0.733536468243164,"+/-"
"Bifidobacterium pseudocatenulatum","Schizosaccharomyces pombe",0.303989064717948,6.44773634483897e-09,0.00915106113720009,0.834306356553554,-4.39991972908285,1.0829092832725e-05,0.0155257936507937,0.733536468243164,"+/0"
"Streptococcus anginosus","Colletotrichum fioriniae",0.267557779193622,3.76315514305503e-07,-0.0237320407318643,0.587439898258421,-4.30189317751941,1.69344953776609e-05,0.0161210317460317,0.733536468243164,"+/0"
"Romboutsia ilealis","Aspergillus rambellii",0.28025902747215,9.73330731568467e-08,-0.00961647803978833,0.826010503164507,-4.2962915043501,1.7367916540465e-05,0.0161706349206349,0.733536468243164,"+/0"
"Fusobacterium nucleatum","Trichoderma atroviride",0.253016762877236,1.62822720284339e-06,-0.0138877677979521,0.750890356466841,-3.93451854234003,8.33636332413797e-05,0.0191468253968254,0.733536468243164,"+/0"
"Adlercreutzia equolifaciens","Thielaviopsis punctulata",-0.0331686786734533,0.536259285317198,0.229691137848372,1.02828171977265e-07,3.85543420486102,0.000115524399219821,0.0195436507936508,0.733536468243164,"0/+"
"Gemella morbillorum","Moniliophthora perniciosa",0.289003346619154,3.68472279355103e-08,0.0486197641356859,0.266129060728993,-3.59232752575696,0.000327737566745586,0.0227678571428571,0.733536468243164,"+/0"
"Romboutsia ilealis","Pichia kudriavzevii",-0.0153982739470675,0.774064991014613,0.225451957032054,1.78148161555924e-07,3.53417118015505,0.000409056059972706,0.0236111111111111,0.733536468243164,"0/+"
"Lactobacillus ruminis","Pichia kudriavzevii",0.226658228351445,1.86003136790625e-05,-0.0121986430217443,0.780359803024024,-3.50632121512986,0.000454346551681165,0.0240079365079365,0.733536468243164,"+/0"
"Fusobacterium periodonticum","Aspergillus rambellii",0.268485061105699,3.41729814667957e-07,0.0341952811674563,0.434288950749712,-3.47973792081869,0.000501904499098469,0.0243551587301587,0.733536468243164,"+/0"
"Porphyromonas asaccharolytica","Edhazardia aedis",-0.104615166123716,0.0505195891336503,0.132545250832047,0.00234083304617938,3.44086095450633,0.000579866434678649,0.0247519841269841,0.733536468243164,"0/+"
"Porphyromonas asaccharolytica","Debaryomyces hansenii",0.23348046211997,1.01692672855869e-05,0.0058703636577641,0.893254326428073,-3.34944239652764,0.000809743910709682,0.0259424603174603,0.733536468243164,"+/0"
"Romboutsia ilealis","Pneumocystis murina",0.383473554760135,1.04805053524615e-13,0.171884327844543,7.54296472122995e-05,-3.3280894035349,0.000874437993572139,0.0264880952380952,0.733536468243164,"+/+"
"Fusobacterium periodonticum","Phytopythium vexans",0.121303835910846,0.0232284587571185,-0.105195845986594,0.0158962865284296,-3.28438127970564,0.00102206548672103,0.0275297619047619,0.733536468243164,"+/-"
"Clostridium beijerinckii","Colletotrichum salicis",0.179265988080878,0.000754156064734168,-0.038101134555891,0.383621935313091,-3.16676213171757,0.00154146349433041,0.0302083333333333,0.733536468243164,"+/0"
"Clostridium beijerinckii","Edhazardia aedis",0.402863564234882,4.44089209850063e-15,0.212884991511703,8.53493078878387e-07,-3.0444402944913,0.00233113696147105,0.0339285714285714,0.733536468243164,"+/+"
"Fusobacterium periodonticum","Moniliophthora perniciosa",0.314521407618353,1.78257808514104e-09,0.118623412718812,0.00650573884165473,-2.97946495802073,0.0028875225498744,0.0357142857142857,0.733536468243164,"+/+"
"Gemella morbillorum","Choanephora cucurbitarum",0.167774678101671,0.00163323722727249,-0.0294560480754909,0.500654515851267,-2.870748279468,0.00409501473393343,0.0385416666666667,0.733536468243164,"+/0"
"Anaerostipes hadrus","Aspergillus ochraceoroseus",0.0662405634463379,0.216394495256381,0.259034090736688,1.69956626550061e-09,2.86922466348506,0.00411479411231137,0.0385912698412698,0.733536468243164,"0/+"
"Streptococcus milleri","Trichoderma atroviride",0.208431726993162,8.54118538147208e-05,0.0148167471916427,0.734832942145104,-2.84003808953952,0.00451081474196091,0.0392857142857143,0.733536468243164,"+/0"
"Fusobacterium nucleatum","Phytopythium vexans",0.139799225309543,0.0088208468555071,-0.0542770545514391,0.214386169128261,-2.81604001446629,0.00486196106730528,0.0401785714285714,0.733536468243164,"+/0"
"Bifidobacterium angulatum","Colletotrichum fioriniae",0.141387517825496,0.00807361622681313,-0.0524918266435188,0.229867619085653,-2.81358551017613,0.00489923540316384,0.0402281746031746,0.733536468243164,"+/0"
"Anaerostipes hadrus","Aspergillus rambellii",0.208197412189616,8.70298357316113e-05,0.0193689736186062,0.657922950743496,-2.77075992066862,0.00559256448252321,0.0419642857142857,0.733536468243164,"+/0"
"Gemella morbillorum","Cordyceps sp. RAO-2017",0.258374389526758,9.58863276334654e-07,0.0728938260073621,0.0952271331141821,-2.76249354098467,0.0057361696708761,0.0422619047619048,0.733536468243164,"+/0"
"Streptococcus anginosus","Trichoderma atroviride",0.174831635206254,0.00102188393689095,-0.0103217218843731,0.813476954729788,-2.69934492000818,0.00694761277823206,0.0446924603174603,0.733536468243164,"+/0"
"Clostridium beijerinckii","Rhizophagus clarus",0.353405437501768,9.83346737370994e-12,0.181850275855913,2.76771168554735e-05,-2.67719617735905,0.0074241151284795,0.0459325396825397,0.733536468243164,"+/+"
"Porphyromonas asaccharolytica","Erysiphe pulchra",-0.0903892743317182,0.0913273825058407,0.0898470352560724,0.0395986906455084,2.60922934140153,0.00907464012369458,0.0485615079365079,0.733536468243164,"0/+"
"Porphyromonas asaccharolytica","Rhizophagus clarus",-0.170776473283221,0.00134081714920065,0.0081575640339488,0.852075531439132,2.60774903465108,0.00911397477584115,0.0486111111111111,0.733536468243164,"-/0"
"Streptococcus thermophilus","Cordyceps sp. RAO-2017",0.125240767145075,0.0190835850385658,-0.0546588074167359,0.211175264313818,-2.60761981583836,0.00911741558550322,0.0486111111111111,0.733536468243164,"+/0"
"Parvimonas micra","Phytopythium vexans",0.248371866936922,2.5523590079235e-06,0.0743091125081642,0.0889562158171016,-2.58762971714546,0.00966388016585111,0.049156746031746,0.733536468243164,"+/0"
"Anaerostipes hadrus","Pichia kudriavzevii",0.072804864993205,0.174151064184972,0.246501041141685,1.04578368187447e-08,2.58069387717679,0.00986019729878404,0.0495039682539683,0.733536468243164,"0/+"
"Lactococcus garvieae","Lipomyces starkeyi",0.136052798668559,0.0108321365679136,-0.0348547940317023,0.425472949145201,-2.47992761365817,0.0131409057026344,0.0541170634920635,0.733536468243164,"+/0"
"Fusobacterium nucleatum","Pneumocystis murina",0.249458572302103,2.29937514140133e-06,0.0843294319907743,0.0534749778413657,-2.4587703191327,0.0139413777257354,0.0548115079365079,0.733536468243164,"+/0"
"Romboutsia ilealis","Schizosaccharomyces pombe",-0.0288397590597309,0.590767442121522,0.139695593983887,0.00133222100959074,2.4466093078496,0.0144207062468801,0.0553075396825397,0.733536468243164,"0/+"
"Lactococcus garvieae","Coniochaeta ligniaria",0.157508799580912,0.00313031306992761,-0.0102684344732921,0.814422356433774,-2.44136886609292,0.0146317011732806,0.0558531746031746,0.733536468243164,"+/0"
