"type","Classes","value","percentage"
"Bacteria","+/+",14,40
"Eukaryota","+/+",8,26.6666666666667
"Intersect","+/+",4,10.5263157894737
"Bacteria","+/0",10,28.5714285714286
"Eukaryota","+/0",14,46.6666666666667
"Intersect","+/0",22,57.8947368421053
"Bacteria","+/-",0,0
"Eukaryota","+/-",0,0
"Intersect","+/-",2,5.26315789473684
"Bacteria","0/+",11,31.4285714285714
"Eukaryota","0/+",6,20
"Intersect","0/+",9,23.6842105263158
"Bacteria","0/0",0,0
"Eukaryota","0/0",1,3.33333333333333
"Intersect","0/0",0,0
"Bacteria","0/-",0,0
"Eukaryota","0/-",1,3.33333333333333
"Intersect","0/-",0,0
"Bacteria","-/0",0,0
"Eukaryota","-/0",0,0
"Intersect","-/0",1,2.63157894736842
