"Gene1","Gene2","CRC_cor","CRC_pVal","adenoma_cor","adenoma_pVal","zScoreDiff","pValDiff","empPVals","pValDiff_adj","Classes","type","abs_zScoreDiff"
"Erysiphe pulchra","Thielaviopsis punctulata",0.86241292019093,0,0.0768633888917556,0.151297976226004,-17.1642653991287,4.91664234286746e-66,4.96031746031746e-05,0.0721754255308565,"+/0","Eukaryota",17.1642653991287
"Streptococcus salivarius","Streptococcus equinus",0.600118225712901,0,0.92651176441557,0,13.1614825657486,1.4618886810547e-39,0.000347222222222222,0.103107750758366,"+/+","Bacteria",13.1614825657486
"Erysiphe pulchra","Sphaerulina musiva",0.810739282851481,0,0.212040597290213,6.38038475444525e-05,-12.7978957031325,1.68454263628155e-37,0.000347222222222222,0.103107750758366,"+/+","Eukaryota",12.7978957031325
"Fusobacterium periodonticum","Prevotella intermedia",0.723985112675587,0,0.0347620744715565,0.516850209854284,-12.3402173145604,5.50072140771321e-35,0.000446428571428571,0.103107750758366,"+/0","Bacteria",12.3402173145604
"Romboutsia ilealis","Moniliophthora perniciosa",0.0669772484851143,0.154224067305243,0.731011153974709,0,12.0968904424846,1.09687852544443e-33,0.000496031746031746,0.103107750758366,"0/+","Intersect",12.0968904424846
"Aspergillus rambellii","Sphaerulina musiva",0.749985883596759,0,0.117345750670602,0.0281583250651702,-11.9738805110039,4.86966269454906e-33,0.000496031746031746,0.103107750758366,"+/+","Eukaryota",11.9738805110039
"Fusobacterium nucleatum","Fusobacterium periodonticum",0.239842301673416,2.31628590086075e-07,0.799298887426295,0,11.9322474011897,8.03738528141005e-33,0.000496031746031746,0.103107750758366,"+/+","Bacteria",11.9322474011897
"Aspergillus rambellii","Erysiphe pulchra",0.648528639317,0,0.147046276561523,0.00584879222495438,-8.74737793572962,2.18367376489257e-18,0.00178571428571429,0.295919244676512,"+/+","Eukaryota",8.74737793572962
"Streptococcus thermophilus","Pichia kudriavzevii",0.524526581240249,0,-0.0257105104647235,0.63168384437379,-8.51834659542541,1.61847232004942e-17,0.00198412698412698,0.295919244676512,"+/0","Intersect",8.51834659542541
"Sphaerulina musiva","Thielaviopsis punctulata",0.585766307473996,0,0.063272619947221,0.23773339388307,-8.51216844131032,1.70710345376409e-17,0.00203373015873016,0.295919244676512,"+/0","Eukaryota",8.51216844131032
"Romboutsia ilealis","Clostridium beijerinckii",0.557451083681072,0,0.0606102835086399,0.25809794504483,-7.96046242244819,1.71397503992032e-15,0.00238095238095238,0.314947311407374,"+/0","Bacteria",7.96046242244819
"Porphyromonas asaccharolytica","Prevotella intermedia",0.101628230524607,0.0303831354684174,0.5637919215316,0,7.51165856128132,5.83828997147987e-14,0.00307539682539683,0.364886873517108,"+/+","Bacteria",7.51165856128132
"Streptococcus salivarius","Streptococcus milleri",0.68296440386617,0,0.30113889325365,9.05188812794222e-09,-7.33636981077312,2.19465087765078e-13,0.00327380952380952,0.364886873517108,"+/+","Bacteria",7.33636981077312
"Gemella morbillorum","Dialister pneumosintes",0.542406907876547,0,0.129383680712773,0.0154320877170897,-6.68615307378514,2.29113377412511e-11,0.00515873015873016,0.364886873517108,"+/+","Bacteria",6.68615307378514
"Parvimonas micra","Romboutsia ilealis",0.0497460754599983,0.290198519895013,0.47672721995692,0,6.56721204312535,5.12660203044279e-11,0.00540674603174603,0.364886873517108,"0/+","Bacteria",6.56721204312535
"Butyrivibrio proteoclasticus","Clostridium beijerinckii",0.598981169257536,0,0.243646771015309,3.99603016099093e-06,-6.20249528736998,5.55748495521706e-10,0.00679563492063492,0.364886873517108,"+/+","Bacteria",6.20249528736998
"Aspergillus rambellii","Thielaviopsis punctulata",0.451689545262095,0,0.044818325663589,0.403214132758808,-6.18937499210456,6.04032329686475e-10,0.00689484126984127,0.364886873517108,"+/0","Eukaryota",6.18937499210456
"Bifidobacterium bifidum","Bifidobacterium adolescentis",0.0946071469010545,0.0439272492111353,0.481790328485814,0,6.02762583429126,1.66385697039214e-09,0.00744047619047619,0.364886873517108,"+/+","Bacteria",6.02762583429126
"Clostridium beijerinckii","Adlercreutzia equolifaciens",0.451677730808162,0,0.0609274367583433,0.255610700768917,-5.96293804474942,2.47742375994018e-09,0.00768849206349206,0.364886873517108,"+/0","Bacteria",5.96293804474942
"Streptococcus salivarius","Pichia kudriavzevii",0.428725737966729,0,0.0422431913310448,0.430800635334716,-5.82658193032442,5.65740991344243e-09,0.00798611111111111,0.364886873517108,"+/0","Intersect",5.82658193032442
"Romboutsia ilealis","Pichia kudriavzevii",0.374952091635733,0,-0.0153982739470675,0.774064991014613,-5.73564510940131,9.71418798578488e-09,0.00828373015873016,0.364886873517108,"+/0","Intersect",5.73564510940131
"Brachyspira pilosicoli","Schizosaccharomyces pombe",0.380141622167843,0,-0.0087433199388591,0.870525911596588,-5.72719093948474,1.02107224253137e-08,0.00838293650793651,0.364886873517108,"+/0","Intersect",5.72719093948474
"Hyaloscypha variabilis","Choanephora cucurbitarum",0.161487412610127,0.000552198252930403,0.512613967110128,0,5.64858292125401,1.61775814917997e-08,0.0087797619047619,0.364886873517108,"+/+","Eukaryota",5.64858292125401
"Fusobacterium nucleatum","Parvimonas micra",0.60618326986055,0,0.291952615319664,2.6354060489453e-08,-5.63192122461247,1.78213086741707e-08,0.00887896825396825,0.364886873517108,"+/+","Bacteria",5.63192122461247
"Pseudobutyrivibrio xylanivorans","Clostridium beijerinckii",0.570816219754044,0,0.248222167759632,2.58922687579322e-06,-5.53458903671062,3.11958930244548e-08,0.00942460317460317,0.364886873517108,"+/+","Bacteria",5.53458903671062
"Anaerostipes hadrus","Pichia kudriavzevii",0.435944468403344,0,0.072804864993205,0.174151064184972,-5.52147310081809,3.36169284046817e-08,0.0095734126984127,0.364886873517108,"+/0","Intersect",5.52147310081809
"[Eubacterium] eligens","Streptococcus salivarius",0.281383756863219,1.04272723788768e-09,-0.0986170355098717,0.0653508788769679,-5.43526473682159,5.47151342800347e-08,0.0103174603174603,0.364886873517108,"+/0","Bacteria",5.43526473682159
"Baudoinia panamericana","Choanephora cucurbitarum",0.37040513705267,4.44089209850063e-16,0.000833631845173991,0.98760134478483,-5.43437074146589,5.49901419002029e-08,0.0103174603174603,0.364886873517108,"+/0","Eukaryota",5.43437074146589
"Romboutsia ilealis","Fusobacterium periodonticum",-0.0107541674926725,0.819244401999697,0.354117963455789,8.87800943871753e-12,5.33410195483799,9.60185649992407e-08,0.0106646825396825,0.364886873517108,"0/+","Bacteria",5.33410195483799
"Romboutsia ilealis","Albugo candida",0.394486343866589,0,0.045735559463674,0.393648461529128,-5.20016412570525,1.99112624670733e-07,0.0112103174603175,0.364886873517108,"+/0","Intersect",5.20016412570525
"Erysiphe pulchra","Edhazardia aedis",-0.119796770937059,0.0106275633383008,0.240367851718307,5.42535863834459e-06,5.11900627134086,3.07149749245621e-07,0.011656746031746,0.364886873517108,"-/+","Eukaryota",5.11900627134086
"Parvimonas micra","Gemella morbillorum",0.409160543828703,0,0.66270996057151,0,5.0838359135215,3.69887514762924e-07,0.0117559523809524,0.364886873517108,"+/+","Bacteria",5.0838359135215
"Romboutsia ilealis","[Eubacterium] eligens",0.305812669343651,2.77116107838538e-11,-0.0415242101824915,0.438693172264422,-5.00597012428671,5.55813780690347e-07,0.012202380952381,0.364886873517108,"+/0","Bacteria",5.00597012428671
"Erysiphe pulchra","Pneumocystis murina",-0.0577974163988909,0.219020008327825,0.290372922508093,3.15513530857459e-08,4.99711646555576,5.81939252386821e-07,0.0123511904761905,0.364886873517108,"0/+","Eukaryota",4.99711646555576
"Sphaerulina musiva","Phytopythium vexans",-0.0850498699633527,0.0702234366294392,0.263537255612291,5.69211095591271e-07,4.97367847492025,6.56942349045001e-07,0.0125,0.364886873517108,"0/+","Eukaryota",4.97367847492025
"Fusobacterium periodonticum","Trichoderma atroviride",-0.0666243173880246,0.156411529795042,0.275723478628532,1.59005307365234e-07,4.89818554363731,9.67256786241587e-07,0.0126984126984127,0.364886873517108,"0/+","Intersect",4.89818554363731
"Aspergillus rambellii","Moniliophthora perniciosa",0.338429999656465,1.25455201782643e-13,0.604268515328452,0,4.86673755836893,1.13455528130235e-06,0.0130456349206349,0.364886873517108,"+/+","Eukaryota",4.86673755836893
"Erysiphe pulchra","Rhizophagus clarus",-0.115383917156171,0.0138952315452796,0.226227470963165,1.9311271116873e-05,4.84691769779141,1.2539441642284e-06,0.0130456349206349,0.364886873517108,"-/+","Eukaryota",4.84691769779141
"Moniliophthora perniciosa","Erysiphe pulchra",0.37937388961588,0,0.0570626721558173,0.287059898671535,-4.79220970160328,1.6495435348561e-06,0.013343253968254,0.364886873517108,"+/0","Eukaryota",4.79220970160328
"Naumovozyma dairenensis","Hyaloscypha variabilis",0.187743451554816,5.69460933954602e-05,0.48698303569227,0,4.79077179304785,1.66141003091405e-06,0.013343253968254,0.364886873517108,"+/+","Eukaryota",4.79077179304785
"Streptococcus anginosus","Streptococcus salivarius",0.523626346140016,0,0.234853598185463,8.98553923489587e-06,-4.78940046043349,1.67280351194352e-06,0.013343253968254,0.364886873517108,"+/+","Bacteria",4.78940046043349
"Bifidobacterium pseudocatenulatum","Debaryomyces hansenii",0.338042625509783,1.34114941374719e-13,0.0115736609770458,0.829177927408224,-4.7656503493817,1.88245462657106e-06,0.0135416666666667,0.364886873517108,"+/0","Intersect",4.7656503493817
"Pseudobutyrivibrio xylanivorans","Romboutsia ilealis",0.341510836413611,7.28306304154103e-14,0.0168699545583747,0.75314032504457,-4.74637383267053,2.07095801940548e-06,0.0137400793650794,0.364886873517108,"+/0","Bacteria",4.74637383267053
"Anaerostipes hadrus","Romboutsia ilealis",0.335893810111884,1.95399252334028e-13,0.0136812829622667,0.798684728368436,-4.70218398904583,2.57393398497311e-06,0.0140376984126984,0.364886873517108,"+/0","Bacteria",4.70218398904583
"Butyrivibrio proteoclasticus","Romboutsia ilealis",0.332508284471714,3.50830475781549e-13,0.0108830258107154,0.839228492633251,-4.68800460876597,2.75881807098976e-06,0.0142361111111111,0.364886873517108,"+/0","Bacteria",4.68800460876597
"Bifidobacterium pseudocatenulatum","Schizosaccharomyces pombe",-0.0181829128717738,0.699206209260158,0.303989064717948,6.44773634483897e-09,4.65063733176676,3.3091080238591e-06,0.014484126984127,0.364886873517108,"0/+","Intersect",4.65063733176676
"Lactobacillus ruminis","Bifidobacterium bifidum",0.0157127853702742,0.738459322761327,0.334393266373511,1.36929356742144e-10,4.65005618760363,3.31844610307151e-06,0.014484126984127,0.364886873517108,"0/+","Bacteria",4.65005618760363
"Parvimonas micra","Sphaerulina musiva",0.311997931703405,1.04638520070921e-11,-0.00687923912267286,0.897959124204271,-4.61622552189501,3.90782278808519e-06,0.0148809523809524,0.364886873517108,"+/0","Intersect",4.61622552189501
"Fusobacterium nucleatum","Pneumocystis murina",-0.0693983801727839,0.139838036698336,0.249458572302103,2.29937514140133e-06,4.54212854696603,5.56890646576229e-06,0.0155753968253968,0.364886873517108,"0/+","Intersect",4.54212854696603
"Fusobacterium nucleatum","Aspergillus rambellii",0.393291180352093,0,0.0924110304854288,0.0842820855394573,-4.52345529399312,6.08381745371531e-06,0.0156746031746032,0.364886873517108,"+/0","Intersect",4.52345529399312
"Roseburia intestinalis","Pseudocercospora musae",0.386701716496965,0,0.0851486103364482,0.111795331030808,-4.51713400159563,6.26822410662535e-06,0.0157242063492063,0.364886873517108,"+/0","Intersect",4.51713400159563
"Gemella morbillorum","Moniliophthora perniciosa",-0.0250441894934835,0.59456265913239,0.289003346619154,3.68472279355103e-08,4.51667462032051,6.2818317595533e-06,0.0157242063492063,0.364886873517108,"0/+","Intersect",4.51667462032051
"Moniliophthora perniciosa","Sphaerulina musiva",0.34529187148385,3.68594044175552e-14,0.0383953945915985,0.473987339130046,-4.50471839299381,6.64610170643224e-06,0.0157242063492063,0.364886873517108,"+/0","Eukaryota",4.50471839299381
"Parvimonas micra","Erysiphe pulchra",0.295360777295601,1.36488154112158e-10,-0.0167863386158541,0.754324530589677,-4.49832027755351,6.84924617301547e-06,0.0158234126984127,0.364886873517108,"+/0","Intersect",4.49832027755351
"[Eubacterium] eligens","Clostridium beijerinckii",0.369581572671429,4.44089209850063e-16,0.0697738604942756,0.192824997630751,-4.45398024489478,8.42928596745312e-06,0.0161210317460317,0.364886873517108,"+/0","Bacteria",4.45398024489478
"Romboutsia ilealis","Aspergillus rambellii",-0.0297791491325916,0.526796534538441,0.28025902747215,9.73330731568467e-08,4.44978107184918,8.59578673940717e-06,0.0161210317460317,0.364886873517108,"0/+","Intersect",4.44978107184918
"Moniliophthora perniciosa","Pneumocystis murina",-0.0630081838542486,0.180192173439792,0.24798086160117,2.64972922914275e-06,4.43018768805434,9.41511091153375e-06,0.016468253968254,0.364886873517108,"0/+","Eukaryota",4.43018768805434
"Romboutsia ilealis","Adlercreutzia equolifaciens",0.284721890707484,6.48136433412105e-10,-0.0227236467547273,0.671817856691879,-4.41882530986103,9.92388189954841e-06,0.0165674603174603,0.364886873517108,"+/0","Bacteria",4.41882530986103
"Anaerostipes hadrus","Pseudobutyrivibrio xylanivorans",0.49082398383853,0,0.218345106954161,3.78759845185428e-05,-4.41444094174996,1.0127135702132e-05,0.0165674603174603,0.364886873517108,"+/+","Bacteria",4.41444094174996
