"Gene1","Gene2","CRC_cor","CRC_pVal","adenoma_cor","adenoma_pVal","zScoreDiff","pValDiff","empPVals","pValDiff_adj","Classes"
"Erysiphe pulchra","Thielaviopsis punctulata",0.86241292019093,0,0.0768633888917556,0.151297976226004,-17.1642653991287,4.91664234286746e-66,4.96031746031746e-05,0.0721754255308565,"+/0"
"Erysiphe pulchra","Sphaerulina musiva",0.810739282851481,0,0.212040597290213,6.38038475444525e-05,-12.7978957031325,1.68454263628155e-37,0.000347222222222222,0.103107750758366,"+/+"
"Aspergillus rambellii","Sphaerulina musiva",0.749985883596759,0,0.117345750670602,0.0281583250651702,-11.9738805110039,4.86966269454906e-33,0.000496031746031746,0.103107750758366,"+/+"
"Aspergillus rambellii","Erysiphe pulchra",0.648528639317,0,0.147046276561523,0.00584879222495438,-8.74737793572962,2.18367376489257e-18,0.00178571428571429,0.295919244676512,"+/+"
"Sphaerulina musiva","Thielaviopsis punctulata",0.585766307473996,0,0.063272619947221,0.23773339388307,-8.51216844131032,1.70710345376409e-17,0.00203373015873016,0.295919244676512,"+/0"
"Aspergillus rambellii","Thielaviopsis punctulata",0.451689545262095,0,0.044818325663589,0.403214132758808,-6.18937499210456,6.04032329686475e-10,0.00689484126984127,0.364886873517108,"+/0"
"Hyaloscypha variabilis","Choanephora cucurbitarum",0.161487412610127,0.000552198252930403,0.512613967110128,0,5.64858292125401,1.61775814917997e-08,0.0087797619047619,0.364886873517108,"+/+"
"Baudoinia panamericana","Choanephora cucurbitarum",0.37040513705267,4.44089209850063e-16,0.000833631845173991,0.98760134478483,-5.43437074146589,5.49901419002029e-08,0.0103174603174603,0.364886873517108,"+/0"
"Erysiphe pulchra","Edhazardia aedis",-0.119796770937059,0.0106275633383008,0.240367851718307,5.42535863834459e-06,5.11900627134086,3.07149749245621e-07,0.011656746031746,0.364886873517108,"-/+"
"Erysiphe pulchra","Pneumocystis murina",-0.0577974163988909,0.219020008327825,0.290372922508093,3.15513530857459e-08,4.99711646555576,5.81939252386821e-07,0.0123511904761905,0.364886873517108,"0/+"
"Sphaerulina musiva","Phytopythium vexans",-0.0850498699633527,0.0702234366294392,0.263537255612291,5.69211095591271e-07,4.97367847492025,6.56942349045001e-07,0.0125,0.364886873517108,"0/+"
"Aspergillus rambellii","Moniliophthora perniciosa",0.338429999656465,1.25455201782643e-13,0.604268515328452,0,4.86673755836893,1.13455528130235e-06,0.0130456349206349,0.364886873517108,"+/+"
"Erysiphe pulchra","Rhizophagus clarus",-0.115383917156171,0.0138952315452796,0.226227470963165,1.9311271116873e-05,4.84691769779141,1.2539441642284e-06,0.0130456349206349,0.364886873517108,"-/+"
"Moniliophthora perniciosa","Erysiphe pulchra",0.37937388961588,0,0.0570626721558173,0.287059898671535,-4.79220970160328,1.6495435348561e-06,0.013343253968254,0.364886873517108,"+/0"
"Naumovozyma dairenensis","Hyaloscypha variabilis",0.187743451554816,5.69460933954602e-05,0.48698303569227,0,4.79077179304785,1.66141003091405e-06,0.013343253968254,0.364886873517108,"+/+"
"Moniliophthora perniciosa","Sphaerulina musiva",0.34529187148385,3.68594044175552e-14,0.0383953945915985,0.473987339130046,-4.50471839299381,6.64610170643224e-06,0.0157242063492063,0.364886873517108,"+/0"
"Moniliophthora perniciosa","Pneumocystis murina",-0.0630081838542486,0.180192173439792,0.24798086160117,2.64972922914275e-06,4.43018768805434,9.41511091153375e-06,0.016468253968254,0.364886873517108,"0/+"
"Erysiphe pulchra","Pseudocercospora musae",-0.0909253187358283,0.0528625763049853,0.219194294611023,3.52654798532193e-05,4.39706460792545,1.09724691893951e-05,0.0169642857142857,0.364886873517108,"0/+"
"Schizosaccharomyces pombe","Edhazardia aedis",0.360547751981255,2.22044604925031e-15,0.0647709909035988,0.226782343625929,-4.37839497972373,1.19556528469851e-05,0.0169642857142857,0.364886873517108,"+/0"
"Moniliophthora perniciosa","Thielaviopsis punctulata",0.274363915736108,2.7767885768526e-09,-0.0234913901708095,0.661406621188934,-4.27223167303739,1.93526358431818e-05,0.0180555555555556,0.364886873517108,"+/0"
"[Candida] arabinofermentans","Hyaloscypha variabilis",0.172547728002418,0.000220640534149386,0.437445132626525,0,4.12803205698623,3.65881115876022e-05,0.019593253968254,0.364886873517108,"+/+"
"Pichia kudriavzevii","Aspergillus ochraceoroseus",0.178335191142556,0.000133437341103715,0.43645187538294,0,4.02721850353904,5.64405772401067e-05,0.0202380952380952,0.364886873517108,"+/+"
"Aspergillus rambellii","Phytopythium vexans",-0.0726910975541374,0.121953451439277,0.194585259152314,0.000249862193783201,3.77992744050905,0.000156874068344992,0.0229662698412698,0.364886873517108,"0/+"
"Sphaerulina musiva","Trichoderma atroviride",-0.0934812445863733,0.0465138153592992,0.172246610882404,0.00121590002061622,3.74937073780247,0.00017727884461832,0.0233134920634921,0.364886873517108,"-/+"
"Rhizophagus irregularis","Erysiphe pulchra",-0.0889683706734217,0.0581977603712263,0.174873038125603,0.00101902281277333,3.72356488584758,0.000196429347234262,0.0237599206349206,0.364886873517108,"0/+"
"Phytopythium vexans","Thielaviopsis punctulata",-0.10699260515046,0.0226086184441781,0.155512381349742,0.00353724757887464,3.69968738231188,0.000215865208262652,0.0240575396825397,0.364886873517108,"-/+"
"Erysiphe pulchra","Albugo candida",-0.0657378245498002,0.16200936016445,0.195294669572227,0.000236904736306442,3.69241181011216,0.000222137382134052,0.024156746031746,0.364886873517108,"0/+"
"Cordyceps sp. RAO-2017","Thielaviopsis punctulata",-0.0603302676582037,0.199457446209717,0.198433482066237,0.000186754801206224,3.66211033572256,0.000250146071570285,0.0244543650793651,0.364886873517108,"0/+"
"Naumovozyma dairenensis","Choanephora cucurbitarum",0.0463851535023463,0.32406075028544,0.28512333792245,5.69342561984598e-08,3.4566241793663,0.000546987119256138,0.0271329365079365,0.364886873517108,"0/+"
"Sphaerulina musiva","Colletotrichum fioriniae",-0.0977599496039566,0.0373200360910768,0.141817893047176,0.00788110852873047,3.37290786466966,0.000743788367149491,0.0285714285714286,0.364886873517108,"-/+"
"Aspergillus ochraceoroseus","Thielaviopsis punctulata",0.224337980109291,1.37542090117293e-06,-0.00799383261573828,0.881539188907198,-3.30792746508488,0.000939891499393872,0.0298115079365079,0.364886873517108,"+/0"
"Colletotrichum fioriniae","Baudoinia panamericana",0.0798567273478036,0.0892149152778621,0.305681895997724,5.26194332550745e-09,3.30141248749442,0.000961993395829886,0.0298115079365079,0.364886873517108,"0/+"
"Aspergillus rambellii","Aspergillus ochraceoroseus",0.209637672592536,6.64839547859231e-06,-0.0219301519357706,0.682644557266515,-3.28709885034716,0.00101225294447915,0.0301587301587302,0.364886873517108,"+/0"
"Moniliophthora perniciosa","Phytopythium vexans",-0.0130822459844583,0.781019674300069,0.215410442853747,4.837420535031e-05,3.24782025909347,0.00116292708176796,0.0308035714285714,0.364886873517108,"0/+"
"Trichoderma atroviride","Aspergillus ochraceoroseus",-0.0319493973275076,0.497105366428746,0.195239304803424,0.000237892943221407,3.21725598179592,0.00129423068896207,0.0313492063492063,0.364886873517108,"0/+"
"Leucoagaricus sp. SymC.cos","Edhazardia aedis",0.358504541761664,3.10862446895044e-15,0.147906247316813,0.0055638112973142,-3.16727598213013,0.00153874212253371,0.0326884920634921,0.371323570823222,"+/+"
"Erysiphe pulchra","Phytopythium vexans",-0.123973191983486,0.00818219745561022,0.0982712407280758,0.0663048926992293,3.12574034783102,0.00177358072697492,0.0334821428571429,0.371323570823222,"-/0"
"Phytophthora capsici","Choanephora cucurbitarum",0.152277862394222,0.00113519324614098,-0.0688461769030824,0.198823210427352,-3.11486115816356,0.00184031511441593,0.0337301587301587,0.371323570823222,"+/0"
"Rhizophagus clarus","Schizosaccharomyces pombe",0.315454253400172,6.01185767834522e-12,0.108490903082463,0.0425185287519125,-3.0482655819067,0.00230166411241649,0.035515873015873,0.371323570823222,"+/+"
"Pichia kudriavzevii","Schizosaccharomyces pombe",0.222686762186096,1.65068798096968e-06,0.00900399591167454,0.866701171374293,-3.04554479237879,0.00232259179854475,0.0356150793650794,0.371323570823222,"+/0"
"Lipomyces starkeyi","Edhazardia aedis",0.222900946797431,1.61221129579836e-06,0.0115848198995533,0.829015759266418,-3.01255522464036,0.00259058295869078,0.0365575396825397,0.371323570823222,"+/0"
"Erysiphe pulchra","Baudoinia panamericana",-0.0693810429621785,0.139937260256787,0.143621115628775,0.00711828907185774,2.99844459974244,0.00271361486960648,0.0368551587301587,0.371323570823222,"0/+"
"Naumovozyma dairenensis","[Candida] arabinofermentans",0.204221253582624,1.15609055160171e-05,0.397315432040149,1.11022302462516e-14,2.98737849180934,0.00281381123015877,0.0372519841269841,0.371323570823222,"+/+"
"Sphaerulina musiva","Pseudocercospora musae",-0.125874299028253,0.00724575880101819,0.0835923764480568,0.118521649999489,2.94550516852089,0.00322427760856134,0.0385416666666667,0.371323570823222,"-/0"
"Albugo candida","Hyaloscypha variabilis",0.204986865950585,1.07007017393634e-05,0.000779095804257846,0.988412403743602,-2.90097484382179,0.00372003741300641,0.0398809523809524,0.372782352484115,"+/0"
"Aspergillus rambellii","Trichoderma atroviride",-0.0872626077010592,0.0632048415734199,0.117469674612228,0.0279913339336804,2.87781336894448,0.00400441968342603,0.040625,0.372782352484115,"0/+"
"Sphaerulina musiva","Tuber magnatum",-0.0423368608104489,0.368120312720842,0.157591275250455,0.0031144547702322,2.8186914170412,0.00482198504053024,0.0422619047619048,0.372782352484115,"0/+"
"Erysiphe pulchra","Aspergillus ochraceoroseus",0.253443622618045,4.37640768069514e-08,0.0614352316153383,0.251662997653105,-2.76686072009491,0.00565989303512645,0.0439980158730159,0.372782352484115,"+/0"
"Rhizophagus clarus","Pichia kudriavzevii",0.267145184407959,7.38815608691823e-09,0.0762601097060644,0.154543132838404,-2.76408667874162,0.00570823736275384,0.0440476190476191,0.372782352484115,"+/0"
"Sphaerulina musiva","Aspergillus ochraceoroseus",0.243928610022808,1.41854487711868e-07,0.0538976672598536,0.314676893764601,-2.73073588556765,0.00631930921300093,0.0451884920634921,0.372782352484115,"+/0"
"Lipomyces starkeyi","Aspergillus ochraceoroseus",-0.0446662763935647,0.342332336219638,0.144891354852087,0.00662127957710679,2.66935882418101,0.00759962135682759,0.0474206349206349,0.372782352484115,"0/+"
"Lipomyces starkeyi","Hyaloscypha variabilis",0.149458902987971,0.00140442935841545,-0.0391575276192841,0.465249767349978,-2.65745861055135,0.00787322574845592,0.0477678571428571,0.372782352484115,"+/0"
"Moniliophthora perniciosa","Trichoderma atroviride",-0.000963083073255031,0.983673142164578,0.185703252546594,0.000479086453252897,2.644600665634,0.00817873751106027,0.0484126984126984,0.372782352484115,"0/+"
"Colletotrichum fioriniae","[Candida] arabinofermentans",0.00233406383870646,0.96044472730371,0.187687991449288,0.000415273797736315,2.62722543641192,0.00860842815742864,0.0489583333333333,0.372782352484115,"0/+"
"Aspergillus ochraceoroseus","Edhazardia aedis",0.0175862990655416,0.708618589211295,0.199957101687018,0.000166169636678815,2.59213376742294,0.00953826762647982,0.0500496031746032,0.373461560823765,"0/+"
"Aspergillus ochraceoroseus","Colletotrichum fioriniae",-0.0439626520442908,0.349997622212128,0.139638512473442,0.0088997813301559,2.58440541507638,0.00975470561088655,0.0505456349206349,0.373700172799359,"0/+"
