"Gene1","Gene2","CRC_cor","CRC_pVal","adenoma_cor","adenoma_pVal","zScoreDiff","pValDiff","empPVals","pValDiff_adj","Classes"
"Romboutsia ilealis","Moniliophthora perniciosa",0.0669772484851143,0.154224067305243,0.731011153974709,0,12.0968904424846,1.09687852544443e-33,0.000496031746031746,0.103107750758366,"0/+"
"Streptococcus thermophilus","Pichia kudriavzevii",0.524526581240249,0,-0.0257105104647235,0.63168384437379,-8.51834659542541,1.61847232004942e-17,0.00198412698412698,0.295919244676512,"+/0"
"Streptococcus salivarius","Pichia kudriavzevii",0.428725737966729,0,0.0422431913310448,0.430800635334716,-5.82658193032442,5.65740991344243e-09,0.00798611111111111,0.364886873517108,"+/0"
"Romboutsia ilealis","Pichia kudriavzevii",0.374952091635733,0,-0.0153982739470675,0.774064991014613,-5.73564510940131,9.71418798578488e-09,0.00828373015873016,0.364886873517108,"+/0"
"Brachyspira pilosicoli","Schizosaccharomyces pombe",0.380141622167843,0,-0.0087433199388591,0.870525911596588,-5.72719093948474,1.02107224253137e-08,0.00838293650793651,0.364886873517108,"+/0"
"Anaerostipes hadrus","Pichia kudriavzevii",0.435944468403344,0,0.072804864993205,0.174151064184972,-5.52147310081809,3.36169284046817e-08,0.0095734126984127,0.364886873517108,"+/0"
"Romboutsia ilealis","Albugo candida",0.394486343866589,0,0.045735559463674,0.393648461529128,-5.20016412570525,1.99112624670733e-07,0.0112103174603175,0.364886873517108,"+/0"
"Fusobacterium periodonticum","Trichoderma atroviride",-0.0666243173880246,0.156411529795042,0.275723478628532,1.59005307365234e-07,4.89818554363731,9.67256786241587e-07,0.0126984126984127,0.364886873517108,"0/+"
"Bifidobacterium pseudocatenulatum","Debaryomyces hansenii",0.338042625509783,1.34114941374719e-13,0.0115736609770458,0.829177927408224,-4.7656503493817,1.88245462657106e-06,0.0135416666666667,0.364886873517108,"+/0"
"Bifidobacterium pseudocatenulatum","Schizosaccharomyces pombe",-0.0181829128717738,0.699206209260158,0.303989064717948,6.44773634483897e-09,4.65063733176676,3.3091080238591e-06,0.014484126984127,0.364886873517108,"0/+"
"Parvimonas micra","Sphaerulina musiva",0.311997931703405,1.04638520070921e-11,-0.00687923912267286,0.897959124204271,-4.61622552189501,3.90782278808519e-06,0.0148809523809524,0.364886873517108,"+/0"
"Fusobacterium nucleatum","Pneumocystis murina",-0.0693983801727839,0.139838036698336,0.249458572302103,2.29937514140133e-06,4.54212854696603,5.56890646576229e-06,0.0155753968253968,0.364886873517108,"0/+"
"Fusobacterium nucleatum","Aspergillus rambellii",0.393291180352093,0,0.0924110304854288,0.0842820855394573,-4.52345529399312,6.08381745371531e-06,0.0156746031746032,0.364886873517108,"+/0"
"Roseburia intestinalis","Pseudocercospora musae",0.386701716496965,0,0.0851486103364482,0.111795331030808,-4.51713400159563,6.26822410662535e-06,0.0157242063492063,0.364886873517108,"+/0"
"Gemella morbillorum","Moniliophthora perniciosa",-0.0250441894934835,0.59456265913239,0.289003346619154,3.68472279355103e-08,4.51667462032051,6.2818317595533e-06,0.0157242063492063,0.364886873517108,"0/+"
"Parvimonas micra","Erysiphe pulchra",0.295360777295601,1.36488154112158e-10,-0.0167863386158541,0.754324530589677,-4.49832027755351,6.84924617301547e-06,0.0158234126984127,0.364886873517108,"+/0"
"Romboutsia ilealis","Aspergillus rambellii",-0.0297791491325916,0.526796534538441,0.28025902747215,9.73330731568467e-08,4.44978107184918,8.59578673940717e-06,0.0161210317460317,0.364886873517108,"0/+"
"Romboutsia ilealis","Rhizophagus irregularis",0.281697843472977,9.97372406885688e-10,-0.0254008435995434,0.635797492684544,-4.41029681693403,1.03229025660981e-05,0.0166666666666667,0.364886873517108,"+/0"
"Parvimonas micra","Moniliophthora perniciosa",0.0436543708416506,0.353389968492189,0.33188332400319,1.91322069298394e-10,4.21885494506684,2.45546177266139e-05,0.0186011904761905,0.364886873517108,"0/+"
