"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"k__Bacteria","Bacteria",NA,NA,NA,NA,NA,NA
"k__Bacteria|p__Caldiserica","Bacteria","Caldiserica",NA,NA,NA,NA,NA
"k__Bacteria|p__Caldiserica|c__Caldisericia","Bacteria","Caldiserica","Caldisericia",NA,NA,NA,NA
"k__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales","Bacteria","Caldiserica","Caldisericia","Caldisericales",NA,NA,NA
"k__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales|f__Caldisericaceae","Bacteria","Caldiserica","Caldisericia","Caldisericales","Caldisericaceae",NA,NA
"k__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales|f__Caldisericaceae|g__Caldisericum","Bacteria","Caldiserica","Caldisericia","Caldisericales","Caldisericaceae","Caldisericum",NA
"k__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales|f__Caldisericaceae|g__Caldisericum|s__Caldisericum_exile","Bacteria","Caldiserica","Caldisericia","Caldisericales","Caldisericaceae","Caldisericum","Caldisericum exile"
"k__Bacteria|p__Coprothermobacterota","Bacteria","Coprothermobacterota",NA,NA,NA,NA,NA
"k__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria","Bacteria","Coprothermobacterota","Coprothermobacteria",NA,NA,NA,NA
"k__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria|o__Coprothermobacterales","Bacteria","Coprothermobacterota","Coprothermobacteria","Coprothermobacterales",NA,NA,NA
"k__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria|o__Coprothermobacterales|f__Coprothermobacteraceae","Bacteria","Coprothermobacterota","Coprothermobacteria","Coprothermobacterales","Coprothermobacteraceae",NA,NA
"k__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria|o__Coprothermobacterales|f__Coprothermobacteraceae|g__Coprothermobacter","Bacteria","Coprothermobacterota","Coprothermobacteria","Coprothermobacterales","Coprothermobacteraceae","Coprothermobacter",NA
