Gene1,Gene2,CRC_cor,CRC_pVal,CTRL_cor,CTRL_pVal,zScoreDiff,pValDiff,empPVals,pValDiff_adj,Classes,color,width
Bifidobacterium angulatum,Trichophyton mentagrophytes,0.007710516,0.869857401,0.872338119,0,20.76684891,8.63E-96,0.000347222,0.143002575,0/+,pos,3
Dialister pneumosintes,Aspergillus rambellii,0.036720058,0.435090312,0.444565989,0,6.862362961,6.77E-12,0.005406746,0.446238122,0/+,pos,2
Dialister pneumosintes,Moniliophthora perniciosa,-0.037696238,0.42297264,0.327603456,1.33E-14,5.877500072,4.17E-09,0.00828373,0.446238122,0/+,pos,2
Streptococcus salivarius,Pichia kudriavzevii,0.428725738,0,0.140380396,0.001260454,-4.931225656,8.17E-07,0.011904762,0.446238122,+/+,pos,1
Fusobacterium nucleatum,Edhazardia aedis,0.024887971,0.596864496,0.287763254,1.81E-11,4.218997066,2.45E-05,0.01671627,0.446238122,0/+,pos,1
Anaerostipes hadrus,Aspergillus ochraceoroseus,0.002026942,0.96564605,0.259034091,1.70E-09,4.091649997,4.28E-05,0.01765873,0.446238122,0/+,pos,1
Adlercreutzia equolifaciens,Thielaviopsis punctulata,-0.014814091,0.75291729,0.229691138,1.03E-07,3.86816894,0.000109656,0.020337302,0.446238122,0/+,pos,1
Clostridium beijerinckii,Pichia kudriavzevii,0.374811617,0,0.144771196,0.00087862,-3.860942482,0.00011295,0.020486111,0.446238122,+/+,pos,1
Fusobacterium nucleatum,Moniliophthora perniciosa,0.329338011,6.03E-13,0.098305507,0.02428743,-3.787018494,0.000152466,0.021081349,0.446238122,+/+,pos,1
Fusobacterium periodonticum,Edhazardia aedis,-0.068183248,0.146923988,0.173142682,6.67E-05,3.782855259,0.00015504,0.021081349,0.446238122,0/+,pos,1
Anaerostipes hadrus,Pichia kudriavzevii,0.435944468,0,0.246501041,1.05E-08,-3.352525422,0.000800779,0.027579365,0.446238122,+/+,pos,1
Fusobacterium nucleatum,Rhizophagus clarus,-0.055214998,0.240341467,0.153516346,0.000415459,3.2666975,0.001088099,0.028323413,0.446238122,0/+,pos,1
Parvimonas micra,Edhazardia aedis,-0.032960534,0.483581736,0.165877212,0.000134457,3.117149693,0.001826088,0.03125,0.446238122,0/+,pos,1
Adlercreutzia equolifaciens,Baudoinia panamericana,0.067119649,0.153348058,0.251715176,4.97E-09,2.955779493,0.0031188,0.03531746,0.446238122,0/+,pos,1
Parvimonas micra,Phytophthora capsici,0.012211631,0.795258007,0.199077315,4.29E-06,2.948576237,0.003192414,0.03546627,0.446238122,0/+,pos,1
Parvimonas micra,Thielaviopsis punctulata,0.267990826,6.60E-09,0.085959922,0.049005997,-2.932491965,0.003362536,0.035813492,0.446238122,+/+,pos,1
Fusobacterium periodonticum,Cordyceps sp. RAO-2017,0.086565486,0.065350849,-0.09677346,0.026603988,-2.859922473,0.004237446,0.038194444,0.446238122,0/-,neg,1
Parvimonas micra,Erysiphe pulchra,0.295360777,1.36E-10,0.125021189,0.004117306,-2.780446299,0.005428424,0.040674603,0.446238122,+/+,pos,1
