Gene1,Gene2,adenoma_cor,adenoma_pVal,CTRL_cor,CTRL_pVal,zScoreDiff,pValDiff,empPVals,pValDiff_adj,Classes,color,width
Romboutsia ilealis,Moniliophthora perniciosa,0.731011154,0,0.057327817,0.18969121,-12.61117046,1.83E-36,0.001835317,0.733536468,+/0,pos,3
Parvimonas micra,Moniliophthora perniciosa,0.331883324,1.91E-10,0.018496791,0.672411477,-4.713019196,2.44E-06,0.012996032,0.733536468,+/0,pos,2
Fusobacterium periodonticum,Trichoderma atroviride,0.275723479,1.59E-07,-0.040658608,0.352490336,-4.673813746,2.96E-06,0.013293651,0.733536468,+/0,pos,1
Streptococcus milleri,Colletotrichum fioriniae,0.302509645,7.69E-09,-0.006574291,0.8805449,-4.603436426,4.16E-06,0.013888889,0.733536468,+/0,pos,2
Prevotella intermedia,Thielaviopsis punctulata,0.214056223,5.41E-05,-0.096499644,0.027037465,-4.53652251,5.72E-06,0.014434524,0.733536468,+/-,pos,1
Bifidobacterium pseudocatenulatum,Schizosaccharomyces pombe,0.303989065,6.45E-09,0.009151061,0.834306357,-4.399919729,1.08E-05,0.015525794,0.733536468,+/0,pos,2
Streptococcus anginosus,Colletotrichum fioriniae,0.267557779,3.76E-07,-0.023732041,0.587439898,-4.301893178,1.69E-05,0.016121032,0.733536468,+/0,pos,1
Romboutsia ilealis,Aspergillus rambellii,0.280259027,9.73E-08,-0.009616478,0.826010503,-4.296291504,1.74E-05,0.016170635,0.733536468,+/0,pos,1
Fusobacterium nucleatum,Trichoderma atroviride,0.253016763,1.63E-06,-0.013887768,0.750890356,-3.934518542,8.34E-05,0.019146825,0.733536468,+/0,pos,1
Gemella morbillorum,Moniliophthora perniciosa,0.289003347,3.68E-08,0.048619764,0.266129061,-3.592327526,0.000327738,0.022767857,0.733536468,+/0,pos,1
Lactobacillus ruminis,Pichia kudriavzevii,0.226658228,1.86E-05,-0.012198643,0.780359803,-3.506321215,0.000454347,0.024007937,0.733536468,+/0,pos,1
Fusobacterium periodonticum,Aspergillus rambellii,0.268485061,3.42E-07,0.034195281,0.434288951,-3.479737921,0.000501904,0.024355159,0.733536468,+/0,pos,1
Porphyromonas asaccharolytica,Debaryomyces hansenii,0.233480462,1.02E-05,0.005870364,0.893254326,-3.349442397,0.000809744,0.02594246,0.733536468,+/0,pos,1
Romboutsia ilealis,Pneumocystis murina,0.383473555,1.05E-13,0.171884328,7.54E-05,-3.328089404,0.000874438,0.026488095,0.733536468,+/+,pos,2
Fusobacterium periodonticum,Phytopythium vexans,0.121303836,0.023228459,-0.105195846,0.015896287,-3.28438128,0.001022065,0.027529762,0.733536468,+/-,pos,1
Clostridium beijerinckii,Colletotrichum salicis,0.179265988,0.000754156,-0.038101135,0.383621935,-3.166762132,0.001541463,0.030208333,0.733536468,+/0,pos,1
Clostridium beijerinckii,Edhazardia aedis,0.402863564,4.44E-15,0.212884992,8.53E-07,-3.044440294,0.002331137,0.033928571,0.733536468,+/+,pos,2
Fusobacterium periodonticum,Moniliophthora perniciosa,0.314521408,1.78E-09,0.118623413,0.006505739,-2.979464958,0.002887523,0.035714286,0.733536468,+/+,pos,2
Gemella morbillorum,Choanephora cucurbitarum,0.167774678,0.001633237,-0.029456048,0.500654516,-2.870748279,0.004095015,0.038541667,0.733536468,+/0,pos,1
Streptococcus milleri,Trichoderma atroviride,0.208431727,8.54E-05,0.014816747,0.734832942,-2.84003809,0.004510815,0.039285714,0.733536468,+/0,pos,1
Fusobacterium nucleatum,Phytopythium vexans,0.139799225,0.008820847,-0.054277055,0.214386169,-2.816040014,0.004861961,0.040178571,0.733536468,+/0,pos,1
Bifidobacterium angulatum,Colletotrichum fioriniae,0.141387518,0.008073616,-0.052491827,0.229867619,-2.81358551,0.004899235,0.040228175,0.733536468,+/0,pos,1
Anaerostipes hadrus,Aspergillus rambellii,0.208197412,8.70E-05,0.019368974,0.657922951,-2.770759921,0.005592564,0.041964286,0.733536468,+/0,pos,1
Gemella morbillorum,Cordyceps sp. RAO-2017,0.25837439,9.59E-07,0.072893826,0.095227133,-2.762493541,0.00573617,0.042261905,0.733536468,+/0,pos,1
Streptococcus anginosus,Trichoderma atroviride,0.174831635,0.001021884,-0.010321722,0.813476955,-2.69934492,0.006947613,0.04469246,0.733536468,+/0,pos,1
Clostridium beijerinckii,Rhizophagus clarus,0.353405438,9.83E-12,0.181850276,2.77E-05,-2.677196177,0.007424115,0.04593254,0.733536468,+/+,pos,2
Porphyromonas asaccharolytica,Rhizophagus clarus,-0.170776473,0.001340817,0.008157564,0.852075531,2.607749035,0.009113975,0.048611111,0.733536468,-/0,neg,2
