Gene1,Gene2,CRC_cor,CRC_pVal,adenoma_cor,adenoma_pVal,zScoreDiff,pValDiff,empPVals,pValDiff_adj,Classes,color,width
Streptococcus salivarius,Streptococcus equinus,0.600118226,0,0.926511764,0,13.16148257,1.46E-39,0.000347222,0.103107751,+/+,pos,3
Fusobacterium nucleatum,Fusobacterium periodonticum,0.239842302,2.32E-07,0.799298887,0,11.9322474,8.04E-33,0.000496032,0.103107751,+/+,pos,3
Porphyromonas asaccharolytica,Prevotella intermedia,0.101628231,0.030383135,0.563791922,0,7.511658561,5.84E-14,0.003075397,0.364886874,+/+,pos,3
Streptococcus salivarius,Streptococcus milleri,0.682964404,0,0.301138893,9.05E-09,-7.336369811,2.19E-13,0.00327381,0.364886874,+/+,pos,2
Gemella morbillorum,Dialister pneumosintes,0.542406908,0,0.129383681,0.015432088,-6.686153074,2.29E-11,0.00515873,0.364886874,+/+,pos,1
Parvimonas micra,Romboutsia ilealis,0.049746075,0.29019852,0.47672722,0,6.567212043,5.13E-11,0.005406746,0.364886874,0/+,pos,2
Butyrivibrio proteoclasticus,Clostridium beijerinckii,0.598981169,0,0.243646771,4.00E-06,-6.202495287,5.56E-10,0.006795635,0.364886874,+/+,pos,1
Bifidobacterium bifidum,Bifidobacterium adolescentis,0.094607147,0.043927249,0.481790328,0,6.027625834,1.66E-09,0.007440476,0.364886874,+/+,pos,2
Fusobacterium nucleatum,Parvimonas micra,0.60618327,0,0.291952615,2.64E-08,-5.631921225,1.78E-08,0.008878968,0.364886874,+/+,pos,1
Pseudobutyrivibrio xylanivorans,Clostridium beijerinckii,0.57081622,0,0.248222168,2.59E-06,-5.534589037,3.12E-08,0.009424603,0.364886874,+/+,pos,1
Romboutsia ilealis,Fusobacterium periodonticum,-0.010754167,0.819244402,0.354117963,8.88E-12,5.334101955,9.60E-08,0.010664683,0.364886874,0/+,pos,2
Parvimonas micra,Gemella morbillorum,0.409160544,0,0.662709961,0,5.083835914,3.70E-07,0.011755952,0.364886874,+/+,pos,3
Streptococcus anginosus,Streptococcus salivarius,0.523626346,0,0.234853598,8.99E-06,-4.78940046,1.67E-06,0.013343254,0.364886874,+/+,pos,1
Lactobacillus ruminis,Bifidobacterium bifidum,0.015712785,0.738459323,0.334393266,1.37E-10,4.650056188,3.32E-06,0.014484127,0.364886874,0/+,pos,2
Anaerostipes hadrus,Pseudobutyrivibrio xylanivorans,0.490823984,0,0.218345107,3.79E-05,-4.414440942,1.01E-05,0.01656746,0.364886874,+/+,pos,1
Fusobacterium periodonticum,Streptococcus milleri,0.019589307,0.677202168,0.280135111,9.87E-08,3.756384459,0.000172386,0.023214286,0.364886874,0/+,pos,1
Fusobacterium nucleatum,Streptococcus equinus,-0.03125055,0.506568282,0.228541658,1.58E-05,3.69580425,0.000219192,0.02405754,0.364886874,0/+,pos,1
Butyrivibrio proteoclasticus,Prevotella intermedia,0.001959549,0.966787608,0.257613417,1.03E-06,3.663314964,0.000248972,0.024454365,0.364886874,0/+,pos,1
Fusobacterium periodonticum,Streptococcus salivarius,-0.018452778,0.694963712,0.236578081,7.68E-06,3.635448762,0.000277497,0.024751984,0.364886874,0/+,pos,1
Anaerostipes hadrus,Clostridium beijerinckii,0.380102099,0,0.142028823,0.007788263,-3.601592197,0.000316274,0.024900794,0.364886874,+/+,pos,1
Lactobacillus ruminis,Bifidobacterium longum,-0.031158335,0.50782396,0.221885704,2.81E-05,3.596320955,0.00032275,0.024900794,0.364886874,0/+,pos,1
Fusobacterium nucleatum,Streptococcus salivarius,-0.023376567,0.619340163,0.220736719,3.10E-05,3.470344548,0.000519791,0.026984127,0.364886874,0/+,pos,1
Streptococcus salivarius,Streptococcus thermophilus,0.357377155,4.00E-15,0.138012322,0.009734522,-3.290614467,0.000999688,0.030009921,0.364886874,+/+,pos,1
Fusobacterium periodonticum,Streptococcus equinus,-0.02462429,0.600758911,0.207048261,9.54E-05,3.286940446,0.001012823,0.03015873,0.364886874,0/+,pos,1
Anaerostipes hadrus,Butyrivibrio proteoclasticus,0.424989,0,0.231150937,1.25E-05,-3.057910652,0.00222886,0.035218254,0.371323571,+/+,pos,1
Butyrivibrio proteoclasticus,Dialister pneumosintes,-0.024519778,0.602305651,0.185209027,0.000496335,2.9673894,0.003003403,0.037797619,0.371323571,0/+,pos,1
Streptococcus anginosus,Bifidobacterium adolescentis,0.017018662,0.71761521,0.22328774,2.49E-05,2.942144404,0.003259479,0.038640873,0.371323571,0/+,pos,1
Bifidobacterium angulatum,Bifidobacterium adolescentis,0.099256851,0.034490828,0.296682892,1.53E-08,2.88893265,0.003865519,0.040327381,0.372782352,+/+,pos,1
Pseudobutyrivibrio xylanivorans,Prevotella intermedia,-0.035728162,0.447605171,0.163625648,0.00213395,2.812744851,0.004912061,0.042410714,0.372782352,0/+,pos,1
Clostridium beijerinckii,Bifidobacterium longum,-0.01902042,0.686071065,0.174501332,0.001044976,2.735374925,0.006230926,0.04484127,0.372782352,0/+,pos,1
Streptococcus anginosus,Bifidobacterium bifidum,-0.015053533,0.749056522,0.174677145,0.001032625,2.682346006,0.00731078,0.046974206,0.372782352,0/+,pos,1
Lactococcus garvieae,Adlercreutzia equolifaciens,0.012302517,0.79376835,0.196288041,0.000219813,2.612663676,0.008983966,0.049355159,0.372782352,0/+,pos,1
Pseudobutyrivibrio xylanivorans,Dialister pneumosintes,-0.028980358,0.537947611,0.15596686,0.003440611,2.608084726,0.009105041,0.049454365,0.372782352,0/+,pos,1
Fusobacterium nucleatum,Gemella morbillorum,0.258161199,2.40E-08,0.414618713,4.44E-16,2.479246232,0.013166038,0.055059524,0.381594148,+/+,pos,2
Lactococcus garvieae,Bifidobacterium bifidum,-0.012807981,0.785497455,0.152816798,0.004162691,2.336312511,0.01947496,0.062251984,0.389747298,0/+,pos,1
Gemella morbillorum,Romboutsia ilealis,0.230573365,6.82E-07,0.375488413,3.67E-13,2.240667959,0.025047591,0.068551587,0.389747298,+/+,pos,2
Dialister pneumosintes,Prevotella intermedia,0.338466773,1.25E-13,0.190778969,0.000331438,-2.229636758,0.025771567,0.069246032,0.389747298,+/+,pos,1
Roseburia intestinalis,Clostridium beijerinckii,0.195486734,2.74E-05,0.341048163,5.56E-11,2.202022047,0.027663751,0.070833333,0.389747298,+/+,pos,2
Lactococcus garvieae,Ruminococcus bicirculans,-0.007105218,0.87999356,0.149011645,0.005215848,2.201913699,0.027671405,0.070833333,0.389747298,0/+,pos,1
Bifidobacterium bifidum,Bifidobacterium longum,0.173199365,0.000208659,0.316035813,1.48E-09,2.132439417,0.03297074,0.075992063,0.406379026,+/+,pos,2
Anaerostipes hadrus,Porphyromonas asaccharolytica,0.025358701,0.589940713,-0.120910172,0.023682838,-2.056747282,0.039710542,0.08234127,0.411529804,0/-,neg,2
Bifidobacterium angulatum,Bifidobacterium bifidum,0.010921259,0.816485435,0.14819081,0.005472296,1.937708943,0.052658742,0.091865079,0.411529804,0/+,pos,1
Streptococcus salivarius,Escherichia coli,-3.68E-05,0.999375489,0.136908847,0.010339824,1.929900628,0.053619152,0.092410714,0.411529804,0/+,pos,1
Gemella morbillorum,Butyrivibrio proteoclasticus,-0.007610982,0.87152275,0.127193454,0.017278075,1.897500974,0.05776185,0.09578373,0.411529804,0/+,pos,1
Clostridium beijerinckii,Fusobacterium periodonticum,-0.021773772,0.643568212,0.111760981,0.03662423,1.876632128,0.060568531,0.098214286,0.411529804,0/+,pos,1
[Eubacterium] eligens,Adlercreutzia equolifaciens,0.079243864,0.091705498,0.208440945,8.53E-05,1.850354029,0.06426254,0.100396825,0.411529804,0/+,pos,1
Romboutsia ilealis,Streptococcus thermophilus,0.265935757,8.68E-09,0.14050218,0.00848286,-1.835184416,0.066478369,0.102232143,0.411529804,+/+,pos,1
Parvimonas micra,Bifidobacterium catenulatum,-0.004811125,0.918574147,0.117817413,0.027527279,1.724986767,0.084529857,0.113988095,0.414443468,0/+,pos,1
Dialister pneumosintes,Bifidobacterium angulatum,-0.003433779,0.941835574,0.117579842,0.027843595,1.702324424,0.088694569,0.116914683,0.414443468,0/+,pos,1
Bifidobacterium angulatum,Bifidobacterium longum,0.089886344,0.055642036,0.20839057,8.57E-05,1.699504497,0.089224168,0.117162698,0.414443468,0/+,pos,1
Roseburia intestinalis,Ruminococcus bicirculans,0.08532181,0.069327932,0.203543039,0.000125802,1.693028298,0.090450081,0.117708333,0.414443468,0/+,pos,1
Streptococcus equinus,Bifidobacterium longum,0.022181491,0.637367821,0.135184495,0.011352579,1.594101433,0.110913318,0.131696429,0.426651185,0/+,pos,1
Bifidobacterium adolescentis,Bifidobacterium longum,0.310429444,1.34E-11,0.402397389,4.66E-15,1.477219272,0.139616869,0.150099206,0.44644317,+/+,pos,2
Fusobacterium nucleatum,Clostridium beijerinckii,0.010311053,0.826571677,0.11356003,0.033687859,1.452781219,0.146284508,0.154811508,0.44644317,0/+,pos,1
Pseudobutyrivibrio xylanivorans,Escherichia coli,-0.059438465,0.206194777,-0.15526713,0.003590411,-1.358730864,0.174231888,0.172321429,0.45109641,0/-,neg,2
Roseburia intestinalis,Adlercreutzia equolifaciens,0.05189689,0.269820229,0.147154844,0.005812106,1.348408415,0.177527059,0.17485119,0.45131839,0/+,pos,1
Anaerostipes hadrus,Adlercreutzia equolifaciens,0.11126886,0.017707938,0.204851436,0.000113517,1.345219634,0.178554317,0.175396825,0.45131839,+/+,pos,1
Parvimonas micra,Clostridium beijerinckii,0.033747893,0.473190453,0.127220495,0.017254157,1.318515315,0.187331202,0.181200397,0.451598448,0/+,pos,1
Fusobacterium nucleatum,Dialister pneumosintes,0.396368401,0,0.315590894,1.56E-09,-1.296633828,0.194757207,0.185714286,0.451598448,+/+,pos,2
Fusobacterium nucleatum,Streptococcus milleri,0.09075399,0.053312786,0.180880394,0.000673998,1.286802492,0.198163138,0.187946429,0.451598448,0/+,pos,1
Butyrivibrio proteoclasticus,Escherichia coli,-0.082064274,0.080690638,-0.172370528,0.001205876,-1.286399024,0.198303839,0.188045635,0.451598448,0/-,neg,2
Bifidobacterium catenulatum,Bifidobacterium adolescentis,0.170744284,0.000257242,0.257021568,1.10E-06,1.267129046,0.205109151,0.192757937,0.452376941,+/+,pos,1
Pseudobutyrivibrio xylanivorans,Lactococcus garvieae,0.074082082,0.114956128,0.152152495,0.00433143,1.108067264,0.267832767,0.236011905,0.495542099,0/+,pos,1
Parvimonas micra,Streptococcus milleri,0.07254637,0.122700163,0.14999539,0.004922778,1.098775961,0.2718658,0.238640873,0.495563463,0/+,pos,1
[Eubacterium] eligens,Escherichia coli,-0.041016514,0.383258657,-0.117448937,0.028019219,-1.077661809,0.281184708,0.245337302,0.500672727,0/-,neg,2
Fusobacterium nucleatum,Romboutsia ilealis,0.101574544,0.030471277,0.175866494,0.000952546,1.061333521,0.288538357,0.250595238,0.506831877,+/+,pos,1
