Gene1,Gene2,CRC_cor,CRC_pVal,CTRL_cor,CTRL_pVal,zScoreDiff,pValDiff,empPVals,pValDiff_adj,Classes,color,width
Erysiphe pulchra,Thielaviopsis punctulata,0.86241292,0,0.232552278,7.05E-08,-16.57840166,9.98E-62,0.000396825,0.143002575,+/+,pos,3
Aspergillus rambellii,Sphaerulina musiva,0.749985884,0,0.066409224,0.128592042,-14.09920164,3.84E-45,0.000644841,0.143002575,+/0,pos,3
Erysiphe pulchra,Sphaerulina musiva,0.810739283,0,0.237915178,3.43E-08,-13.79127299,2.88E-43,0.000644841,0.143002575,+/+,pos,3
Aspergillus rambellii,Erysiphe pulchra,0.648528639,0,0.049737494,0.255280465,-11.24582455,2.43E-29,0.001041667,0.20533703,+/0,pos,3
Rhizophagus clarus,Naumovozyma dairenensis,0.20511765,1.06E-05,0.649974941,0,8.822521152,1.12E-18,0.002777778,0.426469217,+/+,pos,1
Sphaerulina musiva,Thielaviopsis punctulata,0.585766307,0,0.123552588,0.004581601,-8.50867229,1.76E-17,0.003075397,0.426469217,+/+,pos,3
Aspergillus rambellii,Thielaviopsis punctulata,0.451689545,0,0.015658149,0.720388174,-7.328866827,2.32E-13,0.004315476,0.446238122,+/0,pos,2
Baudoinia panamericana,Choanephora cucurbitarum,0.370405137,4.44E-16,-0.023470217,0.591569963,-6.414327325,1.41E-10,0.006646825,0.446238122,+/0,pos,2
Moniliophthora perniciosa,Erysiphe pulchra,0.37937389,0,0.03658368,0.402862736,-5.642197136,1.68E-08,0.009126984,0.446238122,+/0,pos,2
Erysiphe pulchra,Edhazardia aedis,-0.119796771,0.010627563,0.225617429,1.74E-07,5.443308663,5.23E-08,0.009722222,0.446238122,-/+,neg,2
Moniliophthora perniciosa,Thielaviopsis punctulata,0.274363916,2.78E-09,-0.063013024,0.149358392,-5.361360825,8.26E-08,0.010019841,0.446238122,+/0,pos,1
Moniliophthora perniciosa,Sphaerulina musiva,0.345291871,3.69E-14,0.03028712,0.488642305,-5.129879916,2.90E-07,0.011309524,0.446238122,+/0,pos,2
Aspergillus rambellii,Moniliophthora perniciosa,0.33843,1.25E-13,0.584756509,0,4.936223367,7.96E-07,0.011904762,0.446238122,+/+,pos,2
Trichoderma atroviride,Phytopythium vexans,0.364955393,8.88E-16,0.070894594,0.104681473,-4.846550297,1.26E-06,0.012549603,0.446238122,+/0,pos,2
Albugo candida,Naumovozyma dairenensis,0.321904923,2.10E-12,0.028189315,0.519259762,-4.753171831,2.00E-06,0.013095238,0.446238122,+/0,pos,2
Sphaerulina musiva,Leucoagaricus sp. SymC.cos,-0.10609722,0.023771954,0.19240061,9.02E-06,4.687108495,2.77E-06,0.013293651,0.446238122,-/+,neg,2
Phytopythium vexans,Thielaviopsis punctulata,-0.106992605,0.022608618,0.189570108,1.23E-05,4.6555011,3.23E-06,0.013293651,0.446238122,-/+,neg,2
Erysiphe pulchra,Rhizophagus clarus,-0.115383917,0.013895232,0.177039744,4.52E-05,4.585973401,4.52E-06,0.01359127,0.446238122,-/+,neg,2
Erysiphe pulchra,Aspergillus ochraceoroseus,0.253443623,4.38E-08,-0.026028268,0.551802124,-4.435067083,9.20E-06,0.014484127,0.446238122,+/0,pos,1
Aspergillus rambellii,Aspergillus ochraceoroseus,0.209637673,6.65E-06,-0.021246847,0.627165089,-3.640504771,0.000272104,0.023214286,0.446238122,+/0,pos,1
Schizosaccharomyces pombe,Edhazardia aedis,0.360547752,2.22E-15,0.144011089,0.000935936,-3.61645308,0.000298667,0.023363095,0.446238122,+/+,pos,2
Leucoagaricus sp. SymC.cos,Edhazardia aedis,0.358504542,3.11E-15,0.142814128,0.001033233,-3.598962779,0.000319489,0.023511905,0.446238122,+/+,pos,2
Rhizophagus clarus,Thielaviopsis punctulata,-0.147082264,0.00167575,0.074967275,0.086155237,3.472864675,0.000514935,0.025545635,0.446238122,-/0,neg,2
Erysiphe pulchra,Hyaloscypha variabilis,-0.094262698,0.044705391,0.126749106,0.003625809,3.452842531,0.000554713,0.025843254,0.446238122,-/+,neg,1
[Candida] arabinofermentans,Edhazardia aedis,0.417949651,0,0.220828115,3.20E-07,-3.43263279,0.000597751,0.026190476,0.446238122,+/+,pos,2
Hyaloscypha variabilis,Thielaviopsis punctulata,-0.104763093,0.025601219,0.110941579,0.010965739,3.368397629,0.000756065,0.027281746,0.446238122,-/+,neg,2
Paracoccidioides brasiliensis,Tuber magnatum,0.273129698,3.29E-09,0.064413122,0.14050769,-3.355817552,0.000791308,0.027480159,0.446238122,+/0,pos,1
Pichia kudriavzevii,Naumovozyma dairenensis,0.220764569,2.04E-06,0.008942322,0.838033074,-3.352346736,0.000801296,0.027579365,0.446238122,+/0,pos,1
Naumovozyma dairenensis,Edhazardia aedis,0.224245278,1.39E-06,0.0164593,0.706726211,-3.292363773,0.00099349,0.028224206,0.446238122,+/0,pos,1
Rhizophagus irregularis,Pichia kudriavzevii,0.240169958,2.23E-07,0.033603622,0.442286719,-3.287343463,0.001011374,0.028224206,0.446238122,+/0,pos,1
Thielaviopsis punctulata,Edhazardia aedis,-0.15538895,0.000893787,0.051842594,0.235689741,3.243929332,0.00117893,0.028521825,0.446238122,-/0,neg,2
Aspergillus ochraceoroseus,Thielaviopsis punctulata,0.22433798,1.38E-06,0.022541562,0.606324915,-3.199236885,0.001377919,0.02921627,0.446238122,+/0,pos,1
Pseudocercospora musae,Rhizophagus clarus,0.281572951,1.02E-09,0.086544312,0.047482298,-3.151861959,0.001622329,0.03030754,0.446238122,+/+,pos,1
[Candida] arabinofermentans,Baudoinia panamericana,0.503376438,0,0.341100958,8.88E-16,-3.087340791,0.002019559,0.031696429,0.446238122,+/+,pos,3
Phytophthora capsici,Choanephora cucurbitarum,0.152277862,0.001135193,-0.041845184,0.33860387,-3.038511721,0.002377499,0.033184524,0.446238122,+/0,pos,1
Sphaerulina musiva,Lipomyces starkeyi,-0.127384101,0.006571644,0.061675956,0.158200691,2.952851719,0.003148532,0.035416667,0.446238122,-/0,neg,2
Erysiphe pulchra,Lipomyces starkeyi,-0.105816845,0.024146717,0.082439813,0.0590736,2.93741468,0.003309612,0.035664683,0.446238122,-/0,neg,2
Aspergillus rambellii,Edhazardia aedis,-0.124958062,0.007684394,0.062764515,0.150972733,2.931502681,0.003373265,0.035863095,0.446238122,-/0,neg,2
Aspergillus kawachii,Paracoccidioides brasiliensis,0.14066187,0.00266625,-0.044950789,0.30394198,-2.902261103,0.003704796,0.037152778,0.446238122,+/0,pos,1
