Gene1,Gene2,CRC_cor,CRC_pVal,CTRL_cor,CTRL_pVal,zScoreDiff,pValDiff,empPVals,pValDiff_adj,Classes,color,width
Streptococcus thermophilus,Pichia kudriavzevii,0.524526581,0,0.042184428,0.334698972,-8.405159956,4.27E-17,0.003125,0.426469217,+/0,pos,3
Brachyspira pilosicoli,Schizosaccharomyces pombe,0.380141622,0,-0.037203317,0.394937258,-6.804421909,1.01E-11,0.005505952,0.446238122,+/0,pos,2
Romboutsia ilealis,Albugo candida,0.394486344,0,0.007320256,0.86710993,-6.374112548,1.84E-10,0.006746032,0.446238122,+/0,pos,2
Fusobacterium nucleatum,Aspergillus rambellii,0.39329118,0,0.033449001,0.444390572,-5.945485882,2.76E-09,0.008134921,0.446238122,+/0,pos,2
Bifidobacterium pseudocatenulatum,Debaryomyces hansenii,0.338042626,1.34E-13,-0.024570795,0.574299626,-5.855744815,4.75E-09,0.008482143,0.446238122,+/0,pos,2
Roseburia intestinalis,Pseudocercospora musae,0.386701716,0,0.076221189,0.081015685,-5.157173565,2.51E-07,0.011061508,0.446238122,+/0,pos,2
Parvimonas micra,Aspergillus rambellii,0.32289864,1.78E-12,0.009153292,0.834266549,-5.066637612,4.05E-07,0.01155754,0.446238122,+/0,pos,2
Streptococcus salivarius,Pichia kudriavzevii,0.428725738,0,0.140380396,0.001260454,-4.931225656,8.17E-07,0.011904762,0.446238122,+/+,pos,2
Parvimonas micra,Sphaerulina musiva,0.311997932,1.05E-11,0.019951063,0.648323767,-4.710077832,2.48E-06,0.013244048,0.446238122,+/0,pos,2
Gemella morbillorum,Pichia kudriavzevii,0.274984279,2.55E-09,-0.015553357,0.722181895,-4.632286903,3.62E-06,0.013293651,0.446238122,+/0,pos,1
Fusobacterium nucleatum,Sphaerulina musiva,0.267543113,7.01E-09,0.00693504,0.874043208,-4.15752001,3.22E-05,0.017162698,0.446238122,+/0,pos,1
Streptococcus anginosus,Pichia kudriavzevii,0.245736285,1.14E-07,0.001726152,0.968526147,-3.875406281,0.000106447,0.020089286,0.446238122,+/0,pos,1
Clostridium beijerinckii,Pichia kudriavzevii,0.374811617,0,0.144771196,0.00087862,-3.860942482,0.00011295,0.020486111,0.446238122,+/+,pos,2
Brachyspira pilosicoli,Edhazardia aedis,0.237908748,2.91E-07,-0.005444646,0.90095418,-3.857628422,0.000114493,0.020535714,0.446238122,+/0,pos,1
Fusobacterium nucleatum,Moniliophthora perniciosa,0.329338011,6.03E-13,0.098305507,0.02428743,-3.787018494,0.000152466,0.021081349,0.446238122,+/+,pos,2
Romboutsia ilealis,Rhizophagus irregularis,0.281697843,9.97E-10,0.048105934,0.271220934,-3.754675078,0.000173566,0.021378968,0.446238122,+/0,pos,1
Clostridium beijerinckii,Albugo candida,0.275267419,2.45E-09,0.044688415,0.306776058,-3.699514504,0.000216012,0.022271825,0.446238122,+/0,pos,1
Clostridium beijerinckii,Aspergillus ochraceoroseus,0.250366566,6.44E-08,0.031832028,0.466730296,-3.483691035,0.00049455,0.025347222,0.446238122,+/0,pos,1
