"","Class","Family","Genus","Kingdom","name","Order","Phylum","selected","shared name"
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_angulatum","Actinobacteria","Bifidobacteriaceae","Bifidobacterium","Bacteria","Bifidobacterium angulatum","Bifidobacteriales","Actinobacteria","false","Bifidobacterium angulatum"
"k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Arthrodermataceae|g__Trichophyton|s__Trichophyton_mentagrophytes","Eurotiomycetes","Arthrodermataceae","Trichophyton","Eukaryota|Fungi","Trichophyton mentagrophytes","Onygenales","Ascomycota","false","Trichophyton mentagrophytes"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_pneumosintes","Negativicutes","Veillonellaceae","Dialister","Bacteria","Dialister pneumosintes","Veillonellales","Firmicutes","false","Dialister pneumosintes"
"k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus_rambellii","Eurotiomycetes","Aspergillaceae","Aspergillus","Eukaryota|Fungi","Aspergillus rambellii","Eurotiales","Ascomycota","false","Aspergillus rambellii"
"k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Marasmiaceae|g__Moniliophthora|s__Moniliophthora_perniciosa","Agaricomycetes","Marasmiaceae","Moniliophthora","Eukaryota|Fungi","Moniliophthora perniciosa","Agaricales","Basidiomycota","false","Moniliophthora perniciosa"
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius","Bacilli","Streptococcaceae","Streptococcus","Bacteria","Streptococcus salivarius","Lactobacillales","Firmicutes","false","Streptococcus salivarius"
"k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Pichiaceae|g__Pichia|s__Pichia_kudriavzevii","Saccharomycetes","Pichiaceae","Pichia","Eukaryota|Fungi","Pichia kudriavzevii","Saccharomycetales","Ascomycota","false","Pichia kudriavzevii"
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_nucleatum","Fusobacteriia","Fusobacteriaceae","Fusobacterium","Bacteria","Fusobacterium nucleatum","Fusobacteriales","Fusobacteria","false","Fusobacterium nucleatum"
"k__Eukaryota|k__Fungi|p__Microsporidia|f__Culicosporidae|g__Edhazardia|s__Edhazardia_aedis","NA","Culicosporidae","Edhazardia","Eukaryota|Fungi","Edhazardia aedis","NA","Microsporidia","false","Edhazardia aedis"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus","Clostridia","Lachnospiraceae","Anaerostipes","Bacteria","Anaerostipes hadrus","Clostridiales","Firmicutes","false","Anaerostipes hadrus"
"k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus_ochraceoroseus","Eurotiomycetes","Aspergillaceae","Aspergillus","Eukaryota|Fungi","Aspergillus ochraceoroseus","Eurotiales","Ascomycota","false","Aspergillus ochraceoroseus"
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens","Coriobacteriia","Eggerthellaceae","Adlercreutzia","Bacteria","Adlercreutzia equolifaciens","Eggerthellales","Actinobacteria","false","Adlercreutzia equolifaciens"
"k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Microascales|f__Ceratocystidaceae|g__Thielaviopsis|s__Thielaviopsis_punctulata","Sordariomycetes","Ceratocystidaceae","Thielaviopsis","Eukaryota|Fungi","Thielaviopsis punctulata","Microascales","Ascomycota","false","Thielaviopsis punctulata"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_beijerinckii","Clostridia","Clostridiaceae","Clostridium","Bacteria","Clostridium beijerinckii","Clostridiales","Firmicutes","false","Clostridium beijerinckii"
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_periodonticum","Fusobacteriia","Fusobacteriaceae","Fusobacterium","Bacteria","Fusobacterium periodonticum","Fusobacteriales","Fusobacteria","false","Fusobacterium periodonticum"
"k__Eukaryota|k__Fungi|p__Mucoromycota|c__Glomeromycetes|o__Glomerales|f__Glomeraceae|g__Rhizophagus|s__Rhizophagus_clarus","Glomeromycetes","Glomeraceae","Rhizophagus","Eukaryota|Fungi","Rhizophagus clarus","Glomerales","Mucoromycota","false","Rhizophagus clarus"
"k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Parvimonas|s__Parvimonas_micra","Tissierellia","Peptoniphilaceae","Parvimonas","Bacteria","Parvimonas micra","Tissierellales","Firmicutes","false","Parvimonas micra"
"k__Eukaryota|k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Capnodiales|f__Teratosphaeriaceae|g__Baudoinia|s__Baudoinia_panamericana","Dothideomycetes","Teratosphaeriaceae","Baudoinia","Eukaryota|Fungi","Baudoinia panamericana","Capnodiales","Ascomycota","false","Baudoinia panamericana"
"k__Eukaryota|c__Oomycetes|o__Peronosporales|f__Peronosporaceae|g__Phytophthora|s__Phytophthora_capsici","Oomycetes","Peronosporaceae","Phytophthora","Eukaryota","Phytophthora capsici","Peronosporales","NA","false","Phytophthora capsici"
"k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Cordycipitaceae|g__Cordyceps|s__Cordyceps_sp._RAO-2017","Sordariomycetes","Cordycipitaceae","Cordyceps","Eukaryota|Fungi","Cordyceps sp. RAO-2017","Hypocreales","Ascomycota","false","Cordyceps sp. RAO-2017"
"k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Erysiphales|f__Erysiphaceae|g__Erysiphe|s__Erysiphe_pulchra","Leotiomycetes","Erysiphaceae","Erysiphe","Eukaryota|Fungi","Erysiphe pulchra","Erysiphales","Ascomycota","false","Erysiphe pulchra"
"k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Pichiaceae|g__Ogataea|s__[Candida]_arabinofermentans","Saccharomycetes","Pichiaceae","Ogataea","Eukaryota|Fungi","[Candida] arabinofermentans","Saccharomycetales","Ascomycota","false","[Candida] arabinofermentans"
"k__Eukaryota|k__Fungi|p__Mucoromycota|c__Glomeromycetes|o__Glomerales|f__Glomeraceae|g__Rhizophagus|s__Rhizophagus_irregularis","Glomeromycetes","Glomeraceae","Rhizophagus","Eukaryota|Fungi","Rhizophagus irregularis","Glomerales","Mucoromycota","false","Rhizophagus irregularis"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_intermedia","Bacteroidia","Prevotellaceae","Prevotella","Bacteria","Prevotella intermedia","Bacteroidales","Bacteroidetes","false","Prevotella intermedia"
"k__Eukaryota|k__Fungi|p__Ascomycota|c__Pezizomycetes|o__Pezizales|f__Tuberaceae|g__Tuber|s__Tuber_magnatum","Pezizomycetes","Tuberaceae","Tuber","Eukaryota|Fungi","Tuber magnatum","Pezizales","Ascomycota","false","Tuber magnatum"
"k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|g__Paracoccidioides|s__Paracoccidioides_brasiliensis","Eurotiomycetes","NA","Paracoccidioides","Eukaryota|Fungi","Paracoccidioides brasiliensis","Onygenales","Ascomycota","false","Paracoccidioides brasiliensis"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Pseudobutyrivibrio|s__Pseudobutyrivibrio_xylanivorans","Clostridia","Lachnospiraceae","Pseudobutyrivibrio","Bacteria","Pseudobutyrivibrio xylanivorans","Clostridiales","Firmicutes","false","Pseudobutyrivibrio xylanivorans"
