,Class,Family,Genus,Kingdom,name,Order,Phylum,shared name,Label
k__Eukaryota|k__Fungi|p__Mucoromycota|c__Mucoromycetes|o__Mucorales|f__Choanephoraceae|g__Choanephora|s__Choanephora_cucurbitarum,Mucoromycetes,Choanephoraceae,Choanephora,Eukaryota|Fungi,Choanephora cucurbitarum,Mucorales,Mucoromycota,Choanephora cucurbitarum,Euk otu01
k__Eukaryota|k__Fungi|p__Mucoromycota|c__Glomeromycetes|o__Glomerales|f__Glomeraceae|g__Rhizophagus|s__Rhizophagus_irregularis,Glomeromycetes,Glomeraceae,Rhizophagus,Eukaryota|Fungi,Rhizophagus irregularis,Glomerales,Mucoromycota,Rhizophagus irregularis,Euk otu02
k__Eukaryota|k__Fungi|p__Mucoromycota|c__Glomeromycetes|o__Glomerales|f__Glomeraceae|g__Rhizophagus|s__Rhizophagus_clarus,Glomeromycetes,Glomeraceae,Rhizophagus,Eukaryota|Fungi,Rhizophagus clarus,Glomerales,Mucoromycota,Rhizophagus clarus,Euk otu03
k__Eukaryota|k__Fungi|p__Microsporidia|f__Culicosporidae|g__Edhazardia|s__Edhazardia_aedis,NA,Culicosporidae,Edhazardia,Eukaryota|Fungi,Edhazardia aedis,NA,Microsporidia,Edhazardia aedis,Euk otu04
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Marasmiaceae|g__Moniliophthora|s__Moniliophthora_perniciosa,Agaricomycetes,Marasmiaceae,Moniliophthora,Eukaryota|Fungi,Moniliophthora perniciosa,Agaricales,Basidiomycota,Moniliophthora perniciosa,Euk otu05
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Agaricaceae|g__Leucoagaricus|s__Leucoagaricus_sp._SymC.cos,Agaricomycetes,Agaricaceae,Leucoagaricus,Eukaryota|Fungi,Leucoagaricus sp. SymC.cos,Agaricales,Basidiomycota,Leucoagaricus sp. SymC.cos,Euk otu06
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Microascales|f__Ceratocystidaceae|g__Thielaviopsis|s__Thielaviopsis_punctulata,Sordariomycetes,Ceratocystidaceae,Thielaviopsis,Eukaryota|Fungi,Thielaviopsis punctulata,Microascales,Ascomycota,Thielaviopsis punctulata,Euk otu07
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Hypocreaceae|g__Trichoderma|s__Trichoderma_atroviride,Sordariomycetes,Hypocreaceae,Trichoderma,Eukaryota|Fungi,Trichoderma atroviride,Hypocreales,Ascomycota,Trichoderma atroviride,Euk otu08
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Cordycipitaceae|g__Cordyceps|s__Cordyceps_sp._RAO-2017,Sordariomycetes,Cordycipitaceae,Cordyceps,Eukaryota|Fungi,Cordyceps sp. RAO-2017,Hypocreales,Ascomycota,Cordyceps sp. RAO-2017,Euk otu09
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Glomerellales|f__Glomerellaceae|g__Colletotrichum|s__Colletotrichum_salicis,Sordariomycetes,Glomerellaceae,Colletotrichum,Eukaryota|Fungi,Colletotrichum salicis,Glomerellales,Ascomycota,Colletotrichum salicis,Euk otu10
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Glomerellales|f__Glomerellaceae|g__Colletotrichum|s__Colletotrichum_fioriniae,Sordariomycetes,Glomerellaceae,Colletotrichum,Eukaryota|Fungi,Colletotrichum fioriniae,Glomerellales,Ascomycota,Colletotrichum fioriniae,Euk otu11
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Coniochaetales|f__Coniochaetaceae|g__Coniochaeta|s__Coniochaeta_ligniaria,Sordariomycetes,Coniochaetaceae,Coniochaeta,Eukaryota|Fungi,Coniochaeta ligniaria,Coniochaetales,Ascomycota,Coniochaeta ligniaria,Euk otu12
k__Eukaryota|k__Fungi|p__Ascomycota|c__Schizosaccharomycetes|o__Schizosaccharomycetales|f__Schizosaccharomycetaceae|g__Schizosaccharomyces|s__Schizosaccharomyces_pombe,Schizosaccharomycetes,Schizosaccharomycetaceae,Schizosaccharomyces,Eukaryota|Fungi,Schizosaccharomyces pombe,Schizosaccharomycetales,Ascomycota,Schizosaccharomyces pombe,Euk otu13
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Naumovozyma|s__Naumovozyma_dairenensis,Saccharomycetes,Saccharomycetaceae,Naumovozyma,Eukaryota|Fungi,Naumovozyma dairenensis,Saccharomycetales,Ascomycota,Naumovozyma dairenensis,Euk otu14
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Pichiaceae|g__Pichia|s__Pichia_kudriavzevii,Saccharomycetes,Pichiaceae,Pichia,Eukaryota|Fungi,Pichia kudriavzevii,Saccharomycetales,Ascomycota,Pichia kudriavzevii,Euk otu15
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Pichiaceae|g__Ogataea|s__[Candida]_arabinofermentans,Saccharomycetes,Pichiaceae,Ogataea,Eukaryota|Fungi,[Candida] arabinofermentans,Saccharomycetales,Ascomycota,[Candida] arabinofermentans,Euk otu16
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Lipomycetaceae|g__Lipomyces|s__Lipomyces_starkeyi,Saccharomycetes,Lipomycetaceae,Lipomyces,Eukaryota|Fungi,Lipomyces starkeyi,Saccharomycetales,Ascomycota,Lipomyces starkeyi,Euk otu17
