"Gene1","Gene2","CRC_cor","CRC_pVal","CTRL_cor","CTRL_pVal","zScoreDiff","pValDiff","empPVals","pValDiff_adj","Classes"
"Bifidobacterium angulatum","Trichophyton mentagrophytes",0.00771051637573316,0.869857401262798,0.872338118520702,0,20.7668489106555,8.63399516779374e-96,0.000252252252252252,0.296686016953289,"0/+"
"Streptococcus thermophilus","Pichia kudriavzevii",0.524526581240249,0,0.0421844280018832,0.334698971746963,-8.40515995604562,4.27278831663964e-17,0.0116036036036036,0.469841603301475,"+/0"
"Streptococcus sp. HSISS3","Pichia kudriavzevii",0.474010466912626,0,0.0682963561084937,0.11806165293301,-6.95035652335205,3.64364202710561e-12,0.0145945945945946,0.469841603301475,"+/0"
"Dialister pneumosintes","Aspergillus rambellii",0.0367200584297873,0.435090311940106,0.444565988765941,0,6.86236296067547,6.77307034990204e-12,0.0148828828828829,0.469841603301475,"0/+"
"Brachyspira pilosicoli","Schizosaccharomyces pombe",0.380141622167843,0,-0.0372033172048951,0.39493725831534,-6.80442190918299,1.01455802540232e-11,0.014990990990991,0.469841603301475,"+/0"
"Romboutsia ilealis","Albugo candida",0.394486343866589,0,0.00732025646299409,0.867109929963035,-6.37411254793838,1.8402541612572e-10,0.0164684684684685,0.469841603301475,"+/0"
"Streptococcus sp. FDAARGOS 192","Pichia kudriavzevii",0.453330094337993,0,0.104633732509712,0.0164699298999729,-5.97099121203307,2.35816447126504e-09,0.0181981981981982,0.469841603301475,"+/+"
"Fusobacterium nucleatum","Aspergillus rambellii",0.393291180352093,0,0.0334490011221175,0.444390571509143,-5.94548588218729,2.75638007318488e-09,0.0183783783783784,0.469841603301475,"+/0"
"Dialister pneumosintes","Moniliophthora perniciosa",-0.0376962379816905,0.422972640030254,0.327603456213591,1.33226762955019e-14,5.87750007218746,4.16508534272196e-09,0.0186306306306306,0.469841603301475,"0/+"
"Bifidobacterium pseudocatenulatum","Debaryomyces hansenii",0.338042625509783,1.34114941374719e-13,-0.0245707951270085,0.574299626021507,-5.8557448146481,4.74876913994947e-09,0.0187747747747748,0.469841603301475,"+/0"
"Streptococcus sp. HSISS1","Pichia kudriavzevii",0.418088912342412,0,0.0872356193840736,0.0457313118389733,-5.56734520279319,2.58649674580786e-08,0.0198198198198198,0.469841603301475,"+/+"
"Streptococcus sp. JS71","Albugo candida",0.387472251863536,0,0.0611925416402517,0.161493084907786,-5.40615389338603,6.43924755070316e-08,0.0206486486486486,0.469841603301475,"+/0"
"Streptococcus sp. I-G2","Albugo candida",0.370137506842298,4.44089209850063e-16,0.0562247941155689,0.198366710482407,-5.1688649696978,2.355199812054e-07,0.0216936936936937,0.469841603301475,"+/0"
"Roseburia intestinalis","Pseudocercospora musae",0.386701716496965,0,0.0762211889648256,0.0810156850286021,-5.15717356462372,2.50705394435175e-07,0.0217657657657658,0.469841603301475,"+/0"
"Parvimonas micra","Aspergillus rambellii",0.32289864020727,1.77813319623965e-12,0.00915329194394244,0.834266548722475,-5.06663761247083,4.04904064814937e-07,0.0223423423423423,0.469841603301475,"+/0"
"Streptococcus sp. HSISS2","Pichia kudriavzevii",0.399478038609797,0,0.100054249845438,0.0218582254777271,-5.01859352092024,5.20511527252613e-07,0.0224504504504505,0.469841603301475,"+/+"
"Streptococcus salivarius","Pichia kudriavzevii",0.428725737966729,0,0.140380396079036,0.00126045427333277,-4.9312256562242,8.17152709626507e-07,0.0228108108108108,0.469841603301475,"+/+"
"Parvimonas micra","Sphaerulina musiva",0.311997931703405,1.04638520070921e-11,0.0199510634604544,0.648323767236539,-4.71007783158447,2.47622211271382e-06,0.024,0.469841603301475,"+/0"
"Gemella morbillorum","Pichia kudriavzevii",0.274984278706961,2.54937626564811e-09,-0.0155533573661474,0.722181894822322,-4.63228690333335,3.61648503632754e-06,0.0242522522522523,0.469841603301475,"+/0"
"Fusobacterium nucleatum","Edhazardia aedis",0.0248879712633072,0.596864496326063,0.287763253867533,1.81183956726727e-11,4.21899706628227,2.45391465929545e-05,0.0277117117117117,0.469841603301475,"0/+"
"Fusobacterium nucleatum","Sphaerulina musiva",0.267543112965833,7.00541713527514e-09,0.00693504039599678,0.874043208036964,-4.15752001008674,3.21721103298972e-05,0.0281081081081081,0.469841603301475,"+/0"
"Anaerostipes hadrus","Aspergillus ochraceoroseus",0.00202694245114584,0.965646049589865,0.259034090736688,1.69956626550061e-09,4.09164999654231,4.28314765995101e-05,0.0287207207207207,0.469841603301475,"0/+"
"Streptococcus anginosus","Pichia kudriavzevii",0.245736285346203,1.13873102058903e-07,0.00172615167557506,0.968526147180497,-3.8754062812849,0.000106446943813551,0.0312432432432432,0.469841603301475,"+/0"
"Adlercreutzia equolifaciens","Thielaviopsis punctulata",-0.0148140912225118,0.752917289991924,0.229691137848372,1.02828171977265e-07,3.8681689404458,0.000109655684850941,0.0314234234234234,0.469841603301475,"0/+"
