"Gene1","Gene2","CRC_cor","CRC_pVal","adenoma_cor","adenoma_pVal","zScoreDiff","pValDiff","empPVals","pValDiff_adj","Classes"
"Romboutsia ilealis","Moniliophthora perniciosa",0.0669772484851143,0.154224067305243,0.731011153974709,0,12.0968904424846,1.09687852544443e-33,0.00230630630630631,0.309656480939702,"0/+"
"Streptococcus thermophilus","Pichia kudriavzevii",0.524526581240249,0,-0.0257105104647235,0.63168384437379,-8.51834659542541,1.61847232004942e-17,0.00688288288288288,0.36857533460932,"+/0"
"Streptococcus sp. HSISS3","Pichia kudriavzevii",0.474010466912626,0,-0.0252707847591216,0.637528559779481,-7.56924497395216,3.75399647157816e-14,0.00875675675675676,0.36857533460932,"+/0"
"Streptococcus sp. FDAARGOS 192","Pichia kudriavzevii",0.453330094337993,0,0.0196498638157812,0.714114675639031,-6.57110888866986,4.99419190460715e-11,0.0126126126126126,0.36857533460932,"+/0"
"Streptococcus sp. HSISS2","Pichia kudriavzevii",0.399478038609797,0,-0.0157450576447301,0.76911897554841,-6.14458431606979,8.01731941380859e-10,0.014990990990991,0.36857533460932,"+/0"
"Streptococcus sp. HSISS1","Pichia kudriavzevii",0.418088912342412,0,0.0138700042380908,0.795968419587639,-6.04276018790674,1.51499754273058e-09,0.0154954954954955,0.36857533460932,"+/0"
"Streptococcus salivarius","Pichia kudriavzevii",0.428725737966729,0,0.0422431913310448,0.430800635334716,-5.82658193032442,5.65740991344243e-09,0.0166126126126126,0.36857533460932,"+/0"
"Romboutsia ilealis","Pichia kudriavzevii",0.374952091635733,0,-0.0153982739470675,0.774064991014613,-5.73564510940131,9.71418798578488e-09,0.0171531531531532,0.36857533460932,"+/0"
"Brachyspira pilosicoli","Schizosaccharomyces pombe",0.380141622167843,0,-0.0087433199388591,0.870525911596588,-5.72719093948474,1.02107224253137e-08,0.0172252252252252,0.36857533460932,"+/0"
"Anaerostipes hadrus","Pichia kudriavzevii",0.435944468403344,0,0.072804864993205,0.174151064184972,-5.52147310081809,3.36169284046817e-08,0.0187387387387387,0.36857533460932,"+/0"
"Romboutsia ilealis","Albugo candida",0.394486343866589,0,0.045735559463674,0.393648461529128,-5.20016412570525,1.99112624670733e-07,0.020972972972973,0.36857533460932,"+/0"
"Fusobacterium periodonticum","Trichoderma atroviride",-0.0666243173880246,0.156411529795042,0.275723478628532,1.59005307365234e-07,4.89818554363731,9.67256786241587e-07,0.0224504504504505,0.36857533460932,"0/+"
"Bifidobacterium pseudocatenulatum","Debaryomyces hansenii",0.338042625509783,1.34114941374719e-13,0.0115736609770458,0.829177927408224,-4.7656503493817,1.88245462657106e-06,0.0234594594594595,0.36857533460932,"+/0"
"Streptococcus sp. JS71","Pichia kudriavzevii",0.36365705466857,1.33226762955019e-15,0.0444413749073404,0.407185144977148,-4.71406547649627,2.42822578863011e-06,0.023963963963964,0.36857533460932,"+/0"
"Streptococcus sp. JS71","Albugo candida",0.387472251863536,0,0.0729860775671885,0.173078794500866,-4.70122392018399,2.58606735744252e-06,0.024036036036036,0.36857533460932,"+/0"
