"Gene1","Gene2","CRC_cor","CRC_pVal","CTRL_cor","CTRL_pVal","zScoreDiff","pValDiff","empPVals","pValDiff_adj","Classes"
"Parvimonas micra","Porphyromonas asaccharolytica",0.16235415731099,0.000514951566448429,0.973737876080064,0,31.0471781426819,1.24543552558055e-211,3.6036036036036e-05,0.0833385577586948,"+/+"
"Bifidobacterium angulatum","Trichophyton mentagrophytes",0.00771051637573316,0.869857401262798,0.872338118520702,0,20.7668489106555,8.63399516779374e-96,0.00018018018018018,0.208346394396737,"0/+"
"Erysiphe pulchra","Thielaviopsis punctulata",0.86241292019093,0,0.232552278399842,7.0532955032121e-08,-16.578401658941,9.98493011652809e-62,0.00036036036036036,0.277795192528983,"+/+"
"Gemella morbillorum","Porphyromonas asaccharolytica",0.15821478174439,0.000716556052700934,0.822670617264515,0,15.6399726430855,3.88895094100609e-55,0.000720720720720721,0.39288177229099,"+/+"
"Fusobacterium periodonticum","Prevotella intermedia",0.723985112675587,0,-0.00463978147658392,0.915536396639751,-14.3199819294481,1.64165895563465e-46,0.00100900900900901,0.39288177229099,"+/0"
"Aspergillus rambellii","Sphaerulina musiva",0.749985883596759,0,0.0664092241876781,0.128592041635478,-14.0992016432345,3.84090271146883e-45,0.00111711711711712,0.39288177229099,"+/0"
"Erysiphe pulchra","Sphaerulina musiva",0.810739282851481,0,0.237915177545282,3.43364545685176e-08,-13.79127298939,2.87639002879876e-43,0.00118918918918919,0.39288177229099,"+/+"
"Parvimonas micra","Gemella morbillorum",0.409160543828703,0,0.857128136630568,0,13.1876993624592,1.03289546307595e-39,0.00169369369369369,0.458572518576253,"+/+"
"Streptococcus salivarius","Streptococcus sp. FDAARGOS 192",0.985107023599042,0,0.922232224869204,0,-13.1051794532535,3.07533964593092e-39,0.00183783783783784,0.458572518576253,"+/+"
"Streptococcus anginosus","Streptococcus sp. HSISS3",0.459422240665015,0,0.848901182551361,0,11.7537094470277,6.75854660094443e-32,0.00356756756756757,0.458572518576253,"+/+"
"Streptococcus salivarius","Streptococcus sp. HSISS1",0.977496166740398,0,0.906799461784959,0,-11.3354214264521,8.76093670195469e-30,0.00410810810810811,0.458572518576253,"+/+"
"Aspergillus rambellii","Erysiphe pulchra",0.648528639317,0,0.0497374936298957,0.255280465005157,-11.2458245512176,2.42817013872107e-29,0.00421621621621622,0.458572518576253,"+/0"
"Streptococcus sp. HSISS1","Streptococcus sp. HSISS3",0.907697435944044,0,0.975895264085247,0,10.7156758358884,8.59273630473556e-27,0.00522522522522523,0.458572518576253,"+/+"
"Streptococcus sp. FDAARGOS 192","Streptococcus sp. HSISS2",0.936204688214812,0,0.982338532043517,0,10.1716721761369,2.65314213510615e-24,0.00594594594594595,0.458572518576253,"+/+"
"Streptococcus sp. HSISS1","Streptococcus sp. FDAARGOS 192",0.966530622537841,0,0.993214416203486,0,9.48778308581376,2.3599976516083e-21,0.00699099099099099,0.458572518576253,"+/+"
"Streptococcus sp. HSISS3","Streptococcus sp. HSISS2",0.895333425623966,0,0.967800037030092,0,9.45998920860947,3.07974988351484e-21,0.0070990990990991,0.458572518576253,"+/+"
"Streptococcus anginosus","Streptococcus equinus",0.377541295030528,0,0.755179105735312,0,9.14177594035436,6.14350172247057e-20,0.00753153153153153,0.458572518576253,"+/+"
"Rhizophagus clarus","Naumovozyma dairenensis",0.205117650232341,1.05599897701758e-05,0.649974940983999,0,8.82252115178977,1.11911049481251e-18,0.00796396396396396,0.458572518576253,"+/+"
"Streptococcus anginosus","Streptococcus sp. I-G2",0.604106141983114,0,0.145692028405907,0.000813535335907112,-8.59955086545026,8.00286680272879e-18,0.00836036036036036,0.458572518576253,"+/+"
"Sphaerulina musiva","Thielaviopsis punctulata",0.585766307473996,0,0.123552588075853,0.00458160052060896,-8.50867229026119,1.75936322420402e-17,0.00868468468468469,0.458572518576253,"+/+"
"Streptococcus thermophilus","Pichia kudriavzevii",0.524526581240249,0,0.0421844280018832,0.334698971746963,-8.40515995604562,4.27278831663964e-17,0.00879279279279279,0.458572518576253,"+/0"
"Streptococcus milleri","Streptococcus sp. I-G2",0.715587944472369,0,0.35209218761526,0,-8.25519327607489,1.51656617947414e-16,0.00918918918918919,0.458572518576253,"+/+"
"Streptococcus anginosus","Streptococcus sp. JS71",0.591426788126722,0,0.154261790576016,0.000389034666404164,-8.15627731827283,3.45508630861751e-16,0.00951351351351351,0.458572518576253,"+/+"
"Streptococcus anginosus","Streptococcus sp. I-P16",0.609152319063372,0,0.183540960779814,2.3221396573625e-05,-8.11853243124261,4.71854627567693e-16,0.00954954954954955,0.458572518576253,"+/+"
"Streptococcus salivarius","Streptococcus sp. HSISS3",0.926779733025518,0,0.813013278107836,0,-7.76519972074324,8.15166702690061e-15,0.0103423423423423,0.458572518576253,"+/+"
"Streptococcus anginosus","Streptococcus sp. FDAARGOS 192",0.478108695785871,0,0.76495918316199,0,7.58351212235459,3.36324103401112e-14,0.0107387387387387,0.458572518576253,"+/+"
"Streptococcus equinus","Streptococcus sp. FDAARGOS 192",0.536645538071213,0,0.790298542983572,0,7.35426151690103,1.91985537245918e-13,0.0110990990990991,0.458572518576253,"+/+"
"Aspergillus rambellii","Thielaviopsis punctulata",0.451689545262095,0,0.015658149202754,0.720388174277819,-7.32886682734357,2.32106884902114e-13,0.0111351351351351,0.458572518576253,"+/0"
"Fusobacterium nucleatum","Fusobacterium periodonticum",0.239842301673416,2.31628590086075e-07,0.613809082712715,0,7.31707842752714,2.53427754601672e-13,0.0111351351351351,0.458572518576253,"+/+"
"Streptococcus milleri","Streptococcus sp. HSISS2",0.798446800642006,0,0.564855465054366,0,-7.06779316977572,1.57416932799224e-12,0.0121081081081081,0.458572518576253,"+/+"
"Streptococcus sp. A12","Streptococcus sp. I-G2",0.901736758864469,0,0.959013925351864,0,7.03152323318343,2.04290839221352e-12,0.0121081081081081,0.458572518576253,"+/+"
"Streptococcus sp. HSISS3","Pichia kudriavzevii",0.474010466912626,0,0.0682963561084937,0.11806165293301,-6.95035652335205,3.64364202710561e-12,0.0123603603603604,0.458572518576253,"+/0"
"Streptococcus anginosus","Streptococcus sp. HSISS1",0.56061983178588,0,0.793045002530925,0,6.93511820269021,4.05881644241417e-12,0.0124324324324324,0.458572518576253,"+/+"
"Dialister pneumosintes","Aspergillus rambellii",0.0367200584297873,0.435090311940106,0.444565988765941,0,6.86236296067547,6.77307034990204e-12,0.0126126126126126,0.458572518576253,"0/+"
"Brachyspira pilosicoli","Schizosaccharomyces pombe",0.380141622167843,0,-0.0372033172048951,0.39493725831534,-6.80442190918299,1.01455802540232e-11,0.0129369369369369,0.458572518576253,"+/0"
"Streptococcus sp. A12","Streptococcus sp. JS71",0.895047146820448,0,0.954760364633031,0,6.78630180358255,1.15044362976551e-11,0.013009009009009,0.458572518576253,"+/+"
"Streptococcus sp. I-P16","Streptococcus milleri",0.685984106089392,0,0.388596530572534,0,-6.69147787114438,2.20927915075597e-11,0.0134414414414414,0.458572518576253,"+/+"
"Streptococcus milleri","Streptococcus sp. JS71",0.662457967543539,0,0.351861518777231,0,-6.68260873028054,2.34725681652552e-11,0.0134414414414414,0.458572518576253,"+/+"
"Baudoinia panamericana","Choanephora cucurbitarum",0.37040513705267,4.44089209850063e-16,-0.0234702172879107,0.591569962825169,-6.41432732535122,1.41446008402741e-10,0.0146306306306306,0.458572518576253,"+/0"
"Romboutsia ilealis","Albugo candida",0.394486343866589,0,0.00732025646299409,0.867109929963035,-6.37411254793838,1.8402541612572e-10,0.0148468468468468,0.458572518576253,"+/0"
"Streptococcus equinus","Streptococcus sp. HSISS1",0.590352149145395,0,0.794141533571943,0,6.28946805082182,3.18555658220188e-10,0.0154234234234234,0.458572518576253,"+/+"
"Streptococcus anginosus","Streptococcus sp. A12",0.462437564721509,0,0.102239064868717,0.0191216712371576,-6.18789215381821,6.09740183928836e-10,0.0157117117117117,0.458572518576253,"+/+"
"Clostridium beijerinckii","Adlercreutzia equolifaciens",0.451677730808162,0,0.0890731667263773,0.0413389123603967,-6.18301111765426,6.28902833093117e-10,0.0157117117117117,0.458572518576253,"+/+"
"Fusobacterium nucleatum","Parvimonas micra",0.60618326986055,0,0.297670264608455,3.33866267965277e-12,-6.15824171988762,7.35570257660628e-10,0.0158558558558559,0.458572518576253,"+/+"
"Streptococcus equinus","Streptococcus sp. HSISS2",0.504384887602889,0,0.737182472099556,0,6.05256615925251,1.42556419767241e-09,0.0161081081081081,0.458572518576253,"+/+"
"Streptococcus sp. FDAARGOS 192","Pichia kudriavzevii",0.453330094337993,0,0.104633732509712,0.0164699298999729,-5.97099121203307,2.35816447126504e-09,0.0166486486486486,0.458572518576253,"+/+"
"Streptococcus salivarius","Streptococcus sp. A12",0.495295421325697,0,0.72898995548592,0,5.96554346446106,2.43821131563281e-09,0.0166486486486486,0.458572518576253,"+/+"
