"Gene1","Gene2","CRC_cor","CRC_pVal","CTRL_cor","CTRL_pVal","zScoreDiff","pValDiff","empPVals","pValDiff_adj","Classes"
"Parvimonas micra","Porphyromonas asaccharolytica",0.16235415731099,0.000514951566448429,0.973737876080064,0,31.0471781426819,1.24543552558055e-211,3.6036036036036e-05,0.0847674334152253,"+/+"
"Gemella morbillorum","Porphyromonas asaccharolytica",0.15821478174439,0.000716556052700934,0.822670617264515,0,15.6399726430855,3.88895094100609e-55,0.00115315315315315,0.469841603301475,"+/+"
"Fusobacterium periodonticum","Prevotella intermedia",0.723985112675587,0,-0.00463978147658392,0.915536396639751,-14.3199819294481,1.64165895563465e-46,0.00259459459459459,0.469841603301475,"+/0"
"Parvimonas micra","Gemella morbillorum",0.409160543828703,0,0.857128136630568,0,13.1876993624592,1.03289546307595e-39,0.00353153153153153,0.469841603301475,"+/+"
"Streptococcus salivarius","Streptococcus sp. FDAARGOS 192",0.985107023599042,0,0.922232224869204,0,-13.1051794532535,3.07533964593092e-39,0.00356756756756757,0.469841603301475,"+/+"
"Streptococcus anginosus","Streptococcus sp. HSISS3",0.459422240665015,0,0.848901182551361,0,11.7537094470277,6.75854660094443e-32,0.00515315315315315,0.469841603301475,"+/+"
"Streptococcus salivarius","Streptococcus sp. HSISS1",0.977496166740398,0,0.906799461784959,0,-11.3354214264521,8.76093670195469e-30,0.00587387387387387,0.469841603301475,"+/+"
"Streptococcus sp. HSISS1","Streptococcus sp. HSISS3",0.907697435944044,0,0.975895264085247,0,10.7156758358884,8.59273630473556e-27,0.00699099099099099,0.469841603301475,"+/+"
"Streptococcus sp. FDAARGOS 192","Streptococcus sp. HSISS2",0.936204688214812,0,0.982338532043517,0,10.1716721761369,2.65314213510615e-24,0.00785585585585586,0.469841603301475,"+/+"
"Streptococcus sp. HSISS1","Streptococcus sp. FDAARGOS 192",0.966530622537841,0,0.993214416203486,0,9.48778308581376,2.3599976516083e-21,0.0092972972972973,0.469841603301475,"+/+"
"Streptococcus sp. HSISS3","Streptococcus sp. HSISS2",0.895333425623966,0,0.967800037030092,0,9.45998920860947,3.07974988351484e-21,0.00933333333333333,0.469841603301475,"+/+"
"Streptococcus anginosus","Streptococcus equinus",0.377541295030528,0,0.755179105735312,0,9.14177594035436,6.14350172247057e-20,0.00998198198198198,0.469841603301475,"+/+"
"Streptococcus anginosus","Streptococcus sp. I-G2",0.604106141983114,0,0.145692028405907,0.000813535335907112,-8.59955086545026,8.00286680272879e-18,0.0113153153153153,0.469841603301475,"+/+"
"Streptococcus milleri","Streptococcus sp. I-G2",0.715587944472369,0,0.35209218761526,0,-8.25519327607489,1.51656617947414e-16,0.0117837837837838,0.469841603301475,"+/+"
"Streptococcus anginosus","Streptococcus sp. JS71",0.591426788126722,0,0.154261790576016,0.000389034666404164,-8.15627731827283,3.45508630861751e-16,0.011963963963964,0.469841603301475,"+/+"
"Streptococcus anginosus","Streptococcus sp. I-P16",0.609152319063372,0,0.183540960779814,2.3221396573625e-05,-8.11853243124261,4.71854627567693e-16,0.012,0.469841603301475,"+/+"
"Streptococcus salivarius","Streptococcus sp. HSISS3",0.926779733025518,0,0.813013278107836,0,-7.76519972074324,8.15166702690061e-15,0.0125405405405405,0.469841603301475,"+/+"
"Streptococcus anginosus","Streptococcus sp. FDAARGOS 192",0.478108695785871,0,0.76495918316199,0,7.58351212235459,3.36324103401112e-14,0.012972972972973,0.469841603301475,"+/+"
"Streptococcus equinus","Streptococcus sp. FDAARGOS 192",0.536645538071213,0,0.790298542983572,0,7.35426151690103,1.91985537245918e-13,0.0134414414414414,0.469841603301475,"+/+"
"Fusobacterium nucleatum","Fusobacterium periodonticum",0.239842301673416,2.31628590086075e-07,0.613809082712715,0,7.31707842752714,2.53427754601672e-13,0.0134414414414414,0.469841603301475,"+/+"
"Streptococcus milleri","Streptococcus sp. HSISS2",0.798446800642006,0,0.564855465054366,0,-7.06779316977572,1.57416932799224e-12,0.0142342342342342,0.469841603301475,"+/+"
"Streptococcus sp. A12","Streptococcus sp. I-G2",0.901736758864469,0,0.959013925351864,0,7.03152323318343,2.04290839221352e-12,0.0143423423423423,0.469841603301475,"+/+"
"Streptococcus anginosus","Streptococcus sp. HSISS1",0.56061983178588,0,0.793045002530925,0,6.93511820269021,4.05881644241417e-12,0.0145945945945946,0.469841603301475,"+/+"
"Streptococcus sp. A12","Streptococcus sp. JS71",0.895047146820448,0,0.954760364633031,0,6.78630180358255,1.15044362976551e-11,0.014990990990991,0.469841603301475,"+/+"
"Streptococcus sp. I-P16","Streptococcus milleri",0.685984106089392,0,0.388596530572534,0,-6.69147787114438,2.20927915075597e-11,0.0155675675675676,0.469841603301475,"+/+"
"Streptococcus milleri","Streptococcus sp. JS71",0.662457967543539,0,0.351861518777231,0,-6.68260873028054,2.34725681652552e-11,0.0155675675675676,0.469841603301475,"+/+"
"Streptococcus equinus","Streptococcus sp. HSISS1",0.590352149145395,0,0.794141533571943,0,6.28946805082182,3.18555658220188e-10,0.0167567567567568,0.469841603301475,"+/+"
"Streptococcus anginosus","Streptococcus sp. A12",0.462437564721509,0,0.102239064868717,0.0191216712371576,-6.18789215381821,6.09740183928836e-10,0.0172252252252252,0.469841603301475,"+/+"
"Clostridium beijerinckii","Adlercreutzia equolifaciens",0.451677730808162,0,0.0890731667263773,0.0413389123603967,-6.18301111765426,6.28902833093117e-10,0.0172612612612613,0.469841603301475,"+/+"
"Fusobacterium nucleatum","Parvimonas micra",0.60618326986055,0,0.297670264608455,3.33866267965277e-12,-6.15824171988762,7.35570257660628e-10,0.0174414414414414,0.469841603301475,"+/+"
"Streptococcus equinus","Streptococcus sp. HSISS2",0.504384887602889,0,0.737182472099556,0,6.05256615925251,1.42556419767241e-09,0.0177657657657658,0.469841603301475,"+/+"
"Streptococcus salivarius","Streptococcus sp. A12",0.495295421325697,0,0.72898995548592,0,5.96554346446106,2.43821131563281e-09,0.0181981981981982,0.469841603301475,"+/+"
"Streptococcus equinus","Streptococcus sp. HSISS3",0.582786452554268,0,0.78021397238657,0,5.89911966032703,3.65446140794251e-09,0.0185225225225225,0.469841603301475,"+/+"
"Streptococcus anginosus","Streptococcus milleri",0.881167906932222,0,0.768292255411942,0,-5.6747673632737,1.3887725602999e-08,0.0193873873873874,0.469841603301475,"+/+"
"Streptococcus sp. HSISS1","Streptococcus sp. HSISS2",0.977174955227688,0,0.988623270280314,0,5.46024988850583,4.7546487845851e-08,0.0203243243243243,0.469841603301475,"+/+"
"Brachyspira pilosicoli","[Eubacterium] eligens",-0.020627213881484,0.661136401475463,0.313971817878867,1.78523862359725e-13,5.37539335619615,7.64156701879903e-08,0.0207567567567568,0.469841603301475,"0/+"
"[Eubacterium] eligens","Streptococcus sp. HSISS3",0.32350112629793,1.60871316268185e-12,-0.00278538224965728,0.949233688183976,-5.2628112682616,1.41869192411672e-07,0.0212252252252252,0.469841603301475,"+/0"
"Gemella morbillorum","Dialister pneumosintes",0.542406907876547,0,0.264319023551764,7.66994689982425e-10,-5.23909645722777,1.61364685999026e-07,0.0212612612612613,0.469841603301475,"+/+"
"Fusobacterium periodonticum","Streptococcus sp. I-P16",-0.0205013274616452,0.66307691179548,0.300507331683339,2.03215222427389e-12,5.14215926728094,2.7159871868612e-07,0.0219099099099099,0.469841603301475,"0/+"
"Streptococcus sp. JS71","Streptococcus sp. I-G2",0.981101634227558,0,0.996874260392236,0,4.98512571612219,6.19215377602134e-07,0.0225585585585586,0.469841603301475,"+/+"
"Streptococcus milleri","Streptococcus sp. HSISS1",0.748895238793384,0,0.573038957464528,0,-4.95265896751676,7.32062081616102e-07,0.0226666666666667,0.469841603301475,"+/+"
"Streptococcus anginosus","Streptococcus sp. HSISS2",0.58345806271861,0,0.75472349608887,0,4.9176893972918,8.75717148621723e-07,0.0228828828828829,0.469841603301475,"+/+"
"[Eubacterium] eligens","Streptococcus sp. FDAARGOS 192",0.316520551462595,5.05973041242669e-12,0.0178643460670464,0.682994324331655,-4.82060611155134,1.43122702693451e-06,0.0234954954954955,0.469841603301475,"+/0"
"Gemella morbillorum","Fusobacterium periodonticum",0.316928209396901,4.73621142305092e-12,0.0257518106221812,0.556036150090397,-4.70490651039835,2.53982314608657e-06,0.024,0.469841603301475,"+/0"
"Pseudobutyrivibrio xylanivorans","Streptococcus sp. HSISS3",0.307974217974578,1.97684091318706e-11,0.028794917820888,0.510320736008078,-4.50318777820951,6.69416860995118e-06,0.024972972972973,0.469841603301475,"+/0"
"Streptococcus sp. I-P16","Streptococcus sp. JS71",0.965945208440464,0,0.980676150135321,0,4.46500006653548,8.00687269108948e-06,0.0252252252252252,0.469841603301475,"+/+"
"Streptococcus sp. JS71","Streptococcus thermophilus",0.433972486555521,0,0.176192050320073,4.92320610683272e-05,-4.46006422270106,8.19350967773083e-06,0.0252612612612613,0.469841603301475,"+/+"
"Fusobacterium periodonticum","Streptococcus sp. I-G2",-0.022934398537687,0.625984457619345,0.256718184683359,2.39526176670779e-09,4.44139372759314,8.93780853732407e-06,0.0253693693693694,0.469841603301475,"0/+"
"Romboutsia ilealis","Adlercreutzia equolifaciens",0.284721890707484,6.48136433412105e-10,0.0109810264354978,0.801802688946112,-4.38386097373495,1.16594197386692e-05,0.0260540540540541,0.469841603301475,"+/0"
"Streptococcus salivarius","Streptococcus sp. I-P16",0.595265530512502,0,0.747387822372567,0,4.37448467183212,1.21719675080912e-05,0.0261261261261261,0.469841603301475,"+/+"
"Streptococcus sp. I-G2","Streptococcus thermophilus",0.421298612946286,0,0.169725327803284,9.30574052184774e-05,-4.32248759692208,1.5427975899596e-05,0.0265225225225225,0.469841603301475,"+/+"
"Fusobacterium nucleatum","Blautia sp. SC05B48",-0.0832690925692235,0.0763239535263487,0.190891032590462,1.06273539559609e-05,4.30441431751346,1.67428073997629e-05,0.0266306306306306,0.469841603301475,"0/+"
"Butyrivibrio proteoclasticus","Prevotella intermedia",0.0019595490614367,0.966787607914876,0.269784878430971,3.30614202681545e-10,4.27249816718835,1.93295142889099e-05,0.026990990990991,0.469841603301475,"0/+"
"Gemella morbillorum","Streptococcus anginosus",0.285632412964715,5.68673552692189e-10,0.0217228994073727,0.61946665669387,-4.23214283480525,2.31475321993847e-05,0.0276036036036036,0.469841603301475,"+/0"
"Fusobacterium periodonticum","Streptococcus sp. JS71",-0.0226893305694257,0.629680120190335,0.243936779158451,1.49862651177557e-08,4.2254711038539,2.38441421652792e-05,0.0276756756756757,0.469841603301475,"0/+"
