"Gene1","Gene2","CRC_cor","CRC_pVal","adenoma_cor","adenoma_pVal","zScoreDiff","pValDiff","empPVals","pValDiff_adj","Classes"
"Streptococcus sp. HSISS1","Streptococcus sp. HSISS2",0.977174955227688,0,0.488496377990059,0,-23.7605492064158,8.54807288487444e-125,3.6036036036036e-05,0.0697287189191495,"+/+"
"Streptococcus sp. FDAARGOS 192","Streptococcus sp. HSISS3",0.937744658469102,0,0.34318127453279,4.14397405279487e-11,-19.0639547624916,5.03233135458451e-81,0.000540540540540541,0.252766606081917,"+/+"
"Streptococcus salivarius","Streptococcus sp. HSISS2",0.941967916359338,0,0.479521056250462,0,-17.2650678637957,8.6202436675258e-67,0.000864864864864865,0.252766606081917,"+/+"
"Streptococcus salivarius","Streptococcus sp. HSISS3",0.926779733025518,0,0.388137309752663,4.9737991503207e-14,-17.1613410738039,5.17057921817344e-66,0.000864864864864865,0.252766606081917,"+/+"
"Streptococcus salivarius","Streptococcus sp. FDAARGOS 192",0.985107023599042,0,0.847874351702569,0,-16.7729476755331,3.84930201091476e-63,0.00100900900900901,0.252766606081917,"+/+"
"Streptococcus sp. HSISS1","Streptococcus sp. HSISS3",0.907697435944044,0,0.312523080528675,2.28393925993942e-09,-16.6780572283145,1.89274983146093e-62,0.00100900900900901,0.252766606081917,"+/+"
"Streptococcus sp. FDAARGOS 192","Streptococcus sp. HSISS2",0.936204688214812,0,0.504409048752913,0,-16.1213899218181,1.80503369697241e-58,0.00104504504504505,0.252766606081917,"+/+"
"Streptococcus salivarius","Streptococcus sp. HSISS1",0.977496166740398,0,0.823424458837292,0,-14.9925118103568,8.21853424796939e-51,0.00147747747747748,0.292860619460428,"+/+"
"Streptococcus salivarius","Streptococcus equinus",0.600118225712901,0,0.92651176441557,0,13.1614825657486,1.4618886810547e-39,0.00176576576576577,0.292860619460428,"+/+"
"Fusobacterium periodonticum","Prevotella intermedia",0.723985112675587,0,0.0347620744715565,0.516850209854284,-12.3402173145604,5.50072140771321e-35,0.00209009009009009,0.292860619460428,"+/0"
"Fusobacterium nucleatum","Fusobacterium periodonticum",0.239842301673416,2.31628590086075e-07,0.799298887426295,0,11.9322474011897,8.03738528141005e-33,0.00227027027027027,0.292860619460428,"+/+"
"Streptococcus equinus","Streptococcus sp. FDAARGOS 192",0.536645538071213,0,0.871291813627904,0,10.3487456903648,4.24004185758408e-25,0.00335135135135135,0.391466123062399,"+/+"
"Streptococcus milleri","Streptococcus sp. HSISS2",0.798446800642006,0,0.348953931596483,1.85129689356245e-11,-10.2237546787056,1.55209982411169e-24,0.00345945945945946,0.391466123062399,"+/+"
"Streptococcus sp. A12","Streptococcus sp. JS71",0.895047146820448,0,0.629677819105862,0,-9.88487590335668,4.84181331228894e-23,0.00392792792792793,0.391466123062399,"+/+"
"Streptococcus sp. A12","Streptococcus sp. I-G2",0.901736758864469,0,0.652377255318744,0,-9.83093830565375,8.28432712489451e-23,0.00396396396396396,0.391466123062399,"+/+"
"Streptococcus sp. HSISS3","Streptococcus sp. HSISS2",0.895333425623966,0,0.969133841147975,0,8.81773657381885,1.16796637846304e-18,0.00554954954954955,0.391466123062399,"+/+"
"Streptococcus milleri","Streptococcus sp. HSISS1",0.748895238793384,0,0.36356295839787,2.23554508238522e-12,-8.25463685083806,1.52364804373258e-16,0.00655855855855856,0.391466123062399,"+/+"
"Romboutsia ilealis","Clostridium beijerinckii",0.557451083681072,0,0.0606102835086399,0.25809794504483,-7.96046242244819,1.71397503992032e-15,0.00706306306306306,0.391466123062399,"+/0"
"Streptococcus sp. I-P16","Streptococcus sp. A12",0.869936742011252,0,0.647083041400059,0,-7.87801453273767,3.32624040614636e-15,0.00738738738738739,0.391466123062399,"+/+"
"Porphyromonas asaccharolytica","Prevotella intermedia",0.101628230524607,0.0303831354684174,0.5637919215316,0,7.51165856128132,5.83828997147987e-14,0.00868468468468469,0.391466123062399,"+/+"
"Streptococcus sp. I-G2","Streptococcus sp. HSISS2",0.659283323286372,0,0.257311387275255,1.06608420202825e-06,-7.39855429763899,1.37675097550866e-13,0.00908108108108108,0.391466123062399,"+/+"
"Streptococcus equinus","Streptococcus sp. HSISS1",0.590352149145395,0,0.834852428978938,0,7.36236303573396,1.80682778033634e-13,0.00915315315315315,0.391466123062399,"+/+"
"Streptococcus salivarius","Streptococcus milleri",0.68296440386617,0,0.30113889325365,9.05188812794222e-09,-7.33636981077312,2.19465087765078e-13,0.00922522522522523,0.391466123062399,"+/+"
"Streptococcus sp. JS71","Streptococcus sp. HSISS3",0.597656278003573,0,0.176599808596061,0.000906067586401438,-7.15634709911372,8.28551980025323e-13,0.00962162162162162,0.391466123062399,"+/+"
