Gene1,Gene2,CRC_cor,CRC_pVal,CTRL_cor,CTRL_pVal,zScoreDiff,pValDiff,empPVals,pValDiff_adj,Classes,type,abs_zScoreDiff,Pos_Neg,rank_zScore
Parvimonas micra,Porphyromonas asaccharolytica,0.162354157,0.000514952,0.973737876,0,31.04717814,1.25E-211,3.60E-05,0.084767433,+/+,Bacteria,31.04717814,1,rank1
Bifidobacterium angulatum,Trichophyton mentagrophytes,0.007710516,0.869857401,0.872338119,0,20.76684891,8.63E-96,0.000252252,0.296686017,0/+,Intersect,20.76684891,1,rank1
Erysiphe pulchra,Thielaviopsis punctulata,0.86241292,0,0.232552278,7.05E-08,-16.57840166,9.98E-62,0.000792793,0.469841603,+/+,Eukaryota,16.57840166,-1,rank1
Gemella morbillorum,Porphyromonas asaccharolytica,0.158214782,0.000716556,0.822670617,0,15.63997264,3.89E-55,0.001153153,0.469841603,+/+,Bacteria,15.63997264,1,rank1
Fusobacterium periodonticum,Prevotella intermedia,0.723985113,0,-0.004639781,0.915536397,-14.31998193,1.64E-46,0.002594595,0.469841603,+/0,Bacteria,14.31998193,-1,rank1
Aspergillus rambellii,Sphaerulina musiva,0.749985884,0,0.066409224,0.128592042,-14.09920164,3.84E-45,0.002774775,0.469841603,+/0,Eukaryota,14.09920164,-1,rank1
Erysiphe pulchra,Sphaerulina musiva,0.810739283,0,0.237915178,3.43E-08,-13.79127299,2.88E-43,0.003063063,0.469841603,+/+,Eukaryota,13.79127299,-1,rank1
Parvimonas micra,Gemella morbillorum,0.409160544,0,0.857128137,0,13.18769936,1.03E-39,0.003531532,0.469841603,+/+,Bacteria,13.18769936,1,rank1
Streptococcus salivarius,Streptococcus sp. FDAARGOS 192,0.985107024,0,0.922232225,0,-13.10517945,3.08E-39,0.003567568,0.469841603,+/+,Bacteria,13.10517945,-1,rank1
Streptococcus anginosus,Streptococcus sp. HSISS3,0.459422241,0,0.848901183,0,11.75370945,6.76E-32,0.005153153,0.469841603,+/+,Bacteria,11.75370945,1,rank1
Streptococcus salivarius,Streptococcus sp. HSISS1,0.977496167,0,0.906799462,0,-11.33542143,8.76E-30,0.005873874,0.469841603,+/+,Bacteria,11.33542143,-1,rank1
Aspergillus rambellii,Erysiphe pulchra,0.648528639,0,0.049737494,0.255280465,-11.24582455,2.43E-29,0.006054054,0.469841603,+/0,Eukaryota,11.24582455,-1,rank1
Streptococcus sp. HSISS1,Streptococcus sp. HSISS3,0.907697436,0,0.975895264,0,10.71567584,8.59E-27,0.006990991,0.469841603,+/+,Bacteria,10.71567584,1,rank1
Streptococcus sp. FDAARGOS 192,Streptococcus sp. HSISS2,0.936204688,0,0.982338532,0,10.17167218,2.65E-24,0.007855856,0.469841603,+/+,Bacteria,10.17167218,1,rank1
Streptococcus sp. HSISS1,Streptococcus sp. FDAARGOS 192,0.966530623,0,0.993214416,0,9.487783086,2.36E-21,0.009297297,0.469841603,+/+,Bacteria,9.487783086,1,rank2
