Species,Kingdom,Family,Counts
Sphaerulina musiva,Eukaryota,Mycosphaerellaceae,12
Fusobacterium periodonticum,Bacteria,Fusobacteriaceae,12
Fusobacterium nucleatum,Bacteria,Fusobacteriaceae,11
Romboutsia ilealis,Bacteria,Peptostreptococcaceae,7
Lactobacillus ruminis,Bacteria,Lactobacillaceae,1
[Eubacterium] eligens,Bacteria,Eubacteriaceae,11
Erysiphe pulchra,Eukaryota,Erysiphaceae,20
Colletotrichum fioriniae,Eukaryota,Glomerellaceae,1
Streptococcus equinus,Bacteria,Streptococcaceae,9
Aspergillus kawachii,Eukaryota,Aspergillaceae,1
Streptococcus sp. HSISS1,Bacteria,Streptococcaceae,15
Aspergillus rambellii,Eukaryota,Aspergillaceae,9
Parvimonas micra,Bacteria,Peptoniphilaceae,9
Anaerostipes hadrus,Bacteria,Lachnospiraceae,9
Streptococcus sp. I-P16,Bacteria,Streptococcaceae,9
Pseudobutyrivibrio xylanivorans,Bacteria,Lachnospiraceae,10
Adlercreutzia equolifaciens,Bacteria,Eggerthellaceae,4
Streptococcus sp. JS71,Bacteria,Streptococcaceae,13
Streptococcus sp. HSISS2,Bacteria,Streptococcaceae,10
Butyrivibrio proteoclasticus,Bacteria,Lachnospiraceae,8
Streptococcus sp. FDAARGOS 192,Bacteria,Streptococcaceae,12
Phytophthora capsici,Eukaryota,Peronosporaceae,4
Streptococcus thermophilus,Bacteria,Streptococcaceae,10
Baudoinia panamericana,Eukaryota,Teratosphaeriaceae,5
Blautia sp. SC05B48,Bacteria,Lachnospiraceae,6
[Candida] arabinofermentans,Eukaryota,Pichiaceae,4
Pseudocercospora musae,Eukaryota,Mycosphaerellaceae,3
Streptococcus milleri,Bacteria,Streptococcaceae,11
Aspergillus ochraceoroseus,Eukaryota,Aspergillaceae,6
Phytopythium vexans,Eukaryota,Pythiaceae,4
Thielaviopsis punctulata,Eukaryota,Ceratocystidaceae,17
Dialister pneumosintes,Bacteria,Veillonellaceae,5
Naumovozyma dairenensis,Eukaryota,Saccharomycetaceae,6
Rhizophagus irregularis,Eukaryota,Glomeraceae,5
Clostridium beijerinckii,Bacteria,Clostridiaceae,12
Pichia kudriavzevii,Eukaryota,Pichiaceae,16
Streptococcus salivarius,Bacteria,Streptococcaceae,13
Paracoccidioides brasiliensis,Eukaryota,o__Onygenales,2
Longibaculum sp. KGMB06250,Bacteria,Erysipelotrichaceae,1
Hyaloscypha variabilis,Eukaryota,Hyaloscyphaceae,2
Cordyceps sp. RAO-2017,Eukaryota,Cordycipitaceae,2
Streptococcus sp. HSISS3,Bacteria,Streptococcaceae,15
Streptococcus sp. I-G2,Bacteria,Streptococcaceae,13
Rhizophagus clarus,Eukaryota,Glomeraceae,5
Streptococcus sp. A12,Bacteria,Streptococcaceae,11
Leucoagaricus sp. SymC.cos,Eukaryota,Agaricaceae,3
Schizosaccharomyces pombe,Eukaryota,Schizosaccharomycetaceae,7
Brachyspira pilosicoli,Bacteria,Brachyspiraceae,3
Streptococcus anginosus,Bacteria,Streptococcaceae,12
Gemella morbillorum,Bacteria,o__Bacillales,8
Albugo candida,Eukaryota,Albuginaceae,15
Trichoderma atroviride,Eukaryota,Hypocreaceae,1
Moniliophthora perniciosa,Eukaryota,Marasmiaceae,6
Roseburia intestinalis,Bacteria,Lachnospiraceae,1
Bifidobacterium pseudocatenulatum,Bacteria,Bifidobacteriaceae,1
Bifidobacterium angulatum,Bacteria,Bifidobacteriaceae,1
Edhazardia aedis,Eukaryota,Culicosporidae,12
Lipomyces starkeyi,Eukaryota,Lipomycetaceae,2
Coniochaeta ligniaria,Eukaryota,Coniochaetaceae,1
Choanephora cucurbitarum,Eukaryota,Choanephoraceae,5
Escherichia coli,Bacteria,Enterobacteriaceae,1
Prevotella intermedia,Bacteria,Prevotellaceae,6
Lactococcus garvieae,Bacteria,Streptococcaceae,2
Pneumocystis murina,Eukaryota,Pneumocystidaceae,2
Tuber magnatum,Eukaryota,Tuberaceae,2
Debaryomyces hansenii,Eukaryota,Debaryomycetaceae,1
Porphyromonas asaccharolytica,Bacteria,Porphyromonadaceae,2
Trichophyton mentagrophytes,Eukaryota,Arthrodermataceae,1
