"","Aspergillus rambellii","Rhizophagus irregularis","Moniliophthora perniciosa","Erysiphe pulchra","Sphaerulina musiva","Phytophthora capsici","Trichophyton mentagrophytes","Aspergillus kawachii","Pneumocystis murina","Debaryomyces hansenii","Trichoderma atroviride","Pseudocercospora musae","Cordyceps sp. RAO-2017","Rhizophagus clarus","Pichia kudriavzevii","Paracoccidioides brasiliensis","Albugo candida","Lipomyces starkeyi","Naumovozyma dairenensis","Phytopythium vexans","Aspergillus ochraceoroseus","Colletotrichum fioriniae","Coniochaeta ligniaria","Leucoagaricus sp. SymC.cos","Colletotrichum salicis","[Candida] arabinofermentans","Baudoinia panamericana","Hyaloscypha variabilis","Schizosaccharomyces pombe","Tuber magnatum","Thielaviopsis punctulata","Edhazardia aedis","Choanephora cucurbitarum"
"Aspergillus rambellii",NA,0.0189970314354246,0,0,0,0.435434085472937,0.580726566958294,0.10479300772164,0.255196538659218,0.492717580187803,0.462019098484731,0.000393416700602556,0.856818125091478,0.86158670503647,0.546609190338784,0.909940186439001,0.0394519138757685,0.00680035440662552,0.260652624281126,0.103686117715683,7.28306304154103e-14,0.542860652871536,0.291031312610168,0.622684229593959,0.548012275890569,0.25391003222816,0.492243081275716,0.493342021241399,0.360980690158636,0.22402719695761,3.62621044303069e-12,0.458810894746708,0.440093301573715
"Rhizophagus irregularis",0.0189970314354246,NA,0.0195939019860498,0.000408340027751697,0.00313699198881379,0.0580308052349559,3.72170819518125e-05,2.55388936221124e-07,6.13153972039981e-11,0.000224329851663985,0.11788856017495,9.73873417926541e-05,4.18979836647182e-06,0,1.12354570092066e-11,4.8184186879574e-05,5.3538062871894e-11,0.0617340671007742,2.6946667119887e-11,1.06944094684369e-05,0.977188898616674,0.303554992308545,0.22680084025632,5.58274322237651e-06,0.0685945133167136,0,0.00139279365098099,0.00181897264456765,9.33023622806672e-08,1.53210777398272e-13,0.012722439214206,0,8.85326256749863e-09
"Moniliophthora perniciosa",0,0.0195939019860498,NA,7.29832292645227e-06,3.52384788016025e-13,0.219123709152197,0.222070048377887,0.295908893939555,0.853074104936146,0.999839114613857,2.05186322110862e-05,0.0193531923899819,0.0255280555209416,0.156429969810338,0.0657342283614557,0.468016963439868,0.0418730295487886,0.0095207728310962,0.0540204534845259,0.00822147642033233,7.27302174041711e-09,0.00386016125962829,0.00703867418842874,0.0200769000344927,0.0145559989752346,0.707021733274768,0.187218315740663,0.177535507406672,0.0306629973991845,0.0577167326823438,9.44883952627151e-05,0.143442122392567,0.14815327030025
"Erysiphe pulchra",0,0.000408340027751697,7.29832292645227e-06,NA,0,0.647394634573117,0.0501526937132339,0.439145631565037,0.000397933490061897,0.826417300626958,0.867378667281248,0.0915457123623691,0.879443539840416,1.71933858155171e-05,0.000426207284633939,0.0768910179559685,0.0173150685312935,0.267072570856087,0.0510025563308885,0.458415705488139,3.10862446895044e-15,0.996713816624627,0.364931646697684,0.0710843259626488,0.411250962820051,8.81044560419042e-07,0.0796076858696777,0.161366378149384,0.43289189492056,2.91421940457059e-05,2.70894418008538e-14,7.41194578424142e-06,0.201144285945795
"Sphaerulina musiva",0,0.00313699198881379,3.52384788016025e-13,0,NA,1.45993744102846e-05,0.0905508768528382,0.135753255691436,0.101267821069043,0.898023680591108,0.58787891597869,0.620306332265543,0.000641689116020583,0.416957976541244,0.251026789342014,0.12060940666387,0.400901289978714,0.0423230467841993,0.0110345000045062,0.00503486676379339,4.44089209850063e-16,0.0699017847522634,0.000694535941714314,0.649680343620476,0.155295948563168,0.224176587304609,0.436571700387637,0.331152399311508,0.79073295560619,0.0121445013436838,5.46229728115577e-13,0.0134069356486282,0.0363890029310441
"Phytophthora capsici",0.435434085472937,0.0580308052349559,0.219123709152197,0.647394634573117,1.45993744102846e-05,NA,0.581098255891269,0.00185843309136602,0.293937426296116,0.0455800527364572,0.00461167049802902,0.900120057638737,7.31161797773439e-11,0.602241392652172,0.437680422865749,0.630904927309986,0.158692579143136,0.682235329000601,0.202514188683949,0,0.0986507589650081,0.000637111729490325,4.13000744714509e-11,0.602450285692288,7.82330701110112e-07,0.0562063757772342,0.354842730226177,0.0864883683558806,0.687382373389189,0.0218547302792211,0.000722222661579286,0.0323153324930563,0.72901892394796
"Trichophyton mentagrophytes",0.580726566958294,3.72170819518125e-05,0.222070048377887,0.0501526937132339,0.0905508768528382,0.581098255891269,NA,0.0120903388178848,0.000295202410771189,0.122907458999698,0.878130456454294,0.375799947938901,0.900307730411208,0.00886527895003342,0.0042726185260511,0.403147396850265,0.00694071541842911,0.955843146322437,0.0842494346765954,0.360810017067115,0.56100033323909,0.043588076617018,0.0164597829816731,0.799808925524243,0.654666936550466,0.226376982442486,0.845218450251342,0.985052662792399,0.354110953705123,0.316280867328192,0.110475691033006,0.0284449192822276,0.244767798263324
"Aspergillus kawachii",0.10479300772164,2.55388936221124e-07,0.295908893939555,0.439145631565037,0.135753255691436,0.00185843309136602,0.0120903388178848,NA,5.45523202721832e-05,0.00451999758096644,0.173913140301617,0.0135096101749168,0.664789091445897,0.000130880104828535,2.18773859472776e-07,0.015646681407903,3.51537249976275e-07,0.000735747677244492,0.000342093629807305,0.968230247390723,0.698821112769215,0.895313678660882,0.209218559703432,7.60170273244043e-05,0.193014767314346,0.0111313802760651,0.00658178354512318,0.0384298187806047,0.000220173214774411,0.00867098517291787,0.106702160635455,1.37585121584571e-06,0.00268644257025863
"Pneumocystis murina",0.255196538659218,6.13153972039981e-11,0.853074104936146,0.000397933490061897,0.101267821069043,0.293937426296116,0.000295202410771189,5.45523202721832e-05,NA,1.29825346673051e-06,0.147803536480582,1.1912432240635e-07,0.976280498752333,1.92512672470002e-13,6.06381167500558e-10,0.00023479850614283,3.48177087161616e-09,0.0702170158860342,5.01139144137852e-06,0.860158591843568,0.14049390310669,0.0245992094639629,0.423494504617105,1.68975095471424e-07,0.0179831537700028,8.88178419700125e-14,0.0788942591130031,0.0120606789278579,1.0508356814265e-05,1.45395135930926e-08,0.379066212686798,0,1.38889093033168e-05
"Debaryomyces hansenii",0.492717580187803,0.000224329851663985,0.999839114613857,0.826417300626958,0.898023680591108,0.0455800527364572,0.122907458999698,0.00451999758096644,1.29825346673051e-06,NA,0.000200646384193259,2.6526710632524e-06,0.0608473078379235,1.4210854715202e-14,7.25452655991887e-06,4.33170300566665e-05,3.48610029732299e-13,0.0130324580360632,2.07511017258355e-08,0.0281625523122564,0.747702028254556,0.00158302061975357,0.0994531534853011,1.36687841933991e-06,0.000764572727353086,3.58829029156738e-07,0.0171466059975673,1.47353873725109e-06,1.77948428297103e-05,1.92280981059501e-05,0.0536554874640225,1.98892351477298e-08,5.90862087257449e-07
"Trichoderma atroviride",0.462019098484731,0.11788856017495,2.05186322110862e-05,0.867378667281248,0.58787891597869,0.00461167049802902,0.878130456454294,0.173913140301617,0.147803536480582,0.000200646384193259,NA,2.50910403565285e-14,0.239848559569717,3.12262635748795e-08,1.95928873125695e-09,0.00523767686002197,5.32051969592828e-07,3.83046421958966e-06,4.62886407217589e-05,5.42322542429474e-09,0.279728652816577,1.22866161689217e-11,0.00676563568265354,4.87876405941279e-12,4.71953645670986e-05,0.0419941560300636,9.88542581126239e-12,8.54218580315091e-08,1.84796622004768e-07,5.53632383049063e-07,0.299187169293924,0.000119789085711197,2.10351675211662e-06
"Pseudocercospora musae",0.000393416700602556,9.73873417926541e-05,0.0193531923899819,0.0915457123623691,0.620306332265543,0.900120057638737,0.375799947938901,0.0135096101749168,1.1912432240635e-07,2.6526710632524e-06,2.50910403565285e-14,NA,0.301651276202276,0,6.27053964308288e-12,4.08214839708876e-09,0,1.33226762955019e-15,9.62082413735743e-10,0.0873843698072072,0.027717755507803,1.24344978758018e-14,0.00509430013369894,0,0.000886121216095326,4.44089209850063e-16,2.22044604925031e-16,4.44089209850063e-16,1.11022302462516e-14,0,0.0240332432760115,0,8.88178419700125e-16
"Cordyceps sp. RAO-2017",0.856818125091478,4.18979836647182e-06,0.0255280555209416,0.879443539840416,0.000641689116020583,7.31161797773439e-11,0.900307730411208,0.664789091445897,0.976280498752333,0.0608473078379235,0.239848559569717,0.301651276202276,NA,0.00844519501173346,0.475395798329444,0.710783117216954,0.234776422554076,0.307126307253526,0.100349585120223,0,0.000824103624763595,1.87855543209992e-06,1.71906933132959e-12,0.0177187512482191,2.98365776529863e-11,0.56977775577212,0.348281177131126,0.112881552987786,0.485839134789217,0.702282777794674,0.0132409806528959,0.0641043655715956,0.279593860989518
"Rhizophagus clarus",0.86158670503647,0,0.156429969810338,1.71933858155171e-05,0.416957976541244,0.602241392652172,0.00886527895003342,0.000130880104828535,1.92512672470002e-13,1.4210854715202e-14,3.12262635748795e-08,0,0.00844519501173346,NA,0,7.42339523185365e-11,1.7785772854495e-13,3.70428481888396e-07,0,0.249718981121366,0.93077020826216,0.00338240433708403,0.00545137918775263,0,0.963525388282421,0,3.28626015289046e-14,9.59765600327955e-12,0,0,0.104080659019192,0,0
"Pichia kudriavzevii",0.546609190338784,1.12354570092066e-11,0.0657342283614557,0.000426207284633939,0.251026789342014,0.437680422865749,0.0042726185260511,2.18773859472776e-07,6.06381167500558e-10,7.25452655991887e-06,1.95928873125695e-09,6.27053964308288e-12,0.475395798329444,0,NA,0.00260547422845914,6.04849503815785e-13,1.36696129970915e-08,1.68753899743024e-14,0.894089508732022,0.36914209709261,0.000390746921476115,0.556279387352284,2.08300043880172e-12,0.0318890601117183,0,2.46020004368575e-09,0.00173288718277775,2.07445172151210e-11,2.68274291670423e-12,0.52673746325796,0,6.21656059962561e-11
"Paracoccidioides brasiliensis",0.909940186439001,4.8184186879574e-05,0.468016963439868,0.0768910179559685,0.12060940666387,0.630904927309986,0.403147396850265,0.015646681407903,0.00023479850614283,4.33170300566665e-05,0.00523767686002197,4.08214839708876e-09,0.710783117216954,7.42339523185365e-11,0.00260547422845914,NA,7.03969475708277e-05,6.98887906391832e-06,0.000607224312084709,0.0337845239918311,0.538051708628333,0.00247580977397854,0.0253050263410022,8.41679847152221e-07,0.0474423296785511,1.03233976922468e-08,5.70404773503341e-05,0.000110274504362184,0.000508103240340452,2.26729746088949e-12,0.468574859337052,4.2854608750531e-14,6.20288897135168e-07
"Albugo candida",0.0394519138757685,5.3538062871894e-11,0.0418730295487886,0.0173150685312935,0.400901289978714,0.158692579143136,0.00694071541842911,3.51537249976275e-07,3.48177087161616e-09,3.48610029732299e-13,5.32051969592828e-07,0,0.234776422554076,1.7785772854495e-13,6.04849503815785e-13,7.03969475708277e-05,NA,3.84010181968542e-05,2.40043540600254e-11,0.108814230385779,0.556153150492884,6.39856982953546e-07,0.508517436761915,2.66453525910038e-15,0.000829157103901856,2.60698129750381e-11,5.69337466060915e-08,4.98090502176751e-09,4.97062060400566e-08,4.04516420360324e-11,0.859606310214395,5.31130694980675e-13,1.13291146774941e-06
"Lipomyces starkeyi",0.00680035440662552,0.0617340671007742,0.0095207728310962,0.267072570856087,0.0423230467841993,0.682235329000601,0.955843146322437,0.000735747677244492,0.0702170158860342,0.0130324580360632,3.83046421958966e-06,1.33226762955019e-15,0.307126307253526,3.70428481888396e-07,1.36696129970915e-08,6.98887906391832e-06,3.84010181968542e-05,NA,2.51048703947543e-05,0.214875252525934,0.177175125503553,0.000517330533452043,0.955851829555263,1.19072222748429e-07,0.0918855957637605,0.0106924764491936,2.54934861132483e-06,1.9650260163484e-05,1.36569276909526e-06,3.588658006759e-06,0.00622479419985478,6.1922911243073e-11,0
"Naumovozyma dairenensis",0.260652624281126,2.6946667119887e-11,0.0540204534845259,0.0510025563308885,0.0110345000045062,0.202514188683949,0.0842494346765954,0.000342093629807305,5.01139144137852e-06,2.07511017258355e-08,4.62886407217589e-05,9.62082413735743e-10,0.100349585120223,0,1.68753899743024e-14,0.000607224312084709,2.40043540600254e-11,2.51048703947543e-05,NA,0.51846617952243,0.0486774493226565,0.00256243786631138,0.391981484713236,4.93196594675283e-11,0.759444597702119,0,6.3593574850529e-10,1.74740368841242e-08,5.95619040755224e-07,2.12582247360871e-08,0.0993121364293126,0,4.85816276096784e-10
"Phytopythium vexans",0.103686117715683,1.06944094684369e-05,0.00822147642033233,0.458415705488139,0.00503486676379339,0,0.360810017067115,0.968230247390723,0.860158591843568,0.0281625523122564,5.42322542429474e-09,0.0873843698072072,0,0.249718981121366,0.894089508732022,0.0337845239918311,0.108814230385779,0.214875252525934,0.51846617952243,NA,0.00265155485665325,2.14975027557074e-06,4.54747350886464e-13,0.26099302226144,0,0.534843870805074,0.000397736290374873,0.00138737138054013,0.533586732546762,0.160633398868385,0.0772381239522772,0.38878278134731,0.90252786488208
"Aspergillus ochraceoroseus",7.28306304154103e-14,0.977188898616674,7.27302174041711e-09,3.10862446895044e-15,4.44089209850063e-16,0.0986507589650081,0.56100033323909,0.698821112769215,0.14049390310669,0.747702028254556,0.279728652816577,0.027717755507803,0.000824103624763595,0.93077020826216,0.36914209709261,0.538051708628333,0.556153150492884,0.177175125503553,0.0486774493226565,0.00265155485665325,NA,0.605600901552133,0.0716271048637616,0.635186018139922,0.0334203713324099,0.477379920370294,0.314137868884957,0.105423225690529,0.352544246660033,0.494493081018184,0,0.770302789271497,0.0671009484102525
"Colletotrichum fioriniae",0.542860652871536,0.303554992308545,0.00386016125962829,0.996713816624627,0.0699017847522634,0.000637111729490325,0.043588076617018,0.895313678660882,0.0245992094639629,0.00158302061975357,1.22866161689217e-11,1.24344978758018e-14,1.87855543209992e-06,0.00338240433708403,0.000390746921476115,0.00247580977397854,6.39856982953546e-07,0.000517330533452043,0.00256243786631138,2.14975027557074e-06,0.605600901552133,NA,3.1247424167935e-05,2.1561950003246e-09,1.28847386093867e-08,0.0314938295867098,6.53337379752372e-08,9.45501522022774e-05,0.000389687857735854,2.39932380541319e-05,0.997757391164486,0.000122293138410168,1.71975270133462e-05
"Coniochaeta ligniaria",0.291031312610168,0.22680084025632,0.00703867418842874,0.364931646697684,0.000694535941714314,4.13000744714509e-11,0.0164597829816731,0.209218559703432,0.423494504617105,0.0994531534853011,0.00676563568265354,0.00509430013369894,1.71906933132959e-12,0.00545137918775263,0.556279387352284,0.0253050263410022,0.508517436761915,0.955851829555263,0.391981484713236,4.54747350886464e-13,0.0716271048637616,3.1247424167935e-05,NA,0.887856240883186,0.00018089902313756,0.129945389113388,0.0523148416295367,0.319763135450095,0.125252933202036,2.50952284464034e-06,0.024148461261051,0.44865191619101,0.289972321402798
"Leucoagaricus sp. SymC.cos",0.622684229593959,5.58274322237651e-06,0.0200769000344927,0.0710843259626488,0.649680343620476,0.602450285692288,0.799808925524243,7.60170273244043e-05,1.68975095471424e-07,1.36687841933991e-06,4.87876405941279e-12,0,0.0177187512482191,0,2.08300043880172e-12,8.41679847152221e-07,2.66453525910038e-15,1.19072222748429e-07,4.93196594675283e-11,0.26099302226144,0.635186018139922,2.1561950003246e-09,0.887856240883186,NA,0.0377648387077985,1.11022302462516e-15,0,9.06490216223688e-10,6.43929354282591e-14,9.29034627006331e-13,0.00272001952907441,0,0
