"","Aspergillus rambellii","Rhizophagus irregularis","Moniliophthora perniciosa","Erysiphe pulchra","Sphaerulina musiva","Phytophthora capsici","Trichophyton mentagrophytes","Aspergillus kawachii","Pneumocystis murina","Debaryomyces hansenii","Trichoderma atroviride","Pseudocercospora musae","Cordyceps sp. RAO-2017","Rhizophagus clarus","Pichia kudriavzevii","Paracoccidioides brasiliensis","Albugo candida","Lipomyces starkeyi","Naumovozyma dairenensis","Phytopythium vexans","Aspergillus ochraceoroseus","Colletotrichum fioriniae","Coniochaeta ligniaria","Leucoagaricus sp. SymC.cos","Colletotrichum salicis","[Candida] arabinofermentans","Baudoinia panamericana","Hyaloscypha variabilis","Schizosaccharomyces pombe","Tuber magnatum","Thielaviopsis punctulata","Edhazardia aedis","Choanephora cucurbitarum"
"Aspergillus rambellii",1,-0.110052779440415,0.451915260895326,0.43556897634559,0.438359044462262,0.0366925952653992,0.0259891055643309,-0.0762258484287833,-0.0535096901231627,-0.0322758316456715,-0.0346050133896211,-0.165655758017983,0.00849106840296268,-0.008205354758437,0.0283656070276836,0.00532334019512011,-0.0966943841816205,-0.126856922288261,-0.0529006891815772,0.0764691153873404,0.341505837861995,-0.0286310591121397,0.0496603784231056,-0.0231537695318073,-0.028266479268609,-0.0536545987489769,-0.0323112252569323,-0.0322292813526002,-0.0429712423702563,-0.0571754313572466,0.318568725961438,-0.0348532816193347,-0.0363216035357705
"Rhizophagus irregularis",-0.110052779440415,1,-0.109513928043696,0.165202822384023,-0.138351510496097,-0.0890273072611084,0.192275216104606,0.239019661086937,0.300658917474858,0.172353742473648,0.0734913072457198,0.18186962263165,-0.214052161334596,0.43398972879966,0.311550916627207,0.189536186601274,0.301546322510818,0.0877517266407776,0.305992452568874,-0.204992679229048,-0.00134566253538159,0.0483909532134289,-0.0568351507290154,0.211318902528752,-0.0855466790116847,0.401315270195277,0.149570002888555,0.14596690761466,0.247363320228507,0.337293303627919,0.116850661081486,0.423831249416919,0.265786977266978
"Moniliophthora perniciosa",0.451915260895326,-0.109513928043696,1,0.20873447029115,0.332482785928692,0.0577844323183563,-0.057417351827479,-0.0491617276173633,-0.00871561293353128,9.48959172923092e-06,0.198448394045294,0.109729495661221,0.104814848928425,0.0666213581407505,0.0864429352217707,0.0341434228040468,0.0955417865996642,0.121568017818889,-0.0904871042699989,0.123897776707278,0.267262745539579,0.135353381014898,0.126324226841124,0.109088242912004,0.114604901649839,0.0176873166060257,0.0620081983019466,0.0633938069321404,0.101458226448525,0.0891385592003711,0.182205290710276,0.0687745977992034,0.0679770232619068
"Erysiphe pulchra",0.43556897634559,0.165202822384023,0.20873447029115,1,0.400998779497481,-0.0215229704216488,0.0919830585145519,0.0363968790785607,0.165517004802823,0.0103203795067144,0.00785872819598058,0.0792827792448529,0.00713803219856842,0.200245190524386,0.16468038190476,0.0831095211058452,0.111654853300855,-0.0521952534730783,0.0916463062566864,-0.034883930434883,0.358621598374202,-0.000193831316741723,0.0426192298234776,0.0847911023538996,-0.0386561712640424,0.22831758200081,0.0823580480551627,0.0658384647123452,0.0368959802924269,0.194834270211444,0.347021214045749,0.20858448958341,0.0601049561635377
"Sphaerulina musiva",0.438359044462262,-0.138351510496097,0.332482785928692,0.400998779497481,1,0.201893045251566,-0.079526302678854,-0.0701204504862935,-0.0770078420572921,0.00603134065805828,0.0254993657041678,-0.0233121431184272,0.159608451763541,-0.0381868212016708,-0.0539812202268076,0.0729533500020999,0.0395172875670002,-0.0953337819516307,-0.119186511186978,0.131426417034843,0.368251866580192,0.085147218507781,0.158610121098087,0.0213734452378441,0.066803838283256,-0.0571570274111337,0.0366018029582519,0.0457107848244762,0.0124878534832732,0.11761784702387,0.329919816158402,-0.115980824613435,-0.0982415722970614
"Phytophthora capsici",0.0366925952653992,-0.0890273072611084,0.0577844323183563,-0.0215229704216488,0.201893045251566,1,-0.025963586257661,-0.14567375618226,-0.0493626104327158,0.0938814897504398,0.132735339462883,-0.00590669359231369,0.299502726173672,-0.0245241178286661,-0.0365134471678218,-0.0226082462625917,-0.0662602385798698,-0.0192661147528843,-0.0599229868360772,0.380357122819999,0.0776024803740181,0.159698474644357,0.303235982735356,0.0245100116792505,0.229367207755048,-0.0896806784544918,0.0435229210501259,0.0805436125271583,-0.0189365438074485,0.107594401641007,0.158114867015879,-0.100480731160196,-0.0163026692361232
"Trichophyton mentagrophytes",0.0259891055643309,0.192275216104606,-0.057417351827479,0.0919830585145519,-0.079526302678854,-0.025963586257661,1,0.117691387586653,0.169111508149347,0.0725063133033492,-0.00721638544668565,0.0416629611308259,-0.00589553691050321,0.122705354277546,0.13386472908018,0.0393292910666076,0.126541201016797,0.0026058546290772,0.0811208105136979,-0.0429865026591695,0.0273547090654772,-0.0947588922440864,-0.112522381489911,-0.0119342512375742,-0.021047977899511,0.056886958768687,0.00918739923320254,-0.000881698457332264,-0.043589091714657,0.0471360844963507,0.0750079747833344,0.102843895900464,0.0546993514697806
"Aspergillus kawachii",-0.0762258484287833,0.239019661086937,-0.0491617276173633,0.0363968790785607,-0.0701204504862935,-0.14567375618226,0.117691387586653,1,0.188205848473667,0.133033107453273,0.0639265685156516,0.115853741030974,-0.0203903748613029,0.178554292805832,0.240321915153435,0.113384523694644,0.236306792078884,0.15787929432064,0.167346059431131,0.00187438666302044,-0.018207384120387,-0.00619253547456132,-0.0590450713915428,0.184604035576991,0.0612038252030083,0.119044167315603,0.127360383584674,0.097198999617531,0.172572516027311,0.123056857818569,0.0758109993982445,0.224335159545359,0.140555403985693
"Pneumocystis murina",-0.0535096901231627,0.300658917474858,-0.00871561293353128,0.165517004802823,-0.0770078420572921,-0.0493626104327158,0.169111508149347,0.188205848473667,1,0.224857984737788,0.0680355616026766,0.245366530659876,0.00139926590316064,0.335979689709596,0.285185882180952,0.171819119410799,0.272713737818619,0.0850518096426432,0.212351216190525,0.00829088931898396,0.0692839558259519,0.105483284693834,0.0376538652292073,0.242479001874515,0.111002892722413,0.340397222755656,0.082553354105707,0.11773178246907,0.205166056629137,0.262022887933468,-0.0413789145766857,0.387505221679741,0.202393044129485
"Debaryomyces hansenii",-0.0322758316456715,0.172353742473648,9.48959172923092e-06,0.0103203795067144,0.00603134065805828,0.0938814897504398,0.0725063133033492,0.133033107453273,0.224857984737788,1,0.173654970638371,0.218332992969046,0.0880512899592749,0.350625719934586,0.208792875881594,0.190670192776561,0.332546894130463,0.116451713528471,0.259286991854019,0.103026891129701,0.0151376295321215,0.147852002127464,0.0774188439561722,0.22439414889746,0.157390323886808,0.236131362875244,0.1118227164789,0.223715771348295,0.199897025109267,0.199110421306134,-0.0906243798503915,0.25961489570907,0.231826935499952
