"","Feature1","Feature2","rho","pvalue"
"34","Aspergillus rambellii","Rhizophagus irregularis",-0.110052779440415,0.0189970314354246
"67","Aspergillus rambellii","Moniliophthora perniciosa",0.451915260895326,0
"68","Rhizophagus irregularis","Moniliophthora perniciosa",-0.109513928043696,0.0195939019860498
"100","Aspergillus rambellii","Erysiphe pulchra",0.43556897634559,0
"101","Rhizophagus irregularis","Erysiphe pulchra",0.165202822384023,0.000408340027751697
"102","Moniliophthora perniciosa","Erysiphe pulchra",0.20873447029115,7.29832292645227e-06
"133","Aspergillus rambellii","Sphaerulina musiva",0.438359044462262,0
"134","Rhizophagus irregularis","Sphaerulina musiva",-0.138351510496097,0.00313699198881379
"135","Moniliophthora perniciosa","Sphaerulina musiva",0.332482785928692,3.52384788016025e-13
"136","Erysiphe pulchra","Sphaerulina musiva",0.400998779497481,0
"166","Aspergillus rambellii","Phytophthora capsici",0.0366925952653992,0.435434085472937
"167","Rhizophagus irregularis","Phytophthora capsici",-0.0890273072611084,0.0580308052349559
"168","Moniliophthora perniciosa","Phytophthora capsici",0.0577844323183563,0.219123709152197
"169","Erysiphe pulchra","Phytophthora capsici",-0.0215229704216488,0.647394634573117
"170","Sphaerulina musiva","Phytophthora capsici",0.201893045251566,1.45993744102846e-05
"199","Aspergillus rambellii","Trichophyton mentagrophytes",0.0259891055643309,0.580726566958294
"200","Rhizophagus irregularis","Trichophyton mentagrophytes",0.192275216104606,3.72170819518125e-05
"201","Moniliophthora perniciosa","Trichophyton mentagrophytes",-0.057417351827479,0.222070048377887
"202","Erysiphe pulchra","Trichophyton mentagrophytes",0.0919830585145519,0.0501526937132339
"203","Sphaerulina musiva","Trichophyton mentagrophytes",-0.079526302678854,0.0905508768528382
"204","Phytophthora capsici","Trichophyton mentagrophytes",-0.025963586257661,0.581098255891269
"232","Aspergillus rambellii","Aspergillus kawachii",-0.0762258484287833,0.10479300772164
"233","Rhizophagus irregularis","Aspergillus kawachii",0.239019661086937,2.55388936221124e-07
"234","Moniliophthora perniciosa","Aspergillus kawachii",-0.0491617276173633,0.295908893939555
"235","Erysiphe pulchra","Aspergillus kawachii",0.0363968790785607,0.439145631565037
"236","Sphaerulina musiva","Aspergillus kawachii",-0.0701204504862935,0.135753255691436
"237","Phytophthora capsici","Aspergillus kawachii",-0.14567375618226,0.00185843309136602
"238","Trichophyton mentagrophytes","Aspergillus kawachii",0.117691387586653,0.0120903388178848
"265","Aspergillus rambellii","Pneumocystis murina",-0.0535096901231627,0.255196538659218
"266","Rhizophagus irregularis","Pneumocystis murina",0.300658917474858,6.13153972039981e-11
"267","Moniliophthora perniciosa","Pneumocystis murina",-0.00871561293353128,0.853074104936146
"268","Erysiphe pulchra","Pneumocystis murina",0.165517004802823,0.000397933490061897
"269","Sphaerulina musiva","Pneumocystis murina",-0.0770078420572921,0.101267821069043
"270","Phytophthora capsici","Pneumocystis murina",-0.0493626104327158,0.293937426296116
"271","Trichophyton mentagrophytes","Pneumocystis murina",0.169111508149347,0.000295202410771189
"272","Aspergillus kawachii","Pneumocystis murina",0.188205848473667,5.45523202721832e-05
"298","Aspergillus rambellii","Debaryomyces hansenii",-0.0322758316456715,0.492717580187803
"299","Rhizophagus irregularis","Debaryomyces hansenii",0.172353742473648,0.000224329851663985
"300","Moniliophthora perniciosa","Debaryomyces hansenii",9.48959172923092e-06,0.999839114613857
"301","Erysiphe pulchra","Debaryomyces hansenii",0.0103203795067144,0.826417300626958
"302","Sphaerulina musiva","Debaryomyces hansenii",0.00603134065805828,0.898023680591108
"303","Phytophthora capsici","Debaryomyces hansenii",0.0938814897504398,0.0455800527364572
"304","Trichophyton mentagrophytes","Debaryomyces hansenii",0.0725063133033492,0.122907458999698
"305","Aspergillus kawachii","Debaryomyces hansenii",0.133033107453273,0.00451999758096644
"306","Pneumocystis murina","Debaryomyces hansenii",0.224857984737788,1.29825346673051e-06
"331","Aspergillus rambellii","Trichoderma atroviride",-0.0346050133896211,0.462019098484731
"332","Rhizophagus irregularis","Trichoderma atroviride",0.0734913072457198,0.11788856017495
"333","Moniliophthora perniciosa","Trichoderma atroviride",0.198448394045294,2.05186322110862e-05
"334","Erysiphe pulchra","Trichoderma atroviride",0.00785872819598058,0.867378667281248
"335","Sphaerulina musiva","Trichoderma atroviride",0.0254993657041678,0.58787891597869
"336","Phytophthora capsici","Trichoderma atroviride",0.132735339462883,0.00461167049802902
"337","Trichophyton mentagrophytes","Trichoderma atroviride",-0.00721638544668565,0.878130456454294
"338","Aspergillus kawachii","Trichoderma atroviride",0.0639265685156516,0.173913140301617
"339","Pneumocystis murina","Trichoderma atroviride",0.0680355616026766,0.147803536480582
"340","Debaryomyces hansenii","Trichoderma atroviride",0.173654970638371,0.000200646384193259
"364","Aspergillus rambellii","Pseudocercospora musae",-0.165655758017983,0.000393416700602556
"365","Rhizophagus irregularis","Pseudocercospora musae",0.18186962263165,9.73873417926541e-05
"366","Moniliophthora perniciosa","Pseudocercospora musae",0.109729495661221,0.0193531923899819
"367","Erysiphe pulchra","Pseudocercospora musae",0.0792827792448529,0.0915457123623691
"368","Sphaerulina musiva","Pseudocercospora musae",-0.0233121431184272,0.620306332265543
"369","Phytophthora capsici","Pseudocercospora musae",-0.00590669359231369,0.900120057638737
"370","Trichophyton mentagrophytes","Pseudocercospora musae",0.0416629611308259,0.375799947938901
"371","Aspergillus kawachii","Pseudocercospora musae",0.115853741030974,0.0135096101749168
"372","Pneumocystis murina","Pseudocercospora musae",0.245366530659876,1.1912432240635e-07
"373","Debaryomyces hansenii","Pseudocercospora musae",0.218332992969046,2.6526710632524e-06
