"","Aspergillus rambellii","Rhizophagus irregularis","Moniliophthora perniciosa","Erysiphe pulchra","Sphaerulina musiva","Phytophthora capsici","Trichophyton mentagrophytes","Aspergillus kawachii","Pneumocystis murina","Debaryomyces hansenii","Trichoderma atroviride","Pseudocercospora musae","Cordyceps sp. RAO-2017","Rhizophagus clarus","Pichia kudriavzevii","Paracoccidioides brasiliensis","Albugo candida","Lipomyces starkeyi","Naumovozyma dairenensis","Phytopythium vexans","Aspergillus ochraceoroseus","Colletotrichum fioriniae","Coniochaeta ligniaria","Leucoagaricus sp. SymC.cos","Colletotrichum salicis","[Candida] arabinofermentans","Baudoinia panamericana","Hyaloscypha variabilis","Schizosaccharomyces pombe","Tuber magnatum","Thielaviopsis punctulata","Edhazardia aedis","Choanephora cucurbitarum"
"Aspergillus rambellii",NA,0.110755697984946,6.21994384886193e-08,3.49219910766863e-08,0.04509963281299,0.139219695495447,0.731474852934301,0.4838019065131,0.266661415410616,0.87134787366123,0.511536133034798,0.046659964271718,0.051132436277193,0.268030844798909,0.436961007918275,0.807306308175854,0.982484923673285,0.745080500667469,0.103509326207307,0.825995287422114,0.0283395461035472,0.557235114678258,0.902712186665847,0.787936392099246,0.67506884993182,0.334204181224117,0.757719172672012,0.743514485745227,0.93666528696675,0.0731965672727637,4.89203976350439e-05,0.26741645229252,0.765808662564498
"Rhizophagus irregularis",0.110755697984946,NA,0.698040519671714,1.38672624494518e-08,0.549699353355748,0.0283121571014058,1.87979678321071e-05,3.45288741794292e-05,1.63668945063478e-09,0.00237517616688265,0.984099762328826,0.00251630224765842,0.000148103221630835,0,0.000845411005374608,0.0442738540429255,2.1568080654788e-11,0.381520874743337,9.55953094461393e-11,0.000105492987732214,0.343689321760709,0.795359620901157,0.772394265330009,0.00332803130013293,0.00508194243703342,2.40030217923959e-13,0.165467019516514,0.00128064073833967,0.000141274792796242,8.63721331256784e-06,6.87601153126494e-07,0,0.00112295362047266
"Moniliophthora perniciosa",6.21994384886193e-08,0.698040519671714,NA,2.28447534045273e-06,0.0161079704381339,0.0365265981414251,0.644797333761342,0.248561873535769,0.0290893825522631,0.364459398844101,0.0531065200336838,0.00133014333455006,0.0870065957766903,0.157285208676776,1.82522037670552e-05,0.0589874484740904,0.0135332834001205,0.00104182819443577,0.0098681242385128,0.00871906778684384,0.0164874985275723,0.0142797423859382,0.0251381330028129,0.000120389749971972,0.141177386741719,0.00268570095821197,6.18958371634282e-05,0.0031870383082051,0.559559952745061,5.69569835739969e-09,0.065340417499395,0.0637972981661679,0.000505315294621056
"Erysiphe pulchra",3.49219910766863e-08,1.38672624494518e-08,2.28447534045273e-06,NA,1.32496004789928e-06,0.0195504436131833,0.114139200923605,0.26721594381144,0,0.00156020370853049,0.209548279979704,8.47684115250491e-05,0.512210289323442,0,2.13731254916638e-11,0.00714541506967059,1.56828150466026e-09,0.424443890634593,9.1544372082808e-10,0.6771275750776,0.0298269668777285,0.112891203817515,0.0174324384096325,7.70163333108087e-09,0.721277290992157,0,4.27701052352347e-08,9.16223320202025e-05,0.000248266733231528,0,4.98887312869734e-05,2.22044604925031e-15,1.32654067357407e-05
"Sphaerulina musiva",0.04509963281299,0.549699353355748,0.0161079704381339,1.32496004789928e-06,NA,1.62092561595273e-13,0.865938331884881,0.0975433497365301,0.696009728351324,0.126000716054925,0.0252338052905126,0.00470790748981686,2.09663268968541e-08,0.0928898579647459,0.305993665900631,0.79259806505477,0.0120700494945736,0.331881332224032,0.000604800311550191,1.66714138938318e-07,0.0266065721300264,0.0290619323747965,2.23003523922571e-05,0.000886340842412903,2.13200525829293e-05,0.0260827999951758,1.89027786445806e-06,0.00628077153725726,0.00695168157098092,0.000337321824972037,0.000244093728244854,0.20749854555753,0.397610997287035
"Phytophthora capsici",0.139219695495447,0.0283121571014058,0.0365265981414251,0.0195504436131833,1.62092561595273e-13,NA,0.65732896795867,0.553639142158935,0.21578160715608,0.00269448067544609,0.038369087827653,0.314738913545191,4.44089209850063e-16,0.74702341832586,0.0565677081338762,0.607141230518024,0.00524250560515016,0.463188136687574,0.398692915374065,0,0.0337640935956842,0.00817121249095853,0,0.340579241041925,7.57335083534372e-10,0.763870925686401,0.00151672343301046,0.0105897546628728,0.482913479516534,0.0974591169616195,4.35236923741478e-05,0.951341782207927,0.683444225210689
"Trichophyton mentagrophytes",0.731474852934301,1.87979678321071e-05,0.644797333761342,0.114139200923605,0.865938331884881,0.65732896795867,NA,0.0218973946808274,0.156406328980242,0.318856285056633,0.0162163410797489,0.992241028377112,0.0269976677032586,0.607769420586403,0.295055871791823,0.870134167539718,0.819965369715879,0.408603722058521,0.229993620316153,0.942562718024693,0.848079210584817,0.751877681468141,0.0160247710558092,0.245290648692796,0.27292127009041,0.682377668000859,0.810045983767612,0.138584222054762,0.905819223547865,0.273193354628093,0.247183345576847,0.114729357856725,0.60252320364021
"Aspergillus kawachii",0.4838019065131,3.45288741794292e-05,0.248561873535769,0.26721594381144,0.0975433497365301,0.553639142158935,0.0218973946808274,NA,0.000330380416996068,0.00319017204832073,0.158280496094673,0.178770777208701,0.444788129806089,0.00101290135473331,0.0216962202096354,0.0163166940450257,0.0012104117803764,0.159869455845338,0.000329565310453805,0.768777120073089,0.600041611317621,0.115504778019226,0.272546113553946,0.0113765633014551,0.102665278668731,0.54025699762645,0.58108763290804,0.0681287732661779,0.127528166411083,0.00600521295510781,0.0256739542077842,1.95699385030501e-06,0.0344327261191144
"Pneumocystis murina",0.266661415410616,1.63668945063478e-09,0.0290893825522631,0,0.696009728351324,0.21578160715608,0.156406328980242,0.000330380416996068,NA,3.52875195730462e-09,0.00357244044442862,5.01820807130571e-14,0.058893369524194,0,1.96683254127805e-08,1.07784876615113e-05,5.21849230494809e-12,0.0169438140683751,8.8734726233497e-09,0.94942471814349,0.0351073406278544,0.00187144624842284,0.0810563221176535,2.37411814429933e-07,0.0313578017729221,3.99680288865056e-15,0.00103635273545,1.07480280786554e-06,0.000125112831934615,2.22044604925031e-15,0.113094293085601,0,0.0002951085521814
"Debaryomyces hansenii",0.87134787366123,0.00237517616688265,0.364459398844101,0.00156020370853049,0.126000716054925,0.00269448067544609,0.318856285056633,0.00319017204832073,3.52875195730462e-09,NA,0.261990648792243,0.0188581832343375,0.153948178985413,8.88178419700125e-16,1.48562553703435e-06,0.000112280896256589,2.31681340778778e-12,0.384423282492414,8.40619540198873e-07,0.154612023216548,0.00733460261773411,0.0304984321576827,0.00456739448945509,0.118476040531621,0.0101824401926023,2.65802635013301e-06,0.17135068949216,0.0188783168282893,5.77124626355285e-06,8.93599416684765e-09,0.00217935738239117,1.40742972831731e-10,3.29641242124978e-06
"Trichoderma atroviride",0.511536133034798,0.984099762328826,0.0531065200336838,0.209548279979704,0.0252338052905126,0.038369087827653,0.0162163410797489,0.158280496094673,0.00357244044442862,0.261990648792243,NA,2.00062189037453e-12,0.000274093958321231,0.00166929228730628,0.0158739070415503,0.000383665262525312,5.81942577686512e-05,0.0239602764201416,0.000562050767963562,3.07833488533138e-05,0.910538555087386,6.38238351058362e-11,0.522067293535365,2.42852155940554e-06,0.000747300925711736,0.00219309238666732,2.51699106001979e-10,1.82896325329196e-06,0.367162754686837,0.0451083786360815,0.558681242133071,0.0395630550026667,0.583293351881046
"Pseudocercospora musae",0.046659964271718,0.00251630224765842,0.00133014333455006,8.47684115250491e-05,0.00470790748981686,0.314738913545191,0.992241028377112,0.178770777208701,5.01820807130571e-14,0.0188581832343375,2.00062189037453e-12,NA,0.00487296111993363,1.96437180743914e-07,1.98500481616293e-05,0.0001373088436738,1.82263312886732e-07,0.000118316627463422,3.25714781368447e-07,0.720404389676928,0.72743593764261,1.33226762955019e-15,0.00282638409781288,4.34700453411097e-09,0.24650764624521,1.10378373108233e-12,1.18312026842204e-11,2.65344604981621e-05,0.0555527701029803,1.96642968575134e-09,0.577797980207758,2.21048813964231e-06,0.00311009928192751
"Cordyceps sp. RAO-2017",0.051132436277193,0.000148103221630835,0.0870065957766903,0.512210289323442,2.09663268968541e-08,4.44089209850063e-16,0.0269976677032586,0.444788129806089,0.058893369524194,0.153948178985413,0.000274093958321231,0.00487296111993363,NA,0.0355044587734006,0.559969060347241,0.125777858720332,0.0530568710990551,0.091874754912904,0.0177794686271313,0,0.0195381261545822,0.000215426119978268,4.14557277395033e-13,0.591921400359789,0,0.371712132920768,0.00089339114924325,0.0931845373594242,0.631278103894098,0.90778820893173,0.000107885486185344,0.897929763234388,0.956980377468162
"Rhizophagus clarus",0.268030844798909,0,0.157285208676776,0,0.0928898579647459,0.74702341832586,0.607769420586403,0.00101290135473331,0,8.88178419700125e-16,0.00166929228730628,1.96437180743914e-07,0.0355044587734006,NA,5.09851272312289e-10,9.11547162196769e-08,0,0.183672134773733,0,0.00145627058215769,0.119594752725935,0.126380652926638,0.762951519679961,5.28910248931425e-13,0.395589002076259,0,3.38545275369029e-07,6.72209448548955e-07,2.91515700467926e-11,0,0.0240008489465304,0,2.66453525910038e-15
"Pichia kudriavzevii",0.436961007918275,0.000845411005374608,1.82522037670552e-05,2.13731254916638e-11,0.305993665900631,0.0565677081338762,0.295055871791823,0.0216962202096354,1.96683254127805e-08,1.48562553703435e-06,0.0158739070415503,1.98500481616293e-05,0.559969060347241,5.09851272312289e-10,NA,0.173640308173707,4.9515946898282e-14,0.000227019283483454,7.25333300088948e-08,0.855529130097258,0.148592603657455,0.00010597198835649,0.0806103986696105,0.000934224956435026,0.833004107399054,2.63280724333015e-07,4.32580628171308e-05,0.00049648577506245,2.08391521816509e-08,7.67745866880887e-11,0.367882734370663,1.77600003548051e-06,6.74542199874395e-10
"Paracoccidioides brasiliensis",0.807306308175854,0.0442738540429255,0.0589874484740904,0.00714541506967059,0.79259806505477,0.607141230518024,0.870134167539718,0.0163166940450257,1.07784876615113e-05,0.000112280896256589,0.000383665262525312,0.0001373088436738,0.125777858720332,9.11547162196769e-08,0.173640308173707,NA,0.0287819862855201,0.0102912038172382,6.65762286617966e-05,0.762478277798524,0.741503203398121,0.00600863648083161,0.772316300842534,0.220734696885664,0.703804004285847,0.000390455677368395,0.132989245196742,0.000418676848647381,0.0150926592544169,8.32083588662158e-05,0.432244509203145,1.83992238778075e-07,0.0214883441146012
