"","Aspergillus rambellii","Rhizophagus irregularis","Moniliophthora perniciosa","Erysiphe pulchra","Sphaerulina musiva","Phytophthora capsici","Trichophyton mentagrophytes","Aspergillus kawachii","Pneumocystis murina","Debaryomyces hansenii","Trichoderma atroviride","Pseudocercospora musae","Cordyceps sp. RAO-2017","Rhizophagus clarus","Pichia kudriavzevii","Paracoccidioides brasiliensis","Albugo candida","Lipomyces starkeyi","Naumovozyma dairenensis","Phytopythium vexans","Aspergillus ochraceoroseus","Colletotrichum fioriniae","Coniochaeta ligniaria","Leucoagaricus sp. SymC.cos","Colletotrichum salicis","[Candida] arabinofermentans","Baudoinia panamericana","Hyaloscypha variabilis","Schizosaccharomyces pombe","Tuber magnatum","Thielaviopsis punctulata","Edhazardia aedis","Choanephora cucurbitarum"
"Aspergillus rambellii",1,0.0696180667573553,0.233281419970311,0.237569992853066,0.0874071924092013,0.0645608325323009,0.0149975128998351,-0.0305958465324175,0.0485193766026232,-0.0070779593039088,-0.028684830090758,-0.0867835723993518,-0.0850881802239565,0.0483808493493445,0.0339644500313439,-0.0106597133681479,0.000959507370701197,-0.0142095566901139,0.0710666660344986,-0.00960814309370524,0.0956082531733976,-0.025649186739891,0.00534241071640235,0.0117561400865094,-0.0183201055610653,0.0421872793639125,-0.0134817114135119,0.014300011688237,-0.00347295245072645,0.078183998411884,0.176089618887202,0.0484429392432248,0.0130178100284249
"Rhizophagus irregularis",0.0696180667573553,1,0.0169552822894762,0.244265806588331,-0.0261409584890305,-0.0956247445130736,0.185382158967857,0.179528805319941,0.259047901363648,0.13223057119198,-0.000871031333339243,0.131478648559451,-0.164696989155501,0.46964989504293,0.145095547729957,0.087744605218973,0.286457662299004,-0.03823306839309,0.277372006074585,-0.168264643124317,0.041367577325315,-0.0113351161845801,-0.0126412302869225,0.127781207747384,-0.121997612466298,0.312088007683315,0.0605610230072741,0.140051589033342,0.165197748684764,0.1926136114158,0.214463399636077,0.384077570314434,0.141665101707245
"Moniliophthora perniciosa",0.233281419970311,0.0169552822894762,1,0.204390984102142,0.104886610701931,0.0911995408811034,-0.0201465214301867,0.0503981524752161,0.0951619975217639,0.0396214742804159,0.0843790526178868,0.139582740246352,0.0746941835663388,0.0617527696689632,0.185661192435175,0.0823892075725758,0.107614937937935,0.142578474555203,0.112422080996803,0.114259958346999,0.104517369606585,0.106779981410137,0.0976358633865667,0.166884235536734,0.0642435391569339,0.130625304187914,0.173730038006354,0.128359806399918,0.0254981260684584,0.250535978846559,0.0804163486071311,0.0808804973623133,0.15113228507507
"Erysiphe pulchra",0.237569992853066,0.244265806588331,0.204390984102142,1,0.209022164566666,0.101782610748107,-0.068967153580342,-0.0484632235910263,0.365256581539058,0.137594874161802,0.0548015050821155,0.170526925101076,0.028639066623157,0.385021287227396,0.286512083719935,0.117163670980458,0.259333943650329,0.0348989317940867,0.262911327509554,0.018197080167082,0.0947325630365999,0.0692054534386608,0.103629393421728,0.248428962832849,0.0155912835848709,0.353193166566035,0.236073238864068,0.16972602318971,0.159119370706969,0.352443882547854,0.17589419651204,0.336379915939519,0.188657503940915
"Sphaerulina musiva",0.0874071924092013,-0.0261409584890305,0.104886610701931,0.209022164566666,1,0.314216379981905,-0.00737834905610787,0.0723209148735599,0.0170752567856194,0.066798377499546,0.0975721243587188,0.123059572284737,0.241293325068424,0.0733423884530938,0.0447179578938993,0.0114916189981058,0.109376790212225,0.0423902877553246,0.149049758700779,0.225757740983309,0.0966797779688483,0.0951781590346465,0.183755865505704,0.144529400038878,0.184185135077471,0.0970154591879541,0.206013237186074,0.119013009811729,0.117559875416174,0.155721165253324,0.159305310561817,0.0550485453504626,0.0369581229227354
"Phytophthora capsici",0.0645608325323009,-0.0956247445130736,0.0911995408811034,0.101782610748107,0.314216379981905,1,0.0193863531278196,-0.0258834462199891,0.0540607965605662,0.130582426704756,0.0903253349648765,0.0439177156361194,0.34425494291832,0.0140974155803168,0.0831870585861026,-0.0224689967967634,0.121563230579232,-0.0320548353535568,-0.0368735223501973,0.373446593105672,0.0925832467366215,0.115213487607067,0.367349662370741,0.0416347370280668,0.264158649985951,-0.0131287967444446,0.137948943224646,0.111362924706109,0.0306580188829962,0.0723390553472035,0.177250691657093,0.00266702068075838,0.0178205004255796
"Trichophyton mentagrophytes",0.0149975128998351,0.185382158967857,-0.0201465214301867,-0.068967153580342,-0.00737834905610787,0.0193863531278196,1,0.0999296438221071,0.0618835459925942,0.0435460008398215,-0.104780406474417,0.000425023051800741,0.0964328201571996,0.0224297474083344,-0.0457404209538137,-0.00714532642648542,0.00994679275395272,0.0361048610078971,-0.0524275767357496,0.00314898008279065,-0.00837261192517632,0.0138176400027128,0.104968572660121,-0.0507477688763481,0.0478900670805855,0.0178839920833324,-0.0105051895153834,-0.0646645630588632,0.00517098324046991,-0.0478629388268185,0.0505450903117296,0.0688551773839417,-0.0227580899812844
"Aspergillus kawachii",-0.0305958465324175,0.179528805319941,0.0503981524752161,-0.0484632235910263,0.0723209148735599,-0.0258834462199891,0.0999296438221071,1,0.155953858056153,0.128346695784875,0.0616053370922594,0.0587142403336528,0.0333879127962695,0.142920092656592,0.100081529060523,0.104682612830139,0.140746204260496,0.0613714074389547,0.155981481050111,-0.0128479492297617,-0.0229138506845246,0.0687087342876185,0.0479275024216502,0.110278701579108,0.0712405672113825,0.0267618574278334,0.0241133482758614,0.0796000272931672,0.0665308055133022,0.119650565003604,0.097281546953627,0.205717135182191,0.0922397321311696
"Pneumocystis murina",0.0485193766026232,0.259047901363648,0.0951619975217639,0.365256581539058,0.0170752567856194,0.0540607965605662,0.0618835459925942,0.155953858056153,1,0.253840595947542,0.126828997794489,0.320455136238049,0.0824197165509765,0.380860687140527,0.241755412406146,0.190581795911014,0.294821822412596,0.104083152632915,0.24743321574321,0.00277223542789151,0.0918988561400659,0.135296393694454,0.076138412638468,0.222995359130873,0.0938695712313527,0.333518256222234,0.142642460953146,0.210773544840262,0.166480032801275,0.336696961944791,0.0691665338770253,0.438267452836315,0.157211734989943
"Debaryomyces hansenii",-0.0070779593039088,0.13223057119198,0.0396214742804159,0.137594874161802,0.066798377499546,0.130582426704756,0.0435460008398215,0.128346695784875,0.253840595947542,1,0.0489955640357689,0.102366156802544,0.0622522923477504,0.340061195238703,0.20805783347911,0.167614307144193,0.299487882060535,0.0380007054170546,0.212811709510824,0.0621522723726152,0.116785936845178,0.0943494692159254,0.123478287399112,0.0681546252745035,0.111952572556226,0.203084457716308,0.0597310963380774,0.102348923352582,0.196258857137792,0.247383741724182,0.133344478730398,0.274956189725442,0.201212773119776
"Trichoderma atroviride",-0.028684830090758,-0.000871031333339243,0.0843790526178868,0.0548015050821155,0.0975721243587188,0.0903253349648765,-0.104780406474417,0.0616053370922594,0.126828997794489,0.0489955640357689,1,0.300322426304841,0.158029705437875,0.136744910514899,0.105118149110983,0.154273225629768,0.174351514142045,0.0984382495185044,0.149902443418729,0.180648319913849,0.004910749900382,0.27987019666541,0.027973476153832,0.203864498082985,0.146563276961124,0.13326342379589,0.271280435025049,0.206294332070853,0.0393988411947893,0.0874036467711709,0.0255551861037375,0.0897776575742353,0.0239728420618215
"Pseudocercospora musae",-0.0867835723993518,0.131478648559451,0.139582740246352,0.170526925101076,0.123059572284737,0.0439177156361194,0.000425023051800741,0.0587142403336528,0.320455136238049,0.102366156802544,0.300322426304841,1,0.12258190063102,0.224480156898606,0.184865320382409,0.165499127917344,0.225064280149931,0.167066382383456,0.220493870272113,-0.0156422418244699,-0.0152323495768219,0.33877396372029,0.129953117182718,0.252406921332805,0.0506173223795107,0.303676270054757,0.290030758409913,0.182086529646997,0.0835301609080626,0.257814266699182,0.0243233654866357,0.204673893034285,0.128685427901821
"Cordyceps sp. RAO-2017",-0.0850881802239565,-0.164696989155501,0.0746941835663388,0.028639066623157,0.241293325068424,0.34425494291832,0.0964328201571996,0.0333879127962695,0.0824197165509765,0.0622522923477504,0.158029705437875,0.12258190063102,1,-0.0917007951505567,-0.02547157501158,0.066837626887975,0.0843966158946418,0.0735706285942102,-0.103313831637027,0.468223559074349,0.101792835378706,0.160669474179819,0.309106373469887,-0.0234255769546721,0.401051364132697,-0.0390264667449043,0.144434327465646,0.073276505551088,0.0209734796582417,-0.00506238776870319,0.168031043297806,-0.00560643706461575,-0.00235764314843587
"Rhizophagus clarus",0.0483808493493445,0.46964989504293,0.0617527696689632,0.385021287227396,0.0733423884530938,0.0140974155803168,0.0224297474083344,0.142920092656592,0.380860687140527,0.340061195238703,0.136744910514899,0.224480156898606,-0.0917007951505567,1,0.266741028865823,0.230395353070306,0.381410425948628,0.0580596166052124,0.480941597775813,-0.138457041400065,0.0679488133553465,0.066731587573858,0.0131814865747096,0.307766287207812,-0.0371166046970221,0.437473972027802,0.220186224330457,0.214648679837338,0.284645511438702,0.430122627540414,0.0984100493276584,0.613338855183568,0.335702534162325
"Pichia kudriavzevii",0.0339644500313439,0.145095547729957,0.185661192435175,0.286512083719935,0.0447179578938993,0.0831870585861026,-0.0457404209538137,0.100081529060523,0.241755412406146,0.20805783347911,0.105118149110983,0.184865320382409,-0.02547157501158,0.266741028865823,1,0.0594138854194088,0.320514422604185,0.160098461543536,0.232125377059021,0.00795735999213363,0.0630714171894593,0.168217477892844,0.0762500590080748,0.143896957162302,0.00921523692592358,0.222180439580782,0.177311297330403,0.151335128553085,0.241337356945359,0.278730892463891,0.0393397197420507,0.206544505693738,0.264917086697653
"Paracoccidioides brasiliensis",-0.0106597133681479,0.087744605218973,0.0823892075725758,0.117163670980458,0.0114916189981058,-0.0224689967967634,-0.00714532642648542,0.104682612830139,0.190581795911014,0.167614307144193,0.154273225629768,0.165499127917344,0.066837626887975,0.230395353070306,0.0594138854194088,1,0.0953437320849939,0.111793101301558,0.17299262775274,-0.0132086148284767,-0.0144162756329531,0.119642484247163,0.012645682948635,0.0534831049317145,0.0166154782354514,0.154074917270164,0.0655940149630048,0.153283745249206,0.105913279053463,0.170717729901128,0.0343147260860629,0.224990728774976,0.100239763464715
"Albugo candida",0.000959507370701197,0.286457662299004,0.107614937937935,0.259333943650329,0.109376790212225,0.121563230579232,0.00994679275395272,0.140746204260496,0.294821822412596,0.299487882060535,0.174351514142045,0.225064280149931,0.0843966158946418,0.381410425948628,0.320514422604185,0.0953437320849939,1,0.0700761961735557,0.28687580021649,0.0737341402270981,0.119151454608309,0.136140832742565,0.114508730206012,0.248379158987028,0.036656578776759,0.312099881447882,0.22385076491987,0.151330016237785,0.260872997925596,0.352856166039755,0.14520636953258,0.286255725844671,0.107678512052386
"Lipomyces starkeyi",-0.0142095566901139,-0.03823306839309,0.142578474555203,0.0348989317940867,0.0423902877553246,-0.0320548353535568,0.0361048610078971,0.0613714074389547,0.104083152632915,0.0380007054170546,0.0984382495185044,0.167066382383456,0.0735706285942102,0.0580596166052124,0.160098461543536,0.111793101301558,0.0700761961735557,1,0.0435963818825318,0.0189337483104107,0.0518823730460597,0.0983557928201242,0.046061672250703,0.131914102383596,0.0750715054181266,0.00127300773794272,0.00633304549074207,0.0736290903933617,0.0716367716470993,0.141346324111307,-0.0101451011135571,0.150358593874168,0.276765042317808
"Naumovozyma dairenensis",0.0710666660344986,0.277372006074585,0.112422080996803,0.262911327509554,0.149049758700779,-0.0368735223501973,-0.0524275767357496,0.155981481050111,0.24743321574321,0.212811709510824,0.149902443418729,0.220493870272113,-0.103313831637027,0.480941597775813,0.232125377059021,0.17299262775274,0.28687580021649,0.0435963818825318,1,-0.102455292493493,0.036830727323738,0.125104251034471,-0.0623891704670615,0.355431701013661,-0.0852366847377393,0.450148473592521,0.314869931773266,0.286245336300675,0.254040553441114,0.377303917455898,0.115284812651166,0.352805620083648,0.209787032900841
"Phytopythium vexans",-0.00960814309370524,-0.168264643124317,0.114259958346999,0.018197080167082,0.225757740983309,0.373446593105672,0.00314898008279065,-0.0128479492297617,0.00277223542789151,0.0621522723726152,0.180648319913849,-0.0156422418244699,0.468223559074349,-0.138457041400065,0.00795735999213363,-0.0132086148284767,0.0737341402270981,0.0189337483104107,-0.102455292493493,1,0.113884697912671,0.162586757330555,0.316989728575225,-0.00302108974360296,0.378453528744714,-0.118387658211213,0.203881978903041,0.0786102170858112,0.0775323431245853,-0.0150602624473024,0.186227257669555,-0.0860692500212841,-0.0611581744169435
"Aspergillus ochraceoroseus",0.0956082531733976,0.041367577325315,0.104517369606585,0.0947325630365999,0.0966797779688483,0.0925832467366215,-0.00837261192517632,-0.0229138506845246,0.0918988561400659,0.116785936845178,0.004910749900382,-0.0152323495768219,0.101792835378706,0.0679488133553465,0.0630714171894593,-0.0144162756329531,0.119151454608309,0.0518823730460597,0.036830727323738,0.113884697912671,1,0.0260784563116583,0.0965604631262921,0.00324050701799267,0.0553633650248782,0.0584472455442977,0.0232551389591202,0.00895640534970813,0.0804415803568355,0.0451219132592639,0.162624934781905,0.171979482299742,-0.0349728954525337
"Colletotrichum fioriniae",-0.025649186739891,-0.0113351161845801,0.106779981410137,0.0692054534386608,0.0951781590346465,0.115213487607067,0.0138176400027128,0.0687087342876185,0.135296393694454,0.0943494692159254,0.27987019666541,0.33877396372029,0.160669474179819,0.066731587573858,0.168217477892844,0.119642484247163,0.136140832742565,0.0983557928201242,0.125104251034471,0.162586757330555,0.0260784563116583,1,0.0707206777280953,0.193850874174995,0.197485235612801,0.127869189044556,0.269378406363513,0.245295443381005,0.0761746935857553,0.114736228236843,0.0923888962985394,0.097203048176769,0.101154950360037
"Coniochaeta ligniaria",0.00534241071640235,-0.0126412302869225,0.0976358633865667,0.103629393421728,0.183755865505704,0.367349662370741,0.104968572660121,0.0479275024216502,0.076138412638468,0.123478287399112,0.027973476153832,0.129953117182718,0.309106373469887,0.0131814865747096,0.0762500590080748,0.012645682948635,0.114508730206012,0.046061672250703,-0.0623891704670615,0.316989728575225,0.0965604631262921,0.0707206777280953,1,-0.0380139809454939,0.257220578470845,-0.00225077926733513,0.090235869447134,0.0768519104495519,0.0761752707826439,0.19398956634167,0.179144804475585,0.0843417821902189,0.0594260890107691
