"","Feature1","Feature2","rho","pvalue"
"34","Aspergillus rambellii","Rhizophagus irregularis",0.0696180667573553,0.110755697984946
"67","Aspergillus rambellii","Moniliophthora perniciosa",0.233281419970311,6.21994384886193e-08
"68","Rhizophagus irregularis","Moniliophthora perniciosa",0.0169552822894762,0.698040519671714
"100","Aspergillus rambellii","Erysiphe pulchra",0.237569992853066,3.49219910766863e-08
"101","Rhizophagus irregularis","Erysiphe pulchra",0.244265806588331,1.38672624494518e-08
"102","Moniliophthora perniciosa","Erysiphe pulchra",0.204390984102142,2.28447534045273e-06
"133","Aspergillus rambellii","Sphaerulina musiva",0.0874071924092013,0.04509963281299
"134","Rhizophagus irregularis","Sphaerulina musiva",-0.0261409584890305,0.549699353355748
"135","Moniliophthora perniciosa","Sphaerulina musiva",0.104886610701931,0.0161079704381339
"136","Erysiphe pulchra","Sphaerulina musiva",0.209022164566666,1.32496004789928e-06
"166","Aspergillus rambellii","Phytophthora capsici",0.0645608325323009,0.139219695495447
"167","Rhizophagus irregularis","Phytophthora capsici",-0.0956247445130736,0.0283121571014058
"168","Moniliophthora perniciosa","Phytophthora capsici",0.0911995408811034,0.0365265981414251
"169","Erysiphe pulchra","Phytophthora capsici",0.101782610748107,0.0195504436131833
"170","Sphaerulina musiva","Phytophthora capsici",0.314216379981905,1.62092561595273e-13
"199","Aspergillus rambellii","Trichophyton mentagrophytes",0.0149975128998351,0.731474852934301
"200","Rhizophagus irregularis","Trichophyton mentagrophytes",0.185382158967857,1.87979678321071e-05
"201","Moniliophthora perniciosa","Trichophyton mentagrophytes",-0.0201465214301867,0.644797333761342
"202","Erysiphe pulchra","Trichophyton mentagrophytes",-0.068967153580342,0.114139200923605
"203","Sphaerulina musiva","Trichophyton mentagrophytes",-0.00737834905610787,0.865938331884881
"204","Phytophthora capsici","Trichophyton mentagrophytes",0.0193863531278196,0.65732896795867
"232","Aspergillus rambellii","Aspergillus kawachii",-0.0305958465324175,0.4838019065131
"233","Rhizophagus irregularis","Aspergillus kawachii",0.179528805319941,3.45288741794292e-05
"234","Moniliophthora perniciosa","Aspergillus kawachii",0.0503981524752161,0.248561873535769
