"","Feature1","Feature2","rho","pvalue"
"431","Rhizophagus irregularis","Rhizophagus clarus",0.46964989504293,0
"608","Rhizophagus clarus","Naumovozyma dairenensis",0.480941597775813,0
"640","Cordyceps sp. RAO-2017","Phytopythium vexans",0.468223559074349,0
"805","Cordyceps sp. RAO-2017","Colletotrichum salicis",0.401051364132697,0
"839","Rhizophagus clarus","[Candida] arabinofermentans",0.437473972027802,0
"844","Naumovozyma dairenensis","[Candida] arabinofermentans",0.450148473592521,0
"884","[Candida] arabinofermentans","Baudoinia panamericana",0.407835818818721,0
"971","Rhizophagus clarus","Tuber magnatum",0.430122627540414,0
"1032","Pneumocystis murina","Edhazardia aedis",0.438267452836315,0
"1037","Rhizophagus clarus","Edhazardia aedis",0.613338855183568,0
