"","Bacteroidetes","Firmicutes","Actinobacteria","Proteobacteria","Verrucomicrobia","Cohort","Stage","SampleName"
"GF16",82.7787292675835,11.4775097127976,3.49494501184808,1.53457700542595,0.531583300033114,"2019_Thom","adenoma","GF16"
"VF70",77.6215739891167,16.1770851313172,0.787244383477021,3.42498887142637,1.45343713945693,"2019_Thom","adenoma","VF70"
"VF172",61.3185997823546,32.0655174824606,1.54444219517975,4.6681671236512,0.0188152191043059,"2019_Thom","adenoma","VF172"
"VF69",35.0234550147014,54.1712646674948,6.67456299821507,3.91991515376022,0.0258754290779263,"2019_Thom","adenoma","VF69"
"VF07",35.4666222725281,52.5491633015519,7.28892079020451,4.07840473344136,0.0593130230149588,"2019_Thom","adenoma","VF07"
"VF30",56.0504591881092,30.7423149836018,3.90067547773219,9.21686631198894,0.0115325901894076,"2019_Thom","adenoma","VF30"
"VF02",44.3685087992818,36.6860179693528,12.7398321018289,5.5225206678138,0.0780896327002248,"2019_Thom","adenoma","VF02"
"VF37",24.4507109461279,22.155381294532,6.86090114610964,17.309499088532,28.819412681138,"2019_Thom","adenoma","VF37"
"VF264",75.8942643375885,21.453289857533,0.966150598362033,1.4568078010416,0.031820482022454,"2019_Thom","CRC","VF264"
"SBJ53C",14.7581940773266,81.3751933340014,1.67679100424158,1.58505893525788,0.265565755950614,"2019_Thom","CRC","SBJ53C"
"SBJ12C",23.420407584764,71.7437881871399,1.73561283162197,2.68026501753658,0.0267749322625646,"2019_Thom","CRC","SBJ12C"
"SBJ04C",20.6653553727418,72.0912386693867,5.58376575541842,1.26258498467421,0.108468616900645,"2019_Thom","CRC","SBJ04C"
"SBJ55C",38.6606589617398,53.6753241584198,5.48191882063876,1.77533478857859,0.03534650632216,"2019_Thom","CRC","SBJ55C"
"VF100",57.684189136511,31.6898453413644,3.50348793667557,3.33425181769283,3.41185453050858,"2019_Thom","CRC","VF100"
"SBJ02C",24.6148233180742,64.4158934596789,7.29112152750319,2.95092270859891,0.432905989553561,"2019_Thom","CRC","SBJ02C"
"VF29",66.8681860426487,22.1553594219526,1.53531280704572,3.27052803319367,5.90844618651132,"2019_Thom","CRC","VF29"
"VF270",59.5527709039847,29.161755685275,2.54699654765701,8.4007105405219,0.0503463794817752,"2019_Thom","CRC","VF270"
"SBJ33C",9.08406882778398,78.2587980804637,6.57364340184455,5.65014581579058,0.0313754154155841,"2019_Thom","CRC","SBJ33C"
"SBJ07C",67.3025955261181,19.9658816657599,6.71898078774233,2.10793600295126,3.58177640405675,"2019_Thom","CRC","SBJ07C"
"SBJ01C",39.5133167988752,46.6895254747311,3.11340723856212,10.3778428206205,0.0213984551823511,"2019_Thom","CRC","SBJ01C"
"GF15",48.8389712860372,37.0675125110156,1.4325563315272,8.75108846682575,3.72096253887602,"2019_Thom","CRC","GF15"
"SBJ10C",44.4443522672595,41.4276278661075,8.26144459932737,2.86029466747914,2.33933194673593,"2019_Thom","CRC","SBJ10C"
"VF77",67.023071511349,17.946146309306,1.61898306634804,2.39397474265622,10.7877237096372,"2019_Thom","CRC","VF77"
"SBJ35C",47.5252147171604,37.3021590346206,14.099302826254,0.935268533447255,0.0116651563328809,"2019_Thom","CRC","SBJ35C"
"SBJ64C",34.9395108031682,49.8228530393185,12.6096672375144,2.3300287300824,0.0298008488271313,"2019_Thom","CRC","SBJ64C"
"SBJ49C",24.2611196470078,59.4756989586206,6.05764137852544,9.52862151833905,0.0358069924315049,"2019_Thom","CRC","SBJ49C"
"SBJ42C",36.5867499334438,42.6319863469535,4.7821264102874,9.33296019455641,5.99309004916362,"2019_Thom","CRC","SBJ42C"
"SBJ25C",23.9906285963526,54.7041763386571,6.74508071911755,9.26671472916989,4.63582847805298,"2019_Thom","CRC","SBJ25C"
"SBJ36C",19.6044599550682,57.3131327746906,9.68589072972279,12.9723476814259,0.0224697338044704,"2019_Thom","CRC","SBJ36C"
"SBJ40C",14.1355068779246,60.1991273813552,15.4117893326349,9.36432767489167,0.395212173634514,"2019_Thom","CRC","SBJ40C"
"VF300",48.1673736123871,22.9107448058858,4.2724472234683,24.4510157302584,0.0241816573586641,"2019_Thom","CRC","VF300"
"SBJ50C",29.5261304700826,37.857727809111,30.1221680349325,2.12766114970607,0.0234324526698235,"2019_Thom","CRC","SBJ50C"
"SBJ06C",13.7470823534445,51.838699286427,13.7925882025787,19.3020800696586,1.1568916856353,"2019_Thom","CRC","SBJ06C"
"SBJ61C",30.6046823865067,33.7406660435831,1.58885162604567,33.9316710697265,0.00695615941295107,"2019_Thom","CRC","SBJ61C"
"SBJ27C",25.4420308618131,35.8382607894158,32.427097804672,2.48770081493281,3.44436305290241,"2019_Thom","CRC","SBJ27C"
"VF40",69.9123882292023,27.21465524754,0.999585086978174,1.61988134502706,0.0333788622161001,"2019_Thom","CTRL","VF40"
"VF18",85.347832481913,9.62432824718061,4.23011299732268,0.674398865417164,0.0590942134092719,"2019_Thom","CTRL","VF18"
"SBJ34H",42.684684300947,52.0462800716181,1.87896052825485,1.4647987587754,1.6504781642488,"2019_Thom","CTRL","SBJ34H"
"SBJ60H",37.6751555778718,56.6325090412069,3.53135786184955,1.85944027625238,0.0166531619029223,"2019_Thom","CTRL","SBJ60H"
"VF00TL",52.0525084276664,41.6303381859495,3.81557653415396,2.33774355903215,0.0293010410832389,"2019_Thom","CTRL","VF00TL"
"SBJ46H",22.8261218925367,67.8377031361398,5.84871585735014,3.26089542694279,0.0176045755617185,"2019_Thom","CTRL","SBJ46H"
"VF82",73.9221959214425,16.7296948297415,2.47704616630214,4.45080411041829,1.56912575833394,"2019_Thom","CTRL","VF82"
"SBJ63H",57.7540398345851,32.786040951961,6.35680848502229,3.02031787720229,0.00896623116964634,"2019_Thom","CTRL","SBJ63H"
"VF261",69.7724091384691,19.8942921067427,3.5391525182786,5.49009965024442,0.0134984394830636,"2019_Thom","CTRL","VF261"
"VF28",64.6736373468265,22.3780861882704,1.87637001001318,3.00419998177397,7.8201276370909,"2019_Thom","CTRL","VF28"
"SBJ45H",43.7475643130984,42.720295930236,11.0822032451409,1.51670247406929,0.81880628432419,"2019_Thom","CTRL","SBJ45H"
"VF263",52.3636421165659,33.1063137658881,13.2175457297582,1.17567145502165,0.0189243543589297,"2019_Thom","CTRL","VF263"
"VF43",71.2438261808577,13.9221395942931,0.44075487124335,14.1285517031197,0.00996345937903106,"2019_Thom","CTRL","VF43"
"SBJ65H",22.9464724007926,60.2203582112247,15.4421996974346,1.12655650734647,0.0154073689404365,"2019_Thom","CTRL","SBJ65H"
"VF189",45.8635795346978,34.7866527845907,15.4732651895794,3.57392188587242,0.0303437162709427,"2019_Thom","CTRL","VF189"
"SBJ57H",31.3406643940745,46.1225958460116,19.5406001287924,1.60811167179558,1.04565951394601,"2019_Thom","CTRL","SBJ57H"
"SBJ67H",28.3054273323638,48.8791203402844,18.7649235967707,3.65377131354962,0.031841144344659,"2019_Thom","CTRL","SBJ67H"
"SBJ03H",35.6401619564641,31.5479906846937,30.0904995738809,2.46142295673565,0.081040667055845,"2019_Thom","CTRL","SBJ03H"
"VF31",29.6094178109522,30.4689220750892,30.6557407574895,2.78247580640871,6.20249730000053,"2019_Thom","CTRL","VF31"
"GF06",3.99557200678036,23.8516940093374,0.799770418461087,62.612244628534,8.66226581055212,"2019_Thom","CTRL","GF06"
