"","Bacteroidetes","Firmicutes","Actinobacteria","Proteobacteria","Verrucomicrobia","Cohort","Stage","SampleName"
"HmFeces_10989",84.3185395058396,13.9030838126267,0.563809470196357,0.736650502855208,0.39856363623265,"2019_Yachida","adenoma","HmFeces_10989"
"HmFeces_10061",87.2054044328196,10.8591553556823,0.960520316780099,0.858746668803869,0.00908664851813853,"2019_Yachida","adenoma","HmFeces_10061"
"HmFeces_11512",51.8099655788612,46.1191837606172,0.526143807517176,1.18454493873999,0.23039183869609,"2019_Yachida","adenoma","HmFeces_11512"
"HmFeces_10334",72.8224058160554,24.9862264867517,0.979914773684504,1.07877197214545,0.0352848436091246,"2019_Yachida","adenoma","HmFeces_10334"
"HmFeces_10485",85.6000944617045,11.8406953931487,1.28238557825931,0.745490060667237,0.0102979362168352,"2019_Yachida","adenoma","HmFeces_10485"
"HmFeces_11891",65.5953537188985,31.2520642080322,0.930078942658068,1.91648515321704,0.0260397153822789,"2019_Yachida","adenoma","HmFeces_11891"
"HmFeces_10785",79.8152699208491,16.9325811454907,0.693137030034948,0.759443825281327,0.00929434408732925,"2019_Yachida","adenoma","HmFeces_10785"
"HmFeces_10316",63.0413148597339,33.6847557592048,1.80843199307726,1.32993847485143,0.00896508151343528,"2019_Yachida","adenoma","HmFeces_10316"
"HmFeces_10294",56.1950732913443,40.0036388331012,2.19723127108041,1.47456072655296,0.0138352579744103,"2019_Yachida","adenoma","HmFeces_10294"
"HmFeces_10809",79.1586850521953,16.9936458516563,1.4343223569843,1.68948945591038,0.376254219428288,"2019_Yachida","adenoma","HmFeces_10809"
"HmFeces_10756",70.1685195193875,25.9094149398803,2.36904826554194,1.35202650109516,0.014050476552513,"2019_Yachida","adenoma","HmFeces_10756"
"HmFeces_11110",76.0068703560213,19.9600443651024,2.3209799384252,1.50108940890224,0.0204998923924666,"2019_Yachida","adenoma","HmFeces_11110"
"HmFeces_11417",64.8724912535369,31.069889629379,2.63807128628786,1.29467685419585,0.00864708749200992,"2019_Yachida","adenoma","HmFeces_11417"
"HmFeces_10299",66.6244690393043,29.1023239998196,1.16905104036131,2.94499579414586,0.0222784035648826,"2019_Yachida","adenoma","HmFeces_10299"
"HmFeces_11508",90.5162416119852,5.14244737013569,0.82510226100707,2.65386217821218,0.00386505676328044,"2019_Yachida","adenoma","HmFeces_11508"
"HmFeces_10630",80.7107967242705,14.7332396090876,1.84119715004775,2.50845891096781,0.0145121934359773,"2019_Yachida","adenoma","HmFeces_10630"
"HmFeces_10376",75.7885719058458,19.6149589085709,3.35723066300231,0.95601766480174,0.0110189365816282,"2019_Yachida","adenoma","HmFeces_10376"
"HmFeces_11462",72.8768184646966,22.4941302426588,1.01502873129467,2.51236376708703,0.90446696470336,"2019_Yachida","adenoma","HmFeces_11462"
"HmFeces_10759",71.5515108079659,23.7855944396194,2.22802408159337,2.09638016974511,0.137621273189921,"2019_Yachida","adenoma","HmFeces_10759"
"HmFeces_10853",78.176121362106,17.0963397770676,0.457079498208113,2.32284488960541,0.00708442314291526,"2019_Yachida","adenoma","HmFeces_10853"
"HmFeces_11407",62.0640342178651,33.1129255648296,3.56826014252245,1.08949126870825,0.0222935025642479,"2019_Yachida","adenoma","HmFeces_11407"
"HmFeces_11237",63.4893276409494,31.5451882996795,2.18349353173879,2.62565944350172,0.0139145308161858,"2019_Yachida","adenoma","HmFeces_11237"
"HmFeces_11423",71.6362582333375,23.200911318834,1.72008227065294,2.88560098092754,0.183929251081898,"2019_Yachida","adenoma","HmFeces_11423"
"HmFeces_11253",54.1123002113926,40.6501956248745,3.14881712347421,1.96452916279866,0.0147864606563199,"2019_Yachida","adenoma","HmFeces_11253"
"HmFeces_10860",70.7817131929183,23.955048052257,1.60182647063135,2.72672456466561,0.0196905441412104,"2019_Yachida","adenoma","HmFeces_10860"
"HmFeces_10345",60.2363508151101,34.3992675890046,2.18510561501393,2.82832904558823,0.0296812269117465,"2019_Yachida","adenoma","HmFeces_10345"
"HmFeces_11438",61.2081954171041,33.3609529101152,0.99147095197197,2.71635833014025,1.20688911850034,"2019_Yachida","adenoma","HmFeces_11438"
"HmFeces_10545",58.4781544658084,35.8867561055592,3.13261848252072,1.22800761484168,0.0266550698889317,"2019_Yachida","adenoma","HmFeces_10545"
"HmFeces_10581",77.1472169443407,17.0720354294434,2.0738009743788,3.61345981820402,0.00742233230280086,"2019_Yachida","adenoma","HmFeces_10581"
"HmFeces_10138",74.8260633198168,18.8603286745801,3.34579324030269,1.61742515892394,0.0273494612856987,"2019_Yachida","adenoma","HmFeces_10138"
"HmFeces_10576",58.0288410969065,35.6563990949214,1.38933400725654,3.84131939124319,0.0167158402583267,"2019_Yachida","adenoma","HmFeces_10576"
"HmFeces_10209",80.377903686054,13.2151870894819,2.10376020911889,1.55316938864769,2.61139875274562,"2019_Yachida","adenoma","HmFeces_10209"
"HmFeces_10565",53.6887611688492,39.8110371883316,2.26574895538786,3.80645824505161,0.2616472567041,"2019_Yachida","adenoma","HmFeces_10565"
"HmFeces_10610",71.2164146947088,22.1107519687098,1.35160195761996,5.14934724863203,0.0141367853073947,"2019_Yachida","adenoma","HmFeces_10610"
"HmFeces_10614",61.42587512072,31.8740637371204,4.21699020745361,2.23589188015534,0.0257837467402785,"2019_Yachida","adenoma","HmFeces_10614"
"HmFeces_10934",59.6629064549575,33.5610116078842,1.90454445355638,4.05565155361488,0.0630179598183197,"2019_Yachida","adenoma","HmFeces_10934"
"HmFeces_10182",78.0300915092213,15.1766904946899,1.85112501301635,2.32996929858188,2.11129464321473,"2019_Yachida","adenoma","HmFeces_10182"
"HmFeces_10338",73.7792266044502,19.2332558900115,5.94776574414415,0.868061982746754,0.0781932791414161,"2019_Yachida","adenoma","HmFeces_10338"
"HmFeces_10261",77.0026190877292,15.9872122093722,3.85971512168764,1.38680710530354,1.62802130228004,"2019_Yachida","adenoma","HmFeces_10261"
"HmFeces_10466",51.1783607901184,41.763687409644,2.2042285113457,4.58237816314676,0.0185652118005344,"2019_Yachida","adenoma","HmFeces_10466"
"HmFeces_10548",50.3178072145052,42.5669497094623,2.1638484276524,3.92329628413617,0.595248283563549,"2019_Yachida","adenoma","HmFeces_10548"
"HmFeces_10749",66.9961540794866,25.7210878954973,2.3944110529342,2.67581394318417,0.0182093020929761,"2019_Yachida","adenoma","HmFeces_10749"
"HmFeces_10911",48.761098802845,43.9371819677454,1.44356622491835,5.6216004224089,0.00852733469518826,"2019_Yachida","adenoma","HmFeces_10911"
"HmFeces_10992",68.0296812884668,24.3074324817891,2.03302531077403,4.75948909596544,0.189362736515182,"2019_Yachida","adenoma","HmFeces_10992"
"HmFeces_10831",65.071928476592,27.258938825759,0.541522240026965,1.94835801133996,4.9525450754573,"2019_Yachida","adenoma","HmFeces_10831"
"HmFeces_10242",76.0809387388717,16.1534637930182,2.69279266056831,4.95639495989796,0.00854666894794073,"2019_Yachida","adenoma","HmFeces_10242"
"HmFeces_11836",59.1589718862235,32.7843757864975,5.3310496872321,2.47899709038258,0.0216964817652754,"2019_Yachida","adenoma","HmFeces_11836"
"HmFeces_10793",72.2862216986038,19.2929960122609,1.85227026439115,5.70000579544002,0.688236288822502,"2019_Yachida","adenoma","HmFeces_10793"
"HmFeces_10081",35.7281443186142,55.8273902678766,5.19685434138104,3.04460289901622,0.0128090188536122,"2019_Yachida","adenoma","HmFeces_10081"
"HmFeces_10177",50.0312278071795,41.5219734788346,6.79777246780548,1.36751945201276,0.0134290835886638,"2019_Yachida","adenoma","HmFeces_10177"
"HmFeces_10728",29.9637389080848,61.4552728988789,4.50283706982288,3.42785690880775,0.0825396101693516,"2019_Yachida","adenoma","HmFeces_10728"
"HmFeces_10980",65.0263701362938,26.3477792931502,3.56344689328181,3.59443786380975,1.19943274818263,"2019_Yachida","adenoma","HmFeces_10980"
"HmFeces_10568",54.55925760457,36.7046672419894,5.34544979545495,1.77665895326903,0.0127283789391151,"2019_Yachida","adenoma","HmFeces_10568"
"HmFeces_10033",53.9142568277343,37.3026264166632,4.39884017150935,2.62318145161787,0.0317050735923338,"2019_Yachida","adenoma","HmFeces_10033"
"HmFeces_10866",44.1937104607036,47.0171600695768,3.62395770083865,4.2542331801231,0.0407632919775156,"2019_Yachida","adenoma","HmFeces_10866"
"HmFeces_11445",59.8167594892018,31.1269138858953,5.15624621493527,2.07655199913027,0.0153477171590915,"2019_Yachida","adenoma","HmFeces_11445"
"HmFeces_10471",24.0249417239513,66.6855852487374,7.90091239393069,1.16600561170864,0.0109939777433028,"2019_Yachida","adenoma","HmFeces_10471"
"HmFeces_10134",70.4673409402774,20.1785382442768,4.34988113722651,1.90183719389503,0.00801990413035318,"2019_Yachida","adenoma","HmFeces_10134"
"HmFeces_11498",77.1012115555951,13.349315299875,1.67302788838299,3.19799800438286,0.0278642747576197,"2019_Yachida","adenoma","HmFeces_11498"
"HmFeces_10047",52.0803845991828,38.0794087085949,3.95713979808192,5.13564177092548,0.0478642739795274,"2019_Yachida","adenoma","HmFeces_10047"
"HmFeces_10165",54.8721188580529,35.2543623319099,2.1140491782872,7.4927243260305,0.0401307400617098,"2019_Yachida","adenoma","HmFeces_10165"
"HmFeces_11457",53.7499143913911,35.6837762481933,5.15927951794733,4.56748155505613,0.0309279656504611,"2019_Yachida","adenoma","HmFeces_11457"
"HmFeces_10825",38.4433230321304,50.6763191866304,4.6131081471593,5.78071901401667,0.0444611188988672,"2019_Yachida","adenoma","HmFeces_10825"
"HmFeces_10811",37.0365019590909,51.9361573646172,5.27073960515674,5.07165532932182,0.0276097012956498,"2019_Yachida","adenoma","HmFeces_10811"
"HmFeces_10648",66.7692644987274,21.6911728868099,0.110937682505485,8.64266454288356,0.00451480625581132,"2019_Yachida","adenoma","HmFeces_10648"
"HmFeces_10288",66.744779832658,21.3903410891389,3.73850282162097,7.96203453367404,0.0106055191849999,"2019_Yachida","adenoma","HmFeces_10288"
"HmFeces_11241",60.915288967922,27.1208466284372,8.88362701458028,2.26335974874025,0.00762824795018395,"2019_Yachida","adenoma","HmFeces_11241"
"HmFeces_11893",64.8655504765628,22.9881445886625,1.90319274973376,7.56742582052849,0.212202601401551,"2019_Yachida","adenoma","HmFeces_11893"
"HmFeces_10154",76.6395981863575,10.922957431329,1.47535980034652,3.13561000408528,0.125362414310376,"2019_Yachida","adenoma","HmFeces_10154"
"HmFeces_10055",57.5122942956029,29.8203480145615,5.29545018470707,7.13580723426441,0.00750645387810535,"2019_Yachida","adenoma","HmFeces_10055"
"HmFeces_11029",60.5950688081658,26.387485394444,1.43698841101495,9.14233221185451,0.00850979647889752,"2019_Yachida","adenoma","HmFeces_11029"
"HmFeces_11433",56.3474461042723,30.0807680620282,2.2582367204298,3.94756480213568,0.00194649581953012,"2019_Yachida","adenoma","HmFeces_11433"
"HmFeces_10336",53.3734529484058,33.005278951112,8.7479615852318,4.75365658327049,0.00366025046200829,"2019_Yachida","adenoma","HmFeces_10336"
"HmFeces_10634",59.6049928297431,26.1847318463212,4.6891152934165,8.11852151867079,0.0284227932113526,"2019_Yachida","adenoma","HmFeces_10634"
"HmFeces_11453",48.81083360806,36.9515230450864,4.93142243914698,8.89445584073771,0.108371105997323,"2019_Yachida","adenoma","HmFeces_11453"
"HmFeces_10935",40.2842569418888,44.7414043655017,3.14982813566517,10.9320019891776,0.0897369531479448,"2019_Yachida","adenoma","HmFeces_10935"
"HmFeces_10089",51.3591892499315,33.1507213163518,0.352577030954778,1.2472532360045,0.00249371240973899,"2019_Yachida","adenoma","HmFeces_10089"
"HmFeces_11667",64.1252596017163,20.348082671439,1.80057988302274,13.2029008163102,0.240942096547954,"2019_Yachida","adenoma","HmFeces_11667"
"HmFeces_10203",52.8251433746286,30.9267511155105,1.6592315351003,14.2714024426646,0.0365898984919184,"2019_Yachida","adenoma","HmFeces_10203"
"HmFeces_11121",58.0911075512357,24.2553679891832,5.02348254787974,12.4792682806471,0.0121331155998118,"2019_Yachida","adenoma","HmFeces_11121"
"HmFeces_11151",52.625823341253,29.7089188244008,5.4685280905221,4.56239599244384,6.95687948148897,"2019_Yachida","adenoma","HmFeces_11151"
"HmFeces_10517",59.503062591015,22.5623063607249,1.19390188459003,16.6895022737246,0.00455229309531315,"2019_Yachida","adenoma","HmFeces_10517"
"HmFeces_10366",44.0644675267385,36.1308290915915,1.36759757286587,16.8518419959606,0.616418325641776,"2019_Yachida","adenoma","HmFeces_10366"
"HmFeces_11502",38.3135159394841,41.3597624220217,5.98293100524144,14.0995728857441,0.0172628229460269,"2019_Yachida","adenoma","HmFeces_11502"
"HmFeces_10579",44.2151860758829,34.6467714186607,18.2374139663773,2.3228037107686,0.108381495893182,"2019_Yachida","adenoma","HmFeces_10579"
"HmFeces_10697",47.1754212585517,31.2278663438076,2.49584510746856,18.9394931928928,0.0124946047914108,"2019_Yachida","adenoma","HmFeces_10697"
"HmFeces_10161",47.6658263854101,29.7727644716024,17.4358071411921,3.93129491764169,0.716103145040894,"2019_Yachida","adenoma","HmFeces_10161"
"HmFeces_10572",51.1913145143065,22.3266168282175,1.40985747816973,24.9315222555784,0.0175674304963618,"2019_Yachida","adenoma","HmFeces_10572"
"HmFeces_10484",32.1352861129311,41.0177756468363,12.5294557513158,13.8453529157906,0.0567037447540954,"2019_Yachida","adenoma","HmFeces_10484"
"HmFeces_10111",45.7376360729669,25.691170202996,26.62660637208,1.85054331108137,0.00825866725394967,"2019_Yachida","adenoma","HmFeces_10111"
"HmFeces_10780",47.1259448353203,23.618739308675,0.905209281377432,28.2152676193893,0.00283192100968829,"2019_Yachida","adenoma","HmFeces_10780"
"HmFeces_10385",33.1539950099676,36.6717145196546,1.83615330416828,28.0724314664864,0.009239846580763,"2019_Yachida","adenoma","HmFeces_10385"
"HmFeces_10511",2.57497946104472,65.9645780758517,2.3250933845107,13.3132435256376,0.0134271488075041,"2019_Yachida","adenoma","HmFeces_10511"
"HmFeces_11510",27.232595022357,38.0578288568374,13.7047828867884,20.763389811036,0.023161590203347,"2019_Yachida","adenoma","HmFeces_11510"
"HmFeces_11461",50.577955196059,14.6052397044952,0.457859201215205,34.3040440111749,0.00263331408663953,"2019_Yachida","adenoma","HmFeces_11461"
"HmFeces_10327",50.6543806682225,14.1053912735222,1.37766565241795,33.8088966352545,0.00453753212608195,"2019_Yachida","adenoma","HmFeces_10327"
"HmFeces_10502",33.9245508777098,29.5244962525748,0.577939296979881,35.7223553365032,0.0188033941401457,"2019_Yachida","adenoma","HmFeces_10502"
"HmFeces_10193",49.5057340292816,12.5494186634287,4.28979794234844,33.207727894354,0.00977424840971256,"2019_Yachida","adenoma","HmFeces_10193"
