"","Bacteroidetes","Firmicutes","Actinobacteria","Proteobacteria","Verrucomicrobia","Cohort","Stage","SampleName"
"M2-PK084A",76.0733129084053,21.9462404233712,0.210158860156781,0.919130650224351,0.00387899456460885,"2021_JunY_1","CRC","M2-PK084A"
"M2-PK018A",77.8763642874473,19.9559769274884,0.414117688237489,0.975953718559275,0.005960787739415,"2021_JunY_1","CRC","M2-PK018A"
"MSC6A",77.9727328329472,19.5041551096494,1.39008305742799,0.821961493953077,0.0507635095956687,"2021_JunY_1","CRC","MSC6A"
"MSC54A",87.6563754932144,8.75687909763398,0.724203826163474,2.02585390098817,0.00358201016644378,"2021_JunY_1","CRC","MSC54A"
"MSC63A",87.9537546245961,8.42541297999815,1.56751627176931,1.3893393183639,0.0129498022008848,"2021_JunY_1","CRC","MSC63A"
"M115A",58.7939493053049,37.460396587627,1.43452381922078,2.20397484403193,0.0227917681842897,"2021_JunY_1","CRC","M115A"
"M2-PK013A",91.4366066899535,4.74808357494364,0.619243188431856,3.1682692635912,0.00772352383842191,"2021_JunY_1","CRC","M2-PK013A"
"MSC79A",49.3272938511011,46.0987903774432,1.00897704900118,2.87247570508688,0.0254551879575191,"2021_JunY_1","CRC","MSC79A"
"A10A",84.2800166703381,10.1136232656237,0.708629613541825,3.38215236660289,0.00409974466777163,"2021_JunY_1","CRC","A10A"
"M118A",74.7501392034367,19.25208686768,0.843739554809454,4.52217803754527,0.0105561784029666,"2021_JunY_1","CRC","M118A"
"M2-PK069B",32.4010158470047,60.8606967233456,4.12006286246971,2.06669413718569,0.0307965075061015,"2021_JunY_1","CRC","M2-PK069B"
"MSC76A",80.814955181571,12.0835616671931,0.917143233553061,5.34951538933896,0.0334749481149773,"2021_JunY_1","CRC","MSC76A"
"M2-PK056B",37.1759389391624,55.0880701023004,4.08928299843825,3.25774656315291,0.0403334438498623,"2021_JunY_1","CRC","M2-PK056B"
"M2-PK022A",47.0207479459868,44.7906286129442,6.20201368443916,1.53630596204116,0.115471353424265,"2021_JunY_1","CRC","M2-PK022A"
"M2-PK002A",43.6161579409106,46.7874164816648,1.70851183056314,3.29164024116444,0.0111182576717568,"2021_JunY_1","CRC","M2-PK002A"
"M2-PK012A",58.4304296189649,30.4113700132289,2.51795042607289,8.05319345643313,0.100798997209807,"2021_JunY_1","CRC","M2-PK012A"
"M2-PK059A",43.6106465710941,45.0361224089406,5.8028706821489,5.4228048141386,0.0148535496666233,"2021_JunY_1","CRC","M2-PK059A"
"M2-PK051A",25.1098800851043,62.2016375171475,11.52124386717,1.11623534167528,0.0038679304210341,"2021_JunY_1","CRC","M2-PK051A"
"MSC78A",77.68010490399,8.91857202805975,0.0661275336117582,11.562842494651,1.36530370364623,"2021_JunY_1","CRC","MSC78A"
"M2-PK041A",81.4842188353425,4.9877522303041,1.8777637248656,4.64446132188736,0.00490515214166265,"2021_JunY_1","CRC","M2-PK041A"
"M2-PK027A",3.26320141319216,81.1456347857245,12.2071752730961,3.10755273157382,0.0856442037231792,"2021_JunY_1","CRC","M2-PK027A"
"M123A",62.7252406807684,21.5256654491934,13.1892315815362,2.27858028587595,0.0100936963318529,"2021_JunY_1","CRC","M123A"
"M2-PK005A",69.0414435199742,14.4331208473284,1.03403318493185,15.3719663594773,0.0821644837206525,"2021_JunY_1","CRC","M2-PK005A"
"MSC81A",44.4794884544884,37.5737519897566,1.79061557996812,15.9872671393637,0.0871625859496485,"2021_JunY_1","CRC","MSC81A"
"M2-PK026A",50.9134045342798,30.3729272525743,4.60091344093081,2.66287097513865,8.98826323874808,"2021_JunY_1","CRC","M2-PK026A"
"M113A",51.7375031431358,28.5637658381054,15.1108734748706,3.99047125756838,0.416040594910806,"2021_JunY_1","CRC","M113A"
"M2-PK014A",39.0358629682432,40.493281603305,7.59011104581784,4.98116921332404,7.56625488346073,"2021_JunY_1","CRC","M2-PK014A"
"M122A",48.3366958593201,30.4025430716709,1.25046496300985,10.0646426017496,9.34987390459403,"2021_JunY_1","CRC","M122A"
"M2-PK023A",20.0990761382989,58.5579202323812,18.3413111905992,2.51906647895675,0.0409864114067961,"2021_JunY_1","CRC","M2-PK023A"
"MSC103A",54.5751172196144,23.1638152606946,2.87319217464767,19.1060368235883,0.0125857003560863,"2021_JunY_1","CRC","MSC103A"
