"","Bacteroidetes","Firmicutes","Actinobacteria","Proteobacteria","Verrucomicrobia","Cohort","Stage","SampleName"
"CCIS83574003ST-4-0",80.8033481691677,18.3704114721387,0.222154210050009,0.516154804537908,0.0339459597387597,"2014_ZellerG","adenoma","CCIS83574003ST-4-0"
"HmFeces_10989",84.3185395058396,13.9030838126267,0.563809470196357,0.736650502855208,0.39856363623265,"2019_Yachida","adenoma","HmFeces_10989"
"S2_050_merged",79.239547723484,18.9447577083316,0.966248148643635,0.773006868401652,0.00581048372941211,"2021_JunY_2","adenoma","S2_050_merged"
"HmFeces_10061",87.2054044328196,10.8591553556823,0.960520316780099,0.858746668803869,0.00908664851813853,"2019_Yachida","adenoma","HmFeces_10061"
"S4_053",84.6437397915388,13.3991839007323,0.771054242244074,1.11626588191071,0.00448079639845472,"2021_JunY_2","adenoma","S4_053"
"HmFeces_11512",51.8099655788612,46.1191837606172,0.526143807517176,1.18454493873999,0.23039183869609,"2019_Yachida","adenoma","HmFeces_11512"
"HmFeces_10334",72.8224058160554,24.9862264867517,0.979914773684504,1.07877197214545,0.0352848436091246,"2019_Yachida","adenoma","HmFeces_10334"
"S3_014",78.7595134059794,18.9808638090099,0.874976803072491,1.27161174192963,0.0121470649590316,"2021_JunY_2","adenoma","S3_014"
"S2_062_merged",82.5060761491439,15.1808034113681,0.819327694663301,0.889746185727402,0.0036244561573237,"2021_JunY_2","adenoma","S2_062_merged"
"S2_063",78.0343895705506,19.4940231354736,0.453028319257946,1.82033975789577,0.0459954321427161,"2021_JunY_2","adenoma","S2_063"
"S3_041",57.9108028810296,39.5886742041756,1.45362196596897,0.638816383579422,0.0114219289170568,"2021_JunY_2","adenoma","S3_041"
"HmFeces_10485",85.6000944617045,11.8406953931487,1.28238557825931,0.745490060667237,0.0102979362168352,"2019_Yachida","adenoma","HmFeces_10485"
"S4_003",78.5931968986168,18.6956338703631,1.03802791715157,1.38982730081168,0.00933934515356254,"2021_JunY_2","adenoma","S4_003"
"S4_006",77.8266210063697,19.420625939973,1.71228142913107,0.915996352270018,0.00746816119183735,"2021_JunY_2","adenoma","S4_006"
"S2_036",64.6767976430245,32.5494589803837,1.25346312290064,0.936388819831096,0.0194544914951168,"2021_JunY_2","adenoma","S2_036"
"S4_044",73.2782537130131,23.88784350584,1.20071988377483,1.50173100755956,0.00688032376200697,"2021_JunY_2","adenoma","S4_044"
"HmFeces_11891",65.5953537188985,31.2520642080322,0.930078942658068,1.91648515321704,0.0260397153822789,"2019_Yachida","adenoma","HmFeces_11891"
"CCIS87290971ST-4-0",39.6106842032628,57.2207872323411,1.35855702827493,1.64030045103371,0.0313960116429174,"2014_ZellerG","adenoma","CCIS87290971ST-4-0"
"HmFeces_10785",79.8152699208491,16.9325811454907,0.693137030034948,0.759443825281327,0.00929434408732925,"2019_Yachida","adenoma","HmFeces_10785"
"S2_022_merged",67.5606121097293,29.1779304487897,1.33376411482481,1.65181008997948,0.0158312198116408,"2021_JunY_2","adenoma","S2_022_merged"
"HmFeces_10316",63.0413148597339,33.6847557592048,1.80843199307726,1.32993847485143,0.00896508151343528,"2019_Yachida","adenoma","HmFeces_10316"
